subj_id,q01_F,q02_R,q03_F,q04_R,q05_F,q06_R,q07_F,q08_R,q09_F,q10_R,q11_F,q12_R,q13_F
s192,5,2,3,5,4,4,6,7,2,2,6,3,4
s223,2,2,4,4,1,3,4,6,2,5,5,4,2
s215,4,3,5,5,4,2,4,3,4,3,5,3,7
s072,2,3,5,7,2,4,3,4,2,5,5,3,3
s147,4,1,6,3,3,1,3,6,6,3,5,4,4
s024,4,5,4,5,2,3,4,3,5,4,4,5,2
s096,3,2,5,2,4,1,5,4,5,2,5,4,3
s019,4,4,4,NA,1,4,4,5,6,2,5,4,4
s110,3,2,5,6,2,3,7,4,4,4,3,5,6
s364,3,3,4,4,1,5,4,5,3,3,4,5,2
s289,4,4,4,4,4,3,5,5,5,4,4,1,6
s106,1,3,5,6,2,4,4,4,2,5,4,5,3
s264,4,2,6,5,2,1,5,3,4,5,6,4,4
s241,1,4,2,3,3,1,5,4,3,5,3,6,2
s027,2,2,4,4,1,4,5,5,3,4,3,7,4
s369,3,4,4,4,2,4,4,5,4,4,5,5,3
s079,2,1,6,3,4,2,5,4,5,4,5,3,4
s165,4,3,5,4,4,3,6,4,3,4,7,4,5
s357,2,4,5,3,2,4,5,5,2,3,4,5,5
s068,3,1,6,4,3,5,6,2,4,2,4,3,5
s313,3,1,4,3,4,1,5,5,5,2,5,3,5
s238,2,6,2,NA,1,5,3,7,1,7,3,7,3
s094,3,4,4,5,2,2,2,5,6,4,3,5,2
s049,4,3,6,4,4,3,7,5,4,2,7,3,6
s080,4,3,4,4,2,2,6,4,3,3,5,5,4
s015,1,4,3,7,3,6,2,5,2,3,3,6,4
s051,4,6,3,3,4,5,5,6,4,5,3,4,2
s172,2,4,5,4,5,3,6,5,4,2,6,2,5
s156,3,1,4,5,3,6,4,5,4,3,5,3,4
s243,5,1,5,4,3,2,6,5,4,4,5,4,3
s133,2,4,5,5,3,3,5,5,5,3,3,4,3
s337,5,2,7,1,4,4,4,3,4,5,6,1,6
s014,3,6,6,7,5,5,3,7,2,6,5,3,3
s234,4,6,7,3,3,5,5,5,4,3,6,5,4
s127,5,5,3,7,2,3,5,5,2,4,6,5,4
s206,4,2,4,5,2,5,4,4,4,7,5,4,3
s086,2,4,1,4,1,4,1,4,2,4,3,4,2
s374,4,2,5,3,2,1,4,6,5,5,3,3,5
s007,4,3,5,4,2,1,1,4,4,4,3,5,3
s138,5,3,2,5,3,4,4,5,2,6,4,3,4
s035,4,3,5,3,4,2,5,4,4,3,5,1,4
s298,3,5,2,4,2,4,3,3,4,6,2,4,5
s236,5,3,5,4,3,2,7,4,4,2,5,3,4
s063,4,NA,6,6,4,3,5,4,2,4,4,4,5
s018,5,3,4,5,3,1,6,6,6,4,6,2,6
s286,1,7,4,5,2,3,4,6,2,4,2,6,3
s148,3,6,5,6,4,4,3,4,3,4,4,3,4
s343,3,3,2,5,3,2,3,7,3,4,6,6,3
s342,4,3,4,5,2,3,3,6,3,5,5,4,3
s266,4,4,5,4,3,4,5,5,5,4,5,1,4
s307,3,3,4,4,4,1,4,5,4,4,3,5,4
s278,4,2,5,1,6,3,5,5,4,1,3,2,4
s301,3,3,4,4,4,1,5,3,5,1,4,4,2
s113,3,5,2,5,2,3,6,5,4,4,4,5,2
s202,6,1,7,4,5,3,7,5,5,3,7,4,4
s186,5,3,4,5,4,1,4,5,1,3,6,3,4
s338,2,3,3,6,2,3,4,7,3,5,5,6,4
s152,3,1,4,5,3,2,5,4,4,3,5,2,3
s030,3,1,7,3,3,1,5,2,7,1,6,1,5
s299,4,1,5,3,3,3,7,2,6,1,4,2,5
s208,2,4,5,4,3,5,4,4,4,3,3,4,4
s327,1,4,5,5,4,4,5,4,3,4,3,5,5
s225,2,3,5,5,2,5,5,5,2,5,3,5,6
s262,4,2,3,4,3,4,3,6,5,4,4,4,3
s089,2,5,4,NA,3,1,3,5,5,3,4,4,4
s055,3,4,3,5,4,6,3,4,3,6,6,5,3
s360,4,2,6,4,3,2,6,5,7,3,4,3,5
s198,3,3,3,3,4,4,3,3,3,4,3,3,7
s168,2,2,6,7,3,1,6,5,5,2,5,4,3
s252,4,4,6,3,2,4,3,5,3,2,6,2,7
s183,5,1,5,3,4,1,5,4,3,1,5,3,5
s194,3,1,4,5,1,1,6,4,5,4,4,4,4
s179,3,3,5,4,1,3,3,2,1,2,2,5,4
s227,2,1,5,3,2,1,5,4,4,4,7,3,5
s174,6,4,4,3,5,5,5,3,7,3,5,3,4
s107,5,3,3,5,4,2,4,4,5,5,4,3,5
s191,1,3,3,6,3,4,4,6,2,5,4,5,4
s255,2,2,4,6,4,2,2,7,5,4,5,3,5
s163,4,5,4,4,3,2,4,4,5,3,5,4,5
s033,2,4,3,5,3,4,5,5,4,5,5,3,3
s040,2,3,3,4,3,3,4,4,4,3,2,5,3
s067,4,6,4,4,2,2,5,3,2,2,3,4,5
s316,3,4,1,7,3,3,3,6,4,6,2,4,3
s354,4,4,2,4,1,NA,4,5,5,4,4,3,4
s052,2,2,5,7,3,2,4,5,1,2,2,4,4
s382,4,3,6,3,3,5,3,2,5,3,5,4,4
s092,2,4,4,5,2,3,4,5,1,4,1,5,3
s335,1,4,2,7,2,4,3,6,1,5,2,4,2
s333,2,4,4,3,4,2,3,2,4,2,5,4,7
s045,3,1,5,3,2,3,5,4,5,3,5,1,5
s300,5,4,4,5,4,2,4,7,2,2,5,3,6
s229,6,2,5,4,3,5,4,5,4,4,3,5,4
s087,3,2,6,5,3,4,6,4,7,3,4,6,5
s134,4,2,4,5,3,4,4,7,3,1,5,4,4
s146,2,4,3,4,3,5,4,7,4,4,3,3,4
s195,5,4,5,3,2,2,5,5,3,5,5,3,3
s309,3,1,6,6,4,2,5,4,5,4,4,3,4
s075,4,6,5,6,2,4,5,4,1,4,5,5,3
s363,4,5,3,5,1,2,4,4,4,3,5,4,4
s181,3,3,3,3,3,2,6,5,4,3,3,3,2
s226,4,2,6,4,2,2,6,4,3,2,5,3,4
s048,3,3,5,7,2,4,3,4,4,4,5,6,1
s247,5,3,7,3,6,2,7,2,5,3,6,1,7
s203,4,4,5,5,6,2,7,3,4,4,2,4,5
s162,2,5,3,4,1,2,5,4,4,2,4,NA,5
s261,2,6,3,3,4,4,2,7,3,5,5,4,4
s330,4,4,4,3,3,2,4,5,3,4,6,3,3
s341,4,3,3,3,4,2,5,5,5,3,6,3,5
s176,5,4,4,4,4,2,4,4,6,1,6,2,5
s325,4,4,4,4,3,5,3,6,2,4,4,7,4
s219,2,4,3,6,1,4,4,5,3,5,4,6,4
s115,5,3,5,6,4,3,6,4,6,5,7,4,4
s010,2,2,7,5,3,3,7,1,4,2,5,5,6
s064,6,3,3,4,5,3,7,4,7,1,6,4,5
s047,4,1,6,2,3,2,7,3,5,1,4,4,3
s009,3,2,6,3,4,1,6,3,5,1,5,1,4
s074,2,4,4,5,1,3,5,4,2,4,5,4,6
s295,3,3,4,6,1,2,4,5,2,4,3,2,4
s199,2,4,4,4,2,4,5,5,5,5,5,4,3
s105,3,5,5,6,1,3,3,6,5,4,3,6,4
s137,4,5,6,5,3,3,4,4,2,4,3,4,2
s061,3,3,5,3,4,2,5,3,6,1,6,1,7
s056,4,5,3,7,3,6,4,6,3,4,4,4,4
s070,1,4,5,6,1,4,2,6,1,5,3,7,4
s210,5,1,5,4,4,4,5,5,3,2,5,4,5
s328,1,2,5,4,3,4,4,5,4,4,6,4,2
s023,2,5,4,4,3,3,4,4,4,5,4,4,4
s136,2,3,6,5,3,4,6,4,4,3,4,6,4
s296,3,2,5,4,3,3,2,5,2,5,5,5,3
s346,2,1,4,4,4,5,4,4,5,2,6,4,4
s111,1,4,3,6,3,4,4,4,3,4,4,5,3
s320,3,4,5,5,4,4,6,5,2,3,5,3,2
s036,1,3,7,3,5,2,6,3,4,4,5,3,5
s302,3,5,1,7,1,4,4,5,4,5,2,7,2
s217,1,4,6,3,3,3,5,6,5,4,4,3,4
s242,2,4,3,7,1,3,2,5,3,4,4,5,3
s207,2,4,6,4,3,4,5,6,4,3,5,4,2
s297,2,3,6,6,3,3,6,2,5,3,5,4,4
s131,4,3,3,5,5,4,4,4,2,6,5,5,4
s293,2,3,5,5,4,4,5,2,4,6,4,2,6
s166,5,1,4,5,3,4,4,3,4,4,4,4,3
s125,5,4,5,4,3,4,4,4,4,3,3,6,5
s205,3,4,4,4,2,2,3,6,2,4,4,6,2
s267,2,3,3,4,2,2,2,5,1,3,4,5,5
s331,4,1,7,3,4,2,7,3,5,1,3,3,5
s140,3,1,6,3,5,3,7,3,4,2,7,4,6
s329,4,4,3,7,3,6,4,4,4,4,5,5,4
s164,3,6,4,6,3,4,1,3,2,6,4,5,2
s356,5,3,5,4,5,3,4,2,3,4,6,4,4
s323,5,4,2,4,4,3,2,5,4,4,4,5,2
s197,3,2,4,4,2,4,4,6,4,4,4,4,4
s318,1,3,5,4,3,3,3,5,3,4,3,5,4
s002,4,5,2,4,2,2,4,6,5,6,4,3,3
s367,4,3,3,3,1,4,5,6,4,3,2,6,4
s249,3,1,4,4,3,3,3,4,4,5,3,5,4
s028,3,4,4,5,2,3,4,5,2,2,5,4,4
s200,1,5,3,6,1,3,3,5,2,6,1,5,3
s120,2,4,4,6,4,1,2,7,3,4,3,6,2
s093,4,4,4,5,2,4,4,6,4,5,4,3,4
s326,3,1,7,3,4,4,3,6,5,4,5,4,NA
s275,2,4,5,6,2,5,7,6,1,4,3,4,2
s142,3,4,4,4,2,4,5,7,3,4,5,4,4
s060,3,3,3,4,4,2,7,NA,6,3,4,2,4
s253,3,6,3,6,3,6,2,7,1,5,4,6,3
s216,1,4,6,4,4,3,3,6,3,3,4,4,3
s314,4,2,2,3,4,3,5,4,4,2,5,2,5
s073,4,3,6,4,7,1,6,4,6,3,6,2,7
s345,1,4,5,6,3,4,4,3,4,4,3,1,6
s265,3,2,3,5,3,2,5,3,3,4,4,4,5
s155,3,2,6,7,5,5,3,5,5,4,2,3,4
s232,3,5,4,5,2,3,4,6,3,5,3,5,4
s270,4,2,7,3,3,1,4,2,6,1,5,3,3
s358,2,3,6,5,2,3,5,4,3,5,2,4,2
s066,2,1,2,3,3,2,6,3,4,3,5,1,4
s119,NA,4,5,5,2,4,6,4,4,5,6,4,2
s347,3,6,4,5,2,5,4,5,3,5,4,3,3
s376,4,1,7,4,5,2,5,2,3,1,6,1,7
s254,1,5,4,6,1,5,2,7,1,7,3,5,2
s081,2,2,1,6,3,4,3,6,3,4,4,4,1
s043,6,4,5,4,3,3,3,7,4,2,6,5,5
s157,4,4,7,4,5,4,6,5,3,4,4,4,4
s196,5,1,5,3,4,1,6,3,4,1,4,4,6
s284,6,2,4,3,4,4,7,4,5,2,4,4,6
s281,2,4,4,4,4,2,6,2,2,3,3,4,4
s288,3,4,4,6,1,4,3,3,4,3,4,6,4
s026,3,2,7,4,4,3,4,4,4,2,6,3,6
s193,3,2,6,4,4,4,6,2,6,3,5,3,4
s078,3,4,3,5,4,5,4,NA,4,5,6,5,5
s276,5,4,3,2,3,2,6,6,4,3,5,1,4
s231,3,3,5,3,3,4,5,5,1,4,5,2,2
s272,4,1,6,1,5,1,5,3,4,1,5,3,7
s274,2,6,5,4,2,3,4,4,3,2,3,4,5
s240,3,1,6,2,4,1,5,3,6,3,7,2,7
s126,3,3,4,2,4,3,3,4,4,2,4,5,6
s230,3,1,5,5,4,1,4,3,5,4,4,2,NA
s368,4,4,4,6,5,4,3,5,2,4,3,5,4
s290,3,4,4,5,3,6,4,5,5,5,3,6,4
s069,3,4,2,4,2,2,3,4,3,3,3,3,1
s211,4,2,6,4,3,NA,4,3,4,4,5,3,4
s032,4,4,5,2,3,4,6,2,4,NA,4,3,3
s034,1,4,3,6,5,6,4,7,3,4,3,4,2
s144,5,3,7,4,4,1,5,2,6,2,5,2,5
s141,3,3,4,5,1,4,2,3,4,4,1,6,4
s321,4,3,5,3,3,2,4,4,6,4,5,4,5
s355,2,5,5,6,5,2,6,5,4,2,5,6,2
s324,4,6,3,6,4,3,4,4,1,5,5,3,1
s273,2,2,4,3,2,3,5,4,4,4,2,4,4
s201,3,3,5,5,4,3,5,4,4,3,6,4,7
s084,4,1,4,4,5,3,5,6,5,4,6,3,6
s248,3,4,3,4,4,2,5,4,3,4,3,4,2
s037,2,4,3,5,1,4,5,5,3,3,3,3,4
s132,3,4,3,6,2,6,5,7,3,4,4,5,2
s224,1,4,4,6,1,5,2,7,3,5,3,7,3
s175,2,3,3,3,4,5,4,4,3,5,4,5,3
s260,NA,2,4,4,3,3,5,3,4,1,6,3,4
s287,6,3,5,3,3,2,6,3,5,5,5,3,5
s143,4,1,7,3,4,1,7,3,7,2,7,1,6
s257,3,2,6,4,4,4,3,5,4,3,3,3,3
s076,4,2,7,4,3,2,4,3,3,1,5,1,5
s122,3,4,5,3,4,3,6,4,4,5,6,3,4
s169,3,4,3,5,1,6,1,7,1,5,2,7,2
s365,3,1,5,4,2,3,4,5,4,4,4,4,4
s352,2,4,3,6,2,3,4,5,3,5,2,4,3
s312,2,4,5,5,3,5,3,7,3,4,3,5,2
s161,1,3,3,4,1,6,3,6,1,2,3,5,3
s308,1,3,3,6,2,3,4,6,5,7,3,6,3
s022,1,5,5,5,2,6,3,6,4,6,4,4,3
s340,4,4,3,4,5,2,4,7,5,2,3,3,4
s154,5,1,5,5,6,1,7,2,7,2,7,3,4
s250,5,3,4,3,2,3,4,4,3,6,3,6,4
s053,3,1,4,4,2,4,4,5,4,4,2,5,4
s130,3,4,4,4,2,5,4,6,2,5,2,2,3
s004,3,3,3,4,2,1,1,5,3,4,4,5,3
s085,4,2,5,5,2,1,4,3,3,4,4,4,6
s373,4,3,6,2,3,2,4,4,6,4,5,5,5
s269,6,4,3,4,4,3,6,4,3,3,3,3,4
s116,7,3,6,4,4,1,5,3,4,4,4,4,4
s221,2,6,2,7,2,5,6,6,4,5,4,4,2
s005,4,1,4,6,3,4,4,5,4,3,3,4,4
s124,2,5,4,5,5,4,6,4,4,3,7,1,4
s101,2,3,3,4,2,6,2,6,4,4,4,4,2
s317,4,3,5,2,3,4,4,7,4,6,5,3,3
s184,4,4,4,4,4,4,3,3,4,4,4,5,4
s082,4,4,3,5,3,5,3,5,4,3,5,4,4
s204,2,6,4,2,4,4,5,4,4,NA,4,4,4
s322,4,NA,6,4,6,3,5,3,5,1,5,2,5
s170,4,3,1,5,3,4,3,6,1,6,4,4,2
s065,3,2,3,6,4,5,5,6,4,4,4,4,3
s016,3,3,7,6,4,2,3,6,4,3,5,5,3
s280,4,2,4,4,4,3,3,7,4,4,4,4,3
s245,2,3,3,3,3,2,4,6,4,3,5,2,4
s178,4,4,4,5,5,4,3,6,1,4,2,4,4
s277,4,3,5,3,3,3,5,3,7,2,3,2,6
s220,4,4,6,2,2,4,4,4,5,5,6,4,5
s251,2,3,4,1,3,4,4,5,4,3,4,3,4
s361,4,3,5,3,4,3,4,5,3,2,7,4,7
s271,3,4,5,5,3,4,3,6,6,1,6,4,3
s054,3,2,5,5,5,2,7,2,3,3,6,4,4
s237,3,3,2,4,4,3,4,5,4,4,3,5,3
s121,3,5,3,4,4,3,5,4,4,4,1,5,3
s180,1,4,4,6,1,5,4,6,1,7,3,6,3
s246,5,1,5,5,2,3,5,6,6,3,5,4,2
s171,5,NA,3,4,5,3,3,4,1,3,4,3,4
s008,3,3,4,3,4,1,7,5,6,3,4,4,4
s182,3,2,5,3,2,4,2,5,5,4,4,2,4
s167,4,4,5,3,3,2,5,6,1,5,6,4,2
s083,5,2,4,3,4,1,5,3,4,4,3,4,7
s135,2,3,3,4,4,3,3,4,2,4,4,4,3
s118,4,4,4,4,2,4,2,6,5,3,5,3,3
s117,3,5,4,3,3,4,4,6,4,5,4,5,2
s038,5,5,7,4,5,5,5,4,6,4,7,3,4
s378,3,2,6,6,3,2,4,5,4,4,4,5,3
s145,2,4,4,2,4,2,4,5,4,3,6,3,5
s336,4,NA,4,3,3,4,4,5,5,3,5,3,6
s020,1,4,2,7,1,7,1,7,2,4,1,6,3
s097,2,2,4,6,1,5,6,3,3,1,2,3,3
s222,5,2,6,5,3,3,4,4,2,3,4,6,4
s305,5,1,6,5,2,1,7,3,4,3,7,4,3
s212,1,4,4,7,2,2,2,5,1,4,3,4,3
s187,7,1,7,1,6,1,7,4,7,3,5,1,6
s359,6,1,6,1,4,4,2,4,3,3,5,5,4
s077,2,7,1,7,1,4,1,7,2,6,4,5,2
s090,4,5,4,5,3,4,3,5,1,5,3,4,5
s021,4,2,5,5,3,4,4,3,5,5,3,4,4
s108,2,2,6,4,6,1,5,3,5,3,4,3,3
s351,4,3,4,1,3,3,6,1,7,5,6,3,3
s059,2,2,6,2,4,3,4,5,3,2,4,3,3
s209,3,3,5,6,3,2,5,6,4,3,4,3,4
s159,5,2,6,2,2,3,6,5,6,2,7,3,7
s235,4,NA,3,6,1,5,4,4,4,5,3,7,3
