subj_id,F-q01,R-q02,F-q03,R-q04,F-q05,R-q06,F-q07,R-q08,F-q09,R-q10,F-q11,R-q12,F-q13,R-q14,F-q15
s346,4,4,4,5,4,2,5,2,6,4,4,3,2,4,4
s069,4,4,1,4,2,4,5,3,4,4,4,4,5,4,4
s264,4,3,5,6,5,3,2,6,3,4,4,5,5,5,6
s059,4,4,4,5,3,1,4,4,4,4,4,5,2,4,6
s315,4,4,5,4,4,4,6,5,4,4,3,3,5,4,4
s303,5,2,6,3,5,2,6,3,4,4,4,4,5,4,6
s118,4,6,4,2,5,4,4,1,5,3,5,2,5,2,4
s034,4,4,4,4,2,6,4,4,4,5,4,4,5,4,4
s313,2,7,2,5,1,5,3,7,3,7,1,5,1,7,2
s191,4,3,5,5,3,5,2,3,4,6,2,5,5,5,4
s064,5,3,7,3,5,1,5,5,5,5,7,4,NA,3,6
s061,7,3,5,3,4,3,3,5,3,4,3,3,4,2,4
s192,6,4,5,3,3,2,6,4,6,6,5,4,6,2,3
s273,6,2,5,5,1,5,5,4,4,5,3,4,NA,3,4
s161,5,5,2,7,1,4,3,5,4,6,2,6,3,5,4
s082,6,4,5,4,5,2,6,3,7,1,6,4,5,2,5
s350,3,2,4,6,4,3,5,6,4,5,2,6,4,5,4
s020,4,2,4,6,4,4,4,3,3,6,1,4,4,3,5
s365,2,5,2,6,1,7,4,7,3,7,3,6,2,6,3
s222,5,4,3,5,2,4,5,6,3,5,4,5,6,3,4
s262,1,4,5,5,3,4,4,5,3,6,3,5,3,4,3
s234,3,4,4,5,2,3,3,5,4,7,3,5,5,3,4
s361,4,6,2,7,3,6,5,6,4,4,2,4,5,3,3
s198,4,4,2,5,4,4,5,4,4,5,4,3,4,3,3
s336,4,3,5,2,2,4,6,4,7,4,5,3,5,3,7
s139,3,6,3,6,3,5,3,4,2,4,2,6,2,5,3
s163,2,4,2,4,3,2,2,4,4,4,3,3,4,5,3
s142,4,3,4,4,4,4,4,4,6,6,4,5,5,5,5
s304,7,3,4,2,4,3,5,3,6,3,3,1,7,2,4
s084,6,1,3,5,1,4,6,4,6,3,3,3,5,4,4
s001,6,4,5,5,3,3,4,3,3,3,7,3,4,5,6
s324,3,5,4,3,6,2,2,2,4,4,3,3,7,3,4
s356,7,1,7,3,6,1,6,1,7,1,6,2,6,2,4
s110,3,4,2,5,1,4,4,4,4,5,4,4,1,5,4
s327,3,6,3,4,1,6,4,7,3,6,3,4,1,6,3
s307,5,4,3,5,5,5,3,4,4,4,2,2,2,4,5
s236,7,2,5,4,4,3,6,1,6,3,4,2,5,5,6
s145,4,3,4,5,1,4,2,4,3,4,4,3,5,3,5
s338,5,4,5,4,4,3,5,4,4,3,3,2,4,5,5
s144,4,4,4,5,4,7,4,4,4,5,4,3,4,5,3
s229,3,7,1,6,1,4,1,5,3,5,4,5,1,6,5
s267,5,3,4,5,6,1,5,3,4,3,3,4,7,1,5
s366,7,3,NA,5,4,3,6,4,5,1,7,1,5,3,7
s371,4,3,4,4,4,2,5,3,3,3,4,3,6,3,4
s172,6,1,7,2,5,1,7,1,5,2,7,3,7,2,3
s201,4,1,5,2,6,4,6,4,6,3,6,3,3,2,5
s014,6,3,5,4,4,5,6,7,5,3,2,4,4,4,5
s131,5,1,5,5,2,2,7,5,6,5,4,3,5,2,5
s215,3,4,2,6,3,6,4,6,4,6,3,5,2,3,2
s255,3,4,2,5,2,7,2,2,5,4,4,4,3,4,4
s351,7,4,4,6,5,3,5,5,5,4,7,3,5,4,4
s295,4,2,3,6,4,4,4,5,3,5,4,3,5,4,3
s277,6,1,5,3,4,3,7,3,7,2,5,2,6,2,7
s237,2,4,2,7,2,4,2,4,4,4,3,5,4,4,5
s263,4,3,4,3,4,2,5,3,6,2,4,3,6,4,5
s023,3,7,3,NA,2,2,4,4,5,5,3,4,4,4,4
s158,6,3,6,4,4,2,6,5,5,3,2,2,5,2,4
s049,1,3,3,5,3,2,5,5,4,4,3,4,4,5,4
s068,2,5,3,6,3,3,4,4,2,5,1,4,2,5,3
s311,7,2,7,4,5,1,4,3,7,2,6,2,7,1,7
s164,4,4,3,6,4,3,4,3,5,4,4,4,6,3,NA
s089,3,3,3,7,5,3,3,6,5,6,2,5,3,6,4
s166,4,3,4,3,4,3,4,3,4,2,4,1,7,2,5
s171,5,5,3,4,2,4,6,5,1,6,3,2,4,4,3
s016,4,2,5,4,1,1,4,3,7,1,4,2,5,4,4
s002,4,2,5,3,1,3,4,4,6,4,4,2,4,4,5
s123,3,4,2,5,3,6,3,6,4,5,3,4,2,5,2
s027,4,4,5,4,4,2,5,5,5,5,2,4,3,3,5
s018,4,1,7,3,4,2,5,5,6,3,4,4,4,2,6
s298,4,1,2,4,3,3,3,6,3,5,3,2,4,3,3
s233,6,4,4,2,4,5,5,4,5,5,4,1,5,1,5
s372,5,1,3,4,3,3,3,3,4,3,5,4,2,3,3
s070,4,5,2,5,2,3,4,3,4,3,4,3,4,4,4
s271,4,3,2,4,2,2,5,6,3,5,1,5,4,5,2
s058,7,1,5,5,5,2,5,3,6,2,4,2,4,3,4
s331,5,4,2,5,3,3,3,7,5,6,4,6,4,5,5
s051,6,1,4,4,4,4,4,7,5,4,4,5,3,3,5
s224,6,1,6,4,5,1,7,3,4,2,3,5,7,3,3
s007,3,5,4,7,6,3,4,5,5,5,3,4,7,4,4
s170,3,3,6,5,5,3,3,6,5,3,4,3,3,2,3
s369,4,5,4,2,4,6,4,5,3,7,4,4,1,5,2
s357,3,7,1,7,1,6,3,5,3,6,2,6,4,7,2
s097,5,5,2,6,2,4,3,5,4,5,3,4,3,4,4
s085,4,1,7,3,5,5,5,1,6,3,5,3,5,1,6
s208,7,3,2,3,4,4,7,3,3,5,3,3,4,4,6
s019,3,1,5,4,2,3,4,5,NA,3,2,4,4,4,3
s240,7,2,5,3,4,3,4,2,5,4,4,2,5,3,6
s149,4,4,3,4,2,4,5,5,2,4,6,5,3,4,3
s253,3,4,5,6,2,5,4,5,4,6,2,3,4,6,4
s212,4,4,3,4,2,7,3,5,2,6,2,7,3,7,2
s093,5,3,6,4,4,2,5,3,7,2,5,1,4,2,6
s347,4,3,3,4,3,4,5,4,4,7,2,5,6,4,3
s187,6,2,4,2,4,3,6,3,7,2,5,3,7,3,4
s335,5,3,4,4,3,2,4,4,4,4,2,6,3,3,4
s349,3,4,4,4,5,1,5,4,4,5,7,2,4,4,4
s244,4,2,4,5,3,4,4,5,5,4,4,1,2,3,4
s147,4,5,4,4,4,4,4,4,3,5,2,5,4,3,4
s250,4,3,4,4,3,5,4,6,4,5,5,4,4,5,5
s309,5,4,3,4,2,3,5,5,5,7,4,3,3,3,5
s143,5,1,4,3,7,3,5,3,7,3,6,3,5,1,5
s320,6,3,5,1,6,3,7,3,4,5,4,2,6,3,4
s185,4,4,2,2,4,3,2,3,3,4,4,2,3,4,5
s265,7,1,4,2,5,2,5,3,5,4,5,3,7,5,6
s052,7,2,5,3,5,2,6,4,5,5,5,3,5,1,6
s030,2,5,3,5,3,4,1,7,2,4,2,6,4,5,4
s276,3,3,3,3,4,5,5,4,4,5,3,4,4,5,5
s221,5,4,4,4,3,4,4,5,4,5,4,3,2,5,3
s096,4,7,3,4,4,3,2,3,4,4,3,4,5,4,3
s203,2,1,3,3,3,4,3,6,3,5,5,5,5,5,4
s270,5,2,5,3,4,1,7,3,5,4,4,NA,5,1,6
s050,7,1,6,3,3,NA,4,3,7,2,5,2,7,1,7
s017,5,4,3,5,3,6,3,4,4,4,4,3,4,2,5
s175,6,5,4,4,3,4,4,5,5,3,5,4,4,5,5
s126,4,5,4,5,6,3,4,2,2,4,4,4,7,5,5
s025,3,4,4,5,4,2,3,4,3,4,2,5,2,4,4
s205,4,4,2,6,1,3,2,7,4,5,2,5,1,6,4
s256,6,1,7,3,6,3,7,1,7,3,4,1,7,3,5
s290,3,4,4,4,3,4,5,4,4,2,2,4,4,3,4
s252,5,5,3,6,4,2,2,4,4,5,4,4,4,4,1
s057,3,4,4,6,4,4,7,4,4,4,4,3,5,4,4
s218,5,5,2,7,3,5,3,4,3,4,4,6,4,7,NA
s107,5,3,6,4,4,3,6,3,5,3,4,4,5,3,4
s151,3,5,2,4,4,2,4,6,4,4,2,3,6,4,4
s287,4,4,5,5,3,4,3,4,3,4,3,4,3,4,7
s337,5,4,3,6,4,4,3,4,4,4,5,3,2,4,4
s178,4,6,1,5,2,5,2,7,4,4,1,7,4,4,3
s039,3,7,3,6,1,7,4,7,3,6,4,6,4,6,3
s274,5,6,2,5,4,6,4,3,5,4,6,2,5,1,5
s008,5,3,1,7,5,5,3,6,5,6,3,6,4,5,4
s322,7,2,6,2,7,2,7,3,7,1,5,3,5,3,7
s302,4,4,2,5,4,3,5,4,5,4,4,6,2,4,1
s077,7,3,6,1,5,1,4,4,4,4,4,3,4,3,4
s219,3,5,3,2,3,6,4,5,1,3,4,4,2,5,2
s056,3,4,3,4,2,3,3,5,4,5,4,5,4,5,3
s281,4,5,1,4,3,1,2,4,3,5,4,6,3,4,3
s176,2,7,2,6,NA,7,1,7,1,7,1,5,3,7,1
s280,4,2,6,6,3,4,5,2,5,5,3,2,4,5,4
s332,1,4,1,7,1,5,4,7,2,6,2,7,2,7,1
s199,4,5,2,4,2,2,4,6,5,5,3,4,6,5,1
s100,4,3,1,5,2,6,3,5,2,6,1,5,2,6,3
s210,6,3,6,5,3,3,6,1,5,4,4,2,5,3,5
s111,7,1,4,2,6,4,3,3,5,3,5,2,6,2,5
s006,3,4,6,6,4,3,4,5,3,4,4,4,5,5,4
s094,5,1,5,2,6,2,6,2,6,4,5,3,6,1,7
s045,4,3,2,6,3,3,4,4,3,NA,3,6,5,5,1
s127,3,4,1,6,1,4,4,6,2,4,1,4,2,5,2
s090,4,5,5,6,3,5,5,6,2,7,4,3,4,4,2
s321,3,6,1,5,NA,4,2,5,2,6,4,6,2,6,3
s382,6,4,3,4,3,3,3,5,4,4,3,3,5,5,3
s011,5,5,2,5,1,2,4,6,7,5,2,4,5,4,3
s079,4,5,3,4,1,4,4,5,5,6,5,4,4,3,2
s162,3,4,4,6,2,4,5,6,4,7,3,5,2,6,2
s245,3,5,4,4,3,1,4,4,4,4,2,3,5,4,2
s353,6,4,4,6,1,6,5,5,4,5,4,4,2,4,3
s029,4,5,4,6,4,6,3,5,4,4,3,5,2,4,2
s378,5,4,4,3,1,4,5,7,4,5,4,6,4,4,4
s125,6,2,3,3,4,2,5,5,3,6,4,5,5,3,4
s076,3,3,4,4,2,2,4,5,3,3,4,4,4,5,5
s323,1,5,3,5,4,6,2,7,4,5,1,6,2,7,4
s292,1,5,2,5,1,7,4,NA,3,5,1,5,4,6,2
s293,5,4,5,4,1,6,4,6,2,5,2,5,2,6,2
s380,5,3,5,6,2,3,5,3,6,4,5,3,3,4,7
s360,7,1,5,3,5,1,6,4,6,4,6,3,7,3,3
s041,4,4,4,5,3,5,4,4,4,5,4,4,3,5,4
s028,5,2,5,1,4,2,5,3,5,3,5,3,3,4,5
s009,6,2,4,4,3,1,4,3,5,4,2,5,4,4,3
s044,4,4,2,5,3,3,4,5,1,4,4,5,4,6,3
s119,5,3,4,4,3,4,4,3,NA,4,3,3,2,3,5
s376,5,6,3,5,2,4,4,5,2,5,4,5,1,5,1
s193,7,2,5,1,3,3,5,4,4,4,2,2,5,3,5
s200,3,2,4,4,4,6,6,4,6,2,4,2,3,4,4
s194,5,3,4,6,6,4,4,3,4,4,3,3,4,3,3
s333,4,4,5,5,3,4,5,7,4,5,2,3,1,3,2
s046,5,1,6,4,3,1,7,3,6,3,4,3,5,3,5
s275,5,2,4,4,3,3,5,2,7,3,3,4,4,3,5
s088,4,4,4,6,1,4,6,7,4,4,3,5,2,4,1
s217,1,3,4,6,2,5,4,5,3,5,3,4,1,6,4
s140,5,3,6,3,3,3,5,7,5,3,4,4,4,3,5
s359,4,4,3,3,3,5,7,3,4,4,7,3,3,2,6
s101,4,4,4,3,3,3,2,4,6,1,4,3,4,2,3
s241,4,4,3,6,3,2,3,3,3,4,3,3,3,3,2
s179,4,6,1,4,3,3,5,4,6,2,4,4,4,3,5
s095,4,4,5,6,3,3,5,4,4,5,4,5,6,2,3
s216,7,2,4,4,5,2,4,3,4,3,3,2,6,5,5
s341,4,3,1,7,1,4,1,5,4,5,1,4,1,5,3
s013,6,1,5,2,4,2,6,2,5,5,7,1,4,1,5
s122,6,1,3,4,5,2,6,2,5,2,6,3,4,1,4
s368,2,4,1,6,3,4,4,6,3,3,5,4,4,6,2
