subj_id,q1_F,q2_R,q3_F,q4_R,q5_F,q6_R,q7_F,q8_R,q9_F
s033,6,2,7,2,7,3,4,4,NA
s151,5,4,5,4,3,6,2,5,4
s004,3,5,3,4,5,7,2,5,3
s311,3,4,4,5,5,5,5,3,7
s358,6,3,4,1,7,4,4,3,5
s354,7,3,6,1,7,4,4,1,6
s094,7,3,7,1,7,2,6,2,5
s013,5,4,6,5,5,4,1,2,4
s042,6,6,4,6,6,4,4,4,4
s198,6,4,5,4,7,3,6,4,5
s162,3,7,4,7,2,4,2,5,4
s133,5,5,3,4,3,6,6,4,6
s318,4,3,5,6,5,6,2,4,5
s237,5,5,3,5,5,5,2,4,3
s297,4,4,5,4,4,4,3,6,5
s113,5,4,5,4,4,3,4,4,4
s159,3,6,3,4,4,5,2,5,2
s077,6,1,7,2,5,2,7,3,7
s271,2,7,2,5,2,7,1,7,1
s314,7,2,6,2,5,4,5,2,5
s110,3,4,3,3,5,4,3,4,4
s300,3,2,3,4,4,3,3,3,3
s025,5,4,4,1,7,5,5,4,4
s366,5,3,4,2,6,5,5,4,5
s202,6,5,4,4,3,4,5,6,4
s034,5,5,2,5,2,7,3,5,3
s316,4,5,4,4,5,6,5,4,4
s279,4,2,6,5,7,4,3,4,6
s220,5,4,4,3,3,5,4,4,4
s049,4,3,7,4,4,4,4,NA,1
s240,7,2,4,2,5,2,3,2,4
s092,3,4,4,4,3,7,5,3,1
s044,6,3,4,3,6,NA,5,4,6
s073,5,3,6,5,5,3,4,2,3
s361,NA,6,4,3,4,3,4,5,5
s356,1,7,4,7,1,6,1,6,1
s182,4,2,5,4,4,3,5,4,5
s170,5,3,5,2,5,5,4,5,4
s102,6,2,5,1,5,5,2,5,4
s229,3,4,5,4,4,5,4,2,3
s233,6,5,4,5,4,5,5,5,3
s269,3,7,5,3,6,3,3,4,5
s294,5,4,5,4,6,6,4,4,4
s227,5,5,5,3,5,5,4,5,4
s232,4,3,7,4,5,5,2,5,1
s131,2,4,3,7,1,6,2,5,4
s249,1,5,5,3,4,4,3,3,4
s225,5,4,6,3,5,4,4,4,4
s002,4,4,4,4,4,6,2,6,4
s029,6,3,4,2,4,5,4,5,3
s329,6,3,4,4,7,3,4,4,4
s074,5,3,2,3,5,4,4,3,4
s158,7,2,4,4,7,2,4,2,3
s008,4,4,1,5,4,5,2,4,4
s207,6,1,5,3,6,5,6,2,7
s184,3,3,7,5,5,3,6,3,2
s268,4,5,1,5,3,6,2,5,4
s101,3,3,5,3,5,6,5,2,5
s310,4,7,1,5,3,7,4,6,1
s217,5,3,4,3,6,6,3,4,4
s295,2,7,2,5,2,6,2,6,3
s071,5,4,5,4,3,5,3,2,3
s359,7,5,4,2,7,4,4,4,6
s128,4,3,5,3,4,3,7,2,5
s107,4,3,5,2,7,3,NA,1,5
s058,5,3,5,3,4,4,4,4,3
s200,4,3,5,5,7,5,5,3,6
s011,6,4,4,4,3,5,3,6,2
s076,4,2,4,6,5,4,5,5,5
s203,3,5,4,3,4,4,1,4,3
s283,5,5,4,3,5,4,3,4,4
s086,4,5,4,4,5,5,5,5,3
s332,5,6,3,5,3,5,1,4,1
s293,4,4,3,7,4,6,3,3,5
s226,5,3,6,1,6,3,4,3,6
s199,5,5,5,2,3,6,6,5,NA
s193,2,5,3,6,3,6,2,5,2
s116,6,4,4,3,4,4,4,4,3
s026,3,5,6,5,4,5,4,4,3
s234,5,3,5,6,4,5,4,6,5
s036,4,4,2,4,6,6,4,3,3
s228,3,6,4,3,5,7,4,5,4
s137,2,3,4,4,4,6,2,6,1
s244,6,4,4,4,4,4,4,2,3
s190,3,7,4,4,5,6,4,4,NA
s161,3,5,3,4,5,7,2,6,4
s127,4,3,5,3,3,2,5,4,5
s243,7,2,5,1,6,2,7,3,4
s096,4,6,6,5,3,5,3,5,1
s369,4,5,2,3,1,6,2,5,3
s254,6,4,3,3,4,4,2,3,5
s276,7,3,4,4,5,5,4,3,3
s023,5,4,4,4,5,7,5,3,4
s052,3,6,1,6,2,6,4,7,3
s143,5,3,5,4,3,4,4,4,3
s309,6,2,7,4,3,3,4,4,3
s282,4,5,5,5,5,4,4,4,4
s360,2,5,3,4,4,5,2,7,3
s035,3,5,4,4,4,3,3,5,4
s054,4,6,4,7,4,5,5,4,3
s221,4,3,6,3,6,4,3,3,7
s114,5,1,4,4,5,2,5,4,6
s060,2,3,4,4,3,5,4,4,2
s027,4,3,6,4,4,4,3,6,4
s140,3,5,2,5,3,5,2,2,2
s321,4,2,3,3,4,4,5,2,4
s323,4,4,7,5,2,5,3,2,3
s298,5,4,1,6,1,6,3,6,4
s175,4,4,7,3,6,4,4,5,3
s241,4,5,4,5,3,3,5,3,4
s347,7,3,7,1,7,3,5,3,5
s262,5,4,3,4,3,5,3,4,3
s118,3,4,6,3,4,3,5,3,6
s247,5,6,2,4,3,7,3,6,4
s261,2,5,3,5,4,5,4,4,5
s265,5,4,4,4,5,3,4,3,2
s326,5,3,4,4,6,5,2,5,4
s235,3,5,2,5,4,4,3,6,3
s155,6,1,6,3,6,3,6,4,5
s253,3,4,2,4,2,4,4,4,3
s157,5,3,3,4,4,3,6,4,4
s201,3,4,4,2,4,5,1,5,4
s362,7,1,7,2,5,3,5,1,7
s121,4,5,3,6,4,4,5,3,4
s250,3,4,3,5,3,5,2,6,4
s342,3,3,4,6,6,4,3,5,5
s069,6,5,6,3,5,3,5,4,5
s006,4,3,2,4,5,4,4,3,4
s152,4,4,3,4,4,5,4,3,3
s275,NA,5,3,4,6,3,3,6,3
s111,3,1,3,3,5,2,4,4,1
s169,5,4,5,1,6,4,5,2,6
s177,5,5,5,3,5,4,3,4,6
s325,6,4,6,6,2,4,3,7,3
s080,4,3,2,4,4,4,NA,6,2
s138,4,3,2,4,4,5,6,6,3
s024,4,5,5,3,5,4,6,4,5
s078,5,2,3,5,4,4,3,4,4
s292,4,5,4,4,4,5,2,7,4
s328,3,6,4,4,4,5,4,7,1
s324,5,1,7,1,5,2,6,4,7
s093,6,2,5,3,6,5,4,5,5
s059,1,6,2,6,4,6,3,2,4
s145,4,3,3,5,5,3,3,3,5
s017,6,5,6,4,3,5,2,6,4
s186,4,3,5,3,5,7,3,5,4
s284,1,6,3,7,2,3,3,7,3
s109,4,6,5,4,5,7,3,6,4
s353,3,4,2,3,6,4,3,3,6
s031,4,4,7,3,7,3,4,4,4
s280,6,4,4,3,6,2,4,4,3
s125,5,3,4,7,3,5,3,5,6
s150,5,5,4,2,3,3,5,6,4
s021,3,5,5,3,5,5,4,7,5
s142,3,5,2,6,1,6,1,6,2
s099,3,4,4,5,4,7,3,6,3
s270,6,5,4,4,3,6,5,5,6
s172,5,3,4,5,4,4,3,5,3
s124,4,4,7,3,4,4,5,2,5
s286,6,2,5,4,2,5,3,4,3
s072,4,5,3,3,5,5,5,4,5
s291,3,6,4,6,6,4,3,6,2
s061,5,3,2,4,3,6,2,5,5
s351,4,7,2,5,6,6,4,6,4
s246,7,4,4,4,4,5,6,3,4
s333,4,3,5,5,5,3,5,5,4
s185,6,2,6,4,4,3,4,2,2
s009,5,4,3,4,5,2,4,4,6
s245,7,3,4,2,3,3,5,4,5
s277,2,4,4,5,4,6,4,5,6
s117,2,5,5,5,4,5,1,4,2
s066,3,NA,4,3,4,5,2,4,4
s100,4,4,5,3,4,4,6,7,3
s214,4,6,1,7,1,6,1,5,4
s274,7,3,4,4,3,5,2,5,3
s313,4,5,5,4,5,3,3,5,2
s065,3,7,3,7,4,5,1,5,1
s289,3,2,5,3,1,6,3,5,3
s001,6,1,5,4,5,3,6,1,6
s154,5,4,4,4,4,3,6,3,6
s130,3,5,3,4,5,6,2,7,4
s303,4,3,5,4,5,4,5,2,2
s014,5,4,5,5,4,5,3,3,3
s040,6,4,2,6,3,7,3,7,2
s363,4,5,5,1,7,5,4,1,2
s278,6,3,4,3,4,6,5,4,3
s038,5,4,3,4,4,5,6,2,4
s364,3,5,4,5,4,3,4,4,3
s367,4,5,4,5,4,4,4,5,3
s045,5,1,7,1,4,4,5,3,4
s340,3,3,3,3,6,5,3,5,3
s272,5,4,3,1,4,5,3,5,2
s372,5,4,5,4,5,7,3,4,3
s062,5,4,5,1,3,2,4,4,5
s281,5,6,3,4,4,4,3,4,4
s371,3,2,4,4,3,5,5,5,2
s153,4,4,3,4,5,5,5,3,5
s171,7,4,4,3,4,4,2,1,4
s047,6,3,6,4,4,2,5,3,4
s188,4,5,4,4,5,6,4,3,4
s302,6,5,4,3,3,3,1,5,3
s315,1,4,4,4,3,6,2,5,1
s330,7,1,7,4,6,5,4,3,4
s018,6,4,5,3,5,4,6,2,5
s022,3,3,5,4,4,3,3,4,6
s209,4,7,3,6,3,7,2,7,5
s251,3,7,2,6,3,6,1,6,3
s335,3,4,4,5,4,5,4,7,4
s248,6,1,5,5,7,2,3,4,4
s317,4,5,4,4,4,4,4,4,4
s331,5,5,2,4,4,7,2,5,5
s168,5,5,2,5,5,6,4,6,3
s239,4,5,5,6,6,5,3,5,3
s305,6,5,4,4,4,7,3,4,3
s256,5,5,5,5,3,5,3,7,2
s070,6,6,1,6,1,6,1,4,2
s350,5,3,3,3,2,3,5,4,7
s115,5,4,4,4,6,4,3,4,3
s174,5,4,4,3,4,2,2,4,4
s088,4,5,4,4,4,7,3,5,1
s041,5,5,5,3,4,3,3,6,4
s048,6,1,6,2,7,3,7,4,7
s091,4,5,4,5,4,6,4,7,6
