subj_id,q1_F,q2_R,q3_F,q4_R,q5_F,q6_R
s291,6,2,5,2,7,1
s132,5,3,7,4,5,1
s126,7,2,6,1,6,2
s162,5,2,3,3,5,3
s332,7,2,7,4,6,1
s307,5,2,4,2,5,2
s166,4,3,4,3,3,5
s277,5,1,5,5,5,6
s301,4,2,1,7,3,7
s117,3,6,3,7,1,6
s078,3,5,4,4,4,6
s198,5,4,5,3,7,1
s147,7,5,4,3,4,3
s031,5,2,7,3,4,3
s107,3,4,4,6,4,4
s066,4,6,3,3,4,3
s095,5,3,4,4,4,5
s290,3,5,4,6,1,5
s316,4,4,2,6,2,4
s293,4,3,4,7,3,3
s214,5,2,5,4,6,4
s033,4,2,4,4,2,4
s202,5,1,7,3,5,1
s204,4,4,3,3,4,3
s042,2,6,3,6,4,4
s134,7,6,4,5,4,5
s139,4,2,6,3,6,5
s194,5,7,4,6,6,4
s127,6,4,6,5,4,5
s234,2,4,2,4,1,4
s173,5,1,4,6,4,3
s142,6,2,4,3,6,4
s075,4,3,4,5,4,5
s311,1,3,3,5,4,3
s312,4,3,4,6,3,3
s043,7,2,4,5,5,3
s209,7,4,3,4,5,3
s260,5,4,4,5,5,7
s012,1,6,6,3,3,5
s140,7,1,4,3,1,3
s211,3,5,3,4,2,6
s201,NA,5,1,6,1,4
s235,5,4,2,6,1,6
s073,5,6,6,4,3,3
s319,4,4,4,1,4,4
s115,4,3,4,3,6,4
s189,5,3,4,4,5,3
s020,4,6,4,4,3,3
s024,5,4,3,5,4,2
s080,4,7,4,6,2,4
s227,3,3,5,4,6,3
s155,7,4,7,5,5,1
s286,5,3,5,3,6,1
s026,1,5,2,5,1,4
s048,6,4,6,5,4,5
s182,5,6,3,3,2,2
