subj_id,F_q1,R_q2,F_q3,R_q4,F_q5,R_q6
s118,4,3,6,NA,6,3
s068,1,4,5,5,2,4
s018,4,1,4,4,2,4
s145,5,4,4,7,2,6
s211,3,3,4,3,4,1
s277,3,3,4,6,3,3
s026,6,1,5,4,7,2
s083,3,4,5,5,3,4
s249,6,7,5,4,3,3
s008,5,2,4,2,5,3
s069,6,1,2,5,2,5
s247,2,5,3,7,4,5
s033,5,2,5,2,7,2
s162,4,3,5,4,4,4
s039,3,5,3,5,4,3
s232,3,4,5,3,7,3
s027,4,4,3,6,4,5
s167,4,2,7,2,6,3
s279,6,2,5,4,5,1
s134,2,3,3,7,3,5
s017,6,2,7,4,5,1
s160,5,4,3,4,4,2
s252,7,3,5,4,5,2
s159,6,3,7,3,5,3
s210,3,4,5,4,3,3
s169,6,3,6,5,7,1
s295,3,7,2,6,4,4
s253,3,5,5,6,1,2
s111,3,2,4,4,3,5
s056,6,3,7,3,6,3
s085,5,1,6,2,5,5
s157,2,7,1,6,4,4
s079,5,2,6,1,4,1
s300,4,4,3,4,4,3
s019,4,6,6,5,3,3
s315,4,1,5,3,5,2
s075,5,1,6,5,5,4
s098,3,4,3,5,4,4
s299,4,5,4,6,4,3
s301,3,2,6,4,5,3
s203,5,3,5,5,4,3
s243,2,3,4,4,5,4
s304,3,3,3,6,3,4
s108,3,4,3,6,3,5
s012,6,1,5,4,3,4
s032,4,4,3,7,6,6
s088,4,3,5,6,3,2
s077,4,3,3,4,3,3
s261,3,4,2,4,5,5
s059,2,3,2,5,2,4
s202,3,1,4,7,5,5
s150,1,6,2,7,3,6
s283,3,3,4,4,5,5
s317,4,4,4,3,5,3
s292,5,2,7,4,4,2
s116,5,2,4,3,2,2
s241,4,5,6,5,4,1
s070,4,4,6,5,1,3
s137,NA,3,7,2,5,2
s204,4,5,1,7,2,6
s320,4,4,2,4,2,3
s128,4,1,7,4,5,2
s230,4,4,6,6,4,4
s226,1,6,1,7,3,4
s217,4,4,4,3,5,4
s193,2,6,5,6,5,3
s051,2,6,2,6,5,5
s163,4,5,3,5,4,3
s308,4,5,6,4,3,3
s131,3,3,3,5,5,3
s294,6,2,5,6,3,3
s257,4,6,4,7,2,5
s010,6,2,6,6,5,3
s093,4,3,4,6,7,4
s038,4,4,3,5,3,4
s272,4,2,5,5,5,3
s171,4,3,5,4,3,3
s165,4,4,4,3,7,3
s293,5,4,5,6,6,3
s124,3,1,3,4,5,3
s246,4,5,4,5,2,3
s161,3,1,2,3,4,2
s200,3,5,3,6,1,5
s114,2,3,5,6,3,3
s188,4,3,3,4,4,4
s173,3,4,2,5,1,4
s050,3,2,5,5,2,3
s095,6,1,3,3,5,1
s218,4,4,4,2,3,2
s191,5,3,4,4,3,6
s284,4,4,4,4,3,3
s235,3,3,4,2,5,2
s146,4,3,2,6,3,3
s130,5,4,4,5,4,5
s208,4,4,6,6,4,3
s158,1,3,NA,4,6,3
s164,3,4,3,6,3,6
s003,3,5,3,6,3,5
s199,3,5,6,4,2,3
s046,3,4,5,4,5,3
s143,4,3,6,4,6,3
s276,5,2,5,5,6,4
s248,4,1,5,4,4,4
s125,3,4,3,4,4,4
s192,5,4,4,4,5,2
s313,7,1,5,3,5,3
s028,3,5,3,7,2,4
s267,5,4,5,4,2,2
s196,5,1,5,5,5,4
s022,3,4,5,7,4,4
s049,5,2,5,4,5,1
s132,3,3,3,5,1,4
s034,3,1,3,6,5,4
s278,4,3,4,5,4,4
s014,3,2,4,3,3,4
s043,2,3,NA,5,4,5
s182,1,4,3,5,4,5
s290,4,2,5,5,4,4
s221,2,4,1,7,3,5
s021,1,4,3,4,6,3
s126,5,4,3,4,5,4
s168,2,3,3,6,3,2
s251,6,1,6,4,4,1
s273,3,5,2,7,2,7
s305,5,1,5,4,3,2
s287,6,2,7,5,5,4
s041,4,4,4,6,3,5
s198,4,1,5,4,5,1
s030,6,1,4,3,5,3
s087,5,2,6,3,4,3
s187,4,2,6,5,6,1
s129,6,2,5,3,4,1
s306,4,5,4,4,4,4
s011,4,4,7,5,4,1
s057,3,3,3,4,3,3
s084,2,6,3,4,5,3
s263,3,3,2,3,4,5
s029,4,5,5,7,3,4
s262,1,4,2,7,4,5
s064,5,1,7,4,6,3
s090,5,4,4,3,4,3
s183,2,2,3,6,3,1
s222,5,3,4,5,6,4
s117,3,4,3,6,4,4
s275,1,4,3,7,6,4
s285,1,5,2,7,4,4
s042,4,2,7,3,6,3
s242,3,4,4,5,3,2
s054,5,3,4,NA,4,4
s316,2,4,2,4,4,3
s155,4,5,4,6,4,2
s007,4,4,4,6,4,4
s094,4,3,6,5,3,4
s060,4,6,4,5,4,1
s229,5,5,6,4,4,3
s002,5,2,3,4,4,6
s297,4,3,4,5,4,3
s195,3,3,4,5,5,4
s186,4,4,4,5,2,5
s031,3,3,2,4,3,4
s036,4,NA,6,7,4,2
s144,3,5,2,7,4,5
s136,4,4,3,7,4,6
s296,2,3,4,6,3,5
s216,6,5,2,6,4,5
s099,3,4,2,6,2,4
s268,4,3,4,3,4,3
s190,4,4,5,4,3,3
s258,3,5,4,5,4,2
s140,1,4,1,4,4,6
s005,2,1,4,5,5,3
s100,6,2,5,3,5,2
s045,5,4,4,5,6,4
s013,5,3,5,4,3,6
s175,3,5,4,5,3,4
s223,5,4,3,4,4,4
s179,5,2,6,7,5,5
s255,3,6,5,4,3,3
s102,5,3,5,4,4,5
s120,2,3,7,4,5,2
s194,4,6,2,7,1,5
s097,4,3,5,4,6,3
s256,4,6,4,7,3,5
s149,5,1,3,4,5,1
s214,5,6,2,5,2,2
s023,4,4,5,3,6,1
s212,3,NA,3,5,4,5
s302,3,4,4,6,4,7
s215,3,2,6,1,4,4
