subj_id,F q1,R q2,F q3,R q4,F q5
s237,5,3,3,5,5
s217,5,5,5,3,5
s224,4,1,1,4,5
s209,2,5,4,3,5
s309,4,4,4,6,4
s327,3,3,3,5,3
s089,4,4,6,4,3
s059,4,7,1,4,3
s280,3,4,2,4,2
s098,1,6,4,3,5
s189,NA,5,3,4,4
s057,5,4,6,4,5
s109,2,4,5,3,4
s159,5,6,4,6,6
s265,2,4,3,7,4
s071,4,3,3,5,5
s314,6,2,7,NA,6
s041,4,6,4,6,4
s034,3,5,4,4,4
s040,3,1,6,1,5
s023,3,7,4,5,4
s212,3,4,3,6,2
s007,4,3,5,5,6
s162,5,5,3,4,4
s339,1,4,1,2,1
s015,6,4,3,5,4
s206,6,1,5,3,5
s077,4,5,3,6,2
s047,4,4,4,4,4
s184,1,5,1,4,2
s326,3,6,2,6,3
s140,4,6,5,2,4
s291,4,4,4,6,4
s143,7,1,7,1,5
s038,4,6,4,5,3
s340,4,2,5,4,6
s106,6,4,3,5,4
s093,5,6,2,5,4
s177,3,5,4,4,7
s297,2,4,2,3,4
s198,7,3,5,1,5
s062,4,1,6,1,7
s031,7,4,6,3,7
s076,6,4,5,3,4
s360,4,4,6,2,4
s008,2,5,3,5,4
s100,4,5,4,3,5
s180,2,7,2,7,2
s080,4,5,2,4,4
s352,2,4,4,6,4
s105,4,5,2,7,4
s296,3,4,3,7,3
s236,7,5,4,4,6
s346,3,6,1,7,1
s146,3,6,3,5,5
s242,3,1,6,2,5
s142,2,7,1,7,5
s310,4,5,3,5,6
s213,6,2,7,4,7
s101,4,5,4,3,4
s173,4,4,2,4,4
s347,5,2,5,2,6
s245,6,3,4,3,5
s264,5,3,NA,4,4
s010,2,7,4,3,4
s306,5,1,4,5,5
s273,4,5,6,5,2
s001,5,3,4,4,5
s169,4,4,4,3,2
s086,5,5,7,4,6
s201,4,5,4,5,6
s324,5,1,5,2,6
s333,3,4,4,4,3
s278,7,1,6,3,7
s331,5,2,7,3,7
s157,2,4,5,4,5
s256,3,4,3,4,7
s155,5,1,5,2,7
s119,4,4,3,3,4
s277,4,3,3,4,7
s112,1,3,3,7,3
s279,5,5,3,5,4
s078,2,7,1,4,2
s168,2,3,3,3,3
s220,6,4,4,4,6
s182,2,6,4,4,6
s012,5,3,3,6,5
s154,4,7,4,4,4
s167,5,3,5,4,7
s003,4,1,5,4,5
s006,7,3,3,3,6
s073,2,5,2,4,4
s257,2,5,4,3,4
s054,6,5,5,5,6
s035,3,4,5,3,5
s132,6,1,5,2,6
s049,4,3,4,4,4
s336,2,6,2,7,4
s234,3,4,3,4,4
s176,4,4,6,4,6
s229,5,5,4,5,5
s345,4,6,1,6,4
s131,7,1,5,2,5
s166,2,4,2,5,5
s070,3,4,3,4,5
s353,3,7,4,7,3
s036,3,4,3,4,4
s030,4,3,5,6,4
s066,3,3,5,4,4
s207,4,3,4,4,7
s235,4,4,5,4,2
s104,4,4,2,4,4
s063,4,3,3,5,4
s172,4,5,4,4,5
s144,2,5,3,4,5
s260,7,2,6,1,4
s316,2,6,2,5,4
s097,4,2,5,1,5
s037,5,4,6,4,5
s170,5,5,2,7,4
s156,5,3,4,4,5
s305,4,4,3,4,5
s304,1,4,2,4,4
s349,4,5,3,5,4
s150,4,5,2,4,3
s376,4,3,4,5,5
s099,5,5,6,4,5
s014,2,6,4,2,4
s043,6,3,4,4,7
s045,5,4,3,4,4
s284,5,4,2,3,5
s232,3,5,5,5,7
s208,2,5,3,4,4
s356,3,4,3,3,3
s241,2,6,2,5,1
s221,1,5,4,4,3
s369,4,5,2,7,1
s294,5,2,5,2,7
s064,3,6,5,6,4
s325,5,5,3,4,4
s148,3,3,4,6,5
s004,5,3,6,1,5
s281,6,1,6,2,5
s135,3,5,5,6,4
s298,4,4,6,7,4
s218,3,5,3,5,5
s251,3,4,2,5,3
s259,6,5,3,3,5
s042,3,3,4,6,3
s262,NA,5,3,5,7
s320,3,4,5,4,4
s137,5,4,3,3,4
s335,6,5,3,7,3
s205,1,6,1,5,3
s126,3,6,4,5,4
s231,3,4,4,5,5
s210,3,6,2,6,3
s344,5,2,6,1,7
s178,3,2,4,7,4
s370,5,4,6,4,3
s021,7,3,4,4,5
s341,4,5,1,4,5
s130,2,6,3,6,4
s337,4,3,5,3,2
s149,2,5,6,6,1
s160,3,1,3,4,4
s233,4,4,2,4,5
s364,5,5,4,4,6
s090,3,6,4,3,2
s151,4,3,7,5,7
s192,4,5,4,4,5
s271,5,3,4,1,5
s267,6,3,4,3,7
s290,5,3,4,4,5
s330,5,5,1,6,4
s343,5,4,5,1,5
s240,5,1,3,2,6
s321,4,7,3,7,3
s060,3,3,4,4,4
s094,3,3,2,4,1
s322,4,4,5,4,4
s028,3,5,3,5,4
s359,4,3,6,3,4
s365,5,3,3,4,4
s061,4,4,3,4,6
s194,3,5,6,3,7
s191,6,6,2,4,3
s227,3,7,3,4,3
s361,4,3,5,4,4
s005,2,6,2,5,4
s183,3,4,4,7,5
s188,4,5,4,5,4
s202,2,7,1,5,4
s288,1,4,4,4,5
s163,4,4,3,4,4
s055,6,1,7,1,7
s072,5,5,4,6,3
s244,4,5,5,4,5
s075,5,2,5,1,6
s174,7,2,6,1,6
s002,5,4,2,2,5
s243,5,4,4,4,4
s120,2,4,2,4,3
s107,3,3,3,3,4
s020,6,4,5,4,6
s022,1,4,3,7,4
s118,7,1,5,1,5
s065,2,5,4,6,6
s238,4,3,3,5,4
s246,4,5,3,5,5
s342,2,3,3,3,5
s348,3,5,3,4,3
s350,4,2,3,4,3
s332,4,4,5,3,4
s275,3,6,2,5,4
s354,2,4,2,5,2
s084,NA,3,5,1,5
s139,3,4,1,2,5
s200,3,4,6,3,5
s048,5,4,4,4,3
s195,4,1,6,4,6
s125,3,6,2,5,5
s371,4,5,3,6,3
s258,4,3,4,2,5
s375,4,3,2,6,6
s301,2,3,4,3,6
s091,4,4,4,5,4
s266,5,4,4,2,4
s269,3,5,3,4,3
s117,6,3,3,5,7
s187,2,4,2,7,3
s092,4,2,6,1,6
s114,3,3,2,4,4
s247,5,1,5,4,6
s334,NA,6,4,6,4
s102,4,2,1,5,3
s283,4,4,2,4,5
s019,3,4,4,4,5
s025,5,4,5,2,6
s276,5,3,7,1,6
s193,1,5,2,5,4
s074,4,3,4,2,4
s016,5,4,4,4,5
s044,4,2,2,2,6
s115,4,4,5,3,6
s171,1,2,5,6,4
