subj_id,q01-F,q02-R,q03-F,q04-R,q05-F,q06-R,q07-F,q08-R,q09-F,q10-R,q11-F
s065,5,2,5,2,4,4,5,2,4,4,7
s133,4,5,3,6,4,5,4,5,4,7,3
s075,4,6,5,4,5,4,4,5,5,5,5
s149,5,4,6,2,6,4,4,3,3,4,6
s145,5,4,5,4,7,1,5,4,6,4,6
s203,3,4,4,5,6,5,4,4,3,5,5
s276,3,5,5,6,2,5,2,5,4,5,4
s351,1,6,2,7,5,7,2,6,3,5,3
s327,5,3,6,3,4,2,4,3,6,5,6
s150,7,4,6,3,5,2,5,3,5,3,5
s159,3,5,6,4,5,2,3,4,4,2,5
s207,5,4,6,3,5,4,5,5,4,3,4
s141,6,4,2,2,4,2,2,2,5,3,4
s318,2,5,6,6,NA,4,3,2,4,3,5
s243,4,6,4,6,3,4,5,4,3,6,3
s232,4,1,7,3,7,3,7,4,5,1,5
s184,4,4,3,5,4,3,2,6,3,3,5
s334,5,6,7,6,3,3,1,5,5,3,5
s183,4,5,2,5,5,4,3,4,4,4,3
s323,3,3,6,4,6,1,3,3,4,4,6
s324,7,4,3,4,4,1,5,5,6,2,4
s044,6,5,3,7,5,5,3,5,3,5,5
s380,3,6,6,3,4,4,3,6,4,5,3
s355,2,5,4,6,2,7,3,4,3,4,4
s219,4,7,2,4,3,7,3,5,2,4,1
s095,4,4,6,4,7,2,7,4,5,2,4
s046,6,3,6,3,6,1,7,3,4,2,6
s282,4,6,3,5,4,3,2,6,4,4,2
s111,6,6,4,6,3,3,3,5,4,5,4
s005,5,4,3,4,4,4,4,4,2,6,4
s364,4,4,5,3,5,3,6,5,4,7,2
s194,1,4,4,5,3,3,2,5,5,6,4
s132,5,5,3,6,4,4,4,7,5,4,3
s191,5,4,4,5,5,4,2,7,6,2,6
s381,3,6,4,7,4,7,4,4,1,6,2
s299,5,5,5,5,2,3,3,4,2,6,3
s206,4,3,NA,1,5,5,5,4,2,4,4
s116,5,6,4,5,5,4,6,2,4,5,5
s287,4,5,4,6,3,5,4,1,5,4,4
s189,4,5,1,7,4,5,3,5,5,3,3
s187,3,6,4,6,3,6,4,4,3,4,4
s360,5,4,6,5,3,2,5,5,3,4,4
s100,6,4,5,4,4,2,3,4,4,5,7
s182,5,4,3,4,4,4,4,4,5,4,5
s208,4,4,4,3,7,3,3,2,6,4,5
s248,4,6,5,4,4,4,3,3,3,6,4
s118,5,1,5,5,7,2,4,3,5,4,7
s029,5,7,4,5,4,4,2,2,3,4,4
s292,7,4,6,3,6,2,5,5,4,3,7
s192,4,4,3,4,5,6,1,5,6,3,4
s088,6,5,6,5,7,4,4,4,4,3,4
s195,4,3,5,3,5,3,NA,4,4,3,5
s151,3,5,5,4,3,5,5,6,1,4,2
s329,5,4,5,5,5,5,3,4,1,4,7
s308,6,4,5,4,7,1,6,1,5,3,7
s328,5,4,5,1,7,4,2,5,5,3,6
s004,4,4,3,5,5,4,2,5,4,3,3
s003,3,2,4,3,5,3,3,5,3,4,6
s264,2,5,5,5,4,5,3,5,1,2,5
s253,3,6,2,5,5,5,4,4,6,3,3
s347,6,1,4,5,6,2,4,6,4,3,4
s237,4,4,5,7,4,5,4,7,4,1,2
s223,7,3,6,2,6,2,5,1,5,5,7
s338,5,3,6,4,4,4,5,2,4,4,6
s242,5,6,5,7,2,6,3,4,4,4,5
s169,4,5,3,4,5,5,2,3,4,4,3
s250,4,4,3,7,4,4,3,7,2,5,5
s155,4,5,4,4,3,6,4,5,2,5,2
s167,4,5,5,4,5,2,3,2,4,3,6
s166,3,7,2,4,5,4,1,4,2,7,5
s333,2,5,3,4,6,5,3,6,3,3,5
s309,3,4,5,7,3,4,2,4,4,7,2
s080,5,2,4,5,4,3,1,4,4,6,4
s342,4,5,3,3,4,5,3,2,5,3,5
s062,4,4,4,4,4,4,4,7,4,5,3
s081,4,6,5,4,5,4,2,6,3,6,2
s137,4,4,5,5,4,4,7,5,5,5,3
s369,4,4,4,5,3,5,6,5,4,4,6
s307,2,5,6,4,4,5,1,4,5,4,4
s101,2,6,4,5,5,6,5,3,5,6,2
s305,4,4,4,4,6,3,5,4,4,5,6
s372,7,5,5,2,7,3,2,3,4,4,5
s070,6,5,2,5,3,4,2,3,4,3,5
s135,2,3,2,7,5,4,4,4,2,3,4
s076,1,7,3,7,3,4,2,7,3,6,1
s041,7,4,4,4,4,5,3,3,3,4,4
s357,5,5,5,5,5,3,5,5,2,5,5
s361,3,3,6,3,7,3,6,4,3,2,5
s011,3,6,3,4,4,5,2,4,3,5,3
s178,3,6,4,7,5,3,6,5,3,4,4
s256,4,5,5,7,4,4,3,5,3,6,5
s346,4,6,4,5,4,3,6,7,3,4,7
s163,4,6,5,5,4,6,3,7,3,4,4
s015,4,7,2,7,3,4,4,5,1,6,5
s366,5,1,3,4,6,3,6,4,5,4,5
s212,3,6,7,2,4,5,4,3,6,4,4
s018,3,5,3,3,5,4,6,4,6,4,5
s263,4,2,5,4,4,3,5,5,6,3,5
s071,4,4,1,4,7,5,4,3,5,4,4
s258,4,3,4,7,5,5,2,3,5,3,5
s148,5,7,4,6,2,4,5,5,4,3,4
s027,4,2,6,NA,4,4,5,3,5,3,5
s302,3,6,4,3,5,5,4,5,4,6,NA
s235,4,4,5,6,4,5,1,5,4,3,5
s180,4,5,3,4,5,3,3,3,3,5,5
s281,5,5,5,4,6,4,4,2,4,5,4
s153,4,5,7,3,4,5,3,4,2,7,5
s279,4,4,3,4,4,6,5,6,3,5,5
s352,2,6,3,5,1,4,2,4,1,6,3
s296,4,4,3,6,5,6,4,5,3,5,4
s021,5,6,4,4,4,7,4,4,4,4,3
s119,5,5,4,3,6,2,7,4,4,3,7
s227,7,5,4,5,3,3,6,4,4,3,4
s170,7,5,6,3,5,1,5,4,4,4,5
s113,6,4,7,5,7,3,6,5,4,3,4
s230,4,5,4,6,2,2,4,4,2,5,5
s096,3,5,3,5,5,4,1,6,2,5,3
s228,1,6,2,7,4,1,4,6,5,6,3
s106,3,7,3,5,5,3,3,3,3,4,5
s314,4,6,4,4,5,4,5,7,4,3,5
s295,4,6,3,5,6,5,3,6,3,5,4
s138,4,6,4,4,4,5,4,4,6,3,4
s094,4,5,4,7,4,2,4,7,4,5,2
s252,3,5,3,5,2,6,3,4,3,6,2
s341,4,6,5,4,4,3,6,3,3,5,4
s267,6,3,5,3,3,2,4,7,6,4,5
s130,4,4,5,3,4,2,4,4,7,3,4
s376,3,4,4,1,4,4,3,4,5,3,6
s122,5,5,4,4,6,5,3,3,7,4,3
s301,4,3,4,4,7,2,3,3,NA,6,5
s371,4,5,4,4,3,5,1,6,2,7,3
s091,4,5,4,5,2,4,1,5,3,7,4
s112,2,4,6,4,4,4,1,3,4,5,4
s221,4,4,6,6,4,5,5,5,5,7,3
s254,2,2,3,2,5,3,6,4,4,2,4
s291,3,4,1,6,3,6,1,6,3,4,4
s024,2,5,3,4,3,4,3,6,2,4,4
s225,4,6,4,7,2,4,5,3,5,NA,5
s140,5,7,3,7,2,7,3,7,1,7,4
s368,5,7,5,5,5,5,2,1,3,6,5
s058,2,5,5,3,4,5,3,5,NA,3,4
s378,5,3,4,3,6,2,5,4,6,2,7
s337,4,4,4,4,4,4,3,4,5,4,6
s043,6,5,4,6,4,4,1,6,2,3,3
s278,6,5,NA,3,5,5,3,4,5,3,6
s332,5,2,5,4,5,5,2,4,4,6,5
s016,4,3,5,3,4,4,5,6,4,6,2
s275,5,4,5,6,5,4,3,3,3,5,5
s265,5,6,4,7,4,3,5,4,4,5,4
s054,4,5,4,5,4,4,3,6,3,7,5
s012,3,5,3,4,4,3,3,5,3,7,5
s107,1,5,1,7,5,6,2,7,2,5,5
s068,4,6,3,3,5,5,4,2,4,2,7
s321,4,7,5,5,3,4,4,6,3,4,2
s142,7,2,7,1,6,2,5,3,5,5,7
s330,3,5,5,4,6,4,5,3,4,4,5
s317,6,3,4,4,6,4,5,2,4,3,6
s297,4,6,4,4,3,3,3,2,3,3,5
s303,2,6,1,5,4,5,3,2,2,4,2
s365,4,4,5,5,5,3,5,3,4,4,7
s340,4,4,4,6,3,4,1,7,2,3,3
s063,4,4,6,6,4,1,2,2,7,4,5
s067,4,5,5,6,5,4,3,4,7,4,6
s165,5,1,6,5,6,2,4,6,5,4,4
s007,4,5,3,5,5,4,2,4,5,3,4
s379,4,5,2,4,4,4,5,6,5,2,3
s022,7,4,3,6,5,5,3,3,4,3,4
s154,4,3,4,3,7,3,4,3,5,4,7
s117,6,4,6,4,6,3,6,4,4,3,4
s285,1,5,4,3,4,4,3,4,6,4,6
s176,3,7,1,7,4,7,1,7,1,6,4
s036,3,7,5,6,4,5,1,6,2,7,5
s222,3,6,4,4,4,4,4,4,4,5,7
s017,7,6,6,1,5,1,4,5,6,1,7
s057,5,4,6,4,6,2,4,4,4,4,4
s039,3,6,5,5,3,7,4,6,4,6,4
s262,4,6,1,4,5,4,2,7,3,4,5
s306,4,3,NA,7,5,5,4,3,2,6,5
s247,4,3,4,7,4,6,3,5,5,5,3
s367,5,4,5,1,5,5,6,3,6,4,6
s211,4,3,4,5,4,1,5,4,5,3,4
s190,4,5,3,7,4,5,4,5,3,6,4
s115,4,4,2,7,4,5,4,5,3,2,7
s014,7,5,4,5,4,2,4,4,4,5,4
s280,4,2,3,4,5,4,3,4,5,7,5
s171,3,7,3,7,2,7,1,6,2,5,1
s139,2,5,5,3,5,4,4,5,4,6,5
s143,NA,7,4,6,1,5,2,4,4,7,3
s350,6,4,5,3,5,3,6,4,6,3,4
s274,6,3,4,5,7,3,2,3,4,4,4
s300,6,4,5,4,6,5,4,3,4,5,5
s202,5,4,7,3,4,1,5,3,3,4,5
s158,5,5,5,3,5,3,4,3,4,6,3
s050,6,5,2,2,4,4,4,3,4,5,6
s072,4,4,7,3,4,4,6,2,4,2,5
s053,5,5,2,4,5,4,3,4,5,4,7
s349,5,4,4,3,4,3,2,3,4,5,4
s128,1,5,3,6,5,4,3,5,5,6,6
s363,6,4,5,5,4,5,3,3,4,5,4
s061,2,3,5,7,5,2,4,2,6,4,5
s181,3,4,4,5,4,3,3,4,4,3,5
s099,4,4,1,6,4,5,1,7,3,6,3
s090,4,4,7,3,5,4,3,4,5,3,4
s188,3,5,3,6,2,5,3,3,NA,5,4
s179,2,5,5,3,4,5,1,4,3,6,4
s164,4,4,3,7,4,5,3,4,2,5,5
s344,3,4,5,5,4,4,3,4,2,5,5
s259,4,4,3,4,4,3,4,4,6,4,4
s033,3,6,5,4,6,3,4,5,3,6,4
s013,5,3,5,7,5,4,7,5,6,3,3
s331,5,3,5,3,4,3,6,4,6,4,6
s160,7,4,7,4,5,2,6,4,6,4,7
s121,4,3,4,2,4,4,4,6,4,6,4
s320,6,6,6,3,5,4,4,4,7,4,7
s310,5,4,3,4,6,4,2,4,4,6,4
s233,5,5,3,4,4,4,1,4,4,5,1
s244,6,4,5,3,6,1,6,5,2,3,4
s236,2,5,6,4,4,4,4,3,5,6,7
s108,4,4,6,4,7,5,6,5,3,7,5
s268,3,4,5,4,5,6,3,4,3,6,6
s020,5,3,4,6,7,5,5,3,4,5,4
s193,4,5,5,5,5,3,4,4,4,5,3
s131,3,7,4,7,5,5,4,3,2,7,3
s103,5,6,1,7,4,6,3,5,1,5,4
s074,7,2,5,4,4,2,7,2,7,1,7
s269,4,3,4,4,1,3,3,4,5,3,7
s034,5,3,3,3,6,5,2,5,2,6,5
s109,4,3,3,7,4,3,4,4,2,4,5
s322,5,5,7,4,5,3,4,4,5,3,5
s234,4,5,4,4,6,4,1,4,4,2,5
s354,6,3,5,4,7,3,5,3,4,1,5
s326,7,1,7,1,7,1,7,1,6,2,7
s173,5,4,5,4,4,4,6,4,5,5,5
s374,7,2,3,4,7,1,7,1,7,2,6
s006,3,4,4,7,5,5,4,4,3,4,4
s362,5,5,4,7,4,4,5,6,4,3,7
s353,5,7,3,5,3,4,1,5,3,5,2
s359,4,4,5,6,3,4,2,5,4,5,5
s199,4,6,4,7,2,3,2,3,3,6,3
s229,6,4,5,4,3,4,2,3,5,4,4
s019,5,6,3,4,4,5,2,7,3,4,6
s288,7,1,4,3,6,4,5,2,7,4,5
s098,6,3,7,3,6,4,6,3,7,3,7
s313,3,5,3,6,4,5,4,4,4,5,5
s209,6,4,6,3,4,1,3,3,6,5,6
s125,6,6,3,6,5,3,4,4,3,4,2
s097,6,5,2,3,6,4,5,4,5,1,5
s102,5,6,6,5,6,2,4,5,3,6,3
s290,5,4,5,2,7,2,3,4,6,3,6
s216,3,4,4,6,5,3,3,4,3,4,4
s298,5,6,4,7,4,4,1,4,1,3,4
s217,3,6,5,5,5,3,3,4,2,5,4
s026,6,2,4,3,4,2,3,3,4,4,5
s257,5,6,4,5,6,5,4,4,2,5,4
s293,6,3,6,3,7,3,6,4,5,3,7
s037,4,6,7,4,4,4,5,3,4,4,7
s051,4,6,4,4,4,NA,3,7,4,4,4
s277,6,4,5,5,4,4,4,3,4,6,4
s197,7,2,3,2,7,2,6,3,5,1,7
s008,5,4,5,1,7,1,6,2,6,2,7
s375,4,4,5,6,4,4,4,7,3,5,7
s069,4,5,5,7,4,3,5,7,3,3,2
s238,4,6,2,7,4,4,3,5,3,7,4
s152,4,5,4,5,2,5,1,7,3,7,2
s356,4,2,5,2,5,3,2,4,6,3,6
s105,4,1,5,3,7,1,5,2,5,1,5
s304,7,7,4,4,6,3,3,3,4,4,4
s123,3,6,3,6,NA,6,2,5,4,5,5
s174,3,6,4,5,6,5,2,6,1,6,3
s286,5,4,4,5,3,4,4,4,7,4,3
s056,3,5,1,6,3,4,4,7,2,6,3
s157,3,7,2,7,4,7,3,4,3,7,5
s319,7,5,5,6,7,3,3,4,4,4,6
s035,5,5,4,5,2,2,3,4,3,4,5
s316,2,4,2,6,4,4,1,4,3,4,3
s001,4,3,5,3,7,2,3,4,4,5,7
s315,1,5,2,6,3,5,1,5,2,7,1
s045,5,5,5,3,4,5,3,5,4,4,6
s240,5,5,3,6,5,4,4,4,4,2,2
s175,4,3,2,5,3,4,3,5,3,3,5
s220,4,4,4,4,4,5,4,4,3,4,3
s261,3,6,5,4,5,5,3,4,2,2,3
s082,5,3,4,NA,7,4,3,4,6,4,6
s241,6,1,6,4,7,1,7,6,5,2,5
s134,6,4,4,5,5,3,4,4,4,3,3
s255,4,4,7,3,4,4,2,3,3,4,4
s231,4,4,5,5,4,2,5,3,6,3,5
s201,5,4,4,5,3,4,4,7,2,NA,5
s226,5,3,6,2,6,4,5,3,6,2,7
s168,4,4,4,4,6,4,4,1,7,2,4
s200,3,7,1,7,6,4,2,6,1,5,5
s136,4,4,4,5,5,5,4,3,4,5,4
s213,7,3,7,3,6,1,5,2,5,1,7
s270,6,1,6,4,5,3,5,3,6,2,5
s059,4,5,2,5,4,3,5,5,4,5,4
s010,3,5,4,5,4,2,3,4,4,6,3
s272,5,3,4,5,5,1,5,5,3,5,7
s085,6,4,5,4,5,4,5,2,2,3,6
s335,5,5,5,4,6,4,4,1,3,6,4
s087,4,3,2,5,6,4,7,4,NA,5,4
s273,5,5,5,3,5,3,5,5,4,5,5
s126,5,4,7,5,5,2,5,4,2,4,4
s161,4,6,5,4,4,5,2,4,3,4,5
s047,5,5,4,4,1,4,6,4,2,3,6
s084,5,3,5,3,4,4,4,2,3,4,3
s294,6,4,4,6,6,4,4,5,2,4,3
s177,4,6,4,4,6,4,2,4,4,3,5
s073,4,4,5,5,4,4,4,5,4,5,4
s124,6,3,7,4,6,1,3,3,5,4,6
s064,5,5,5,4,4,4,4,5,3,4,5
s146,4,3,6,4,5,3,1,3,7,2,6
s023,2,5,7,4,4,2,2,4,3,4,4
s358,4,4,7,3,4,3,4,1,5,3,4
s078,6,4,4,5,7,4,3,5,3,6,4
s110,3,3,4,4,4,1,4,5,4,4,4
s028,5,3,2,5,5,5,4,4,4,4,3
