subj_id,F-q1,R-q2,F-q3,R-q4,F-q5,R-q6,F-q7
s181,4,4,3,4,3,5,4
s037,5,2,5,3,6,1,5
s239,4,4,6,3,5,2,4
s059,3,4,4,4,2,5,3
s017,4,1,6,4,5,4,7
s012,3,5,4,4,3,4,3
s348,5,1,3,1,4,5,3
s290,4,1,3,4,6,3,4
s133,4,4,6,4,4,6,4
s308,4,1,3,2,4,4,4
s157,3,4,6,4,6,2,4
s283,2,7,4,5,4,4,3
s151,5,4,3,5,3,4,5
s300,4,4,4,4,5,1,4
s289,4,5,3,2,6,7,4
s307,6,3,5,3,5,3,6
s156,1,4,4,5,2,4,5
s213,4,3,4,3,5,2,7
s097,5,2,6,4,4,3,6
s008,3,5,4,4,2,7,4
s259,4,4,1,7,1,7,1
s309,4,2,5,3,6,2,6
s234,2,5,1,6,2,7,2
s076,4,3,5,3,7,2,5
s086,5,4,4,4,3,4,5
s167,4,2,3,3,6,2,6
s063,5,3,6,2,4,2,6
s298,5,1,6,1,4,3,5
s051,5,4,5,3,4,4,3
s324,2,3,2,3,6,2,4
s128,4,5,3,4,3,4,2
s079,5,4,7,1,6,3,7
s101,3,4,4,2,5,7,5
s193,3,4,4,4,5,4,3
s182,3,4,4,3,4,4,4
s268,4,1,4,6,2,4,4
s043,3,3,4,4,3,5,6
s244,2,6,3,3,4,4,4
s011,3,4,5,4,7,4,4
s271,5,1,6,2,6,3,6
s031,4,3,6,3,4,3,5
s312,5,4,2,3,5,3,3
s067,4,3,2,1,5,5,4
s221,2,5,4,4,4,1,4
s320,6,1,2,4,5,2,6
s137,2,5,1,7,1,6,2
s171,4,2,4,5,5,4,3
s255,6,3,4,4,4,1,5
s226,3,4,4,4,5,4,5
s117,5,5,4,2,4,4,5
s327,4,2,2,5,5,5,6
s198,4,6,4,4,3,2,4
s042,4,4,2,7,3,4,2
s179,6,1,7,2,5,3,5
s029,4,4,3,4,4,4,5
s014,4,6,2,4,3,4,5
s218,4,6,4,3,3,4,5
s026,3,3,3,5,4,7,4
s303,4,2,7,2,4,1,5
s299,1,2,4,4,4,4,4
s288,5,2,7,3,6,2,7
s269,4,3,4,6,4,4,2
s091,5,3,2,4,4,1,4
s343,6,3,1,5,3,1,3
s316,5,7,5,7,1,7,3
s132,6,3,4,1,5,3,6
s118,2,3,5,2,4,3,5
s275,5,1,3,2,2,3,NA
s001,2,5,2,4,3,6,5
s149,6,5,4,4,4,2,3
s185,4,4,4,5,3,5,2
s238,4,4,3,3,5,6,3
s258,3,2,1,4,4,7,5
s314,NA,6,2,5,5,3,4
s186,4,4,4,4,5,3,7
s040,4,3,3,4,3,6,3
s055,4,2,3,1,4,3,7
s321,3,4,2,5,4,4,5
s177,4,5,7,1,6,3,2
s052,3,6,4,4,4,4,4
s006,4,1,4,4,5,2,4
s154,1,6,1,6,2,6,1
s054,6,2,3,3,6,2,1
s087,4,5,5,4,5,4,3
s142,5,4,4,3,4,5,4
s205,2,2,3,4,5,4,2
s253,1,6,3,6,3,4,4
s130,4,4,2,6,3,4,4
s325,2,3,3,5,5,4,5
s252,3,5,2,5,3,5,4
s256,7,1,5,3,5,3,5
s214,3,3,1,3,4,3,5
s318,2,3,4,6,3,3,6
s081,4,3,3,3,3,6,5
s240,3,2,4,1,7,2,6
s329,4,2,3,5,4,4,3
s220,1,7,2,7,3,7,1
s274,3,4,4,3,2,4,NA
s173,2,3,4,4,4,4,6
s260,5,4,4,2,6,2,5
s319,4,3,3,3,4,4,5
s159,4,NA,3,4,4,4,3
s243,4,2,2,2,4,2,4
s273,3,4,3,5,3,5,2
s328,7,2,7,1,7,1,7
s206,4,5,4,4,2,4,4
s322,7,3,3,3,5,3,6
s204,6,1,4,2,7,4,6
s113,3,5,2,4,3,4,4
s292,4,2,4,4,7,3,5
s004,2,5,3,5,3,6,4
s169,2,7,3,7,2,7,3
s305,6,2,6,4,5,5,5
s123,2,5,2,5,6,3,5
s105,3,4,3,4,4,5,2
s196,2,3,5,4,3,3,4
s048,4,4,5,NA,3,6,5
s280,5,2,6,3,6,4,7
s027,4,6,4,5,4,4,5
s089,5,3,5,3,5,3,5
