subj_id,q1_F,q2_R,q3_F,q4_R,q5_F,q6_R
s311,4,7,3,6,5,6
s225,4,4,2,3,3,6
s272,4,5,1,5,3,4
s296,4,6,4,4,NA,5
s391,4,3,3,4,4,5
s018,1,7,2,4,3,5
s347,5,3,3,3,5,4
s184,5,3,6,1,7,6
s084,4,5,2,7,4,4
s146,6,1,4,3,6,4
s247,2,6,4,4,6,3
s009,5,7,5,1,5,3
s194,3,2,6,2,6,6
s351,4,4,3,4,5,7
s083,7,5,4,3,7,3
s343,2,6,5,4,7,4
s012,3,6,2,6,2,5
s344,2,6,2,6,4,6
s177,3,6,1,7,6,6
s192,4,3,3,5,4,5
s386,5,3,5,5,4,4
s221,3,5,6,4,5,4
s080,2,5,1,7,4,7
s148,4,3,4,3,6,4
s029,3,3,2,4,4,4
s108,2,5,1,5,5,5
s265,4,5,2,3,4,4
s338,4,1,6,2,5,1
s193,3,3,4,5,5,6
s368,5,4,6,2,7,4
s285,7,4,3,3,5,5
s196,5,5,2,3,4,3
s027,4,5,4,4,4,5
s103,4,4,5,4,4,5
s038,1,3,4,3,6,3
s019,7,2,5,1,6,2
s157,3,3,7,4,6,3
s021,2,5,3,4,5,4
s063,4,4,4,3,6,5
s348,3,3,2,4,4,6
s183,4,4,5,2,5,2
s092,5,6,1,5,4,4
s048,5,5,4,3,4,3
s046,5,4,4,2,6,4
s266,4,4,3,5,4,3
s039,3,4,3,7,4,6
s040,2,3,4,7,3,5
s001,5,2,7,2,7,2
s199,4,4,4,3,4,3
s036,1,6,1,4,3,7
s076,4,4,3,5,5,5
s142,7,5,5,4,4,2
s124,5,4,4,3,2,4
s286,3,3,4,4,6,2
s020,1,4,3,4,5,5
s041,3,7,5,2,5,6
s112,3,3,2,2,6,2
s125,4,3,4,3,5,4
s186,3,4,3,3,4,4
s062,7,2,2,4,4,3
s058,5,4,4,3,6,3
s294,4,1,3,2,4,5
s206,5,4,3,3,6,4
s070,4,5,5,3,5,5
s025,2,4,4,1,6,1
s211,4,3,6,2,7,2
s095,4,3,5,1,3,4
s077,4,5,4,3,7,2
s099,4,4,3,4,6,3
s033,4,4,2,4,7,4
s128,1,6,2,4,7,6
s282,6,3,5,2,7,3
s215,4,4,3,4,7,4
s248,4,4,3,4,5,4
s329,6,3,4,4,2,5
s345,5,2,5,2,NA,4
s022,4,5,4,3,4,5
s379,2,7,5,2,5,5
s168,5,4,2,3,5,7
s229,3,4,3,3,4,5
s026,2,4,3,5,6,5
s314,3,4,4,4,6,4
s035,2,3,3,1,4,3
s172,3,3,3,5,5,6
s340,2,4,4,3,4,3
s278,4,3,4,3,6,4
s222,5,4,3,4,4,3
s331,5,5,2,4,4,3
s042,3,7,4,5,3,4
s129,2,4,3,5,5,3
s130,3,4,3,3,3,1
s361,4,3,5,3,4,3
s224,2,2,3,3,5,4
s107,2,4,1,5,NA,5
s134,4,5,2,4,5,4
s270,5,5,3,5,4,5
s281,3,2,NA,2,4,4
s016,2,7,5,4,4,6
s236,5,3,4,3,5,6
s200,3,6,4,5,3,6
s023,5,4,3,3,4,4
s116,2,5,1,7,2,5
s085,4,2,4,6,4,3
s227,4,6,1,4,5,5
s259,4,5,3,4,4,4
s094,4,4,5,3,6,6
s165,5,4,4,2,7,5
s152,3,6,2,7,2,7
s268,3,2,4,4,5,4
s252,4,2,5,1,6,4
s051,4,5,6,2,6,4
s226,4,4,3,4,3,4
s255,2,5,3,5,4,6
s220,3,5,1,5,3,4
s364,4,5,4,3,5,5
s253,2,5,2,7,5,7
s378,4,4,6,3,6,4
s300,3,2,2,1,6,3
s375,3,5,6,4,6,2
s181,5,5,4,5,5,5
s293,2,4,5,4,4,1
s030,1,6,2,5,3,4
s137,1,7,2,2,5,6
s308,2,6,3,5,6,6
s269,1,5,1,6,6,5
s306,3,4,4,4,6,5
s210,1,4,2,5,4,5
s087,4,5,2,3,7,4
s366,3,5,3,4,4,3
s167,3,5,3,3,4,5
s052,2,5,3,4,4,3
s176,NA,2,3,4,5,4
s045,4,3,5,3,4,4
s160,1,5,2,5,4,5
s373,5,4,2,3,5,3
s277,4,7,4,5,5,3
s187,3,4,4,3,5,5
s185,2,2,2,5,7,6
s257,4,4,5,4,4,3
s383,2,6,2,4,4,4
s151,3,2,4,4,5,4
s376,1,5,5,5,6,5
s326,4,6,5,5,3,5
s238,1,7,2,5,3,7
s217,4,3,4,3,7,2
s098,7,4,5,4,6,4
s113,6,3,7,1,6,3
s024,3,5,2,4,3,6
s057,3,4,4,4,7,4
s043,6,1,6,2,7,1
s120,4,5,2,3,4,4
s234,4,4,3,4,5,6
s387,6,1,4,3,7,3
s299,3,6,3,6,4,6
s336,2,3,4,3,3,4
s081,4,4,5,1,6,5
s337,2,7,3,4,4,7
s008,5,2,1,3,5,3
s056,4,6,3,5,7,4
s075,4,2,4,2,6,4
s104,4,4,4,3,6,1
s349,4,4,4,5,3,6
s251,4,3,3,3,NA,1
s353,5,5,6,3,5,5
s044,3,4,5,5,5,4
s189,4,5,5,6,3,4
s358,6,2,5,1,7,4
s339,5,3,4,2,4,5
s209,NA,3,3,5,5,6
s316,4,5,5,2,5,6
s204,4,7,4,4,4,5
s384,4,3,5,2,7,4
s123,6,3,4,1,4,2
s147,4,2,3,4,5,4
s127,6,3,5,4,5,3
s297,3,4,3,5,5,3
s301,5,5,3,3,3,3
s096,3,5,4,3,4,3
s323,5,3,6,1,7,4
s367,3,6,3,6,4,4
s275,4,3,5,2,6,4
s246,4,5,4,3,6,5
s244,1,4,3,5,4,5
s071,2,4,5,5,4,5
s245,3,4,3,4,5,6
s262,1,7,4,5,4,3
s363,4,7,3,5,7,4
s011,3,6,3,5,4,6
s208,4,2,5,2,6,1
s260,6,4,6,1,5,3
s119,4,4,4,4,5,4
s305,4,4,4,3,7,3
s150,6,4,5,3,5,3
s088,1,7,4,3,5,6
s195,4,7,3,4,5,4
s064,4,4,4,1,6,4
s295,5,5,2,5,3,5
s014,3,3,3,4,4,5
s097,4,4,5,4,6,3
s256,2,4,2,4,4,4
s015,3,2,3,1,7,4
s273,2,6,5,7,4,5
s162,2,4,2,5,4,4
s010,3,4,3,6,5,4
s132,1,4,2,4,2,5
s319,4,3,6,3,7,3
s055,3,3,5,4,5,5
s274,5,4,5,4,6,3
s356,2,3,5,5,3,4
s271,4,4,4,4,5,6
s065,4,4,2,7,3,2
s292,2,4,2,4,3,5
s105,3,7,5,4,6,6
s321,4,3,5,4,4,4
s066,5,3,5,1,7,4
s086,2,5,4,4,5,5
s334,4,2,4,3,5,2
s287,3,4,4,1,6,4
s073,4,1,3,3,7,1
s202,6,4,7,2,7,1
s304,5,5,2,4,3,5
s317,4,3,4,4,5,3
s090,4,2,2,4,5,4
s263,3,3,4,5,4,4
s390,6,2,6,1,7,4
s047,2,4,6,4,5,4
s154,2,4,1,7,5,7
s166,1,4,3,4,4,7
s197,1,7,5,3,6,5
s133,5,5,5,5,5,5
s131,4,5,4,4,5,5
s141,6,3,6,2,7,3
s214,2,5,4,6,5,5
s320,3,2,5,3,6,4
s117,3,3,4,5,7,5
s004,5,4,5,4,7,3
s188,4,4,3,3,5,4
s359,1,5,2,6,5,7
s218,2,5,3,4,5,5
s352,4,5,5,4,4,4
s163,5,2,4,2,7,3
s362,3,4,4,5,4,5
s060,7,4,1,3,4,4
s216,5,3,6,3,7,3
s138,3,7,2,4,5,6
s067,5,5,5,2,7,4
s139,3,3,5,2,3,5
s013,5,3,4,2,5,5
s121,7,1,5,3,5,3
s365,1,4,5,4,3,3
s028,3,5,3,5,5,5
s173,5,3,5,3,5,2
s330,3,4,4,4,5,3
s164,3,4,4,3,3,6
s111,3,7,4,5,4,4
s355,3,4,4,4,4,6
s122,4,2,4,1,6,2
s350,4,4,3,4,7,1
s237,2,7,2,4,5,6
s288,5,4,2,4,7,2
s377,6,4,4,3,7,4
s007,6,1,6,3,7,4
s318,4,4,2,4,3,6
s170,5,5,4,3,6,5
s161,4,2,7,2,7,3
s074,1,4,3,4,3,4
s049,5,2,4,4,7,1
s261,3,5,2,4,7,4
s219,4,1,5,4,6,6
s302,1,5,3,4,4,4
s159,2,5,4,3,4,7
s169,2,7,2,4,4,5
s332,2,5,4,7,5,2
s258,5,4,5,4,6,5
s109,6,2,4,3,4,3
s264,2,5,1,NA,6,6
s289,4,5,4,4,5,6
s156,5,3,3,4,7,2
