subj_id,q01F,q02R,q03F,q04R,q05F,q06R,q07F,q08R,q09F,q10R,q11F,q12R
s247,3,4,4,4,7,3,4,2,4,4,4,4
s133,3,4,5,5,4,5,2,6,4,5,1,4
s054,3,7,4,6,2,1,4,5,4,5,3,3
s286,3,4,1,6,3,7,3,4,1,6,1,NA
s052,4,5,4,4,4,3,7,3,5,3,4,4
s255,1,5,3,7,3,5,2,4,2,6,2,5
s154,4,2,4,5,4,3,5,4,5,4,2,4
s152,4,3,4,5,4,6,4,3,3,4,5,4
s078,3,6,3,4,2,6,4,6,1,4,3,5
s267,2,5,3,6,4,5,2,6,5,5,4,4
s212,2,6,7,6,4,4,5,3,4,5,4,3
s302,2,5,2,7,2,5,3,4,6,6,3,5
s015,4,2,5,4,3,4,6,3,6,6,4,4
s370,2,4,NA,7,2,4,3,7,2,6,3,3
s029,3,3,NA,3,6,1,5,4,6,5,5,3
s019,3,4,3,6,3,6,3,7,5,4,3,2
s048,4,2,5,3,3,4,5,4,3,3,6,3
s080,5,3,4,2,5,4,4,4,4,4,6,3
s278,2,5,5,4,4,2,4,3,5,4,6,4
s123,7,3,5,4,6,4,4,4,5,5,5,1
s340,4,6,5,6,4,5,1,5,2,7,3,6
s213,4,4,6,3,6,6,5,3,4,5,4,2
s138,5,4,4,5,5,3,6,1,4,6,5,1
s309,6,4,5,6,4,5,3,3,2,5,5,5
s167,5,2,6,3,4,1,5,5,4,3,4,3
s092,3,5,1,6,2,5,3,5,3,7,2,3
s104,3,6,6,5,3,4,3,5,4,6,3,3
s072,7,2,3,4,4,5,5,3,4,4,3,5
s260,5,4,3,3,3,3,6,3,7,5,4,4
s045,4,5,4,5,2,5,4,4,1,5,5,3
s137,3,7,3,5,2,6,4,5,4,4,4,5
s161,5,3,7,3,4,5,5,4,5,4,4,5
s272,5,4,3,4,4,5,4,4,5,5,2,3
s085,4,3,5,2,3,4,5,4,2,3,5,3
s325,1,4,5,4,3,7,2,5,2,6,1,6
s217,4,1,6,4,4,4,4,4,2,6,5,4
s288,4,7,4,6,1,4,2,5,2,6,5,5
s204,5,1,6,4,4,3,5,3,6,3,7,2
s327,2,5,4,5,3,5,3,5,3,5,3,4
s153,6,1,4,4,5,4,7,6,3,3,5,3
s195,7,1,7,2,6,2,7,1,7,3,6,2
s146,4,5,1,5,2,7,4,4,3,7,3,3
s142,7,4,3,3,4,4,5,3,4,5,4,3
s297,3,4,4,4,3,5,3,5,4,4,3,4
s060,4,4,7,4,4,5,6,1,4,3,4,3
s082,4,5,1,6,NA,7,2,6,3,6,4,4
s274,4,3,5,4,4,1,4,3,6,4,7,2
s240,1,5,4,7,2,7,3,5,2,7,NA,5
s160,7,2,6,2,6,3,5,3,6,4,6,1
s197,6,4,6,5,7,1,5,4,7,6,5,3
s231,5,1,5,4,4,2,1,4,4,4,4,1
s271,4,3,5,4,3,2,4,4,5,4,4,3
s183,6,4,5,4,3,2,4,4,5,2,4,2
s107,3,1,5,3,3,2,5,4,4,7,6,3
s337,5,4,6,2,6,4,4,3,5,3,NA,1
s209,5,1,6,4,5,3,7,6,5,5,7,1
s121,3,3,6,4,5,4,4,4,5,3,6,6
s148,6,3,5,5,5,4,4,5,6,5,4,3
s151,1,2,3,5,3,4,4,4,4,7,4,6
s037,7,1,5,4,4,4,4,3,5,3,5,3
s061,5,4,4,5,2,6,4,7,3,5,5,5
s096,4,2,3,5,2,5,7,4,5,5,6,2
s187,5,4,5,4,2,4,2,5,5,4,4,2
s005,4,5,7,5,4,4,3,7,2,6,5,5
s268,4,2,7,4,2,3,2,4,4,5,4,5
s207,3,5,2,5,1,3,3,4,4,6,2,4
s079,5,3,6,5,3,3,4,2,3,4,5,3
s266,4,3,4,6,5,3,5,2,3,2,6,4
s320,4,4,6,4,5,4,1,4,2,4,3,3
s178,1,5,1,6,1,7,5,7,4,5,4,4
s338,4,2,5,5,7,2,4,2,5,4,2,4
s347,6,2,4,4,4,5,7,6,5,4,3,4
s250,6,3,6,5,3,5,4,3,5,5,4,2
s322,6,5,5,3,5,5,4,3,4,4,4,3
s352,6,4,3,4,5,4,4,5,5,6,3,1
s132,3,6,3,6,2,5,4,6,3,6,2,4
s224,5,1,4,5,4,4,5,3,5,4,5,2
s275,5,3,5,3,5,3,5,3,4,4,5,2
s263,1,3,4,3,4,3,5,3,4,4,4,5
s344,6,5,4,4,4,5,4,4,3,4,6,1
s145,7,3,5,3,4,5,5,3,5,4,5,1
s094,5,4,5,5,4,4,3,2,7,5,5,4
s110,5,6,3,6,1,5,2,5,1,6,2,5
s156,4,2,4,4,3,4,4,1,4,3,4,1
s127,4,5,5,3,3,3,5,4,7,3,5,4
s362,5,5,3,6,4,3,4,4,4,4,6,3
s349,2,5,3,4,4,5,5,2,5,5,6,4
s088,5,3,3,3,5,2,6,4,4,5,4,4
s041,6,5,4,5,5,5,2,3,2,6,1,3
s230,3,4,4,4,4,4,4,5,3,5,5,1
s324,5,4,4,3,4,3,4,3,3,3,3,3
s113,4,7,4,7,1,3,5,3,4,6,2,2
s228,4,5,5,6,4,3,4,5,3,6,3,2
s010,5,3,4,6,2,1,4,4,3,4,5,2
s281,4,4,3,6,3,4,4,3,3,4,3,3
s116,5,2,7,4,5,2,4,3,4,4,6,3
s093,4,4,5,4,4,4,5,4,4,4,5,7
s361,5,3,5,7,3,4,4,4,4,5,2,4
s176,2,5,3,3,5,4,3,6,3,4,4,2
s294,4,4,3,7,3,4,5,3,1,6,2,5
s282,4,5,2,6,4,2,2,3,3,5,4,4
s295,7,2,6,4,3,2,4,3,7,3,4,1
s318,2,7,4,7,2,7,1,7,2,7,3,5
s166,6,4,4,3,4,4,6,2,6,4,7,3
s365,6,1,7,5,3,4,4,5,7,6,5,2
s025,2,5,4,6,4,6,4,4,1,3,4,5
s221,3,5,3,5,3,5,1,5,4,7,2,4
s323,7,1,7,2,7,1,7,3,7,2,7,1
s030,3,4,1,4,4,4,3,6,4,7,1,6
s290,5,5,4,4,4,4,NA,4,4,6,5,3
s174,4,5,3,5,1,4,5,NA,3,6,3,5
s353,3,5,3,5,4,5,6,3,5,5,4,4
s368,4,5,4,6,2,3,6,6,5,5,2,3
s369,4,1,5,4,4,4,4,5,4,5,6,4
s218,2,5,2,4,2,5,2,5,2,5,3,4
s022,4,2,4,6,3,6,3,5,2,6,4,4
s321,4,3,4,2,1,4,2,3,4,6,4,4
s343,4,3,7,6,3,3,7,1,5,4,4,4
s253,4,4,5,4,3,2,5,4,5,4,5,3
s359,4,2,5,4,4,4,4,5,6,5,4,3
s358,4,4,3,4,3,4,4,6,4,4,3,3
s243,4,7,6,6,4,6,2,4,4,3,3,4
s063,5,4,5,3,5,4,2,5,4,5,4,1
s291,6,2,6,3,5,3,6,2,5,3,4,3
s091,6,1,2,3,4,4,3,3,3,4,6,5
s307,7,4,4,2,3,1,6,1,4,4,5,2
s165,5,2,7,5,4,3,4,2,6,3,3,2
s099,5,4,5,3,3,1,5,6,6,4,4,4
s354,6,1,5,2,4,4,4,1,6,3,6,1
s155,6,4,4,6,5,1,3,4,4,2,5,3
s254,4,4,3,7,4,4,3,5,3,4,3,5
s333,5,NA,4,3,5,3,6,3,5,6,4,2
s201,2,5,1,7,3,6,4,5,4,6,3,4
s076,5,5,2,3,5,4,5,5,3,5,4,4
s236,3,6,3,7,3,4,4,7,1,7,2,4
s013,5,4,3,4,4,3,3,3,3,5,5,3
s239,3,5,3,7,2,3,5,4,4,3,4,4
s131,5,1,7,1,4,2,6,3,4,4,7,2
s168,6,3,5,3,5,2,5,6,NA,3,4,3
s249,5,4,4,7,3,4,4,5,3,4,5,2
s074,6,6,4,6,5,1,5,2,5,5,3,3
s265,3,3,5,5,4,5,4,4,4,4,4,3
s346,3,4,4,3,4,3,1,3,4,3,5,2
s276,7,4,3,3,3,3,4,4,4,5,4,3
s366,3,4,7,7,5,5,5,4,3,7,1,4
s345,5,4,6,4,3,5,4,3,4,6,5,3
s141,4,4,2,4,2,4,5,4,6,4,3,4
s139,4,3,5,3,6,3,4,4,6,5,5,6
s064,5,3,4,4,4,4,3,6,3,7,4,4
s083,6,3,3,3,6,3,7,5,5,4,5,6
s012,3,2,6,4,4,4,5,2,4,5,5,4
s059,5,2,5,7,1,5,4,5,4,5,2,3
s158,4,3,6,4,7,1,6,3,7,1,3,3
s108,1,6,1,6,2,5,3,6,3,5,2,4
s117,5,3,6,4,4,4,5,4,5,4,6,5
s293,7,1,6,3,6,1,5,2,7,4,7,1
s136,7,3,5,3,5,2,4,5,4,4,5,3
s062,4,6,4,5,2,5,3,5,3,6,2,4
s124,2,4,4,7,3,5,4,5,4,4,2,3
s355,4,4,3,4,2,5,3,3,6,4,2,4
s129,4,4,4,4,6,2,2,4,4,5,3,3
s101,6,1,7,4,7,2,4,3,6,4,4,4
s314,4,3,3,7,4,5,4,5,2,6,3,5
s181,3,4,6,5,4,5,3,6,5,7,4,2
s227,2,3,4,5,4,4,3,3,3,3,5,1
s042,3,5,5,5,4,5,4,4,5,6,3,4
s310,4,5,4,6,4,6,2,6,4,6,5,3
s017,4,5,4,4,4,3,5,6,4,4,4,2
s196,6,2,3,5,5,3,5,4,3,4,4,1
s046,3,5,3,5,4,4,3,3,5,5,3,5
s331,6,2,4,4,4,3,3,4,4,7,4,5
s261,5,2,3,5,4,6,6,2,5,5,5,1
s316,4,1,4,4,4,6,4,4,3,7,2,4
s128,4,4,6,5,3,4,1,6,4,6,3,4
s100,5,5,4,4,1,2,4,4,2,5,1,2
s248,5,5,6,4,2,5,4,4,1,6,3,5
s326,6,4,6,5,2,4,5,5,5,6,1,4
s031,4,4,3,5,4,4,3,3,5,5,4,1
s036,5,1,5,5,5,3,5,4,4,4,7,3
s190,3,4,4,5,3,6,5,4,3,5,3,2
s009,4,2,5,6,5,2,4,4,3,6,4,2
s289,2,4,2,6,1,4,4,6,4,7,2,3
s038,2,6,2,5,1,6,4,6,4,7,3,4
s071,4,3,4,2,4,3,5,3,6,2,7,2
s171,7,3,7,4,4,2,5,3,6,5,4,1
s287,3,3,5,6,4,6,3,3,5,3,4,3
s200,3,4,3,5,1,5,4,4,3,5,5,4
s115,2,6,4,5,2,5,3,5,3,7,2,5
s090,2,7,4,5,2,7,1,6,4,4,1,7
s203,3,4,4,4,4,5,4,4,4,6,3,4
s226,1,4,5,4,4,3,6,3,4,4,4,4
s077,2,4,3,4,3,3,4,4,3,5,4,4
s126,4,4,4,4,4,4,3,4,3,3,2,2
s023,4,4,4,4,3,5,4,4,4,4,3,3
s120,5,1,7,4,4,1,4,1,4,4,1,1
s317,4,7,3,5,4,3,1,4,2,7,2,4
s194,2,7,3,7,2,6,1,7,4,7,2,2
s068,4,4,3,4,6,5,4,5,4,5,4,5
s143,4,4,4,5,4,3,4,5,4,5,3,4
s051,5,2,5,4,5,2,6,6,4,3,5,2
s334,5,5,4,5,3,4,6,3,7,3,4,3
s215,3,4,4,3,6,4,3,4,4,3,4,2
s206,4,4,4,4,4,3,5,3,5,3,5,4
s055,4,5,5,5,2,4,1,4,4,6,4,5
s086,3,5,3,4,3,7,2,6,2,7,1,6
s163,6,2,6,6,3,3,5,4,3,4,4,3
s035,3,3,4,3,4,5,3,4,NA,5,3,3
s269,5,3,5,4,5,2,6,3,7,3,4,3
s135,5,4,5,4,6,3,7,4,4,3,4,5
s357,2,4,2,5,1,6,4,5,3,4,3,5
s210,4,4,4,4,4,3,3,3,3,5,5,1
s311,3,6,3,4,4,5,4,5,2,5,4,7
s245,4,3,5,5,6,4,5,2,5,5,4,3
s170,3,4,3,3,1,3,4,4,3,4,4,2
s306,2,5,3,5,3,4,7,3,4,4,3,4
s350,4,5,3,6,2,7,4,7,3,7,2,5
s065,5,4,5,5,4,6,6,4,6,5,5,4
s173,6,4,6,4,4,3,6,3,5,2,6,1
s103,5,4,5,4,7,3,5,5,4,3,4,3
s049,3,4,4,6,4,5,3,4,3,7,3,4
s169,5,4,2,1,6,5,7,3,4,5,4,5
s179,5,2,7,5,7,1,6,3,6,6,5,1
s185,1,6,3,5,4,4,4,2,1,7,3,4
s363,3,5,5,2,5,4,4,1,6,5,4,5
s234,5,4,4,4,5,4,4,4,4,4,5,4
s191,5,5,3,4,5,2,5,2,6,6,3,2
s050,3,4,3,7,4,7,2,5,1,5,3,4
s298,5,3,6,6,5,4,5,4,4,3,4,3
s214,2,2,3,4,5,3,3,4,2,5,2,4
s098,2,6,3,6,5,5,1,5,3,4,5,5
s252,4,5,5,7,3,5,4,7,3,7,3,4
s222,3,3,6,2,5,2,5,1,6,3,6,2
s011,7,4,7,4,5,2,5,2,6,5,4,1
s313,5,4,4,5,4,4,3,1,5,2,4,2
s070,3,3,4,5,4,1,5,2,3,6,5,4
s225,7,3,7,3,6,4,6,5,6,4,6,1
s089,NA,4,4,6,3,5,2,5,3,6,4,6
s303,4,5,6,5,4,3,4,6,4,5,2,5
s186,2,4,3,3,4,4,3,5,4,5,4,2
s106,5,4,5,4,4,4,4,4,3,3,7,4
s102,4,3,4,3,3,3,6,4,5,4,4,2
s339,4,4,1,4,4,5,4,7,3,7,5,4
s058,5,3,6,3,5,2,6,2,6,3,6,2
s242,3,NA,2,5,1,6,1,7,3,5,5,3
s021,5,5,4,3,5,2,6,3,7,4,4,2
s292,3,4,3,6,4,5,5,2,5,4,5,4
s002,6,1,7,3,7,2,7,2,6,2,5,4
s360,2,5,3,4,2,7,4,5,3,6,5,1
s026,6,5,4,5,3,3,4,5,1,5,4,4
s162,4,4,6,3,6,2,4,4,3,5,5,5
s164,4,4,4,5,4,3,5,2,5,3,2,1
s003,6,1,7,4,5,2,7,1,4,4,4,1
s004,4,3,6,2,6,5,5,4,5,5,2,4
s216,3,2,3,4,2,3,4,6,4,2,4,3
s149,4,6,1,5,1,4,4,6,7,5,4,4
s257,3,6,4,7,4,5,2,5,4,4,4,4
s172,4,5,5,6,5,4,4,4,4,5,4,3
s219,7,2,6,1,7,3,7,2,5,2,5,1
s238,2,5,3,5,4,2,7,3,2,5,2,4
s034,5,2,4,3,3,2,7,3,3,6,6,4
s157,3,7,3,7,3,5,6,4,2,6,4,4
s199,5,1,7,4,4,2,6,4,5,3,5,2
s259,6,3,4,4,4,5,3,3,6,3,6,2
s299,3,3,3,5,4,3,4,5,2,5,3,5
s285,4,4,6,2,4,4,5,4,5,4,4,2
s044,5,3,5,1,2,2,7,NA,3,5,5,2
s180,4,1,4,4,5,5,4,6,4,4,6,2
s235,4,5,5,5,4,3,4,4,4,2,6,3
s246,3,4,4,5,1,6,5,5,3,7,2,6
s097,3,4,3,6,4,4,3,5,4,7,1,4
s109,5,2,3,5,6,5,7,2,4,4,4,4
s177,4,3,4,4,3,5,6,5,3,5,1,2
s144,5,2,4,4,6,1,4,3,7,6,5,2
s147,1,5,2,6,2,7,2,7,2,4,3,6
s043,4,1,4,4,4,2,5,3,6,3,4,1
s273,3,5,5,6,2,5,2,7,4,6,3,3
s095,5,3,5,4,3,6,4,5,2,4,4,3
s007,5,3,4,7,5,4,3,6,7,3,5,3
s150,3,4,3,6,5,5,2,4,4,4,1,3
s328,3,2,NA,4,7,4,5,4,5,3,4,3
s262,3,1,3,5,6,4,4,4,5,5,6,2
s018,2,5,2,6,2,4,5,5,4,6,3,5
s229,6,3,6,2,6,1,5,4,4,NA,4,1
s073,7,1,5,3,4,3,5,1,6,3,5,2
s319,5,1,4,3,4,6,4,2,4,4,5,3
s114,3,5,3,4,4,4,4,4,6,6,5,7
s006,5,4,5,4,4,5,4,3,3,3,2,6
s329,3,2,4,3,4,1,4,2,4,3,5,3
s220,4,3,5,3,4,5,4,4,5,5,2,4
s364,2,5,4,4,2,5,2,5,3,4,1,7
s205,3,4,3,5,3,3,5,5,5,4,4,2
s283,1,7,2,7,2,6,3,7,2,4,5,3
s066,4,4,6,5,4,4,4,3,4,6,4,2
s182,3,6,4,5,3,7,3,4,3,7,5,5
s341,4,4,6,5,NA,3,3,6,5,3,4,5
s175,4,3,3,5,2,5,3,2,3,6,4,4
s244,5,5,4,5,4,4,5,4,3,7,3,5
s211,5,3,5,5,4,5,4,3,3,3,3,4
s304,2,4,3,5,3,7,3,6,1,6,1,5
s001,4,3,NA,4,3,4,2,4,1,6,2,4
s047,5,3,2,3,4,4,3,5,4,3,3,4
s193,5,3,5,5,7,2,5,4,5,3,5,2
