subj_id,Fq1,Rq2,Fq3,Rq4,Fq5,Rq6,Fq7,Rq8,Fq9
s130,5,4,3,4,6,NA,6,4,4
s237,4,5,5,7,4,4,5,4,4
s069,3,4,3,2,3,5,4,3,3
s159,3,4,4,4,6,2,5,5,6
s094,5,2,3,5,3,3,5,4,4
s056,4,3,3,3,4,3,5,1,4
s165,3,5,6,4,4,5,3,5,3
s306,3,5,3,5,3,4,5,5,4
s117,6,4,5,4,2,1,4,2,5
s167,4,1,5,6,3,3,5,3,6
s222,1,2,3,5,5,1,4,4,4
s014,5,4,3,4,5,2,5,4,5
s053,4,7,4,6,1,5,2,5,3
s031,3,6,NA,4,4,4,3,4,5
s146,4,4,2,4,1,5,3,4,2
s216,5,2,7,4,5,3,5,3,4
s288,5,5,5,5,5,4,1,5,4
s147,4,1,6,2,3,5,7,3,7
s274,4,4,4,3,3,4,4,4,5
s183,5,4,4,5,1,3,4,7,4
s191,1,5,1,3,2,6,1,7,3
s192,5,3,5,3,4,4,6,4,4
s085,4,3,3,5,3,6,5,3,2
s207,3,2,5,3,4,2,6,4,4
s236,5,3,6,2,6,3,7,2,6
s123,3,NA,4,6,4,2,2,3,4
s233,4,3,5,3,4,2,4,2,4
s108,5,3,7,4,5,2,6,2,4
s267,3,2,5,4,7,3,5,2,7
s213,4,6,4,3,4,3,4,3,2
s264,4,5,4,4,4,3,3,3,3
s055,3,6,2,5,3,6,5,3,5
s259,3,3,3,5,4,3,4,4,5
s125,5,2,5,4,5,3,5,3,4
s144,4,5,4,5,3,3,5,3,3
s131,4,6,4,5,4,4,5,5,2
s133,3,4,3,4,2,4,4,4,4
s179,1,3,4,6,2,6,3,6,2
s195,6,4,7,4,3,5,4,4,4
s201,3,3,4,4,5,5,4,4,5
s280,3,6,7,4,3,4,2,4,5
s202,1,4,1,6,4,6,2,7,1
s155,6,3,4,2,6,1,6,1,6
s025,4,4,5,4,6,3,5,2,5
s287,4,2,4,4,5,4,5,5,5
s126,3,3,4,4,6,4,4,5,2
s009,4,5,4,4,1,3,6,3,5
s208,5,5,5,5,1,3,6,4,4
s129,3,5,3,4,4,4,5,4,2
s118,3,7,1,4,4,4,3,5,4
s039,1,4,3,5,3,5,2,7,2
s023,3,4,3,4,4,4,4,1,5
s054,4,5,5,4,3,4,5,5,1
s051,5,4,3,5,6,2,2,4,4
s297,2,4,2,5,3,5,3,3,4
s293,3,7,5,5,3,5,6,4,2
s261,4,6,4,5,5,4,4,5,5
s284,5,3,6,1,4,1,5,2,4
s176,2,5,3,4,2,3,3,5,1
s230,1,6,2,4,4,6,4,6,1
s158,2,4,3,3,5,5,3,5,3
s078,5,5,2,3,1,5,4,6,2
s029,3,4,4,4,5,4,6,2,6
s070,5,4,6,3,5,2,6,1,3
s218,4,4,7,4,4,NA,3,7,6
s203,5,NA,6,5,6,1,5,4,4
s276,4,6,4,6,3,5,4,5,3
s011,3,3,5,4,5,5,5,4,3
s114,4,4,5,2,4,4,6,3,5
s258,3,2,4,5,4,5,5,4,4
s030,3,5,2,5,3,5,3,3,4
s116,3,4,4,4,2,4,5,7,4
s227,5,3,6,4,5,3,5,4,6
s266,2,4,3,2,1,4,4,7,5
s111,4,3,4,4,5,4,7,4,4
s016,5,4,3,4,3,2,3,3,5
s296,5,5,5,5,6,5,4,5,5
s139,4,3,2,2,3,5,5,3,6
s075,5,5,4,5,4,5,3,4,3
s184,5,3,6,4,6,3,6,2,6
s021,3,3,3,6,1,4,3,4,3
s045,3,6,3,7,3,4,2,4,3
s235,3,3,1,4,4,5,3,5,1
s151,2,4,3,4,3,4,1,7,6
s212,4,5,4,6,3,3,3,4,4
s019,4,2,6,4,5,3,4,5,4
s205,3,5,3,3,1,3,4,3,2
s015,4,2,5,3,5,3,4,4,3
s210,4,4,7,4,6,1,5,5,6
s063,4,3,3,7,5,3,4,4,5
s153,3,3,5,5,6,3,6,3,4
s040,4,6,2,5,1,5,2,4,2
s136,7,2,5,2,7,2,7,4,4
s247,7,2,6,2,6,1,7,3,6
s240,4,3,1,5,1,2,4,4,6
s307,4,3,4,3,4,2,7,4,3
s251,4,3,4,4,4,4,7,6,5
s082,4,2,3,5,6,2,3,4,4
s020,5,6,2,5,3,4,3,5,3
s121,5,2,3,5,4,1,4,2,3
s050,5,2,6,5,4,3,4,4,5
s286,3,4,3,5,2,2,4,5,5
s157,4,5,5,5,5,4,3,6,3
s271,3,5,5,3,3,2,4,4,3
s119,4,2,5,5,5,4,3,2,3
s089,3,5,2,5,4,3,3,4,1
s005,3,5,3,5,3,4,3,5,1
s018,6,4,6,4,6,1,5,5,5
s253,3,4,4,5,3,6,4,3,4
s010,4,5,3,3,4,4,4,2,4
s059,6,4,4,4,4,3,5,5,3
s092,6,NA,4,5,4,5,4,4,5
s204,7,4,4,4,5,1,5,3,5
s062,NA,5,1,3,1,3,2,4,5
s170,4,3,4,3,4,1,6,1,7
s194,5,1,4,2,5,3,5,6,6
s169,1,3,3,4,4,5,5,6,2
s143,5,4,5,4,5,3,5,4,4
s263,2,3,3,4,4,2,6,3,3
s229,4,6,4,6,4,2,4,6,2
s163,3,4,4,5,3,5,3,4,5
s292,1,6,3,4,4,4,5,4,5
s278,3,4,6,2,4,2,5,3,3
s211,4,5,2,6,2,4,3,3,2
s173,3,6,3,5,1,7,3,7,4
s002,5,5,4,4,3,4,4,5,5
s007,4,1,7,2,5,3,5,3,5
s224,7,4,2,5,2,3,4,5,4
s242,1,4,3,3,3,6,3,5,2
s162,4,3,3,6,6,6,5,3,4
s305,4,6,2,5,1,5,2,3,NA
s279,4,5,6,4,4,3,5,3,4
s098,1,7,1,6,3,5,5,4,4
s166,5,2,4,3,3,3,5,5,4
s178,5,7,6,5,3,1,3,4,2
s074,4,6,3,4,3,4,4,5,3
s127,5,4,3,2,2,4,6,3,4
s042,3,7,1,6,3,4,4,5,5
s161,4,5,5,5,4,3,6,1,2
s086,3,5,3,2,6,3,4,4,5
s226,5,4,4,3,4,3,6,5,NA
s249,5,2,5,3,2,3,5,2,6
s061,4,5,4,4,2,3,4,4,4
s281,4,5,4,6,6,7,5,4,5
s026,4,4,5,4,4,3,5,4,2
s283,4,7,2,7,2,6,3,7,2
s080,5,4,3,5,4,6,2,4,1
s104,3,6,4,3,3,2,4,5,5
s106,4,5,3,3,3,5,7,2,4
s234,4,4,2,4,2,4,5,4,4
s068,5,3,4,3,3,3,6,5,5
s189,5,6,1,6,4,2,5,5,3
s228,5,1,4,4,1,4,4,5,4
s185,3,3,5,4,3,4,5,5,2
s035,3,6,1,7,2,4,4,5,3
s182,4,4,1,7,3,5,1,2,4
s309,5,5,2,5,3,4,4,5,4
s214,5,3,3,4,4,2,5,4,4
s112,5,4,4,3,3,1,5,1,4
s244,2,6,2,5,3,4,3,6,1
s128,5,3,4,4,4,2,7,4,4
s310,5,5,4,6,2,2,5,4,3
s225,4,4,3,5,4,4,3,7,4
s299,3,3,3,4,3,4,3,5,2
s138,4,4,3,4,4,3,6,2,6
s295,3,5,4,5,3,5,2,7,3
s304,4,5,5,4,4,2,4,3,2
s199,4,4,5,2,5,2,5,2,4
s081,5,2,3,5,5,4,6,4,5
s175,3,4,2,5,4,3,2,7,2
s273,5,3,4,3,4,2,5,3,6
s301,1,4,2,5,3,4,4,4,2
s028,6,5,4,6,5,2,5,4,5
s256,3,5,4,4,7,2,6,4,3
s312,7,2,5,4,5,1,5,3,6
s060,3,4,4,4,5,1,6,4,4
s001,3,2,4,5,3,5,2,4,2
s110,3,2,4,3,4,3,6,3,5
s181,4,3,6,4,5,1,7,1,4
s217,5,4,5,4,6,2,4,2,4
s036,4,1,5,4,6,3,7,1,3
s262,2,5,3,4,3,4,3,4,3
s077,4,4,3,6,5,2,4,2,6
s154,3,6,2,4,1,7,1,7,2
s093,4,4,3,4,3,4,5,4,4
s303,5,2,4,3,3,4,4,5,4
s088,3,4,4,5,4,7,4,4,5
s260,4,3,2,5,5,3,3,5,3
s152,5,4,4,5,4,1,5,4,6
s245,5,2,5,1,4,4,4,6,4
s003,4,3,2,6,3,6,6,3,1
s223,5,4,1,5,3,6,4,5,2
s137,4,7,3,5,2,5,3,7,3
s241,3,5,2,5,3,4,5,5,7
s038,6,5,5,4,3,4,7,4,4
s168,4,4,2,5,4,4,4,7,1
s290,4,4,2,6,5,4,6,4,5
s091,6,3,6,3,5,2,4,3,4
s289,5,5,5,5,4,6,4,4,2
s066,3,3,5,3,4,3,5,4,4
s034,4,5,NA,4,3,3,4,2,4
s285,4,4,4,3,6,6,4,3,4
s300,3,5,5,4,4,3,4,4,1
s180,5,1,4,5,4,2,2,5,3
s298,5,5,2,7,3,2,4,6,4
s013,3,7,4,6,3,5,4,6,6
s032,1,7,1,5,1,5,4,7,1
s124,5,3,4,3,3,3,4,NA,2
s239,6,2,6,5,7,4,5,4,6
s107,5,3,4,4,6,1,6,5,5
s073,4,1,2,4,3,3,3,4,3
s004,3,4,5,3,3,4,6,4,3
s232,NA,4,4,6,4,3,1,4,4
s142,3,4,2,3,4,2,3,4,3
s277,4,6,5,6,2,1,4,4,1
s255,6,4,4,5,4,3,6,2,4
s095,4,4,4,4,2,2,4,4,4
s291,4,3,5,5,4,3,5,5,2
s275,5,4,4,5,4,3,6,4,4
s100,1,3,5,6,5,4,4,2,3
s149,4,5,2,5,3,4,3,5,1
s065,4,5,6,6,4,4,4,4,3
s096,3,6,4,6,3,3,3,5,4
s171,3,4,5,3,5,2,4,2,4
s008,4,2,7,4,5,1,7,2,7
s148,5,3,2,5,4,4,6,5,3
s196,5,3,4,4,4,1,5,4,6
s120,6,2,5,1,7,1,6,2,7
s043,5,5,3,4,4,2,6,4,7
