subj_id,q01-F,q02-R,q03-F,q04-R,q05-F,q06-R,q07-F,q08-R,q09-F,q10-R,q11-F,q12-R,q13-F,q14-R
s366,4,3,3,5,6,6,5,4,3,5,6,5,5,5
s149,7,3,4,2,5,4,4,4,6,7,4,3,4,4
s252,5,4,3,6,NA,6,3,5,1,4,3,6,4,4
s181,6,2,5,2,6,4,5,2,4,3,7,3,6,2
s101,6,4,4,4,5,3,5,3,4,3,6,3,5,4
s347,2,4,5,2,5,6,5,4,4,6,5,2,4,5
s193,2,6,4,4,3,5,2,5,1,7,2,5,3,7
s039,6,4,6,3,4,3,7,3,5,3,4,3,6,4
s037,4,5,1,3,5,5,5,3,6,4,5,5,3,4
s117,1,5,2,3,3,5,4,5,2,5,4,3,4,7
s168,5,2,3,2,4,3,4,3,6,2,4,4,4,2
s119,5,2,2,4,5,6,5,4,4,3,5,3,5,NA
s189,5,6,1,5,2,7,2,4,3,6,4,7,1,7
s278,6,3,6,3,6,2,5,2,5,3,2,3,4,2
s075,4,5,3,5,4,5,5,2,3,4,3,5,4,6
s088,6,1,5,3,6,3,6,3,4,3,3,5,4,2
s231,4,6,5,4,5,7,6,1,2,4,5,6,3,2
s291,3,3,4,5,2,4,4,4,4,4,3,4,4,4
s023,4,5,3,4,5,4,6,2,7,4,3,6,4,4
s293,1,4,5,4,2,4,2,5,4,5,5,5,4,4
s197,6,2,4,4,5,2,4,5,5,5,3,4,5,4
s345,5,5,4,2,5,4,5,3,5,3,7,4,3,3
s356,4,7,4,6,4,5,2,4,1,5,2,4,4,6
s381,3,4,3,3,5,7,4,1,5,5,4,2,5,5
s246,6,4,4,3,4,4,5,1,6,3,6,3,4,6
s107,2,3,5,6,4,4,5,5,3,2,2,5,4,3
s087,4,3,2,4,5,3,5,2,5,4,4,4,4,4
s116,4,5,2,3,3,5,6,7,3,5,6,6,3,6
s218,3,7,3,6,4,5,3,6,3,6,4,4,3,7
s338,5,5,4,3,4,3,3,3,3,3,3,3,2,3
s108,3,5,2,5,2,7,1,7,2,5,2,5,2,4
s199,4,4,2,3,5,5,5,2,5,5,4,4,7,5
s127,5,4,3,3,4,6,6,4,4,4,1,6,4,5
s041,1,4,2,4,4,6,3,7,4,7,2,7,3,4
s068,5,4,4,5,6,5,4,4,3,6,4,5,5,3
s336,7,4,5,4,5,3,4,2,5,2,4,2,7,3
s349,6,5,5,7,6,6,4,3,5,3,4,4,3,3
s391,3,4,4,3,5,6,7,2,5,3,4,3,4,4
s316,2,7,3,7,7,7,5,3,4,4,4,5,4,4
s122,5,5,3,6,7,6,2,6,4,3,3,6,3,7
s031,4,4,6,3,7,4,4,3,5,3,3,6,4,3
s217,5,4,4,4,6,6,4,5,3,5,4,3,2,3
s369,6,1,3,1,6,1,6,2,5,3,4,3,6,2
s055,3,6,5,4,3,2,6,3,2,4,5,4,5,4
s143,1,4,1,3,5,5,4,5,5,6,3,5,3,5
s379,3,4,4,5,6,5,7,7,5,4,4,3,1,3
s223,5,5,5,3,3,4,1,5,3,4,4,4,4,3
s071,5,4,4,4,4,5,6,3,5,4,5,4,4,3
s094,4,6,3,4,5,3,3,4,3,7,4,4,4,3
s002,7,5,4,3,5,4,5,1,7,3,7,6,6,1
s097,3,3,2,4,4,5,2,3,5,4,5,4,2,4
s300,4,4,3,2,5,2,4,3,4,5,6,4,2,4
s106,4,4,4,2,4,5,7,5,5,3,4,4,3,3
s236,5,2,1,1,6,2,5,3,3,3,4,4,4,4
s242,5,3,1,3,6,5,4,5,4,6,3,4,5,6
s237,4,6,4,4,4,4,4,3,3,4,4,3,4,1
s262,4,5,2,5,5,6,5,4,3,6,6,6,3,5
s110,4,7,4,6,5,5,4,2,4,5,4,5,1,4
s329,6,3,6,5,6,6,5,1,3,4,4,3,5,3
s158,6,4,4,3,5,1,6,4,6,4,5,4,6,3
s268,3,7,3,4,3,4,4,6,2,7,3,6,4,3
s312,6,3,4,3,4,3,6,1,4,2,4,2,6,1
s330,5,5,3,4,1,6,1,5,3,5,4,6,3,5
s014,4,3,6,5,6,5,5,2,5,3,5,4,6,3
s150,5,2,4,1,7,5,4,2,6,2,7,5,4,4
s331,3,1,5,4,4,6,4,3,5,3,5,5,6,4
s142,4,3,7,3,5,5,6,1,7,4,7,3,4,3
s153,7,4,4,3,7,1,7,3,6,3,6,2,5,1
s368,7,3,6,3,4,2,6,3,5,4,5,4,5,4
s010,5,4,6,3,5,4,3,3,6,3,4,2,3,4
s079,3,6,4,4,4,NA,3,6,2,7,3,7,2,4
s256,4,7,2,7,1,7,2,5,5,6,4,7,2,4
s334,6,NA,4,3,6,2,7,4,3,6,5,4,3,2
s114,5,4,3,5,7,4,4,3,6,3,5,3,5,4
s328,4,4,3,5,4,6,4,3,5,3,4,2,5,4
s183,4,5,4,5,3,6,3,4,1,4,3,4,5,4
s036,3,4,3,7,5,5,3,2,4,6,4,4,7,5
s264,2,4,1,4,6,5,3,4,3,4,3,6,3,4
s185,5,3,4,3,3,5,4,5,5,3,4,4,2,3
s152,4,6,3,4,5,5,2,5,5,4,3,7,4,4
s315,6,4,3,4,3,4,5,2,5,5,6,3,4,3
s118,3,3,6,3,6,NA,5,3,4,3,5,5,5,1
s180,4,4,4,2,7,6,7,3,5,4,6,5,5,4
s069,5,4,5,3,6,4,4,5,3,3,6,5,1,3
s238,4,6,4,5,4,5,2,5,4,4,6,3,4,6
s233,5,4,4,2,6,4,6,4,7,4,5,3,5,2
s333,7,3,3,3,5,5,5,3,6,5,4,3,7,3
s372,5,3,4,5,5,4,5,3,6,4,5,5,5,3
s263,3,3,4,4,4,6,4,6,5,4,3,4,3,5
s239,3,5,2,5,7,4,5,4,6,6,4,3,5,4
s161,3,4,2,3,5,3,7,1,7,5,5,4,4,2
s043,1,3,1,7,4,7,1,6,3,6,2,6,2,5
s077,3,5,4,4,4,6,1,4,3,7,3,4,3,2
s040,3,4,4,4,5,2,4,2,4,2,5,2,5,1
s187,2,5,3,4,7,6,2,1,2,5,4,3,3,5
s235,5,4,3,2,6,3,5,4,6,6,5,3,5,4
s215,4,2,4,4,4,3,5,3,3,3,6,5,4,5
s027,4,7,4,4,4,NA,4,6,6,5,4,4,5,4
s269,5,4,NA,5,5,5,6,2,5,3,2,6,3,3
s024,6,1,4,4,6,3,5,1,4,4,7,2,6,3
s279,4,4,3,6,5,7,3,5,3,3,3,5,5,4
s109,4,6,1,5,4,6,5,5,3,3,4,4,3,5
s054,2,6,1,6,4,7,3,4,1,6,1,6,3,5
s232,4,5,NA,4,1,4,5,6,4,4,5,4,3,5
s227,2,3,3,6,3,4,4,5,3,6,2,6,3,6
s190,5,2,5,1,6,4,5,2,5,4,5,3,4,4
s290,6,4,5,3,6,5,5,4,4,5,3,5,3,3
s261,6,4,4,3,5,4,4,4,4,3,5,5,3,3
s308,3,6,4,2,3,5,7,4,5,5,4,7,5,4
s382,4,3,4,1,6,4,6,4,4,3,7,4,4,4
s243,4,7,3,5,4,6,3,3,4,4,4,5,5,5
s018,5,4,2,5,5,3,3,4,4,4,3,5,5,3
s200,5,4,1,6,2,7,2,6,3,7,2,5,1,5
s387,4,3,4,4,7,7,4,3,3,4,3,2,5,3
s115,4,6,3,6,6,6,4,4,4,3,3,7,4,2
s157,6,4,4,3,6,2,7,2,4,4,4,4,5,3
s028,3,6,2,5,3,2,4,4,3,7,3,4,3,3
s072,3,7,1,NA,4,7,4,5,5,3,3,4,4,4
s323,4,5,4,5,3,6,7,4,4,4,3,4,3,4
s234,4,5,4,4,4,6,5,5,3,7,4,5,4,3
s348,4,4,4,5,5,4,4,4,4,6,4,3,4,4
s284,6,4,4,4,5,4,7,4,7,5,4,4,5,2
s082,5,3,5,4,4,4,4,2,5,3,4,3,3,5
s389,5,6,1,7,7,7,3,5,7,6,4,5,3,3
s196,1,7,2,6,1,6,4,6,2,5,4,6,2,5
s385,5,3,5,1,6,2,7,3,5,2,4,4,6,2
s021,5,3,2,4,5,6,7,NA,7,1,5,4,6,5
s241,3,6,3,6,4,6,4,5,3,4,6,4,4,3
s065,NA,6,4,4,7,6,3,1,4,5,5,4,3,3
s202,4,4,4,1,5,5,6,7,5,4,5,4,5,2
s248,4,6,4,6,6,3,3,3,4,5,3,5,4,6
s388,3,4,3,5,7,4,4,3,4,4,4,3,4,5
s194,2,5,3,3,4,4,3,5,4,6,5,6,1,2
s003,3,2,6,5,6,4,4,3,7,3,5,5,3,5
s283,5,6,4,6,5,3,1,4,1,4,1,5,2,3
s042,6,4,4,2,5,3,5,2,5,3,4,5,5,2
s310,5,5,6,4,6,5,5,1,4,2,7,2,7,1
s216,5,5,6,6,1,6,2,5,3,7,3,6,4,6
s321,3,4,2,6,2,6,4,6,1,4,1,4,4,7
s225,4,4,1,5,5,5,6,4,7,6,4,5,4,5
s175,2,5,3,6,4,5,3,4,4,4,3,4,4,7
s375,3,4,2,4,4,4,5,6,3,4,4,5,5,4
s222,6,3,2,3,NA,4,3,4,4,5,4,1,5,4
s113,4,6,1,4,4,4,4,5,4,4,3,2,3,2
s341,7,5,6,1,5,1,7,3,5,2,5,3,5,3
s111,4,4,4,3,6,5,4,3,6,4,NA,4,4,3
s049,4,4,4,4,6,4,5,4,7,3,6,5,5,2
s332,4,4,3,4,6,6,6,4,6,4,4,5,4,3
s120,6,5,4,5,7,2,4,2,5,2,5,4,6,4
s095,5,2,5,1,5,3,5,3,7,1,4,4,4,3
s371,5,4,4,3,3,7,3,7,5,6,3,4,2,5
s166,5,4,3,5,5,5,5,5,3,3,4,5,4,1
s025,5,7,4,3,3,3,5,3,6,2,5,5,6,4
s174,1,7,2,7,3,7,3,5,2,6,4,7,1,7
s250,7,5,4,6,7,4,6,5,2,6,4,4,2,4
s253,5,5,4,6,4,4,5,2,4,5,4,4,3,2
s179,4,3,6,5,5,3,5,3,5,4,4,2,4,3
s209,4,5,1,5,2,5,4,4,3,4,4,5,4,5
s074,6,3,5,2,6,3,5,3,4,3,5,4,5,4
s240,4,7,4,5,3,5,2,5,4,4,3,7,2,4
s057,5,5,1,4,3,6,6,5,4,3,3,4,4,4
s195,7,3,3,5,3,4,7,2,7,5,7,3,5,5
s191,5,6,3,5,4,5,3,3,4,5,3,5,1,4
s320,4,4,4,4,5,6,4,3,3,5,2,4,4,1
s063,5,5,3,7,5,6,5,6,2,5,4,5,3,6
s354,5,4,3,3,5,3,6,3,7,4,7,5,7,4
s249,4,3,5,6,5,4,3,4,4,3,3,5,3,3
s305,7,1,5,3,6,4,4,2,7,3,6,3,6,2
s165,4,5,2,6,5,4,4,3,7,5,6,5,6,2
s210,2,4,3,4,4,4,5,5,3,4,7,4,7,3
s098,6,4,6,3,3,6,5,3,4,3,7,3,5,3
s207,5,4,3,3,7,5,6,2,7,4,5,1,5,4
s339,6,5,2,3,4,5,5,6,3,5,3,7,4,4
s296,1,4,4,7,3,7,4,5,3,6,2,6,4,4
s344,4,4,3,5,5,7,4,4,1,6,4,5,4,NA
s208,3,4,3,5,2,6,3,6,2,6,1,5,2,5
s358,3,6,3,3,4,5,5,3,4,4,5,6,5,3
s089,3,3,6,4,6,6,4,4,4,4,2,3,4,3
s038,4,5,4,3,4,4,3,5,4,3,2,7,3,4
s378,2,4,3,3,4,3,4,3,2,4,NA,5,3,4
s112,5,7,4,6,4,5,4,5,1,7,4,5,2,5
s377,4,4,6,2,5,5,6,4,4,4,5,4,4,1
s258,5,4,4,3,5,4,5,5,5,2,5,2,4,7
s266,5,5,1,3,4,6,5,3,4,3,4,4,3,4
s327,7,4,5,1,7,4,5,3,7,4,5,4,5,3
s254,2,5,3,5,3,6,2,5,2,5,4,4,3,1
s205,4,6,4,2,7,4,7,4,5,4,5,5,5,1
s270,3,3,1,4,5,3,7,3,3,6,7,4,4,3
s267,3,6,2,6,6,6,2,4,2,5,3,3,2,4
s004,5,5,1,5,5,4,3,6,3,4,3,6,3,4
s070,4,5,1,5,4,4,2,3,3,7,3,7,1,3
s136,6,6,2,5,7,7,6,3,3,3,4,5,4,4
s104,5,1,4,3,6,5,6,5,6,5,6,4,5,5
s311,6,1,5,3,7,5,6,2,3,4,7,2,NA,4
