subj_id,F q1,R q2,F q3,R q4,F q5,R q6,F q7
s059,4,2,5,3,2,2,5
s055,4,4,6,3,2,2,6
s308,5,3,5,3,2,3,5
s060,2,7,3,NA,1,7,2
s182,5,6,4,4,3,6,3
s303,1,5,3,3,6,4,4
s236,3,2,3,6,4,4,3
s117,5,2,7,4,2,5,6
s097,5,3,5,2,5,3,6
s238,2,4,2,7,3,5,3
s167,6,1,5,4,4,5,7
s019,7,2,4,5,5,5,4
s272,NA,3,3,3,4,4,5
s214,5,5,3,6,2,2,5
s150,3,5,5,5,3,4,3
s254,3,5,7,4,3,7,1
s049,2,3,NA,6,5,5,1
s011,4,4,3,6,5,5,6
s309,4,4,1,7,3,6,3
s080,3,3,5,4,4,3,6
s099,4,1,4,1,5,2,6
s219,4,2,6,4,3,4,1
s207,7,2,7,2,4,2,6
s259,3,5,3,6,4,1,3
s241,5,3,7,2,4,3,6
s004,4,4,2,6,5,6,5
s243,5,1,4,2,6,4,7
s142,4,2,5,4,3,4,5
s275,3,5,5,5,4,7,3
s126,2,3,4,5,2,5,4
s061,6,5,5,3,5,5,6
s008,4,5,2,6,3,5,1
s191,3,4,5,3,2,6,1
s101,6,4,4,5,3,5,3
s020,3,4,5,4,4,5,4
s131,4,5,5,3,3,5,4
s092,6,6,3,6,4,4,4
s173,4,4,7,4,5,4,2
s305,4,3,4,5,4,3,5
s025,5,4,5,4,7,4,6
s114,4,5,4,5,3,7,5
s261,7,3,7,1,5,3,6
s194,6,2,4,4,4,3,2
s257,7,2,4,1,4,2,4
s211,5,1,6,5,4,5,5
s038,4,4,4,6,2,6,5
s316,5,2,3,6,4,5,4
s143,4,6,4,4,4,4,5
s210,3,4,4,5,4,5,5
s042,7,2,6,2,4,6,4
s137,6,3,3,7,2,5,4
s035,3,1,5,4,5,4,4
s144,2,4,3,6,1,7,3
s070,5,4,3,6,3,5,4
s212,5,2,5,2,7,1,5
s050,3,4,1,5,2,6,3
s282,7,1,7,5,6,5,4
s300,4,4,6,5,4,3,4
s091,3,3,3,7,3,4,4
s215,5,4,4,5,3,5,4
s141,5,3,7,3,6,4,4
s317,3,4,4,4,4,3,1
s149,2,2,6,6,2,5,3
s034,3,2,4,3,2,4,4
s154,5,5,2,5,6,7,1
s168,6,4,6,4,5,3,5
s192,5,3,4,4,5,2,6
s277,5,3,4,7,4,4,5
s134,5,4,3,6,4,6,3
s016,5,4,4,4,5,4,4
s253,3,4,1,6,2,7,3
s037,5,2,4,4,3,5,4
s075,4,4,5,4,4,4,3
s263,4,4,5,6,2,4,4
s013,5,2,7,5,5,5,6
s171,4,4,4,5,4,3,7
s224,3,5,NA,6,2,4,3
s100,2,4,2,7,1,7,3
s292,5,1,5,5,4,3,5
s031,3,4,5,5,4,4,4
s187,7,4,7,4,3,2,6
s093,3,4,6,5,7,2,3
s062,3,5,4,5,3,6,4
s032,4,3,6,4,7,4,3
s125,3,3,2,4,4,4,2
s138,6,4,7,2,6,5,5
s176,7,2,4,2,6,2,6
s001,3,5,1,7,4,3,6
s312,6,2,6,6,5,5,5
s223,6,4,6,4,3,3,5
s226,5,4,4,2,6,4,5
s252,4,4,2,6,4,4,4
s155,5,1,3,3,5,2,7
s073,4,5,6,4,5,4,6
s109,5,3,4,5,4,3,3
s199,1,5,4,3,3,3,3
s166,3,4,4,1,4,4,2
s237,7,2,2,5,3,6,3
s291,3,6,5,4,3,6,4
s128,5,3,2,3,5,5,4
s174,2,3,3,5,5,6,4
s175,4,5,4,5,2,7,3
s014,5,4,5,4,7,7,4
s096,2,7,4,4,2,5,4
s095,7,2,2,6,4,6,4
s045,2,4,6,6,4,4,6
s081,4,4,5,4,4,4,2
s213,4,4,7,4,5,5,5
s195,4,3,5,3,5,5,2
s110,4,4,4,3,3,5,5
s178,5,3,5,4,5,6,5
s023,7,3,5,7,5,4,3
s278,2,4,1,7,2,5,1
s029,5,5,4,4,4,3,7
s104,6,1,7,4,4,6,6
s281,1,4,3,6,2,3,3
s184,2,4,3,4,3,5,3
s146,4,6,3,5,3,2,4
s230,4,3,4,4,3,6,1
s203,2,3,6,5,3,3,6
s271,4,2,4,3,3,4,5
s161,5,2,2,3,4,4,5
s111,6,5,2,5,3,4,3
s053,1,5,4,7,2,5,4
s074,5,5,1,6,3,6,3
s218,5,4,4,2,4,3,4
s056,2,5,3,6,2,6,2
s103,4,3,6,2,4,4,5
s197,3,6,1,6,1,6,2
s297,5,3,6,2,5,3,4
s165,4,7,4,5,1,6,4
s027,1,2,2,7,2,5,3
s183,3,4,3,6,3,4,3
s270,6,4,4,5,4,5,6
s201,3,4,4,4,3,4,3
s266,2,2,5,5,5,4,7
s130,4,4,5,5,3,5,3
s115,3,4,3,6,2,7,2
s041,3,5,3,5,2,5,4
s030,1,3,5,4,6,5,4
s164,4,2,4,4,4,5,3
s313,2,5,1,5,4,6,3
s225,7,2,7,3,7,2,3
s102,5,6,7,3,5,2,4
s220,5,4,3,5,4,4,6
s064,7,3,7,3,6,3,7
s181,5,1,6,4,4,4,7
s234,3,2,2,3,2,5,2
s251,4,3,5,5,5,3,3
s267,4,3,4,4,4,4,5
s052,4,6,4,6,3,5,5
s140,3,5,3,7,2,6,4
s299,3,6,2,4,3,5,4
s307,5,4,7,1,5,2,5
s310,4,3,3,5,5,5,4
s108,4,4,2,7,2,6,2
s202,5,2,4,3,6,5,7
s151,5,5,4,3,2,5,5
s287,5,1,6,3,4,4,4
s094,5,3,5,3,4,3,6
s239,3,3,5,2,4,4,4
s133,3,4,2,4,2,4,3
s006,5,2,4,5,5,4,4
s051,1,4,1,5,1,7,3
s198,3,7,1,7,2,6,2
s185,4,4,6,4,4,3,3
s262,4,4,2,6,6,4,7
s209,5,3,6,5,6,4,7
s116,6,2,6,3,4,4,7
s123,5,6,5,2,3,2,3
s106,3,4,3,5,2,6,5
s294,7,5,4,3,4,1,5
s015,4,4,3,2,3,5,5
s026,4,6,3,7,4,4,2
s024,5,5,4,7,5,6,4
s235,7,4,4,3,4,2,4
s248,3,4,5,6,5,5,5
s274,4,4,6,7,4,5,5
s012,5,2,7,3,6,3,6
s264,2,4,3,5,4,5,3
s058,7,4,3,2,4,3,6
s302,3,5,2,2,3,5,3
s227,3,4,5,6,3,4,4
s163,2,4,3,5,4,6,3
s065,7,1,7,3,5,1,5
s260,6,3,7,2,7,2,7
s017,4,5,4,4,5,5,3
s315,7,2,7,3,5,2,7
s318,2,5,4,4,2,5,4
s139,4,1,5,1,6,3,5
s009,4,3,5,3,4,4,6
s083,1,2,3,2,2,4,5
s039,4,5,5,5,4,7,4
s180,7,3,7,3,5,4,6
s221,4,4,2,3,5,3,5
s087,4,5,6,4,3,3,4
s089,3,5,6,3,2,4,3
s124,4,5,3,5,4,5,3
s249,5,4,1,7,1,6,4
s246,4,5,5,4,5,5,4
s190,5,5,3,5,4,5,6
s069,2,4,4,5,2,5,3
s063,4,4,2,7,4,4,3
s044,5,4,3,4,3,7,4
s086,6,3,3,4,3,2,5
s188,5,4,5,7,3,4,5
s255,4,3,4,3,3,5,5
s077,4,4,7,2,5,3,6
s304,2,3,2,5,4,5,3
s217,7,3,3,5,5,5,5
s129,3,4,3,5,4,6,4
s066,5,2,6,4,6,6,5
s169,3,4,3,4,4,5,3
s107,7,1,3,2,6,3,4
s250,6,6,5,5,3,7,4
s085,6,3,4,3,3,1,4
s265,4,4,3,5,3,6,2
s245,4,2,5,4,4,5,4
s162,5,2,4,3,5,5,3
s276,5,4,4,4,4,6,7
s120,6,4,4,5,5,5,6
s293,4,4,2,5,NA,3,3
s283,3,4,4,7,3,5,2
s186,3,1,6,4,4,4,5
s007,3,6,3,5,3,5,3
s298,7,3,4,4,1,4,4
s269,4,4,6,3,5,2,5
s047,3,3,4,6,4,4,4
s222,4,4,5,3,3,5,5
s159,5,3,3,3,3,3,4
s314,3,4,4,3,5,4,5
s072,4,4,4,1,4,6,4
s296,7,3,4,4,3,4,NA
s082,3,2,3,5,3,4,1
