subj_id,q1_F,q2_R,q3_F,q4_R,q5_F,q6_R,q7_F,q8_R,q9_F
s201,3,1,6,4,5,4,6,3,6
s340,3,7,3,7,2,5,3,5,2
s383,5,3,6,4,5,4,6,3,7
s233,4,2,7,3,6,4,7,3,6
s314,4,6,4,4,5,3,3,6,4
s042,6,4,4,5,2,6,3,6,4
s177,3,6,2,4,3,4,1,4,1
s196,4,4,3,5,4,5,3,5,3
s373,5,2,7,3,3,3,4,3,4
s225,4,5,4,4,1,5,1,6,3
s287,4,4,4,2,6,3,4,4,2
s093,4,4,7,3,4,4,7,NA,7
s235,6,5,3,4,6,4,4,6,1
s095,5,4,7,3,5,4,5,3,4
s323,4,5,3,2,4,5,5,4,6
s362,4,6,3,6,2,4,3,5,2
s285,4,4,5,5,5,4,NA,4,5
s117,4,3,4,3,5,4,6,1,4
s129,3,4,6,5,3,4,7,3,2
s355,2,5,6,3,4,NA,4,3,4
s258,6,3,4,1,5,2,6,4,5
s113,6,7,6,3,5,4,7,2,5
s088,6,5,5,3,4,1,6,1,7
s035,6,1,7,1,6,1,6,1,6
s252,3,6,3,6,1,5,2,5,2
s245,4,3,4,5,2,2,3,5,3
s333,3,5,5,5,3,5,4,3,5
s365,3,2,6,4,4,3,5,3,7
s273,4,5,4,5,5,5,5,4,3
s010,5,4,4,5,1,6,2,6,4
s126,3,3,4,3,3,4,6,4,3
s135,3,2,3,5,3,3,6,4,2
s341,5,2,3,2,4,1,4,4,4
s205,5,5,4,5,4,5,2,5,3
s230,4,6,4,4,1,5,5,5,1
s209,6,4,4,4,3,5,3,6,3
s216,3,3,4,7,4,6,4,6,2
s154,4,5,5,7,5,3,2,6,3
s304,3,3,3,2,5,3,5,4,4
s327,4,4,7,2,4,3,5,1,4
s058,4,3,5,4,4,1,7,4,5
s301,6,7,7,4,5,1,4,3,6
s274,5,6,6,4,3,3,4,4,4
s288,4,5,4,4,3,3,3,2,4
s210,5,1,7,2,5,3,3,3,6
s116,1,6,1,6,2,7,1,5,2
s150,3,6,4,4,3,4,4,4,3
s291,4,4,5,3,5,2,4,4,3
s224,5,4,7,3,3,3,4,3,6
s173,4,1,5,4,4,3,3,3,2
s219,5,3,6,4,4,4,7,3,4
s251,3,5,4,5,2,4,4,6,2
s286,4,4,5,3,4,1,4,1,4
s132,2,5,3,3,6,4,6,3,4
s206,3,5,2,7,4,4,2,4,1
s297,4,6,5,4,4,4,3,4,5
s344,6,4,5,3,4,3,4,4,5
s133,6,1,7,3,7,3,6,1,6
s067,5,6,5,1,6,1,5,1,5
s151,3,5,4,6,2,3,3,3,4
s087,4,4,6,2,4,1,4,1,5
s166,3,7,5,5,1,5,3,5,1
s259,5,5,7,4,4,3,4,4,7
s019,3,3,7,6,5,2,4,5,3
s063,7,4,5,4,6,2,6,1,5
s053,4,7,4,5,3,7,4,4,2
s281,7,4,7,1,7,2,7,2,6
s232,1,6,1,6,3,5,2,6,1
s199,4,5,6,2,7,3,4,4,4
s375,5,3,6,4,5,3,6,2,6
s120,4,3,6,4,7,2,6,2,6
s388,4,5,5,6,5,5,4,3,4
s080,4,5,4,3,4,3,2,5,3
s338,3,7,4,7,3,5,3,4,2
s144,3,5,4,4,5,5,5,4,1
s090,5,4,5,5,4,2,1,6,3
s136,5,3,5,5,6,4,3,3,4
s306,6,5,7,2,7,2,5,2,6
s351,3,5,6,4,4,4,5,5,3
s342,3,6,4,6,4,4,6,4,2
s128,4,5,6,4,5,5,3,4,2
s049,2,5,6,5,3,3,4,4,5
s313,6,3,6,4,6,1,4,4,4
s078,5,5,4,4,5,3,4,6,4
s268,5,5,6,4,5,3,4,4,4
s195,7,4,5,4,5,4,3,3,5
s015,5,4,5,2,4,3,2,2,5
s336,6,6,5,2,4,2,4,5,4
s193,3,4,5,5,5,5,3,4,2
s277,4,3,5,1,5,3,4,4,4
s353,3,4,4,4,1,5,5,4,4
s366,2,4,NA,5,3,3,4,4,2
s110,5,3,3,3,4,2,4,5,5
s103,4,7,3,5,4,6,3,4,2
s121,6,6,3,5,1,3,3,6,2
s316,4,6,3,4,3,4,5,4,4
s032,2,5,4,7,2,6,1,7,3
s111,5,4,7,2,5,3,5,3,6
s050,3,5,5,3,3,6,4,4,4
s280,5,5,5,4,4,2,4,5,5
s247,6,3,6,1,6,2,7,4,5
s012,5,3,6,4,3,4,4,3,3
s125,6,3,6,NA,7,1,7,3,5
s377,3,4,4,5,5,4,2,5,4
s396,3,3,2,4,4,3,5,6,2
s057,NA,4,5,5,4,6,3,4,3
s270,1,6,5,6,5,5,4,5,4
s048,1,7,2,7,1,6,2,6,3
s227,1,6,6,4,5,5,2,7,1
s361,2,6,3,7,3,4,4,3,1
s071,7,5,5,4,4,5,4,5,4
s244,1,7,2,6,3,5,1,5,1
s312,5,5,5,1,4,3,5,1,4
s348,4,5,5,4,2,5,2,3,1
s321,5,4,5,1,6,2,7,3,5
s064,4,6,5,6,2,3,4,6,4
s240,3,4,4,2,3,4,4,7,3
s223,3,5,3,5,3,4,4,5,1
s197,7,3,5,3,4,3,5,6,6
s036,5,4,5,2,6,5,4,2,5
s241,4,6,5,2,6,5,4,4,3
s056,6,3,5,4,5,5,2,3,4
s070,5,3,7,4,4,3,4,3,5
s360,5,7,7,5,4,6,3,4,1
s337,5,5,4,7,2,4,4,6,2
s137,7,4,4,4,5,3,4,5,4
s140,1,6,2,5,2,6,3,7,3
s179,6,4,6,4,1,3,5,5,4
s082,5,7,2,5,1,4,2,4,2
s211,2,4,6,5,4,3,4,4,4
s320,3,6,3,2,3,4,5,5,4
s190,4,4,7,4,4,2,4,1,4
s141,4,5,3,6,2,3,3,4,2
s046,5,5,4,5,4,4,5,3,4
s003,4,7,4,4,3,NA,4,7,2
s263,3,6,6,6,3,3,5,5,3
s083,3,4,4,5,3,4,4,6,4
s188,5,4,4,5,4,2,4,6,4
s076,7,4,7,5,5,4,4,4,6
s264,5,4,6,7,7,3,5,2,6
s170,4,7,5,4,4,2,4,4,3
s163,3,6,6,5,5,3,6,3,3
s311,4,3,5,4,4,1,4,3,6
s221,4,4,4,5,5,6,2,7,2
s394,4,6,6,4,3,3,3,4,5
s272,4,3,7,5,6,3,5,1,6
s026,3,3,4,5,2,3,7,4,4
s324,3,4,2,7,NA,4,3,4,2
s369,3,6,4,5,2,6,3,6,2
s356,7,7,4,5,3,4,4,4,2
s124,6,4,5,2,5,1,4,3,5
s122,3,2,6,3,4,4,3,5,2
s294,2,7,1,6,3,5,3,7,4
s092,4,4,5,4,4,2,3,4,2
s185,5,4,5,3,3,5,3,5,4
s302,4,5,5,5,4,2,3,7,4
s030,4,5,2,4,1,3,2,3,1
s382,3,5,3,3,6,4,4,4,4
s331,4,2,5,4,4,7,3,4,3
s002,1,6,6,3,3,5,2,3,3
s158,4,5,3,7,3,5,3,5,1
s255,2,6,3,6,5,4,4,5,6
s086,1,5,3,4,1,5,4,6,2
s248,6,6,7,4,4,2,6,4,2
s208,4,3,7,6,4,6,4,4,3
s204,4,4,4,5,4,7,1,5,4
s246,5,3,6,1,5,3,5,3,3
s386,5,6,5,3,3,5,4,4,4
s234,4,3,5,3,5,5,7,3,3
s249,4,6,2,4,3,5,4,6,4
s292,4,4,3,4,6,4,5,7,5
s131,4,4,5,6,5,3,5,4,5
s174,1,7,2,4,2,6,2,7,1
s385,5,5,6,5,2,3,4,5,4
s328,3,3,5,2,4,4,4,4,6
s145,4,6,6,6,2,6,2,4,1
s043,4,7,3,2,3,4,2,5,3
s329,4,4,4,3,2,5,3,5,3
s068,5,3,7,3,5,3,5,4,4
s023,6,4,4,5,4,3,4,5,1
s098,6,6,3,4,4,3,1,6,4
s215,4,5,4,4,4,4,4,3,5
s020,4,4,4,7,4,4,5,3,5
s399,2,7,4,5,3,4,4,6,1
s352,5,4,5,4,4,3,6,3,4
s222,4,5,7,4,4,5,5,3,5
s261,4,5,4,5,4,3,5,4,4
s031,4,7,5,5,3,1,2,6,2
s384,5,4,5,5,4,2,5,6,4
s108,3,6,5,5,4,7,2,5,2
s349,3,5,4,5,4,5,3,6,4
s062,3,4,5,6,4,3,4,6,4
s016,1,5,4,4,2,1,2,4,4
s345,4,4,7,4,3,3,3,5,5
s146,3,7,4,5,3,5,5,4,4
s298,2,4,5,5,4,3,7,4,3
s305,3,5,4,3,6,3,6,3,6
s034,2,1,4,5,6,5,4,4,3
s013,2,3,3,3,6,2,2,3,4
s284,2,7,2,6,2,5,2,7,1
s266,5,4,4,4,4,1,4,4,3
s028,7,5,7,1,3,5,6,5,4
s238,2,6,3,7,1,3,5,5,3
s389,4,4,6,1,4,4,5,5,4
s290,1,7,5,5,1,4,3,5,2
s271,3,5,5,4,3,3,4,6,5
s397,2,5,5,5,4,7,2,4,1
s315,4,2,3,3,5,4,3,1,6
s099,4,6,1,5,2,5,4,4,3
s282,NA,5,4,3,4,4,5,4,3
s164,4,4,5,5,5,3,5,NA,3
s265,4,3,6,5,5,3,4,2,2
s155,4,5,4,5,7,3,6,3,4
s343,5,3,5,3,5,1,6,3,5
s367,3,3,5,3,5,4,5,3,3
s157,5,3,4,2,7,1,5,2,3
s139,3,6,5,6,4,6,2,5,1
s187,6,5,4,6,4,6,3,4,2
s231,4,3,4,4,5,3,4,3,6
s237,3,4,5,4,3,4,3,2,2
s006,4,4,7,2,5,1,6,3,6
s202,4,4,4,4,5,6,4,1,6
s256,6,4,4,5,5,2,5,3,4
s149,5,6,3,2,5,2,5,1,3
s178,4,4,5,1,7,2,5,4,5
s194,4,5,6,4,5,4,6,4,4
s037,3,7,3,4,5,4,4,3,3
s283,5,4,5,4,4,3,4,5,2
s107,3,6,4,3,1,6,3,5,2
s334,7,3,6,4,6,4,6,3,5
s207,4,4,4,4,2,3,3,3,3
s021,3,5,4,4,4,4,4,3,2
s115,5,2,6,2,4,1,7,1,4
s029,7,4,4,3,4,5,4,4,5
s182,2,6,2,6,5,4,3,3,3
s060,2,5,4,4,4,4,3,5,3
s051,4,6,4,5,1,4,3,5,4
s253,6,4,6,3,5,4,5,4,6
s275,2,5,3,5,2,4,2,4,2
s096,2,6,4,5,2,4,5,5,4
s040,4,6,2,6,2,6,4,5,4
s119,4,2,7,5,3,5,3,4,5
s191,5,2,7,3,5,1,3,2,5
s101,5,3,6,3,3,4,6,4,4
s303,3,6,2,6,1,7,3,6,3
s084,4,2,5,4,6,1,4,4,4
s387,3,6,6,7,5,3,5,4,5
s398,4,7,4,6,1,5,3,6,4
s192,6,3,4,6,5,3,6,5,4
s267,3,6,4,5,4,4,2,1,3
s055,4,5,3,5,3,4,4,5,3
s009,5,5,7,2,5,3,5,4,5
s022,4,4,3,6,1,5,3,3,3
s007,4,3,6,3,6,4,4,6,5
s217,5,4,4,4,5,4,5,3,5
s172,4,3,3,3,3,4,5,6,3
s242,1,5,4,2,4,3,4,2,4
s114,4,4,7,6,1,3,3,4,4
s176,2,4,3,4,4,5,2,4,3
s318,4,4,5,3,6,4,6,2,7
s102,4,4,3,4,2,6,4,4,3
s372,3,4,7,4,3,4,4,4,4
s296,4,5,5,6,3,4,2,6,3
s319,4,7,3,4,4,6,4,3,4
s106,3,7,1,5,4,6,1,4,2
s014,5,2,7,5,4,1,4,6,5
s104,6,5,7,3,5,2,3,2,4
s011,4,5,2,7,2,7,1,6,2
s047,3,7,5,4,3,5,5,1,4
s004,5,4,6,4,4,4,5,3,7
s079,4,4,3,3,4,2,5,4,4
s370,2,4,5,2,4,1,7,4,3
s105,3,3,4,4,5,3,4,3,5
s159,5,2,6,3,4,3,5,3,6
s147,5,5,4,5,4,2,5,4,5
s308,5,3,4,3,6,4,5,1,4
