subj_id,F-q01,R-q02,F-q03,R-q04,F-q05,R-q06,F-q07,R-q08,F-q09,R-q10,F-q11,R-q12,F-q13,R-q14
s129,5,4,7,3,7,3,5,5,7,4,4,3,6,1
s025,5,4,4,3,6,3,5,6,4,2,6,5,4,2
s260,7,2,4,3,6,1,5,1,6,4,5,4,5,2
s106,4,7,4,4,4,6,4,4,3,4,2,7,6,3
s229,3,5,4,3,3,2,5,4,2,5,4,4,4,3
s053,5,3,5,2,4,3,6,4,5,1,7,3,7,1
s168,4,4,4,4,4,4,2,4,5,2,4,5,6,1
s170,4,4,1,5,5,5,4,6,4,6,4,7,3,5
s178,2,5,2,7,2,5,1,6,3,5,4,6,4,7
s092,7,1,4,2,7,1,7,5,7,4,4,5,4,2
s171,2,4,3,6,2,4,1,4,2,6,1,6,4,3
s022,4,5,2,4,3,6,2,5,2,5,3,5,7,4
s153,2,3,3,4,4,5,4,5,3,5,3,5,4,4
s315,4,1,NA,4,4,4,4,7,1,6,2,5,7,3
s055,5,4,3,3,6,1,4,3,5,2,7,2,7,1
s166,4,3,4,2,6,4,7,5,5,2,6,3,7,2
s356,4,2,6,4,5,3,4,5,3,3,5,4,6,2
s067,3,5,2,3,4,7,2,4,3,5,3,NA,5,5
s056,4,4,4,2,4,4,5,2,4,3,4,3,7,3
s040,4,4,4,2,4,3,3,3,4,6,4,5,4,5
s357,4,4,3,4,4,4,6,6,4,5,4,6,5,7
s244,7,1,6,2,5,1,5,3,5,4,6,4,6,1
s350,2,3,2,5,4,3,2,7,3,7,2,6,5,5
s113,2,4,2,4,6,3,4,4,5,6,5,3,7,5
s347,4,4,2,4,5,3,2,7,1,3,3,6,3,4
s155,5,3,4,4,3,5,3,3,3,3,6,3,6,3
s136,3,5,2,4,4,4,1,5,2,4,4,4,5,4
s334,5,2,5,3,4,3,5,5,2,2,5,2,7,3
s245,4,5,3,3,4,2,3,4,3,3,4,5,5,7
s270,3,4,5,4,6,6,4,4,2,4,4,4,6,2
s226,4,5,5,4,5,2,5,5,5,3,6,2,5,2
s125,5,3,4,4,4,3,1,NA,3,4,6,3,4,4
s023,4,7,5,5,4,5,1,NA,2,4,4,6,3,4
s311,7,4,6,5,4,4,2,4,3,5,4,3,4,4
s047,3,4,3,5,6,2,4,4,4,3,3,3,4,3
s126,5,3,5,4,5,4,4,5,4,4,6,6,4,5
s306,4,4,4,4,4,2,2,2,3,5,5,4,6,5
s231,5,5,5,5,4,4,3,7,4,4,5,4,6,5
s173,4,1,3,3,4,4,6,4,6,1,5,4,5,3
s259,4,6,7,3,5,4,3,5,1,6,6,5,4,6
s310,4,4,3,4,4,6,3,3,3,2,5,7,4,5
s116,4,2,7,5,NA,1,7,3,5,2,6,4,6,5
s146,3,4,4,3,5,1,3,3,5,3,5,4,7,4
s128,3,5,4,6,4,5,3,6,2,4,5,5,3,3
s326,1,3,4,4,5,3,2,5,5,5,2,7,4,5
s135,4,5,2,6,4,4,4,5,3,6,4,6,4,4
s042,4,5,4,4,2,5,2,4,4,5,3,5,5,4
s273,4,4,5,4,4,2,5,4,6,4,7,3,5,3
s352,NA,4,4,3,6,4,3,5,4,5,4,5,5,2
s348,4,2,6,4,6,2,5,3,4,2,6,3,7,3
s213,4,3,4,4,3,3,1,6,4,4,3,4,6,1
s098,7,2,6,1,6,2,6,4,4,3,6,3,5,2
s029,3,4,3,4,2,6,2,7,3,4,3,4,4,4
s346,5,4,4,1,4,3,4,3,1,4,5,6,4,2
s107,4,5,1,4,4,4,1,6,3,7,1,7,4,6
s052,5,3,4,5,4,2,4,4,4,3,5,5,5,3
s266,5,5,4,4,4,5,3,7,3,5,2,3,6,5
s358,6,4,5,2,7,1,5,1,7,3,7,3,7,2
s032,3,4,4,5,4,5,3,4,4,6,7,5,5,4
s132,6,5,3,4,4,3,4,5,3,6,5,3,2,6
s190,4,1,3,3,7,3,3,6,4,4,4,4,5,2
s192,4,4,5,4,3,3,4,5,5,1,1,5,7,4
s236,2,6,1,6,2,5,4,6,3,5,3,6,4,3
s331,5,4,1,5,4,4,1,5,5,5,3,5,4,4
s089,4,5,4,5,4,2,1,4,2,4,5,3,4,4
s254,4,2,7,2,6,1,4,3,NA,3,5,4,6,2
s202,6,5,2,5,4,6,1,6,4,4,3,5,6,4
s164,4,1,5,4,6,3,3,4,4,4,6,4,7,4
s247,5,4,3,6,4,4,1,3,2,3,2,4,3,5
s117,4,4,5,3,4,3,2,5,2,4,3,4,4,2
s285,3,4,3,5,4,4,4,5,2,7,4,4,4,4
s215,4,6,1,7,1,7,2,6,1,6,2,7,3,7
s035,3,7,3,5,4,3,1,4,2,5,2,7,6,4
s345,5,5,4,6,3,5,3,3,1,3,4,5,3,5
s093,4,4,3,5,4,4,2,3,3,1,4,4,6,3
s013,4,7,4,5,1,3,3,4,3,5,4,7,4,4
s016,5,3,3,3,5,2,3,5,5,4,6,4,4,4
s268,6,3,5,3,7,4,4,3,6,2,5,4,5,3
s210,5,4,4,5,4,6,5,4,4,3,7,4,5,6
s079,2,4,3,4,4,3,4,6,2,5,4,4,3,5
s172,2,5,5,4,3,5,3,4,4,4,3,6,4,5
s208,4,5,4,5,4,3,4,3,6,4,4,5,4,4
s206,4,5,4,4,5,5,3,3,4,3,3,4,4,4
s284,5,3,5,2,4,NA,4,2,6,1,2,5,5,4
s140,2,7,2,4,3,5,1,6,2,3,2,6,3,5
s355,6,3,4,4,5,1,5,4,4,4,5,3,5,3
s293,5,4,3,3,1,3,3,6,2,3,4,5,4,2
s066,5,3,4,4,4,5,4,7,4,5,4,6,6,3
s194,5,4,5,4,4,4,4,6,4,4,6,5,3,4
s349,3,7,3,6,3,6,1,6,1,6,3,7,3,4
s115,7,3,4,5,5,3,3,5,3,3,3,4,4,7
s110,5,4,5,3,5,2,3,3,5,4,5,3,5,3
s154,6,4,3,3,5,4,7,2,5,4,5,2,6,3
s322,4,5,4,4,3,5,4,4,3,6,4,5,4,NA
s074,4,5,5,3,3,5,1,7,5,6,2,5,4,4
s184,1,5,2,6,4,3,2,6,4,5,4,7,5,7
s101,4,5,2,3,5,3,4,6,4,5,4,6,3,5
s317,7,2,6,4,7,NA,4,5,5,2,7,4,6,1
s160,2,1,6,3,4,7,3,3,5,4,4,3,6,2
s316,6,3,4,1,4,3,5,3,4,3,3,3,3,2
s197,4,5,3,4,2,5,4,5,3,3,5,4,7,4
s005,3,5,4,4,4,4,2,5,4,4,2,3,5,4
s034,3,5,3,5,4,4,3,2,3,5,3,7,4,5
s151,1,7,3,7,2,7,1,7,2,5,4,7,1,6
s323,4,4,2,5,2,7,2,7,3,6,1,7,2,5
s103,5,4,2,1,6,6,3,5,3,4,1,3,4,6
s004,3,5,4,2,3,2,3,4,4,4,4,5,6,5
s216,3,3,1,6,3,5,3,6,3,4,6,4,5,6
s018,5,4,5,2,4,3,5,4,3,3,5,3,5,3
s353,5,2,5,5,1,4,3,5,2,1,5,2,3,4
s111,2,5,1,5,4,4,1,7,4,7,2,4,4,4
s147,4,3,4,4,4,4,4,4,6,5,6,7,4,2
s204,4,3,4,2,4,4,4,4,4,3,6,5,6,1
s134,4,4,3,3,4,4,3,5,3,4,5,4,3,3
s191,5,1,4,3,1,3,3,2,4,6,4,5,6,3
s118,4,2,6,2,7,3,3,4,4,4,5,3,4,3
s163,5,2,4,4,4,4,3,3,5,3,6,4,6,3
s152,4,4,3,5,4,2,1,5,3,5,4,6,3,5
s150,3,5,5,3,4,2,2,5,2,2,4,5,5,4
s239,3,5,4,4,6,6,3,4,2,2,3,4,4,4
s133,3,6,3,4,5,3,4,5,2,4,3,6,3,3
s017,5,1,4,4,2,1,5,3,4,2,5,4,5,4
s071,4,2,7,1,7,4,5,2,7,5,4,1,6,3
s196,6,1,5,2,7,1,7,3,6,4,6,3,6,1
s057,3,4,5,2,3,4,3,4,3,5,3,6,4,3
s078,3,6,2,5,3,3,4,4,3,5,3,4,2,5
s051,3,4,6,4,3,5,3,5,4,2,5,3,6,4
s014,5,3,4,3,3,4,1,6,2,4,3,3,6,3
s359,5,7,1,2,6,1,6,3,4,3,7,3,7,3
s007,5,2,5,4,6,1,3,3,3,3,3,4,6,3
s080,4,4,1,4,2,4,1,3,4,3,2,5,4,3
s043,6,1,4,4,3,5,4,4,3,2,3,4,4,5
s097,5,3,4,4,5,3,5,4,6,1,6,3,5,3
s250,3,4,2,4,4,3,2,7,5,3,4,2,4,3
s138,5,1,7,3,5,2,5,1,6,1,7,2,7,2
s308,4,2,3,4,5,4,5,5,7,3,3,6,5,1
s321,4,3,2,6,4,4,5,2,3,4,5,2,6,5
s109,6,2,6,1,5,3,6,2,7,4,5,2,5,1
s127,5,4,3,5,5,2,3,5,4,4,5,5,4,3
s145,4,2,3,4,3,3,6,5,2,NA,4,5,4,6
s335,5,3,4,3,4,3,2,5,4,5,4,4,2,5
s301,3,6,1,6,4,4,1,4,1,6,2,6,3,4
s299,4,5,3,5,2,5,3,5,2,4,3,4,4,6
s122,4,6,3,2,5,5,2,4,5,4,3,4,4,5
s024,5,5,4,5,5,5,1,4,2,5,5,5,4,6
s292,5,3,6,4,5,3,5,4,5,4,4,3,5,3
s112,7,3,4,2,6,2,4,3,6,2,6,2,5,4
s021,7,2,NA,3,6,2,3,6,4,1,4,3,7,1
s265,5,2,3,3,4,1,3,4,6,3,7,5,7,3
s309,5,4,4,5,4,4,4,5,3,3,3,3,2,4
s237,2,6,4,5,5,4,2,5,2,4,3,5,3,4
s242,5,2,2,7,4,1,4,5,1,4,3,3,5,4
s086,3,6,5,6,4,5,4,5,3,5,6,4,5,3
s006,4,5,3,3,2,4,1,3,3,3,3,6,3,6
s088,NA,4,2,4,5,4,2,6,3,4,5,4,4,3
s108,3,4,1,3,3,6,4,4,5,4,3,6,7,3
s212,4,5,2,4,3,3,1,4,4,3,2,5,5,5
s087,5,6,4,4,4,3,6,4,4,6,6,4,2,5
s255,4,2,1,4,3,5,4,5,2,3,3,3,4,6
s037,3,5,4,4,3,4,3,7,3,3,3,4,3,5
s267,5,5,5,4,4,3,3,6,5,4,5,4,4,4
s314,5,5,2,3,2,4,3,6,4,3,3,6,5,2
s249,4,5,3,3,4,6,5,4,1,3,3,5,4,3
s258,4,3,3,5,4,6,2,4,4,3,3,2,4,3
s232,2,4,4,2,3,3,3,4,2,5,3,3,3,2
s241,4,4,5,4,3,5,1,4,3,5,3,4,5,4
s162,4,4,4,3,4,1,5,4,3,2,6,4,5,5
s338,3,4,2,4,5,5,2,7,3,4,2,4,2,6
s333,4,4,4,2,4,2,1,3,5,4,4,5,5,5
s159,4,5,4,3,3,5,2,5,3,6,4,6,4,4
s020,5,4,6,3,3,2,6,2,5,4,5,4,7,1
s336,3,4,2,3,3,6,3,6,3,6,4,NA,6,3
s050,6,5,3,4,4,4,4,6,4,4,4,7,7,2
s144,5,5,2,5,7,5,3,6,3,3,5,5,1,5
s274,3,5,4,5,1,3,4,7,5,4,3,7,4,2
s141,1,3,2,3,5,3,1,7,3,4,4,4,3,4
s246,7,6,4,4,5,2,4,5,2,3,5,5,4,4
s218,5,3,5,4,6,3,5,3,7,3,5,4,7,3
s121,5,3,3,5,2,5,1,3,4,4,3,5,5,7
s008,5,3,5,4,3,3,5,2,6,2,4,3,7,3
s297,5,4,4,5,3,4,2,4,4,6,4,3,3,5
s143,4,2,3,1,6,4,4,2,7,1,7,4,5,3
s222,5,2,4,2,6,4,5,2,3,3,6,1,4,3
s269,3,5,3,6,3,4,3,4,3,3,2,5,6,6
s325,5,5,6,2,5,4,6,3,4,4,6,4,7,3
s211,2,5,3,5,3,6,3,7,2,3,5,5,4,4
s198,4,4,3,4,4,4,4,6,3,4,4,4,5,4
s342,4,3,5,3,4,3,6,4,7,3,6,3,6,3
s280,4,3,4,5,4,6,4,4,6,5,4,3,4,4
s183,7,4,4,2,3,3,6,5,3,4,5,4,4,4
s277,5,4,3,5,5,5,4,4,3,5,4,5,7,5
s085,6,5,4,6,1,4,2,7,1,4,6,6,4,4
s148,5,3,4,4,6,3,4,3,5,3,5,4,4,2
s279,3,4,1,6,3,3,2,4,3,6,5,5,4,4
s081,3,4,4,3,4,3,6,5,5,5,4,4,6,5
s096,5,4,6,3,4,3,4,2,6,2,7,2,6,3
s048,4,6,1,5,4,4,4,4,1,4,3,4,4,2
s271,2,2,2,5,4,4,3,4,3,4,4,4,4,4
s217,3,2,3,7,4,4,1,6,2,6,4,4,4,4
s328,5,3,2,5,1,2,2,4,4,5,4,5,3,5
s041,4,5,2,6,3,5,2,6,4,4,4,6,2,4
s329,4,5,3,3,3,4,2,5,1,6,2,7,5,2
s343,4,3,3,4,2,7,3,5,3,6,4,4,4,6
s303,1,6,2,5,3,4,3,5,5,4,1,5,4,4
s028,1,4,2,6,2,5,1,7,2,7,1,6,4,7
s327,7,3,4,4,4,4,4,5,4,4,6,4,4,4
s104,7,3,4,3,7,3,7,1,5,2,6,2,7,2
s123,4,3,6,3,2,4,3,5,2,6,4,6,4,4
s188,3,5,4,7,4,4,3,5,3,4,2,6,4,6
s175,6,3,6,2,5,1,4,4,5,3,6,7,7,1
s276,4,4,4,5,1,1,4,7,3,5,2,5,NA,4
s161,3,4,4,4,5,3,2,5,4,4,4,3,6,3
s289,4,3,3,3,2,3,4,6,NA,4,4,3,6,4
s230,6,3,3,3,3,4,3,7,3,6,5,4,6,5
s256,4,4,5,5,6,4,1,4,4,3,4,3,5,4
s105,5,4,1,5,7,3,1,7,3,3,4,4,7,4
s156,4,4,6,5,5,5,4,5,5,2,4,3,6,1
s219,4,5,2,6,4,5,3,5,3,5,1,5,4,7
s221,2,4,4,4,5,6,2,3,4,4,5,6,5,5
s351,3,4,4,4,3,5,4,3,4,2,3,5,4,3
s001,3,2,3,6,5,6,4,5,3,7,6,6,6,3
s114,4,3,5,4,4,2,5,4,5,5,4,4,3,4
s341,3,3,4,5,6,2,6,4,3,4,7,4,5,4
s069,3,6,3,5,3,4,3,7,4,6,4,4,2,3
s102,7,3,5,3,6,1,5,3,5,2,7,4,7,4
s182,6,1,7,2,6,4,5,3,4,3,4,4,5,2
s238,7,1,6,4,7,2,5,4,5,3,5,2,6,3
s177,4,4,3,6,5,4,1,7,4,3,5,2,4,4
s012,5,4,4,1,4,2,6,2,4,3,6,5,5,2
s234,3,2,2,4,5,2,4,5,4,3,6,6,5,3
s288,6,1,5,1,7,1,4,4,4,3,4,2,7,3
s200,3,4,2,5,2,4,1,7,2,4,3,6,4,6
s036,3,3,5,4,4,4,3,4,3,5,5,5,4,4
s307,3,4,1,3,6,4,4,4,3,3,4,7,5,4
s305,5,4,3,6,4,5,4,5,2,6,5,6,4,6
s082,7,5,4,3,4,1,4,2,6,1,6,2,6,2
s167,7,3,4,3,7,4,5,5,5,2,7,4,4,3
s344,5,4,7,4,2,2,5,5,4,3,4,2,7,1
s015,6,3,4,4,6,3,2,3,4,4,4,3,5,4
s054,1,4,3,2,4,4,2,5,3,5,4,5,3,5
s158,4,2,4,3,4,2,3,3,6,5,6,3,4,5
s181,5,4,7,4,4,1,5,3,3,2,5,4,5,1
s251,1,6,2,6,5,4,1,4,1,4,3,5,4,6
s243,4,4,5,4,5,3,4,4,5,1,4,4,7,1
s139,4,5,4,5,5,4,3,5,4,5,4,3,5,4
s340,3,3,5,4,4,1,4,4,5,3,4,4,7,2
s225,3,7,2,7,5,5,3,5,4,4,3,5,4,7
s227,3,4,2,3,5,3,1,3,4,4,4,4,5,3
s090,5,3,3,3,7,4,5,3,3,3,3,3,7,2
s261,4,3,3,NA,5,4,4,2,4,2,5,5,3,2
s240,4,5,5,3,4,4,4,7,1,3,2,4,3,4
s302,5,2,3,3,5,3,4,3,3,3,3,2,4,3
s031,3,4,5,1,4,2,4,4,4,3,7,6,4,2
s026,3,4,3,3,5,6,4,4,3,5,2,3,4,4
s275,3,3,4,3,6,5,4,6,4,4,5,6,1,2
s083,5,4,3,5,4,5,5,5,4,5,3,5,5,3
s296,NA,2,6,3,6,3,4,5,4,4,4,4,6,3
s009,2,3,4,5,4,4,4,4,4,4,2,5,6,3
s295,6,2,4,7,4,7,4,7,3,3,3,5,3,4
s354,5,2,4,4,4,3,4,4,1,6,5,1,6,2
s195,3,3,4,4,4,5,4,5,4,4,5,6,2,2
s220,6,2,3,6,7,6,2,5,2,1,4,5,2,4
s263,5,3,4,3,2,NA,3,6,7,5,4,5,5,7
s189,4,1,3,2,4,4,5,5,3,6,4,7,5,4
s281,7,4,3,5,4,4,5,3,3,5,5,6,4,5
s049,4,4,5,3,4,4,4,4,4,3,4,4,5,4
s064,1,7,1,7,1,7,4,5,3,7,3,6,4,5
s320,6,3,3,4,4,3,5,3,3,3,5,4,7,4
s058,3,4,3,4,3,3,3,6,4,5,6,6,5,3
s272,4,4,4,7,1,5,2,6,2,6,4,6,2,5
s339,3,4,2,6,5,7,4,5,1,5,4,6,4,4
s077,4,5,1,3,6,2,1,5,3,4,5,7,6,4
s361,7,4,4,2,5,1,4,2,4,2,7,2,3,5
s061,3,3,4,5,4,3,5,3,5,4,4,2,4,3
s203,3,1,5,4,6,3,4,3,5,3,6,3,6,4
s070,4,5,3,5,5,4,4,5,2,4,6,4,4,3
s142,6,4,2,5,3,5,2,5,5,5,2,5,4,3
s201,5,5,6,2,6,4,4,2,3,4,5,3,6,4
s233,3,4,3,5,2,5,3,6,4,3,5,4,4,4
s094,4,2,3,4,3,1,3,4,2,4,4,4,3,4
s223,5,5,4,4,3,4,3,4,1,6,4,4,4,1
s362,6,1,5,2,6,2,6,4,5,2,7,2,7,3
s010,4,3,4,5,4,5,3,5,4,7,3,4,1,4
s319,4,3,3,6,4,4,3,4,1,6,6,5,5,4
s287,5,3,4,2,6,4,6,5,3,4,6,3,5,2
s169,4,4,3,3,4,NA,3,7,3,6,3,4,4,4
s062,7,4,3,2,5,2,4,4,4,3,4,3,5,3
s165,3,4,3,4,2,4,3,5,3,5,3,6,4,NA
s131,4,2,5,4,6,2,4,3,3,2,4,1,7,3
s124,6,4,3,3,4,1,4,5,3,3,4,3,6,3
s209,5,4,6,3,7,2,5,3,4,1,5,4,5,4
