subj_id,q01F,q02R,q03F,q04R,q05F,q06R,q07F,q08R,q09F,q10R,q11F,q12R,q13F,q14R,q15F
s017,2,7,3,5,2,2,3,4,1,7,3,5,3,5,3
s009,5,4,2,4,3,3,3,5,2,3,3,3,6,3,3
s103,3,4,4,5,6,5,4,4,6,4,3,6,3,4,NA
s086,4,4,1,4,4,2,4,4,4,4,6,4,3,4,6
s255,4,3,5,2,6,1,6,2,6,5,5,3,5,2,7
s014,4,3,NA,4,4,2,3,5,3,5,3,4,2,7,5
s082,3,2,4,4,6,2,5,5,4,1,5,2,6,2,5
s081,5,5,4,4,5,4,6,4,5,5,6,3,6,4,3
s154,4,3,5,7,3,5,2,5,4,5,NA,5,2,6,2
s274,4,4,5,5,5,3,4,5,2,4,2,2,3,5,6
s142,2,3,3,5,4,4,3,1,3,6,3,5,4,4,2
s015,6,1,7,3,6,2,5,2,5,3,5,3,4,4,7
s359,5,1,4,5,1,1,6,4,2,4,4,3,3,3,4
s058,5,3,4,5,6,4,5,3,4,4,4,4,3,4,3
s193,3,4,4,2,6,3,5,4,3,5,5,2,5,4,4
s123,7,4,2,6,5,3,4,5,5,4,6,1,7,3,6
s121,3,4,4,3,4,3,5,2,3,4,3,6,3,6,5
s104,3,5,3,6,2,3,3,5,1,6,6,4,2,5,4
s107,5,3,4,2,4,3,5,5,4,3,6,4,7,1,4
s259,6,4,4,3,5,4,3,3,6,4,7,4,6,3,7
s199,3,4,3,6,4,6,1,3,3,7,2,5,5,7,4
s031,1,4,4,5,6,3,2,5,4,6,5,4,4,5,4
s004,3,5,4,5,4,4,4,4,2,7,4,5,2,6,1
s057,3,4,3,5,4,2,4,4,4,6,4,4,5,3,5
s096,3,3,3,5,4,4,5,4,2,4,2,5,3,5,NA
s054,5,3,6,4,5,2,5,2,3,3,3,4,5,5,4
s048,5,4,3,4,2,7,4,3,4,4,1,6,5,3,7
s273,2,4,2,4,4,4,3,6,4,5,1,5,2,6,5
s066,4,6,3,4,4,2,4,1,2,5,6,1,3,3,5
s076,6,4,3,4,5,4,4,3,5,4,6,1,4,2,3
s001,4,3,3,4,4,3,7,2,2,3,6,1,5,3,5
s303,6,2,6,4,3,3,5,5,4,6,4,3,6,3,5
s038,1,4,2,4,4,4,1,4,1,5,4,6,2,4,3
s125,1,5,4,6,4,3,4,5,3,4,4,3,1,5,3
s180,4,3,3,5,5,5,4,5,1,7,3,3,1,5,3
s028,3,5,1,4,4,3,3,4,4,4,2,5,4,6,7
s254,3,4,4,4,2,2,4,2,4,6,5,3,3,4,7
s188,2,5,2,5,6,4,2,5,3,5,4,5,6,4,4
s364,7,2,5,3,7,4,5,4,4,4,NA,5,5,6,5
s201,6,4,4,5,4,4,6,5,5,2,6,3,6,4,6
s019,5,4,6,2,5,1,5,1,4,2,4,3,7,2,7
s266,1,6,1,5,1,5,2,5,3,4,3,6,1,6,4
s337,4,2,7,3,3,4,5,5,4,2,4,2,5,2,4
s218,3,3,4,2,5,4,3,6,2,4,6,3,5,5,4
s044,6,2,5,2,6,2,4,3,5,1,6,3,5,3,6
s194,3,4,4,4,4,6,5,3,3,4,6,4,5,3,4
s308,5,3,1,7,6,4,3,6,3,3,2,NA,3,5,2
s151,5,4,3,5,4,2,5,4,2,3,6,4,6,3,5
s007,4,2,3,5,5,4,5,3,4,4,5,5,5,2,7
s228,5,3,4,3,4,1,3,3,4,4,5,4,5,2,5
s002,1,4,3,5,2,7,3,7,1,7,1,7,1,5,1
s177,4,4,4,5,4,4,4,5,1,5,4,4,3,4,NA
s374,3,5,4,4,4,3,2,3,1,4,3,3,5,4,4
s168,4,6,3,5,4,5,4,4,1,6,2,5,4,7,3
s325,4,4,3,3,5,3,4,3,5,2,4,3,4,4,5
s129,1,4,7,3,7,4,7,3,3,5,5,2,6,4,1
s344,2,3,2,4,5,4,3,4,1,5,4,5,4,3,5
s034,5,3,4,4,5,2,3,4,4,6,5,3,4,4,7
s327,4,5,3,5,1,3,1,7,2,3,4,3,3,5,5
s233,5,1,3,7,6,4,5,4,3,4,4,5,3,3,5
s358,6,2,2,1,3,2,4,3,5,4,6,4,4,6,5
s282,5,3,3,5,2,2,6,5,4,6,2,4,3,2,5
s339,2,3,5,4,3,6,4,5,4,3,1,5,5,7,3
s247,3,3,3,6,4,3,6,4,5,4,4,3,4,4,5
s020,4,4,4,7,3,4,4,7,4,4,3,4,3,3,5
s270,1,5,3,4,3,3,4,7,2,5,1,5,2,7,4
s378,2,5,3,5,6,5,4,4,2,5,4,5,2,4,4
s235,3,4,2,6,2,3,3,5,3,6,2,5,3,6,2
s223,4,3,4,2,4,3,2,6,3,4,4,7,3,3,4
s108,6,2,4,3,5,3,2,4,6,3,2,2,4,4,6
s106,3,6,3,6,3,7,1,6,2,4,2,6,1,5,4
s005,2,5,4,2,5,2,5,2,1,3,NA,5,4,4,4
s116,2,4,4,3,3,3,3,4,4,4,4,3,2,5,4
s128,6,2,7,1,7,2,6,1,7,1,6,1,6,3,7
s030,3,4,4,5,2,4,3,2,5,6,4,3,4,3,3
s316,5,2,4,4,4,4,2,1,4,4,5,4,4,3,5
s195,3,5,3,3,4,4,4,5,3,6,5,2,5,6,5
s328,6,3,2,5,4,5,3,6,3,3,4,1,4,4,4
s225,3,4,2,6,3,5,3,2,3,5,4,6,3,5,3
s234,3,3,4,6,6,NA,4,2,4,5,3,3,7,3,2
s170,4,2,4,5,3,4,2,4,4,5,3,4,5,3,2
s269,1,6,4,4,5,1,4,6,4,7,3,4,4,3,5
s284,4,3,2,3,4,2,5,5,5,4,3,1,4,3,7
s039,5,3,4,3,5,2,3,5,4,5,5,4,6,4,6
s256,6,1,5,6,6,2,4,2,2,3,5,2,6,3,7
s192,1,5,3,5,2,5,3,4,1,7,3,4,3,6,5
s185,5,1,3,4,4,5,5,5,NA,4,6,3,4,4,4
s122,2,5,5,6,2,3,4,4,1,6,5,4,4,5,3
s312,6,5,4,5,6,5,4,5,4,5,4,1,6,5,4
s219,4,3,3,5,5,1,3,4,5,4,1,4,4,4,7
s171,5,4,5,3,6,2,3,4,5,3,4,2,6,4,5
s120,3,5,3,4,6,3,1,5,2,6,2,5,2,4,5
s090,4,3,5,4,5,3,4,2,4,3,3,3,3,5,4
s224,3,5,3,7,3,5,3,6,1,7,1,6,1,3,3
s027,2,3,4,5,5,4,5,4,3,2,4,3,5,4,2
s346,2,4,3,1,7,1,2,1,6,1,6,3,3,3,7
s052,7,1,7,1,6,1,5,1,5,4,7,1,7,2,7
s362,4,5,5,5,1,7,3,7,1,4,2,5,3,5,4
s271,2,5,4,5,4,4,3,1,3,7,5,5,3,5,6
s280,6,1,3,4,4,1,4,3,6,3,4,3,5,1,6
s021,6,5,3,4,4,5,4,6,1,5,3,5,5,5,2
s158,4,2,4,4,3,4,6,3,4,6,5,1,3,4,6
s257,4,2,4,3,6,3,5,4,4,5,5,2,4,4,5
s240,3,3,1,4,3,5,5,5,2,5,5,6,4,4,4
s183,7,2,4,4,5,2,4,2,5,2,7,4,5,4,5
s140,6,4,6,4,3,1,7,2,7,1,7,4,4,3,6
s379,3,2,2,6,4,2,6,5,4,3,4,2,5,4,4
s162,3,3,1,6,3,1,2,2,4,3,4,6,2,4,4
s217,4,4,2,3,5,4,4,5,1,4,7,3,5,5,4
s248,2,7,2,6,1,4,3,3,2,7,4,5,5,7,2
s060,4,4,3,4,2,1,5,5,4,5,5,5,4,6,4
s012,4,6,2,5,4,2,4,4,3,3,5,3,4,5,2
s198,6,3,3,4,4,3,3,4,4,4,2,3,7,5,5
s144,4,4,4,5,3,5,4,4,3,3,5,4,2,4,4
s204,4,5,3,5,3,1,3,3,2,4,3,4,6,5,5
s161,4,2,4,4,4,2,5,5,4,NA,4,4,5,6,6
s371,5,3,3,7,NA,4,2,6,2,7,3,5,3,5,4
s222,4,7,3,5,2,3,3,3,1,5,1,5,3,6,4
s215,5,1,4,6,6,3,4,1,5,3,4,4,5,2,6
s079,5,5,4,5,3,3,5,3,4,4,5,4,6,2,7
s352,1,4,3,6,2,4,3,5,4,6,4,4,4,5,3
s182,2,1,4,4,6,3,4,4,7,3,6,3,4,4,6
s275,4,5,7,6,5,4,7,3,4,4,5,1,6,4,4
s165,4,7,4,3,3,3,5,4,3,6,1,3,2,5,4
s318,1,4,2,5,4,4,4,4,3,1,3,4,4,7,3
s295,3,4,2,5,1,5,3,5,1,5,2,5,3,4,3
s363,4,3,3,3,1,3,4,4,4,3,2,5,3,5,3
s347,5,3,1,3,2,4,5,2,4,5,4,4,2,4,3
s061,NA,2,2,4,5,1,4,1,7,3,4,1,7,2,5
s260,4,3,2,4,3,4,5,5,4,4,5,1,3,2,4
s283,5,4,5,5,3,4,5,4,3,4,5,4,3,4,4
s287,1,5,3,5,3,3,4,1,3,3,2,4,5,6,3
s332,4,4,3,4,4,2,4,5,4,3,2,4,3,5,4
s262,3,6,2,7,4,4,3,3,6,5,4,2,2,7,3
s062,4,2,1,5,6,2,3,4,5,4,3,3,4,4,4
s355,4,1,6,1,5,3,5,1,6,3,5,1,7,2,5
s237,4,4,3,5,2,6,6,2,2,6,4,4,4,5,6
s119,5,3,3,4,1,5,5,5,3,5,4,3,4,5,2
s342,4,4,5,1,5,2,5,3,3,4,5,3,5,2,7
s148,4,3,4,4,2,1,3,5,6,6,2,3,4,5,6
s319,4,3,3,4,4,3,3,6,3,4,2,5,3,6,6
s174,3,4,1,4,6,4,3,4,1,4,3,5,3,5,5
s231,3,3,3,5,3,4,3,4,3,6,4,3,3,3,4
s281,4,3,6,1,5,2,5,4,4,1,5,3,6,3,6
s029,1,6,4,4,4,2,5,6,4,2,2,4,5,4,1
s314,4,2,4,4,6,1,6,3,5,1,4,3,6,3,6
s376,4,3,4,NA,4,6,4,5,2,6,3,4,1,4,2
s200,6,4,4,2,5,2,4,4,5,3,3,4,4,4,5
s306,5,3,6,1,6,2,7,4,7,3,6,3,4,2,5
s252,5,4,4,4,1,4,4,2,3,5,2,3,4,4,5
s381,2,3,5,4,4,1,2,4,4,4,4,5,2,3,7
s216,6,2,7,3,5,3,5,2,3,3,5,3,5,3,7
s351,7,5,4,4,2,2,4,3,5,5,6,4,NA,2,4
s084,1,1,1,5,4,2,3,5,3,4,4,5,4,5,2
s043,2,3,2,6,5,4,3,5,3,6,5,5,2,4,5
s143,5,6,4,5,4,4,1,4,2,5,1,5,4,4,5
s335,3,4,4,5,4,4,4,4,6,3,3,4,5,3,4
s251,4,5,1,6,6,4,3,6,3,5,5,5,6,5,3
s297,2,7,1,6,4,NA,3,4,2,6,3,4,3,7,2
s296,4,3,2,4,2,2,4,1,4,4,4,4,7,4,5
s267,4,4,4,2,4,1,5,4,5,3,5,2,5,4,6
s366,4,2,4,2,4,1,3,2,6,4,5,1,7,1,4
s127,5,5,3,5,5,4,4,4,2,4,4,5,4,4,4
s080,4,4,2,5,7,2,4,4,4,4,3,3,4,4,3
s173,5,3,5,2,5,2,5,2,3,4,4,3,5,2,4
s111,3,4,2,7,3,1,3,6,4,5,3,3,1,5,3
s244,4,5,4,5,6,2,5,2,4,3,3,4,3,6,6
s367,7,2,5,4,3,3,5,3,6,3,5,4,3,3,7
s307,3,5,3,6,2,7,2,7,2,3,3,4,2,7,3
s377,1,5,4,5,4,5,4,2,3,5,3,5,4,5,4
s311,4,3,3,1,4,5,5,4,3,3,7,2,1,3,5
s131,2,4,4,4,3,2,6,4,3,5,4,3,5,5,7
s368,5,4,4,5,6,4,4,3,4,3,3,3,4,3,3
s279,3,3,2,6,4,4,4,4,6,4,3,4,4,5,6
s264,3,4,4,5,4,2,4,2,2,5,3,3,3,2,5
s092,3,3,4,5,2,5,1,7,4,6,1,4,2,3,4
s083,3,7,5,5,4,3,3,4,4,7,3,4,3,6,5
s089,5,3,4,2,6,3,5,2,1,4,4,2,7,2,5
s285,3,4,4,3,4,2,3,4,4,4,3,2,4,4,3
s139,4,4,4,5,3,5,4,2,5,4,4,3,5,4,5
s099,3,4,4,7,3,4,5,4,2,6,7,3,4,3,4
s361,5,1,5,4,4,2,6,3,5,4,4,2,5,4,7
s341,6,3,6,4,7,2,6,4,5,2,4,4,3,5,6
s098,2,4,2,6,4,2,4,3,4,5,5,2,2,5,4
s146,4,6,3,4,4,4,5,3,6,4,5,4,3,4,4
s085,5,4,4,5,4,2,5,2,3,3,4,2,4,3,6
s126,1,5,1,5,4,4,3,5,2,5,3,7,2,3,4
s206,3,6,1,6,4,3,4,4,2,3,2,4,3,7,4
s022,5,6,5,2,5,1,4,4,5,2,4,3,4,7,5
s220,6,3,5,4,5,2,4,3,4,2,6,3,6,5,5
s091,1,7,1,6,2,4,1,5,2,4,3,6,1,7,4
s197,4,5,3,4,4,3,2,4,3,5,3,6,3,5,4
s245,3,1,3,5,4,2,6,6,5,3,4,2,3,3,4
s172,3,5,3,4,1,3,5,6,2,7,3,4,3,6,6
s253,7,1,5,1,3,3,5,1,5,2,6,4,4,4,4
s157,4,2,6,4,4,1,5,3,5,5,5,1,4,3,4
s250,5,1,1,4,6,1,7,4,4,2,5,2,5,2,7
s345,3,5,3,3,3,4,4,5,4,5,3,5,3,4,4
s189,3,4,2,5,4,3,2,4,5,5,3,5,2,5,3
s047,4,4,3,5,3,1,4,4,2,3,6,4,5,3,2
s094,4,5,3,5,5,4,6,5,1,3,2,4,1,3,5
s166,4,3,2,4,3,5,3,5,3,4,3,5,4,5,4
s229,5,3,3,4,3,4,5,6,1,4,5,1,5,6,3
s063,5,5,3,4,4,4,4,3,4,4,4,4,5,3,4
s321,5,2,4,4,NA,1,3,2,3,4,4,4,5,5,4
s110,3,1,4,3,4,1,4,1,4,3,6,1,7,3,7
s159,2,5,2,5,6,5,3,4,4,5,5,4,2,5,2
s018,5,1,4,5,5,2,5,NA,5,2,5,3,6,3,4
s055,4,4,4,1,4,4,5,3,4,4,4,2,3,3,3
s211,5,3,4,4,5,5,5,4,4,2,4,4,5,4,5
s097,3,4,3,4,5,1,5,4,3,4,3,2,4,3,6
s208,4,3,3,3,5,4,4,4,3,3,6,3,5,4,6
s249,1,2,3,3,4,3,4,3,2,3,2,3,5,4,5
s016,3,2,7,1,7,3,3,2,4,3,6,2,4,3,6
s230,5,4,4,4,7,4,6,4,3,2,5,3,7,3,6
s036,5,4,2,5,4,5,4,4,1,4,4,7,3,5,4
s343,NA,3,7,3,4,3,5,3,4,4,5,2,5,3,5
s288,5,5,4,4,5,3,5,2,5,5,3,3,7,2,7
s117,4,3,4,6,3,1,3,6,2,4,2,2,3,3,3
s003,4,5,3,5,1,3,2,4,3,7,4,3,3,4,5
s118,5,1,3,3,4,2,7,4,2,2,4,4,6,6,5
s141,3,3,4,4,7,4,6,3,5,4,5,3,4,2,4
s176,2,6,1,6,4,3,1,4,4,4,4,3,3,5,4
s304,4,3,4,4,3,3,4,3,5,4,4,5,5,5,4
s388,3,3,5,5,2,5,3,3,1,7,1,5,3,4,3
s242,2,5,4,6,1,3,1,4,3,6,3,4,3,6,3
s023,2,5,3,5,2,4,2,4,2,6,2,7,2,6,5
s380,NA,4,2,4,2,3,3,3,3,5,2,3,5,3,3
s340,4,2,3,3,4,3,4,5,5,4,5,2,5,5,5
s324,NA,4,4,5,5,4,5,3,4,3,4,4,4,4,4
s164,5,2,4,6,3,5,5,3,4,5,5,3,5,4,5
s263,2,6,4,5,6,4,4,5,3,4,1,3,4,5,5
s292,3,4,4,4,3,1,4,2,5,4,4,4,5,4,6
s152,4,5,5,4,3,4,3,5,2,4,4,5,3,4,4
s384,3,3,4,6,4,6,1,4,3,4,5,5,4,4,4
s272,6,4,4,3,4,3,4,3,3,5,5,4,6,3,6
s074,4,4,5,4,7,2,5,4,2,5,4,4,4,6,6
s053,4,5,4,5,4,3,2,4,2,7,4,4,4,3,3
s095,6,3,5,4,7,2,6,3,7,3,5,1,4,1,5
s360,6,3,4,4,5,1,5,4,3,7,7,1,4,4,1
s243,1,5,6,4,3,4,4,2,1,4,5,2,4,5,3
s356,2,7,4,5,2,5,4,6,1,6,1,6,1,6,1
s068,3,2,4,3,4,3,4,3,3,1,2,4,5,3,5
s073,5,4,4,2,4,4,3,1,3,3,5,4,3,4,6
s075,4,4,2,5,3,4,3,4,3,7,1,6,1,6,4
s302,5,1,7,5,5,1,6,3,5,3,7,1,5,3,7
s323,4,4,3,3,3,4,3,4,2,4,2,5,5,6,4
s350,4,5,1,6,4,1,3,3,5,3,4,3,4,5,6
s051,4,4,2,5,2,4,3,3,4,4,2,6,2,6,4
s329,4,4,4,4,2,4,5,5,4,4,4,4,4,6,2
s056,2,4,3,5,2,4,2,4,3,6,3,5,6,6,6
s134,3,7,3,4,4,2,3,4,2,4,4,2,3,5,4
s100,3,2,4,4,3,2,5,3,5,7,3,1,4,5,5
s138,5,2,5,3,3,3,4,2,4,5,6,3,4,4,7
s277,5,NA,4,3,5,2,4,2,3,3,3,4,4,3,5
s065,3,4,5,4,4,4,3,5,3,3,4,4,4,5,3
s033,5,3,3,5,4,2,5,4,3,5,4,4,4,4,3
s050,4,5,5,4,4,5,5,3,4,NA,3,1,4,2,4
s334,3,4,2,4,3,3,4,5,1,4,3,4,3,6,1
s175,5,3,1,5,2,2,1,4,1,4,2,3,2,6,5
s088,4,4,2,5,3,4,4,3,1,4,3,4,4,5,3
s130,4,3,4,5,4,4,3,4,3,6,3,3,4,4,6
s115,4,2,4,6,7,3,5,4,6,4,4,3,4,7,6
s239,5,6,5,5,6,4,6,3,4,3,5,4,6,4,5
s375,4,6,4,4,4,5,2,5,3,4,1,5,4,6,4
s261,5,5,5,4,4,5,4,3,1,7,4,7,4,6,5
s114,2,4,2,7,4,5,3,5,2,5,2,5,3,5,3
s026,4,6,4,4,4,3,3,3,4,7,1,3,1,6,4
s298,5,5,1,3,5,5,6,4,4,5,NA,3,5,3,5
s209,3,4,4,4,3,4,5,3,4,5,5,2,5,6,2
s301,3,3,4,5,3,6,4,4,3,4,2,2,3,4,4
s169,3,5,4,6,5,3,3,4,3,4,3,5,4,7,4
s268,5,3,3,5,4,3,5,2,5,3,3,1,6,2,7
s294,4,4,4,6,1,4,2,6,5,4,3,5,3,7,4
s008,2,4,3,7,4,4,4,7,3,7,2,5,3,5,3
s289,2,3,4,4,3,4,5,2,1,6,1,5,3,6,2
s145,5,2,5,1,6,4,3,3,2,1,4,5,4,2,6
s064,3,5,1,4,3,2,5,5,3,5,2,6,5,6,4
s045,5,4,6,3,7,1,6,1,7,3,4,1,6,NA,6
s006,3,3,2,4,5,4,2,4,1,4,5,6,4,5,3
s087,6,2,3,3,5,3,4,4,5,3,4,3,5,3,3
s238,4,4,5,4,4,2,3,6,5,4,4,6,4,4,6
s124,1,5,3,4,3,6,4,5,2,4,3,3,5,6,3
s326,4,5,3,6,5,2,3,3,5,4,5,4,7,4,7
s109,3,5,2,5,4,6,3,5,1,5,1,4,3,5,3
s132,3,5,4,5,4,3,2,6,3,6,1,3,4,4,5
s372,4,1,4,4,3,5,4,6,3,3,4,2,4,5,5
s315,4,3,5,5,6,3,4,3,3,4,4,4,3,4,4
s357,5,4,6,4,3,2,5,3,4,3,5,3,6,4,5
s286,4,5,3,6,5,6,5,4,4,6,4,4,4,5,7
s205,4,2,1,7,3,5,4,3,2,7,3,4,3,5,4
s184,2,7,4,5,3,4,4,4,2,3,3,2,4,6,2
s105,4,3,3,4,4,3,1,3,2,4,5,3,4,4,5
s163,6,5,7,3,4,3,4,4,5,3,4,3,5,3,4
s135,5,2,4,3,5,2,6,4,5,3,3,2,7,4,7
s246,2,5,2,4,3,5,3,7,2,3,3,4,4,6,4
s373,4,4,2,4,4,4,7,1,2,4,1,3,5,4,7
s386,3,4,2,4,6,3,4,2,4,5,4,5,4,4,3
s035,4,5,4,4,7,1,6,1,1,3,4,3,4,6,5
s389,4,7,5,2,4,3,7,5,4,3,3,6,3,6,5
s010,4,4,4,6,6,4,3,4,3,5,5,4,5,4,3
s179,2,4,3,4,5,5,4,5,3,4,4,5,3,2,5
s042,5,2,4,5,6,7,3,4,2,4,1,5,4,4,4
s187,3,4,6,4,3,6,4,6,2,7,4,5,4,4,4
s320,2,6,2,6,2,5,1,6,1,7,1,7,4,4,3
s236,2,5,4,6,3,4,4,4,1,5,5,4,4,2,5
s011,2,1,4,2,5,1,5,3,4,4,7,2,6,3,7
s136,5,1,4,3,6,2,5,2,6,1,7,4,5,2,5
s227,3,5,2,4,5,4,1,3,3,4,2,3,2,4,3
s226,3,4,2,5,2,5,5,4,2,3,4,4,1,6,7
s093,4,4,2,4,3,3,4,6,4,5,4,2,2,6,4
s330,5,3,5,4,4,3,5,2,3,3,4,3,5,3,4
s037,5,4,1,6,2,3,4,5,4,2,5,6,4,6,5
s369,3,5,4,3,7,2,5,2,4,2,4,4,5,2,5
s299,5,7,5,4,4,3,4,4,6,3,2,4,3,2,6
s112,4,5,4,6,4,3,6,4,5,3,4,4,4,5,4
s196,4,5,3,4,4,5,3,4,4,6,2,3,5,4,4
s181,5,3,4,5,3,4,4,4,4,3,5,5,4,2,3
s153,1,3,4,6,5,2,4,4,4,5,3,2,6,4,4
