subj_id,F q01,R q02,F q03,R q04,F q05,R q06,F q07,R q08,F q09,R q10
s204,4,5,4,3,5,3,5,4,4,2
s324,3,7,4,7,2,5,3,5,2,4
s236,2,4,6,4,1,4,3,5,6,6
s069,5,5,6,5,4,4,5,2,6,4
s282,7,5,4,5,2,NA,2,4,2,2
s142,4,3,6,3,5,2,5,3,5,3
s032,7,4,5,3,6,3,2,1,3,3
s335,4,7,6,5,3,6,3,3,3,7
s019,2,6,3,4,2,6,5,5,2,4
s202,4,7,5,7,2,5,4,4,4,6
s169,4,5,6,4,4,2,3,2,4,4
s120,6,4,7,2,5,3,5,1,5,3
s183,7,3,5,4,5,1,5,4,7,1
s313,5,4,4,3,1,3,4,3,7,6
s218,5,5,7,5,2,4,4,4,6,4
s382,6,5,4,6,2,3,3,5,5,6
s304,3,6,5,3,2,4,4,1,3,4
s062,5,3,7,3,6,1,6,3,4,2
s175,3,3,7,4,3,5,4,4,5,7
s384,4,4,4,5,4,4,4,4,4,3
s137,3,6,6,5,4,5,2,4,3,5
s181,6,2,5,5,4,4,5,3,4,4
s129,3,4,5,2,6,4,5,2,4,3
s112,7,5,5,4,6,3,3,1,6,5
s153,3,5,6,5,4,6,2,4,4,4
s073,2,4,5,4,4,6,2,2,4,5
s315,4,5,6,5,5,2,5,4,4,4
s115,2,6,4,5,4,2,5,5,3,5
s266,4,NA,4,5,3,5,4,3,4,4
s250,2,4,1,4,4,5,5,4,4,4
s333,4,5,5,4,3,4,3,3,4,5
s220,3,4,5,4,4,6,5,4,3,4
s210,5,3,7,4,6,4,5,1,4,3
s290,6,4,5,4,4,2,4,4,4,1
s114,1,7,3,7,1,7,4,5,3,4
s086,6,6,5,4,4,2,4,1,6,5
s095,4,4,5,4,3,1,5,3,4,4
s092,4,7,4,5,1,4,4,4,4,3
s074,2,3,3,4,4,3,4,4,NA,5
s165,6,5,3,7,4,6,2,4,3,4
s295,4,5,3,4,3,5,5,4,6,4
s193,4,4,4,3,3,4,2,4,4,1
s330,5,7,5,5,5,4,2,4,4,4
s037,4,5,4,5,4,6,5,3,2,4
s052,4,5,5,4,4,5,3,1,3,1
s091,4,3,4,4,2,4,3,3,5,4
s320,4,6,4,5,4,5,5,4,4,4
s256,4,4,2,5,4,5,3,6,5,4
s270,6,4,4,6,3,3,5,4,4,5
s286,7,5,5,2,5,5,6,2,7,4
s216,2,5,5,4,3,4,4,4,5,4
s038,5,3,5,6,1,4,4,4,6,5
s356,1,7,1,7,1,6,1,5,1,6
s049,4,4,7,4,7,2,4,3,7,1
s377,4,3,7,3,6,4,6,4,4,3
s383,4,3,5,4,3,3,4,5,4,1
s158,5,4,5,3,3,4,4,4,4,2
s060,3,6,2,3,3,5,2,5,3,5
s148,5,3,4,3,6,3,5,4,4,3
s088,4,5,6,5,1,6,6,4,1,6
s098,6,5,7,4,2,4,4,4,5,2
s252,4,3,4,4,6,2,4,3,5,2
s263,4,4,6,1,4,3,2,4,7,3
s106,2,5,4,4,3,5,4,5,3,4
s221,5,1,6,2,5,5,5,4,6,3
s310,4,5,6,4,5,3,3,4,3,3
s378,4,7,4,3,3,3,6,4,7,5
s100,7,1,7,4,5,1,4,2,6,1
s027,6,4,7,3,5,1,4,3,5,2
s033,2,7,3,5,1,5,3,4,4,4
s083,2,6,4,5,1,5,4,5,3,4
s358,4,5,4,4,3,4,6,3,4,4
s068,1,5,2,7,2,5,3,6,1,7
s177,4,1,4,4,3,3,6,5,3,5
s301,5,3,5,3,3,1,5,3,6,1
s010,3,4,3,6,4,4,6,4,2,3
s259,4,4,7,3,3,4,3,2,3,4
s255,6,4,7,3,4,4,6,1,6,2
s379,3,5,4,4,1,6,5,4,4,2
s331,3,5,4,7,1,5,3,5,2,5
s212,5,4,5,5,2,4,3,3,4,2
s057,7,3,7,2,7,1,7,1,7,2
s072,4,1,5,3,4,2,4,1,6,1
s253,5,5,3,4,3,5,3,3,2,5
s299,3,5,3,6,1,6,1,5,4,6
s061,4,4,4,2,3,3,5,4,5,5
s200,6,4,4,3,4,3,6,2,6,4
s332,3,6,4,7,6,3,5,2,5,4
s374,4,4,5,7,3,5,5,2,5,4
s192,4,4,5,4,4,3,4,4,5,4
s058,6,5,5,3,5,5,4,3,6,5
s081,4,5,5,2,NA,3,6,3,4,5
s041,4,3,6,3,4,3,6,1,5,3
s131,3,7,5,5,1,3,2,6,6,5
s104,5,4,5,4,5,1,4,3,4,2
s208,1,5,3,6,4,5,4,7,1,4
s211,5,2,4,4,4,6,3,3,2,3
s380,6,6,6,5,2,4,6,4,7,6
s080,2,5,5,6,2,3,3,4,7,4
s246,6,4,4,5,4,7,5,4,4,2
s240,2,6,3,5,3,5,4,3,3,4
s107,6,4,7,2,3,2,6,2,4,3
s136,6,5,5,4,1,3,3,3,4,3
s147,4,4,6,4,4,3,4,NA,4,3
s359,5,4,7,5,3,3,2,3,6,5
s197,4,5,7,4,3,4,NA,2,3,4
s348,3,7,5,4,2,6,3,6,3,7
s097,4,5,5,5,2,3,4,1,3,3
s011,4,5,5,5,1,3,5,6,5,3
s071,6,4,7,3,4,2,7,2,6,3
s188,5,3,7,1,4,4,5,3,6,5
s001,4,4,4,5,2,5,3,4,3,4
s226,4,3,5,2,5,4,5,3,3,3
s013,5,4,6,4,5,1,4,4,5,3
s093,5,6,6,5,5,2,4,7,3,3
s233,4,4,7,4,1,3,4,3,7,4
s174,5,3,5,2,4,4,4,4,5,2
s066,5,4,4,7,3,1,6,5,3,3
s386,4,6,4,6,2,5,2,6,3,5
s245,5,4,7,3,7,3,4,3,4,1
s042,6,5,4,3,4,3,3,4,4,4
s361,3,5,4,6,3,4,1,3,5,5
s070,4,4,4,4,2,4,4,3,6,4
s006,3,5,3,6,2,6,1,5,3,4
s373,4,3,7,4,2,3,7,2,3,5
s159,5,2,4,3,6,3,6,2,6,1
s180,4,6,6,5,1,6,4,5,3,5
s308,2,7,2,6,2,6,3,7,2,4
s054,6,3,3,3,4,3,4,4,6,1
s309,7,2,7,2,5,1,6,1,7,3
s244,5,5,6,4,4,3,4,1,5,3
s267,1,2,4,2,2,4,5,5,3,5
s344,4,5,6,4,2,4,4,2,5,3
s171,3,4,4,3,4,4,2,5,3,5
s079,4,7,4,5,3,4,4,4,4,2
s381,4,3,6,4,3,3,3,3,5,5
s005,3,4,6,5,4,4,4,5,5,3
s287,6,5,5,4,2,4,2,4,4,5
s145,4,4,6,5,7,4,5,3,6,4
s110,4,7,4,4,5,4,4,4,5,4
s030,6,5,5,3,4,3,6,3,6,3
s232,5,4,5,4,3,4,5,5,4,4
s322,2,7,4,7,3,6,4,5,3,4
s166,1,7,4,7,2,5,5,5,5,6
s196,4,4,6,3,1,4,4,2,4,4
s251,3,5,5,5,4,3,5,3,4,4
s273,3,4,4,7,2,5,3,2,3,7
s053,2,4,4,6,4,4,3,4,4,3
s209,2,5,4,6,2,5,2,5,3,6
s028,2,5,2,4,1,7,2,3,1,5
s084,5,3,5,3,5,3,6,4,5,5
s265,2,5,3,6,1,5,3,6,1,3
s249,5,4,4,5,4,5,4,3,5,3
s241,3,5,5,7,2,5,3,5,6,6
s140,3,3,5,5,4,2,3,4,4,4
s151,5,4,4,2,4,3,4,3,5,3
s223,4,5,4,2,6,2,4,4,6,5
s194,3,3,7,3,4,3,6,1,6,3
s339,4,7,5,6,2,4,4,6,4,4
s143,3,5,5,4,3,3,4,3,2,3
s130,3,6,4,4,2,2,5,3,5,5
s102,2,5,3,7,3,7,3,5,4,5
s124,3,5,3,6,4,5,3,4,4,7
s004,4,5,5,5,3,3,4,5,4,5
s025,3,5,3,3,4,4,3,3,3,5
s305,2,1,5,5,3,3,3,3,4,3
s099,4,4,5,6,2,3,3,2,5,4
s167,4,3,3,4,4,3,6,4,4,5
s296,5,5,4,6,3,4,3,3,3,3
s021,4,6,4,5,3,4,5,3,4,4
s138,1,6,6,5,3,5,5,5,6,5
s043,3,6,5,5,3,3,3,6,5,7
s154,4,5,4,3,1,4,4,2,5,5
s195,5,6,4,5,3,3,6,3,4,4
s314,3,7,2,3,4,4,3,6,1,4
s144,3,5,7,7,6,4,4,4,6,4
s189,3,4,6,3,4,2,6,4,4,4
s173,6,6,4,3,4,2,6,3,4,4
s328,5,5,3,5,2,4,3,6,2,6
s048,4,7,1,6,1,6,3,5,2,4
s024,4,6,3,6,1,4,6,NA,1,5
s217,6,3,6,3,4,4,3,3,4,4
s075,3,3,4,4,2,2,4,4,3,4
s127,6,5,3,7,3,4,4,5,4,6
s023,5,4,5,4,5,6,7,3,4,2
s077,4,3,7,3,4,3,5,4,5,3
s040,2,5,3,3,2,6,3,4,3,2
s161,6,4,4,3,4,1,3,3,5,3
s122,4,4,6,3,3,3,4,3,4,6
s198,5,4,7,3,4,2,3,3,5,4
s336,4,6,4,3,3,4,2,4,2,5
s343,7,3,6,5,4,3,5,4,4,4
s201,5,4,6,4,1,4,3,5,5,5
s337,4,4,5,1,5,4,7,5,4,4
s206,5,3,5,5,2,5,5,3,6,4
s258,3,5,5,4,5,4,4,4,3,3
s369,4,5,3,4,3,3,4,4,4,4
s111,4,5,5,3,1,3,4,4,3,4
s260,4,3,2,4,1,4,7,4,4,3
s288,4,4,7,4,5,3,7,1,3,2
s262,4,4,7,3,4,4,5,3,7,2
s317,4,3,4,3,4,2,5,3,3,4
s341,5,6,4,3,6,4,2,4,4,4
s113,5,4,6,3,6,2,6,1,4,2
s352,6,4,6,3,4,4,3,1,7,4
s278,5,2,6,6,5,2,5,3,6,4
s105,5,4,4,3,3,3,5,4,5,5
s277,4,4,3,6,2,4,5,4,4,4
s347,4,6,2,6,1,6,2,5,2,5
s132,NA,7,4,5,2,5,2,6,1,6
s014,1,7,5,7,1,7,1,5,1,4
s199,6,4,6,3,3,1,4,1,5,5
s214,3,5,3,4,5,2,6,3,4,5
s172,5,5,5,4,4,2,3,2,5,3
s087,2,7,1,7,1,5,1,5,2,6
s119,4,4,5,4,3,5,3,5,5,4
s046,4,7,4,4,2,5,2,5,3,5
s056,4,7,3,5,5,5,5,3,2,4
s182,2,6,3,5,1,4,2,5,3,6
s274,2,4,6,4,4,4,5,4,5,3
s203,2,6,4,4,2,5,4,5,3,7
s164,3,4,3,5,3,4,4,5,2,6
s149,NA,3,6,4,4,3,4,3,5,2
s293,4,5,5,4,5,3,6,2,2,6
s168,1,6,4,7,2,6,4,4,2,5
s020,5,3,4,5,4,4,5,2,5,3
s329,4,6,5,5,4,4,4,5,4,4
s279,5,4,5,4,2,4,4,5,5,3
s292,4,4,4,7,4,5,2,3,5,3
s230,5,4,5,5,6,4,5,5,5,4
s321,5,4,4,4,4,3,3,1,6,4
s370,4,4,6,4,3,1,3,2,5,3
s224,1,6,3,5,4,4,2,3,4,4
s238,5,4,4,4,3,1,4,2,2,5
s228,6,6,3,1,5,3,5,3,4,2
s146,4,6,5,2,2,5,4,4,6,4
s012,6,4,6,3,4,1,4,3,5,2
s184,3,5,2,4,5,4,4,4,5,6
s300,6,4,5,1,5,1,4,4,5,3
s346,5,4,5,5,4,4,4,4,4,2
s326,4,4,4,4,1,3,4,4,5,3
s050,3,5,4,6,1,3,3,4,1,5
s351,5,5,5,3,3,4,3,5,5,3
s126,4,5,5,4,5,2,1,2,3,3
s135,6,4,6,5,3,4,4,4,4,3
s338,7,4,5,4,5,3,5,1,5,2
s234,4,5,5,5,3,4,4,4,5,6
s108,1,4,3,6,3,7,4,7,3,4
s051,3,5,5,3,4,5,3,5,4,5
s387,6,4,4,5,5,1,4,1,6,2
s297,5,4,4,4,3,5,4,4,4,2
s059,4,5,4,5,3,1,2,3,7,3
s157,3,5,5,4,3,4,3,5,5,4
s096,4,4,4,4,3,4,5,4,4,4
s312,3,7,1,7,1,6,2,7,1,7
s353,3,5,3,5,4,6,4,4,3,4
s275,3,3,7,4,3,6,4,3,7,4
s264,6,2,4,5,3,2,5,1,5,5
s362,5,6,4,4,2,7,3,4,1,5
s375,4,6,4,5,4,4,4,3,4,5
s366,5,5,5,2,5,5,4,2,4,3
s340,5,7,3,6,3,6,4,6,3,4
s178,4,3,4,4,6,3,4,3,4,2
s303,NA,6,3,6,3,5,3,4,4,5
s388,2,6,3,4,3,6,5,4,4,5
s207,1,6,1,6,2,6,2,6,4,7
s116,4,4,5,4,4,3,4,4,6,4
s094,3,1,NA,5,3,2,6,3,5,5
s385,4,6,4,6,3,5,2,5,1,6
s045,3,4,6,6,3,4,4,4,5,5
s039,6,5,6,4,2,3,6,3,4,5
s284,4,7,5,3,1,3,6,5,6,4
s276,6,3,4,3,3,3,5,4,4,4
s076,4,6,5,6,3,5,4,3,4,4
s239,4,4,4,5,4,5,4,4,4,4
s283,3,7,4,6,3,5,3,5,2,4
s364,6,4,7,6,4,3,5,2,6,1
s215,5,4,4,3,7,4,5,2,5,5
s318,5,5,3,4,2,5,3,1,1,4
s022,2,7,4,4,1,7,2,7,2,4
s294,6,3,6,4,4,4,5,5,4,5
s357,4,6,6,4,2,4,3,3,4,4
s035,3,5,6,4,2,4,5,3,4,4
s139,3,4,4,6,3,3,3,3,4,4
s065,4,4,4,6,4,3,3,3,3,2
s160,4,4,7,5,2,3,5,3,4,2
s128,2,5,NA,4,2,5,5,5,3,5
s334,3,3,4,5,2,5,5,4,3,4
s235,3,5,4,6,2,3,4,3,1,3
s117,6,4,6,3,7,1,5,1,7,3
s109,4,4,5,5,3,2,7,2,6,4
s225,4,2,7,5,3,4,5,4,4,4
s009,6,4,6,4,2,4,4,4,2,5
s367,5,4,7,4,4,1,3,2,4,4
s156,4,6,5,7,4,4,4,5,4,3
s231,5,4,6,4,3,2,2,4,NA,4
s354,5,5,4,5,1,5,4,3,5,4
s268,7,4,5,4,4,3,4,4,6,4
s219,4,6,5,5,5,4,6,2,4,2
