subj_id,F_q01,R_q02,F_q03,R_q04,F_q05,R_q06,F_q07,R_q08,F_q09,R_q10
s169,6,5,5,4,4,4,5,1,3,2
s300,2,4,4,6,4,4,4,4,4,4
s261,4,4,5,5,4,3,4,3,5,2
s302,4,3,6,5,4,4,4,4,4,1
s262,4,4,2,7,2,5,2,5,3,6
s245,5,4,4,6,4,4,3,3,4,3
s239,2,3,7,5,4,3,4,2,4,4
s283,4,3,5,6,4,3,4,3,5,4
s063,3,7,1,6,1,7,1,7,3,4
s116,6,2,6,4,6,4,6,4,4,4
s216,4,3,7,5,3,5,5,5,4,4
s210,3,3,6,5,5,4,6,2,3,3
s183,6,3,6,3,2,2,6,NA,4,4
s205,3,1,4,3,3,6,4,3,4,4
s024,5,3,5,4,4,3,3,4,4,3
s057,4,3,5,4,4,4,4,5,5,5
s187,4,3,3,5,5,4,6,2,7,2
s069,4,3,5,6,6,3,1,5,4,4
s162,5,4,6,3,4,5,6,3,6,4
s036,3,5,6,6,4,6,4,4,4,3
s044,5,3,1,6,2,5,2,5,2,5
s002,4,4,4,6,4,4,4,4,3,3
s228,7,3,6,3,4,3,3,3,4,3
s133,5,4,5,5,3,3,4,5,3,4
s038,6,3,4,6,3,4,3,4,4,1
s025,5,3,5,5,1,7,5,5,3,4
s022,3,3,4,5,3,3,4,4,4,6
s141,4,3,5,4,5,5,4,2,7,3
s028,5,5,NA,7,4,5,3,7,3,4
s263,2,4,4,4,3,4,3,5,4,3
s043,3,4,4,6,2,5,4,2,5,5
s045,6,2,4,4,5,3,6,4,5,3
s006,4,5,2,7,2,3,1,5,4,6
s246,5,5,4,2,5,4,6,3,5,3
s029,3,5,4,5,5,5,3,3,2,4
s050,3,5,4,6,4,3,4,5,4,2
s072,7,4,4,6,3,6,2,5,5,4
s054,4,3,4,4,5,3,4,4,3,2
s155,3,6,4,5,3,5,3,6,4,NA
s259,4,4,2,7,1,5,3,6,2,5
s284,3,5,4,7,1,5,4,5,2,5
s238,5,4,5,6,7,2,4,4,4,3
s295,4,3,6,3,6,1,6,4,7,2
s010,2,2,3,4,3,3,3,4,3,4
s083,5,4,4,4,4,5,5,5,3,3
s194,4,4,5,6,3,2,4,4,3,2
s275,7,3,7,3,5,1,5,3,4,4
s161,4,5,4,6,2,5,1,6,3,3
s214,6,3,5,5,4,4,5,4,2,4
s212,5,4,6,4,5,4,4,3,4,3
s140,1,7,2,7,2,6,3,7,3,5
s260,3,5,3,7,2,5,1,6,4,4
s175,3,3,5,4,4,4,4,3,4,2
s120,5,2,6,4,6,2,4,5,5,2
s079,4,2,2,5,2,2,4,6,6,5
s201,7,2,4,3,4,4,4,5,4,3
s086,6,1,4,4,4,6,3,2,5,5
s040,2,5,2,5,3,7,3,4,3,3
s068,5,4,5,6,5,4,5,5,4,2
s149,7,3,4,3,4,3,3,2,5,4
s288,7,1,6,5,5,3,3,3,4,2
s182,5,4,6,4,4,4,4,3,5,4
s219,4,2,3,4,6,1,5,2,4,1
s258,5,3,5,5,3,4,5,4,2,4
s273,2,3,6,7,2,3,5,5,5,2
s287,4,3,3,6,5,6,6,4,4,6
s198,4,5,3,5,3,4,2,4,3,4
s208,4,4,3,3,2,3,3,6,4,7
s124,3,6,1,6,4,6,3,6,4,4
s095,3,5,5,6,4,4,7,5,2,2
s132,4,1,4,2,4,1,4,2,5,2
s224,5,5,5,4,4,5,4,5,4,3
s234,5,4,5,5,1,4,4,5,4,4
s062,4,4,5,5,3,6,1,6,2,4
s082,4,4,3,7,3,7,2,6,4,7
s070,2,6,4,6,4,4,3,6,2,4
s016,3,5,3,7,3,6,3,5,3,4
s135,1,3,4,5,2,7,4,7,1,4
s103,2,6,5,4,1,4,1,7,1,4
s297,4,3,5,4,3,6,4,5,4,NA
s231,5,3,7,4,4,5,3,5,5,4
s230,4,3,5,5,3,6,4,3,4,4
s015,5,4,4,4,2,3,3,7,2,5
s159,5,4,3,3,1,5,3,4,4,4
s053,2,5,1,6,3,7,3,5,2,4
s241,4,2,NA,5,4,4,5,5,2,2
s167,4,3,5,NA,5,4,5,1,4,4
s031,7,3,6,5,5,2,5,4,7,1
s128,4,4,3,5,4,3,2,6,4,5
s188,5,4,6,5,3,5,3,4,5,4
s019,6,4,4,5,5,1,4,6,5,3
s242,7,2,7,3,4,3,5,1,7,2
s249,5,4,5,3,5,5,2,4,4,4
s199,2,3,6,5,2,4,6,4,6,3
s269,7,2,5,7,3,3,5,5,5,4
s030,3,5,3,7,3,6,3,7,3,4
s066,3,5,3,4,4,4,1,4,3,3
s248,3,5,3,5,4,4,5,6,4,7
s150,7,1,5,3,4,1,6,2,4,1
s093,6,1,7,5,4,1,6,3,6,1
s185,6,2,6,6,6,4,4,4,6,3
s118,3,3,6,6,4,4,4,4,3,4
s264,4,4,4,6,1,5,1,5,1,7
s265,6,2,3,4,5,4,4,2,5,3
s076,1,7,1,7,2,5,2,7,3,4
s301,5,3,3,7,4,4,3,4,2,4
s087,5,4,5,5,5,4,5,2,5,2
s020,4,4,5,4,3,6,5,3,4,4
s190,4,4,2,4,5,3,4,4,4,3
s244,5,5,4,7,4,5,4,6,4,2
s017,7,1,7,3,4,5,4,4,6,4
s209,6,3,4,5,4,2,5,4,4,3
s165,5,3,6,3,5,3,4,6,4,1
s176,5,4,7,2,5,4,5,2,7,4
s207,4,4,3,7,4,4,7,3,6,5
s127,6,5,6,3,2,2,3,6,4,6
s229,3,4,4,3,1,3,2,3,6,5
s193,4,5,6,5,4,5,2,4,4,3
s291,4,4,5,5,3,2,5,6,5,4
s151,6,3,4,5,1,5,5,3,4,3
s223,4,6,5,7,4,4,4,4,4,3
s148,4,3,4,7,2,6,3,5,4,2
s075,2,5,3,5,3,6,3,4,3,6
s058,5,5,5,4,5,2,6,3,4,1
s123,4,5,5,5,3,6,4,4,6,4
s101,4,2,4,3,5,3,5,3,1,2
s171,4,4,6,6,3,3,3,4,4,5
s164,4,4,4,5,4,5,5,3,6,4
s270,5,7,4,5,4,5,3,4,2,2
s106,3,4,5,7,3,3,4,5,3,1
s163,4,3,5,2,1,5,4,4,4,1
s160,3,3,4,7,2,2,4,4,6,4
s189,5,2,5,6,5,4,4,3,5,4
s215,4,5,4,6,3,6,5,3,4,3
s071,4,3,5,6,3,3,7,5,4,4
s279,5,4,4,5,3,4,2,4,4,5
s094,7,3,6,5,7,3,3,4,5,4
s232,5,5,6,5,2,3,4,5,3,4
s090,6,4,4,6,5,3,4,6,4,4
s099,3,4,3,5,5,5,3,5,5,NA
s267,6,4,NA,6,3,4,4,5,3,3
s181,4,4,2,6,4,4,5,4,2,6
s240,4,2,6,6,3,4,2,6,4,3
s252,3,4,5,6,1,4,3,7,3,5
s097,7,2,7,4,4,5,4,1,7,3
s121,2,2,5,5,5,2,4,3,6,1
s041,3,3,3,7,3,6,3,5,5,5
s047,5,4,3,5,4,4,4,4,6,4
s253,6,2,5,4,NA,2,4,2,7,1
s056,3,4,3,4,4,3,3,4,4,7
s034,NA,1,4,4,6,3,3,3,5,3
s126,4,3,5,4,6,4,5,4,5,3
s286,5,4,4,5,4,2,1,3,5,5
s271,2,7,4,4,3,6,1,6,3,5
s235,3,4,5,5,1,4,4,4,4,4
s177,4,2,5,4,5,2,4,3,6,2
s154,3,3,5,7,3,5,3,6,2,4
s243,5,3,6,5,4,5,3,4,4,3
s131,3,6,4,7,2,5,3,6,2,4
s129,4,3,4,6,3,5,4,4,4,4
s281,5,3,7,4,5,3,3,3,4,2
s012,7,4,6,5,5,3,3,5,4,5
s170,4,6,3,6,4,6,4,5,3,4
s222,4,4,4,4,2,3,2,4,4,4
s007,5,2,5,3,5,3,7,3,6,2
s250,7,4,5,7,5,5,2,5,3,4
s226,2,2,5,4,1,6,3,4,4,4
s137,5,1,6,3,3,4,7,2,7,1
s032,5,6,4,7,3,7,3,5,4,6
s200,4,4,3,5,NA,5,4,3,2,4
s280,5,4,3,5,3,6,1,6,5,3
s125,4,5,3,6,5,4,3,2,5,3
s027,4,6,2,7,3,4,2,7,4,5
s110,4,5,5,7,3,6,4,5,1,5
s111,3,6,1,6,2,6,2,5,2,5
s202,4,7,7,4,3,3,3,3,4,2
s294,4,6,3,7,2,5,3,5,1,4
s247,3,4,4,6,3,5,3,6,1,5
