subj_id,q1-F,q2-R,q3-F,q4-R,q5-F
s128,4,3,4,4,4
s113,5,4,5,5,4
s151,2,4,4,2,1
s146,3,2,2,4,5
s160,5,4,5,6,4
s110,3,5,5,6,5
s010,3,5,1,7,3
s140,5,3,4,3,4
s103,3,5,4,6,4
s294,6,3,6,6,2
s153,5,4,3,5,4
s214,3,4,3,7,4
s027,2,6,NA,7,4
s351,3,4,3,4,2
s061,5,5,5,5,2
s334,4,4,4,7,4
s098,6,3,3,4,3
s173,4,5,4,4,5
s037,6,3,7,4,6
s224,5,2,6,4,4
s143,6,4,6,1,3
s087,3,3,4,5,2
s247,6,2,6,4,4
s332,6,6,6,3,4
s067,2,5,4,6,5
s094,5,4,3,4,3
s102,3,5,2,6,4
s185,6,4,6,4,5
s183,7,5,4,4,4
s289,6,5,7,3,7
s120,5,4,4,3,3
s093,5,3,5,2,5
s035,1,3,4,2,3
s213,3,5,2,6,1
s237,3,3,3,4,4
s085,4,3,5,5,4
s174,3,1,3,6,2
s278,4,5,4,6,6
s256,4,5,4,6,1
s064,3,4,2,7,2
s352,5,6,2,6,4
s148,3,3,2,6,2
s139,2,5,2,6,2
s050,3,3,5,4,2
s066,7,2,3,5,5
s108,5,4,5,5,5
s057,5,3,4,4,4
s009,6,3,5,1,6
s347,3,6,3,5,4
s119,4,4,4,5,2
s292,4,4,2,7,1
s162,5,4,3,4,3
s172,5,4,7,3,3
s230,4,3,1,4,4
s266,7,2,5,1,7
s092,3,4,2,5,2
s218,4,4,3,4,1
s176,3,3,4,5,4
s040,7,5,5,6,4
s011,5,5,5,5,4
s239,5,2,4,3,4
s271,4,4,4,2,5
s046,5,4,2,5,3
s348,3,2,4,2,4
s257,4,5,4,5,4
s303,3,7,2,7,1
s123,5,5,5,3,1
s100,7,5,4,5,2
s070,5,3,5,3,4
s122,5,1,4,5,3
s196,5,1,4,6,4
s333,3,5,4,5,2
s129,5,6,4,2,4
s304,4,4,4,7,2
s180,5,5,3,4,3
s220,6,7,4,4,2
s149,4,4,3,4,4
s205,4,3,5,4,5
s156,7,2,6,1,4
s026,6,3,7,5,4
s049,5,2,4,2,6
s306,6,4,6,4,3
s215,4,4,3,7,4
s189,2,4,4,7,4
s109,5,2,4,1,4
s081,6,2,7,1,2
s252,5,2,3,3,4
s212,5,3,2,3,7
s320,2,4,3,4,4
s210,5,3,3,4,4
s273,3,5,2,5,6
s346,5,4,4,4,5
s240,4,5,4,3,4
s227,4,3,5,4,4
