subj_id,Fq1,Rq2,Fq3,Rq4,Fq5,Rq6,Fq7,Rq8,Fq9
s105,5,4,7,3,4,3,3,2,4
s098,5,4,4,4,4,2,2,4,4
s038,5,3,4,4,4,6,3,3,3
s171,2,3,4,2,7,5,7,2,5
s230,7,3,6,1,5,2,5,5,5
s131,4,2,4,6,5,4,3,5,2
s211,2,5,5,5,6,4,3,1,4
s024,6,2,5,3,NA,4,6,5,6
s039,3,6,5,5,2,3,3,6,2
s291,5,3,3,3,4,3,2,3,4
s249,5,4,4,3,3,4,4,7,1
s194,4,5,4,4,4,5,4,4,4
s316,2,5,3,4,3,5,4,7,5
s062,4,6,5,3,6,3,7,2,7
s336,4,4,4,3,3,4,1,4,3
s186,5,5,4,4,3,4,4,4,3
s113,6,3,6,1,3,2,5,5,4
s165,4,7,1,7,1,6,2,5,2
s179,5,4,4,5,5,4,4,6,2
s301,7,3,NA,3,4,2,5,3,5
s283,5,7,5,2,6,2,6,5,4
s061,3,2,5,3,1,3,6,5,6
s202,5,5,1,3,4,3,3,6,4
s063,4,4,3,5,2,5,3,5,3
s241,3,7,4,5,4,5,1,6,2
s158,6,2,5,1,3,2,6,4,4
s292,4,4,3,2,3,3,7,3,5
s084,6,7,5,4,5,4,1,5,5
s218,4,4,4,3,3,5,4,6,4
s191,5,5,4,4,3,1,4,4,5
s181,6,5,7,2,5,1,7,5,5
s003,5,4,4,4,5,3,4,3,5
s268,5,4,3,6,2,3,3,6,4
s150,5,4,3,4,4,4,4,4,1
s073,4,4,4,4,5,4,4,5,3
s262,5,5,5,3,3,3,4,4,5
s027,6,4,2,5,5,3,4,4,5
s143,3,2,4,3,4,3,4,4,4
s023,2,5,3,3,4,4,5,5,5
s317,2,6,5,1,5,3,4,3,4
s239,5,5,5,4,2,2,5,3,3
s357,4,5,3,6,1,5,4,6,4
s261,4,4,4,3,5,6,5,6,4
s107,3,6,4,3,4,4,2,5,4
s096,3,5,4,4,1,5,3,5,2
s300,5,6,3,7,6,4,3,5,5
s351,4,5,5,2,1,4,2,4,3
s214,3,4,5,3,4,3,3,3,5
s193,4,5,6,4,2,6,5,4,4
s322,5,4,4,2,4,5,4,4,5
s344,1,7,3,4,4,6,4,4,4
s175,3,NA,6,1,5,3,5,1,6
s160,3,5,5,4,3,4,3,3,4
s269,4,5,4,4,7,3,3,4,4
s302,3,6,3,6,2,4,4,4,3
s144,4,5,4,5,1,3,5,5,5
s348,3,6,4,3,2,5,4,6,5
s108,2,4,7,4,2,5,3,4,4
s015,4,4,6,3,5,4,2,3,4
s106,4,6,4,2,3,5,4,6,3
s213,1,5,3,2,2,4,3,5,2
s308,1,7,4,4,4,6,3,5,3
s087,5,5,5,4,4,1,5,5,5
s022,6,7,6,3,2,5,6,4,3
s343,5,4,6,4,4,3,7,NA,4
s217,3,3,6,5,4,4,4,3,4
s151,4,6,4,3,3,1,3,4,4
s228,3,4,4,4,5,5,5,5,6
s156,1,6,1,4,3,5,3,5,5
s313,4,3,7,1,6,1,4,3,3
s065,4,2,5,3,4,1,4,1,6
s282,3,3,7,3,4,2,5,3,7
s229,6,5,3,4,4,6,2,6,4
s220,4,5,6,3,4,6,3,4,3
s118,5,6,5,3,5,3,3,3,5
s086,4,3,3,4,4,5,5,5,5
s345,5,7,1,4,3,3,2,5,2
s095,4,5,3,3,3,4,2,6,2
s159,4,5,6,3,4,4,3,5,4
s234,3,5,4,5,4,4,2,4,4
s281,4,2,3,5,2,4,7,4,5
s090,5,4,7,1,4,3,4,4,5
s242,2,6,5,5,2,6,6,6,2
s360,2,7,4,4,5,4,1,6,5
s121,5,3,2,5,3,5,5,4,1
s226,5,3,6,1,6,3,6,2,6
s130,5,4,6,5,2,2,5,1,4
s044,7,3,4,4,4,2,3,NA,4
s036,1,6,4,4,3,4,4,4,3
s208,5,4,7,4,6,3,6,2,7
s295,4,3,5,3,5,1,4,5,3
s353,2,4,4,4,3,5,2,3,4
s126,2,5,3,3,2,3,2,6,4
s255,4,2,6,3,4,3,6,4,4
s252,4,4,3,5,3,5,4,4,4
s164,5,4,6,4,5,5,5,3,3
s134,4,3,5,2,4,5,5,6,4
s011,1,6,2,4,3,5,3,5,2
s094,5,3,7,4,4,4,3,4,3
s081,2,2,1,7,4,4,3,3,3
s167,4,3,4,4,1,4,5,4,4
s067,2,5,4,3,5,4,4,6,6
s128,5,4,5,3,7,5,4,4,6
s035,6,3,7,2,4,3,6,3,7
s012,4,4,5,7,4,4,4,5,3
s266,5,6,3,5,3,4,4,5,2
s170,4,4,1,5,4,4,3,5,4
s017,5,4,1,6,2,5,1,7,4
s253,7,5,5,4,5,4,5,5,4
s127,4,5,3,5,3,6,1,4,3
s051,2,4,3,2,6,4,4,2,7
s236,4,3,6,4,4,4,4,5,4
s102,2,7,4,6,1,5,3,5,3
s079,3,5,3,7,3,4,6,5,4
s305,6,5,6,3,7,2,4,3,6
s133,6,5,2,7,2,5,3,4,4
s058,2,6,4,3,3,7,2,2,5
s311,3,2,7,2,7,1,7,1,6
s141,3,5,5,6,3,6,5,4,3
s310,3,2,5,3,5,4,6,2,6
s334,4,4,4,4,5,5,4,5,4
s080,5,4,3,5,3,3,5,6,2
s093,3,5,5,4,1,5,6,4,3
s289,5,1,5,2,7,2,6,2,4
s109,7,3,7,3,5,1,6,4,6
s162,5,3,4,6,3,6,4,3,2
s166,3,4,3,5,2,5,3,4,3
s135,5,5,5,1,5,3,5,5,3
s257,3,5,4,3,6,4,5,3,3
s188,3,4,6,4,4,3,6,4,4
s327,2,3,5,6,2,3,4,4,4
s274,4,5,3,4,4,5,4,6,4
s365,3,2,5,3,4,5,5,4,4
s140,6,5,5,3,3,3,5,5,4
s182,3,4,1,3,6,6,2,5,5
s076,4,6,4,2,5,2,4,4,4
s173,NA,3,4,1,6,2,3,4,3
s315,5,6,3,3,5,2,4,5,3
s077,5,4,5,2,4,4,4,2,4
s212,4,6,2,6,3,6,3,5,1
s116,4,4,4,1,7,2,4,4,4
s054,5,5,NA,2,3,2,7,2,4
s246,3,5,2,5,4,5,1,6,2
s237,3,6,4,4,4,5,3,6,1
s142,5,5,4,4,3,3,2,4,4
s025,7,4,4,6,5,3,5,4,4
s147,6,5,4,3,2,5,5,4,6
s298,4,6,4,4,6,4,3,5,4
s227,5,4,6,3,3,4,7,4,4
s013,5,NA,2,3,5,4,3,4,4
s320,4,1,NA,1,7,4,6,3,6
s040,5,5,4,4,6,3,5,3,5
s293,7,2,7,1,6,1,7,1,6
s201,4,1,6,4,4,2,5,4,7
s099,4,3,6,1,4,3,6,4,5
s342,5,5,5,6,6,3,4,6,4
s007,5,5,6,2,3,3,4,3,6
s225,4,5,3,3,1,5,3,3,5
s155,6,6,3,4,4,4,3,4,4
s120,7,1,3,3,5,1,5,5,6
s139,3,5,4,6,3,2,5,5,5
s362,5,7,5,1,5,4,5,4,4
s250,5,2,4,NA,4,4,6,2,3
s072,5,3,3,4,3,3,3,5,1
s149,4,3,4,4,3,4,5,4,4
s161,4,5,5,3,4,5,2,3,6
s172,4,6,3,5,5,4,4,5,3
s273,5,3,5,1,4,2,5,3,5
s053,4,6,3,5,3,6,4,6,3
s122,4,1,3,3,3,2,5,4,3
s260,3,5,5,4,3,4,4,5,2
s189,5,2,6,1,7,3,3,2,6
s132,6,3,4,4,3,3,7,5,3
s359,2,7,5,3,1,5,2,6,4
s270,6,5,5,3,4,5,2,4,4
s119,2,5,2,4,3,6,1,7,4
s240,4,2,5,5,4,3,3,5,5
s032,4,5,2,5,3,7,4,6,5
s275,5,4,NA,5,NA,4,3,4,6
s047,6,3,7,4,5,3,4,6,3
s028,3,4,3,3,3,2,4,4,5
s306,5,3,4,3,6,4,4,1,3
s328,5,4,5,3,3,4,4,5,2
s006,4,5,4,3,7,5,5,3,4
s232,4,3,5,7,2,6,5,3,4
s048,7,4,6,4,1,4,4,4,4
s043,5,4,5,2,6,5,4,5,6
s223,4,6,3,4,4,4,4,6,3
s026,6,4,6,4,3,2,5,4,5
s284,4,4,7,4,2,4,2,5,4
s238,3,5,4,6,3,3,5,6,4
s197,2,5,5,3,4,4,4,3,3
s356,5,4,4,4,5,2,4,6,4
s049,3,4,6,3,5,4,4,4,5
s324,3,7,2,2,1,4,1,7,2
s184,2,5,5,3,4,3,5,6,6
s004,4,5,5,6,3,5,6,5,4
s206,4,4,4,4,4,3,4,7,4
s333,4,4,6,2,2,4,4,3,3
s319,4,4,4,2,3,4,5,5,5
s050,4,3,5,3,4,3,3,4,5
s363,4,5,3,1,4,2,3,2,2
s187,6,2,6,2,7,1,6,4,7
s248,2,5,5,7,2,3,3,4,1
s115,2,4,3,5,4,6,4,5,4
s091,5,4,3,6,2,4,5,7,3
s279,4,2,6,4,5,3,3,5,4
s299,6,5,4,1,4,5,4,5,3
s169,1,4,3,4,2,3,1,4,2
s037,5,4,4,4,5,5,5,5,3
s137,5,3,3,2,4,5,4,5,5
s046,4,3,3,3,4,4,4,6,2
s340,4,5,4,5,3,5,2,7,1
s341,4,4,3,4,4,5,5,4,2
s309,4,6,3,3,4,6,4,5,3
s338,3,5,3,6,3,5,4,7,5
s014,4,6,2,4,3,3,2,6,4
s265,2,4,3,5,5,3,3,4,4
s361,4,5,5,7,3,3,2,5,2
s019,4,4,7,1,5,1,4,4,4
s111,4,7,3,5,4,7,3,7,2
s355,4,5,3,4,1,7,5,6,5
s258,7,4,4,2,5,3,5,2,4
s176,3,5,4,5,4,4,3,5,4
s034,5,6,6,3,5,3,2,5,7
s337,3,4,6,3,5,3,4,3,6
s180,5,3,4,4,5,4,6,2,4
s112,3,7,3,5,2,2,4,7,5
s346,3,5,2,3,3,4,4,3,4
s216,1,4,2,6,4,6,1,4,1
s178,5,4,3,5,4,4,5,4,5
s153,1,4,3,5,4,3,5,2,2
s066,4,7,4,4,4,3,6,4,5
s287,2,6,4,6,2,4,3,5,2
s203,4,4,5,5,4,4,5,2,5
s117,3,3,4,1,5,4,4,3,5
s329,4,3,4,6,4,7,4,3,2
s352,4,4,6,5,4,4,6,3,4
s042,4,2,5,4,6,5,5,6,5
s125,1,4,3,6,1,4,1,7,1
s031,2,7,5,4,1,5,5,4,3
s331,6,2,4,1,5,3,6,4,4
s168,5,5,6,5,3,4,5,2,5
s195,3,4,4,3,6,6,4,4,4
s290,2,5,5,5,3,4,4,5,3
s354,4,1,5,2,5,2,6,4,4
s243,4,1,5,2,5,2,5,2,5
s060,2,7,2,4,2,5,4,4,3
s174,4,1,4,1,5,2,4,4,7
s330,3,4,5,2,7,4,6,3,4
s152,1,6,4,4,3,2,2,4,2
s366,4,6,3,5,6,2,5,4,3
s033,4,6,5,3,4,5,3,4,3
s263,3,5,5,5,4,5,5,6,3
s358,6,2,4,5,5,1,5,2,5
s101,4,4,4,6,4,3,3,4,4
s083,4,5,4,3,4,5,5,5,4
s231,3,4,3,3,5,4,4,5,6
s364,3,5,1,6,3,6,2,7,4
s303,4,5,6,2,7,5,2,3,5
s325,4,2,6,1,4,4,4,4,6
s097,3,3,3,4,5,6,7,5,3
s041,5,5,4,4,5,4,4,4,4
s207,1,5,5,2,5,6,2,4,4
s347,5,4,4,6,1,2,3,5,4
s199,4,4,5,5,2,3,4,6,4
s285,4,3,3,3,2,2,4,6,5
