subj_id,q01_F,q02_R,q03_F,q04_R,q05_F,q06_R,q07_F,q08_R,q09_F,q10_R,q11_F
s034,4,4,1,1,4,3,5,2,4,4,5
s029,2,4,4,4,3,6,3,2,4,4,3
s190,7,5,6,3,6,3,5,2,7,2,4
s015,1,4,2,4,3,5,4,5,3,5,1
s324,1,5,4,5,4,3,2,3,4,3,4
s307,4,1,5,1,5,3,4,3,7,3,5
s298,4,2,7,3,7,3,5,4,5,1,4
s083,4,4,3,2,4,4,4,4,5,4,4
s012,5,5,4,4,1,5,1,1,1,4,4
s005,1,7,1,7,2,7,3,6,2,4,1
s236,4,3,6,2,4,3,6,1,6,3,3
s270,4,4,3,3,3,1,2,4,5,4,3
s204,1,6,NA,1,2,3,3,6,3,4,5
s134,2,6,4,4,3,3,3,4,5,5,4
s175,5,3,6,2,3,4,5,4,5,1,3
s254,5,4,3,NA,6,4,4,4,5,4,3
s269,6,2,3,3,5,3,4,3,5,1,3
s252,4,5,2,NA,4,4,3,4,4,5,1
s154,4,5,4,4,6,4,1,5,4,5,3
s111,3,5,3,4,2,6,4,5,4,5,2
s248,2,4,4,3,5,3,4,4,4,4,4
s268,4,3,NA,5,1,6,3,3,3,5,3
s311,4,3,7,4,4,3,5,3,5,3,3
s116,3,5,2,4,2,7,1,5,4,3,4
s277,3,6,4,4,5,5,3,4,5,3,4
s274,2,5,5,4,4,4,2,2,3,5,5
s049,3,2,3,1,4,2,6,3,7,3,4
s251,3,3,3,2,4,4,4,1,7,2,7
s198,4,5,1,4,3,4,5,4,5,4,2
s187,6,4,4,5,7,2,4,4,5,2,4
s206,5,3,4,2,4,4,2,2,6,3,5
s280,1,5,2,4,4,5,3,6,5,4,3
s059,6,3,5,3,6,2,5,4,6,4,3
s094,3,2,1,5,4,5,4,4,3,5,3
s178,3,4,4,4,4,6,1,3,2,7,5
s320,1,4,3,4,4,5,3,4,4,5,5
s218,2,4,4,4,3,5,5,3,4,5,4
s112,3,4,4,NA,4,4,5,3,7,5,5
s259,4,5,2,4,5,3,6,5,5,4,1
s123,4,5,6,3,4,4,5,4,6,5,6
s036,4,7,1,6,3,4,4,5,4,7,4
s100,3,5,6,4,4,3,4,4,4,4,4
s195,1,5,4,4,2,6,2,4,5,5,2
s039,5,3,6,2,4,4,4,3,4,1,4
s308,4,5,3,4,4,6,2,5,4,3,3
s232,2,2,3,2,3,4,5,4,6,4,5
s225,5,4,6,4,4,4,4,2,5,4,5
s056,3,7,4,5,2,4,2,6,4,6,3
s197,4,NA,4,3,2,4,3,3,6,4,4
s306,3,4,6,2,3,3,4,4,4,4,4
s103,5,4,3,5,2,7,3,4,4,4,2
s021,3,4,6,5,5,6,4,2,4,4,4
s042,1,5,2,5,3,5,3,5,4,3,4
s247,3,4,3,4,4,5,5,5,5,2,2
s096,2,3,4,2,4,3,5,4,5,4,1
s193,5,5,4,3,4,5,5,4,4,3,6
s231,5,4,5,2,5,2,5,3,4,4,5
s148,3,4,5,2,4,4,4,4,4,5,4
s215,2,6,2,4,3,3,2,2,3,4,4
s135,3,4,4,4,2,2,5,1,5,4,2
s241,2,7,2,3,4,5,1,6,4,5,3
s230,6,5,3,5,4,6,4,4,7,3,3
s108,2,5,4,2,1,4,2,5,5,5,2
s312,4,6,4,2,4,2,3,5,2,5,2
s022,4,4,4,3,4,1,3,3,7,3,4
s295,3,3,2,4,4,4,4,5,4,4,2
s025,4,3,4,2,3,4,4,4,5,2,4
s062,7,4,7,1,4,4,4,4,6,4,4
s297,5,4,5,2,4,1,6,1,7,2,4
s282,6,3,5,1,5,1,5,1,7,1,7
s032,4,5,3,3,1,6,1,4,3,4,4
s093,3,1,2,2,4,5,3,4,4,6,3
s283,4,4,4,2,4,1,6,4,3,5,3
s234,5,6,4,4,4,4,3,5,3,5,5
s067,5,4,4,4,NA,4,4,4,4,3,6
s202,1,7,4,3,2,6,3,5,NA,6,1
s293,4,4,4,3,4,3,5,4,3,6,2
s170,7,1,4,4,4,4,5,1,7,4,6
s169,3,4,4,2,1,4,6,6,4,4,4
s189,4,3,2,4,3,5,2,6,4,3,3
s267,4,3,2,5,4,6,4,6,2,7,4
s158,4,5,1,5,2,6,5,6,3,5,4
s109,4,4,5,1,6,4,4,4,7,4,4
s284,5,3,4,2,4,3,4,3,6,2,3
s006,1,3,4,4,3,3,4,5,5,5,3
s064,3,6,2,5,3,6,2,5,3,3,4
s200,3,6,3,4,4,6,1,4,4,7,4
s031,4,6,5,4,3,5,3,5,4,3,2
s257,4,5,5,4,4,4,4,4,5,5,4
s304,1,7,3,4,5,3,4,4,5,3,4
s208,5,5,4,2,5,4,3,5,2,6,2
s044,4,2,4,3,3,5,4,4,4,6,6
s260,5,6,4,5,4,2,3,5,4,4,3
s121,3,4,3,4,4,4,4,4,4,1,5
s001,4,4,6,1,5,5,6,4,5,3,5
s255,2,5,2,4,4,3,4,4,3,4,3
s183,4,3,4,3,NA,4,6,4,7,4,6
s070,3,4,6,5,4,7,4,5,4,5,3
s321,5,4,2,4,4,4,3,3,4,3,6
s243,5,5,4,3,5,4,5,6,4,2,4
s033,5,3,6,3,5,2,6,3,5,3,6
s160,4,4,4,3,2,7,4,4,5,5,3
s098,4,3,4,3,6,3,3,3,3,2,3
s018,1,5,2,5,2,4,1,5,1,7,1
s253,1,5,4,1,4,4,3,4,3,3,5
s024,6,3,4,3,4,4,5,4,6,5,4
s086,2,6,4,4,3,5,5,4,4,4,3
s209,2,3,6,2,6,4,4,3,6,3,4
s004,3,3,3,2,4,5,3,5,6,5,5
s281,3,3,4,1,4,3,3,3,4,3,4
s115,3,4,2,3,6,4,3,4,7,5,5
s127,3,3,5,1,5,4,4,3,7,2,6
s286,3,3,4,3,2,4,3,4,5,6,4
s266,4,5,3,4,5,3,4,4,6,2,5
s023,2,6,2,5,3,5,2,4,4,5,3
s163,1,7,1,6,4,7,1,6,1,7,1
s188,1,7,1,4,1,5,2,5,1,5,1
s107,1,4,4,3,3,6,4,5,1,3,4
s216,3,3,6,1,4,6,4,3,5,5,4
s201,3,2,6,2,5,5,4,5,6,5,6
s290,3,2,3,4,5,2,2,4,7,6,4
s078,3,3,3,3,6,5,5,3,4,4,4
s319,3,4,3,3,5,4,4,4,6,6,3
s147,3,3,3,4,5,5,4,6,4,1,4
s180,2,7,3,5,3,5,2,4,2,4,4
s149,5,1,5,3,3,5,6,4,4,4,4
s085,NA,5,3,4,4,2,4,4,4,4,3
s276,5,6,5,1,3,5,5,5,6,4,4
s279,NA,4,3,2,4,4,5,4,4,1,4
s030,3,4,4,4,4,4,2,5,4,4,4
s140,3,4,2,2,6,3,5,3,5,4,4
s323,4,4,3,2,4,4,3,4,4,3,2
s125,3,3,7,5,4,1,4,5,5,4,4
s256,3,3,5,3,5,2,4,3,5,2,6
s212,4,4,4,4,3,3,5,2,6,6,3
s161,4,5,4,5,2,5,2,4,2,6,4
s130,2,7,3,6,1,7,1,5,1,7,2
s179,5,4,2,5,4,5,1,3,4,4,3
s119,3,6,1,2,5,4,3,3,5,5,4
s104,3,4,5,3,3,4,4,4,4,4,4
s142,4,3,5,1,4,3,7,3,7,1,5
s019,4,2,3,1,4,6,3,4,5,3,4
s035,5,3,4,2,6,2,5,4,4,2,5
s219,4,6,5,4,4,5,1,3,7,7,5
s262,2,7,1,4,1,7,2,7,2,7,3
s143,3,6,2,4,2,6,2,5,3,6,4
s124,3,5,3,3,5,2,3,3,5,3,4
s133,4,3,2,1,4,4,6,4,6,3,3
s165,4,4,6,3,6,2,3,5,7,3,4
s271,5,5,5,4,3,2,4,4,4,4,4
s153,3,2,5,1,4,4,1,4,7,3,5
s017,4,4,5,2,5,2,7,3,4,1,5
s081,2,6,1,5,3,6,1,4,3,4,3
s285,4,4,6,4,4,1,3,5,5,4,5
s224,2,3,3,4,4,6,2,4,3,4,4
s050,5,4,2,1,4,1,4,2,6,4,4
s016,1,7,5,3,4,4,4,4,4,4,3
s002,4,4,2,2,4,4,4,5,4,5,3
s045,4,5,2,5,4,3,4,5,6,4,1
s082,5,3,5,1,5,4,7,5,6,2,7
s203,6,3,5,1,5,2,7,3,5,3,5
s317,4,4,7,2,4,5,3,2,6,3,5
s181,5,3,4,4,5,1,5,1,5,3,3
s162,2,4,5,5,4,4,3,3,6,6,2
s223,4,4,2,3,4,5,1,5,5,2,4
s069,3,4,2,6,3,4,1,5,4,4,6
s172,1,5,2,3,3,4,5,2,5,5,4
s105,2,3,4,5,3,4,2,6,4,6,3
s177,7,4,5,1,3,5,4,3,7,3,4
s028,2,7,1,5,2,6,1,5,3,7,3
s061,3,7,2,3,5,5,5,4,4,4,5
s186,4,5,4,3,4,2,5,4,6,4,4
s048,3,5,2,4,4,5,5,6,5,4,4
s322,6,1,7,1,4,4,6,1,7,2,7
s076,3,3,5,3,5,4,3,3,6,1,3
s275,3,3,5,4,4,5,3,2,4,4,4
s091,6,NA,3,3,4,4,3,5,6,3,4
s046,4,3,5,3,5,2,4,4,6,4,5
s139,4,5,3,3,2,4,5,2,4,4,4
s126,1,3,4,2,4,5,3,5,3,4,1
s242,3,4,5,3,6,3,5,2,6,4,5
s026,6,3,5,3,2,1,7,2,6,4,3
s318,4,5,2,4,6,6,3,3,5,4,1
s167,4,5,5,2,6,2,3,3,7,1,4
s278,1,3,4,4,3,5,3,4,2,4,1
s092,5,2,7,1,7,3,5,3,5,3,4
