subj_id,F q1,R q2,F q3,R q4,F q5,R q6,F q7,R q8
s237,6,5,5,7,1,4,6,4
s205,4,6,4,4,6,4,4,2
s223,4,5,5,3,4,3,5,3
s192,2,6,2,7,1,4,1,6
s347,5,2,4,3,4,3,5,3
s184,4,3,6,5,5,3,4,1
s337,4,3,3,6,4,5,5,6
s135,4,4,4,3,5,3,4,5
s314,2,3,4,6,4,5,4,4
s286,5,3,4,4,5,3,5,2
s332,7,3,5,4,4,4,5,4
s285,2,6,4,6,2,6,4,4
s113,4,4,6,3,3,NA,4,4
s163,4,6,6,5,5,2,5,5
s082,5,2,5,3,4,3,1,4
s067,6,3,4,5,5,3,3,1
s096,5,6,4,5,5,5,3,4
s245,6,5,5,4,4,4,3,3
s191,2,5,5,4,1,3,3,4
s160,7,4,6,2,7,1,7,5
s338,6,6,3,5,4,4,3,3
s116,3,5,6,7,2,5,2,6
s141,5,4,3,5,4,4,6,3
s122,4,3,1,7,2,4,4,6
s297,5,4,4,3,6,3,6,1
s216,3,7,4,7,3,4,2,5
s042,4,4,3,6,7,2,2,4
s295,4,7,3,7,3,5,4,5
s074,1,7,3,6,2,7,1,4
s260,5,4,5,5,6,4,3,7
s097,6,5,7,NA,6,3,4,3
s193,6,4,5,4,6,3,6,2
s264,3,7,3,6,2,6,3,5
s282,4,3,4,4,5,2,5,2
s263,5,4,4,5,5,4,2,4
s299,NA,4,5,4,5,4,4,3
s034,5,4,5,3,5,3,6,3
s194,6,6,4,3,5,4,3,1
s164,4,3,5,3,4,3,7,2
s226,4,5,3,5,3,4,3,6
s127,7,1,7,3,5,4,5,1
s117,5,5,4,5,3,3,4,3
s121,2,4,4,5,3,1,4,4
s220,4,4,3,5,1,5,3,4
s229,6,4,7,NA,5,1,3,3
s270,4,6,3,6,5,3,1,3
s004,7,4,4,5,7,2,6,3
s339,4,4,4,7,4,3,3,4
s348,5,4,5,4,4,3,4,3
s272,5,5,4,4,4,4,4,2
s064,2,2,6,7,4,2,3,5
s001,2,3,3,6,2,4,2,4
s181,NA,2,4,5,5,2,5,2
s300,5,4,4,4,5,4,4,3
s323,4,5,6,5,3,4,3,3
s196,7,4,5,2,7,3,7,4
s099,4,5,NA,5,3,5,1,4
s266,6,5,5,5,4,3,4,3
s118,6,3,6,5,5,2,6,3
s101,4,2,5,4,4,4,4,3
s258,5,1,6,3,5,4,6,5
s138,2,6,4,4,5,4,4,3
s344,4,4,6,4,4,4,5,3
s199,3,4,4,5,4,5,4,4
s261,6,3,6,4,2,4,4,4
s104,6,2,3,2,4,2,2,5
s275,4,3,6,4,6,1,5,2
s190,4,5,5,4,6,2,6,3
s200,4,4,4,4,4,4,6,2
s202,4,4,4,5,5,6,5,3
s056,5,3,4,6,4,3,3,3
s144,6,3,5,4,5,2,7,2
s014,3,7,4,6,1,5,3,6
s139,6,3,7,4,6,4,7,3
s336,4,1,5,3,6,1,5,4
s273,6,3,6,4,6,3,4,2
s222,2,4,5,7,2,3,2,6
s055,5,4,4,6,4,3,3,4
s293,6,5,6,4,3,3,2,4
s259,4,6,2,7,2,3,4,3
s249,5,4,5,3,6,5,7,4
s198,4,4,3,4,4,5,3,5
s233,6,3,5,4,4,2,6,2
s321,3,6,3,5,3,3,3,5
s185,4,5,4,6,3,5,4,3
s345,6,2,3,4,4,4,3,5
s179,5,4,4,4,4,3,4,5
s287,5,6,4,5,4,4,2,5
s103,3,4,3,6,2,5,5,4
s063,5,6,5,3,4,1,5,1
s098,2,7,2,6,4,6,2,7
s187,3,5,6,6,1,4,5,4
s212,3,4,4,5,3,4,5,4
s090,5,3,6,2,3,4,5,4
s170,5,4,4,3,5,3,2,1
s129,6,2,4,3,5,4,4,4
s006,4,3,3,5,6,5,3,5
s217,4,3,4,7,2,5,2,4
s086,5,7,6,4,5,4,1,6
s132,4,4,3,2,4,4,5,3
s313,6,4,3,4,6,4,5,2
s002,5,4,4,6,4,4,5,5
s071,4,7,5,5,4,6,5,4
s047,7,4,3,5,5,5,3,3
s005,3,5,5,4,4,4,6,4
s028,6,3,4,3,5,3,7,1
s346,5,5,4,4,3,5,1,5
s142,4,3,1,3,2,1,3,3
s355,4,6,3,5,4,4,4,3
s235,5,4,5,5,4,3,2,3
s081,4,6,1,6,1,7,2,5
s349,3,6,6,4,4,4,3,3
s161,3,4,6,4,4,5,3,3
s307,2,4,6,4,5,3,4,2
s003,4,4,1,6,4,6,1,5
s175,4,4,4,6,3,4,1,4
s316,6,3,6,4,7,1,5,1
s036,5,4,4,6,4,5,5,6
s284,2,5,2,6,3,6,3,5
s353,7,4,4,1,5,5,5,2
s296,4,5,3,6,5,3,4,4
s317,5,2,7,2,7,2,5,1
s331,4,3,4,6,5,2,4,3
s257,4,2,7,2,4,2,5,4
s023,4,7,4,6,5,7,2,4
s017,5,2,4,5,7,3,4,3
s108,3,5,4,5,4,4,6,2
s281,6,5,5,6,5,1,6,4
s291,4,5,4,2,4,5,3,3
s123,6,1,5,2,4,3,5,2
s013,7,5,5,2,4,2,5,4
s304,7,3,3,6,4,3,4,4
s325,4,3,4,5,3,4,5,1
s277,5,5,6,6,5,3,7,4
s335,6,1,5,4,4,2,5,3
s120,4,4,4,5,3,2,5,4
s151,5,3,2,4,4,4,3,3
s274,4,5,5,7,3,5,4,3
s057,4,5,4,5,4,4,2,4
s224,7,4,3,5,3,4,3,5
s197,2,6,3,6,6,4,2,4
s322,4,4,3,4,3,6,4,4
s015,6,3,5,3,4,2,4,3
s128,5,5,5,4,4,3,5,3
s310,4,3,5,4,5,3,4,4
s157,4,2,4,2,4,4,3,2
s051,3,4,1,6,3,4,2,4
s088,7,4,2,4,3,4,5,1
s032,4,4,5,4,6,4,5,4
s075,6,5,4,6,4,5,4,4
s330,5,5,5,3,5,3,5,2
s077,3,5,4,6,4,2,5,4
s037,1,6,4,5,2,4,1,5
s342,2,4,1,7,4,6,3,4
s020,3,5,5,5,3,3,3,5
s084,3,3,5,6,4,4,5,4
s052,4,4,3,6,3,2,3,4
s019,6,4,4,4,7,3,7,3
s301,5,4,4,3,4,4,4,1
s035,5,5,6,5,5,5,5,1
s267,4,4,3,4,3,4,1,4
s248,5,4,4,1,3,5,3,2
s206,3,4,1,6,3,6,4,4
s250,4,2,5,4,6,3,6,1
s210,6,1,3,4,4,4,4,2
s150,1,4,1,3,4,3,4,4
s269,6,2,5,1,3,3,5,4
s155,5,5,6,4,5,4,5,6
s026,3,5,4,4,6,4,4,2
s214,3,6,4,7,3,4,5,3
s252,4,4,4,7,4,5,2,6
s085,4,3,6,4,4,4,6,5
s069,5,4,4,5,3,5,2,5
s244,3,4,3,6,4,5,4,5
s134,4,4,2,2,5,6,5,4
s159,3,4,6,5,3,4,2,4
s354,3,4,4,7,2,5,1,2
s158,4,4,3,4,6,4,4,3
s204,3,5,3,5,2,6,4,5
s243,3,5,5,6,4,4,6,2
s168,6,5,6,4,4,4,7,3
s302,4,5,4,4,5,4,5,4
s076,4,3,3,5,3,4,4,5
s148,4,5,4,5,2,4,3,5
s176,6,1,6,3,6,1,7,1
s100,4,4,4,5,5,3,5,1
s009,4,4,7,4,3,4,4,2
s126,7,3,4,5,5,4,5,1
s044,3,3,3,4,5,5,3,3
s320,4,6,4,6,4,3,5,3
s038,6,5,5,5,4,6,4,7
