subj_id,q01_F,q02_R,q03_F,q04_R,q05_F,q06_R,q07_F,q08_R,q09_F,q10_R,q11_F,q12_R,q13_F,q14_R
s220,5,7,4,6,5,1,2,4,4,5,3,4,4,2
s024,4,6,4,6,2,4,3,5,5,NA,3,5,2,4
s344,5,7,1,7,4,3,3,4,4,6,2,5,3,6
s222,4,2,4,5,6,4,6,2,4,3,4,4,6,4
s049,4,4,4,4,4,3,5,3,6,3,6,4,3,2
s064,1,6,3,6,1,7,1,5,3,5,1,6,1,5
s004,6,3,4,2,6,4,5,4,6,2,7,4,6,4
s037,2,4,2,5,4,3,2,3,4,4,5,4,4,5
s040,3,5,1,6,4,4,2,3,1,3,4,3,3,5
s088,3,3,6,5,4,2,6,3,3,4,6,3,5,2
s280,6,4,3,5,1,7,5,3,3,4,4,6,2,5
s020,5,4,6,3,2,1,7,1,5,1,4,2,5,4
s154,6,2,7,6,4,3,5,3,4,6,6,4,3,4
s181,6,5,4,4,3,3,4,3,4,3,6,4,4,4
s093,6,5,5,3,4,2,4,1,3,2,5,4,5,3
s095,6,4,4,5,3,5,3,2,3,4,7,2,4,5
s208,5,6,NA,4,4,5,2,5,3,3,4,3,2,5
s070,4,5,5,5,1,4,3,4,4,6,3,5,5,5
s230,5,4,4,7,4,3,6,2,3,5,5,5,5,2
s045,5,5,5,2,5,1,5,4,4,4,5,1,5,1
s057,4,5,5,7,5,2,2,2,1,5,6,4,4,4
s231,4,6,6,4,7,2,4,4,4,2,2,5,5,2
s065,2,5,2,3,6,4,4,4,3,3,3,6,1,6
s005,3,6,4,5,5,2,4,1,4,4,4,5,4,5
s085,5,5,5,3,3,1,5,3,5,4,4,5,3,4
s226,4,3,5,3,5,3,5,3,3,4,7,4,5,4
s161,3,7,4,5,5,4,5,4,3,3,4,5,4,3
s139,5,4,3,4,4,4,3,2,6,6,4,5,4,3
s034,1,6,2,6,2,4,3,5,4,4,6,5,4,6
s079,4,5,3,5,3,5,2,6,2,5,2,4,2,7
s177,7,4,4,5,4,4,5,4,3,3,6,4,6,4
s001,3,3,4,5,3,1,3,3,4,4,5,1,5,4
s286,2,5,2,5,3,3,4,4,4,4,4,4,4,2
s073,2,5,4,3,5,4,4,3,4,3,6,4,6,5
s190,4,7,2,7,3,5,1,4,2,4,3,4,3,4
s202,7,3,5,5,4,3,5,3,3,2,4,4,6,2
s343,3,5,2,5,5,5,4,3,1,4,3,5,3,5
s102,2,6,2,7,2,4,3,5,5,6,4,4,1,5
s075,4,4,4,3,5,5,4,3,5,2,4,3,6,4
s059,5,4,4,3,5,4,3,2,3,3,4,1,2,3
s258,7,4,6,3,5,1,6,3,6,3,5,4,4,1
s241,5,3,2,4,6,3,6,4,4,3,4,3,2,3
s246,4,5,5,6,3,4,4,4,4,5,5,3,6,5
s278,3,5,4,7,1,3,4,3,3,3,4,5,NA,2
s353,5,3,5,3,6,2,6,4,3,3,4,3,5,3
s232,4,2,3,5,NA,5,3,2,2,4,4,3,4,4
s218,5,6,2,3,3,4,2,4,1,4,1,7,3,2
s197,2,7,3,5,2,5,4,4,3,6,4,5,2,5
s319,5,4,5,5,3,4,3,4,2,4,3,3,5,3
s172,4,4,4,7,3,5,1,5,1,5,4,7,3,6
s308,2,4,6,4,6,2,4,3,3,4,4,4,5,5
s270,1,5,4,7,3,7,3,4,1,7,5,5,3,5
s244,4,3,5,3,7,4,4,1,4,1,7,4,5,1
s261,4,4,1,5,2,4,3,3,4,3,3,4,4,2
s223,4,5,3,7,2,4,3,5,4,4,4,5,3,5
s153,3,6,1,6,3,3,4,4,1,4,4,4,4,4
s110,6,4,3,7,3,4,4,4,3,4,3,3,NA,4
s206,4,4,6,6,4,2,3,3,3,4,6,3,3,4
s228,4,5,2,3,6,3,4,4,4,4,5,4,5,6
s039,3,6,3,7,1,7,4,5,3,4,4,7,3,5
s078,3,5,3,4,1,5,4,3,3,4,4,6,3,5
s097,1,4,4,5,3,5,1,4,4,4,3,5,3,7
s141,4,4,4,4,4,4,3,3,3,3,3,4,5,4
s134,5,3,5,2,3,3,5,4,4,4,7,4,6,5
s297,3,7,7,3,5,3,4,1,3,2,4,2,1,3
s138,5,NA,4,4,5,2,5,2,6,3,5,3,4,3
s267,3,4,4,6,4,1,4,3,3,3,4,5,6,6
s121,2,4,3,4,3,6,4,5,3,7,3,5,2,6
s349,5,5,6,4,7,1,6,3,5,3,7,4,6,3
s140,4,2,5,4,4,3,4,5,3,3,4,4,2,4
s125,5,5,5,3,6,2,4,1,5,3,4,3,7,5
s225,4,4,3,5,5,3,4,4,3,3,5,5,5,2
s031,6,4,5,4,6,2,7,3,5,4,7,5,5,5
s023,4,5,4,4,6,4,3,4,4,5,5,3,5,4
s327,5,5,3,6,5,5,5,2,4,3,5,4,3,3
s165,4,4,4,1,3,5,6,1,6,2,5,3,7,3
s195,4,4,6,5,3,5,2,1,2,4,5,7,4,3
s340,6,3,7,4,7,3,5,2,5,3,6,3,6,3
s339,4,4,5,5,4,4,3,5,3,4,4,4,2,4
s074,4,5,6,5,5,5,5,1,6,3,6,4,4,3
s185,5,4,7,2,4,3,7,3,4,4,6,5,2,4
s201,3,5,4,3,3,3,5,4,2,5,4,5,4,5
s127,5,1,5,5,5,2,5,2,5,4,6,3,7,4
s008,7,1,7,1,5,2,7,3,6,1,4,1,4,1
s053,3,6,2,5,4,3,4,4,2,5,4,5,4,3
s129,6,4,7,3,4,5,6,4,4,2,6,4,5,1
s048,4,4,4,5,4,4,3,3,4,2,2,5,6,4
s199,5,7,4,7,3,4,5,5,4,7,3,4,2,6
s099,6,5,5,3,6,3,5,4,4,4,5,2,6,4
s281,4,7,3,7,1,2,4,4,1,4,5,4,5,4
s183,4,5,3,5,4,5,2,4,6,5,4,3,2,5
s113,5,4,3,5,1,5,5,2,4,5,5,3,2,4
s019,5,4,4,6,5,1,3,2,4,4,4,4,3,5
s158,7,2,5,1,7,1,7,1,7,1,5,2,7,2
s114,6,4,7,4,5,1,6,3,6,4,5,3,7,3
s104,5,5,6,7,3,5,4,4,4,3,5,3,3,5
s058,5,4,6,4,4,2,4,3,4,3,7,3,5,5
s352,5,4,2,5,4,3,6,2,5,2,5,4,3,4
s257,4,5,1,4,5,4,2,3,3,5,2,5,3,3
s084,3,3,5,7,2,5,4,6,3,4,3,2,4,4
s091,4,6,4,7,4,5,3,4,2,4,3,4,1,4
s018,4,5,4,4,1,4,3,4,4,4,3,5,2,3
s284,4,7,4,4,4,5,5,5,4,5,4,5,4,7
s236,6,6,5,3,3,4,2,3,4,3,2,3,1,4
s055,4,3,5,4,6,2,6,1,5,2,4,1,4,4
s300,6,6,4,7,4,6,3,3,4,6,4,6,3,4
s080,3,3,5,5,3,1,3,1,1,4,5,4,5,4
s233,6,5,3,5,2,3,1,5,1,3,4,6,2,3
s213,3,3,6,3,5,2,7,1,3,3,7,4,4,3
s272,3,4,5,6,6,2,6,NA,5,3,4,6,4,4
s245,6,3,6,1,3,3,3,3,5,2,5,3,NA,3
s120,4,6,6,5,4,5,3,3,3,4,4,3,3,5
s250,7,3,5,4,7,3,2,2,4,3,4,3,7,3
s128,4,4,5,4,4,4,4,2,7,5,2,3,4,6
s002,6,4,3,6,5,1,4,4,5,4,5,6,4,4
s266,6,2,3,3,4,2,5,3,3,2,7,4,6,3
s210,4,4,6,4,4,3,5,2,3,2,2,4,4,3
s083,3,4,4,5,3,4,6,5,4,3,3,5,1,5
s301,3,4,2,6,3,3,3,4,2,4,3,4,4,3
s303,4,2,4,4,5,3,4,3,5,4,4,4,6,4
s283,5,4,4,3,5,3,3,4,4,3,4,4,3,6
s062,5,4,7,4,3,4,4,3,4,4,2,4,5,5
s191,4,6,4,5,4,4,5,3,6,1,2,4,3,4
s351,2,5,6,3,2,3,4,7,3,4,4,4,4,6
s157,4,6,5,7,4,5,5,4,4,4,4,6,4,4
s174,4,6,4,7,2,5,4,4,2,6,5,6,1,4
s335,3,4,6,4,5,4,5,3,5,3,6,4,3,4
s051,5,6,4,5,4,3,6,1,3,2,3,5,2,6
s103,5,3,7,2,4,3,6,2,7,1,7,2,5,1
s187,4,4,5,4,5,2,7,1,5,1,6,3,6,4
s224,5,1,4,3,6,2,5,2,5,1,7,4,4,1
s292,5,6,3,7,4,2,5,5,2,4,6,3,3,6
s119,4,4,4,4,3,3,6,3,3,4,4,4,4,4
s077,4,3,3,5,4,5,4,3,4,2,2,2,4,3
s350,4,4,3,4,4,3,4,4,1,4,5,5,4,4
s275,2,5,4,7,1,6,4,3,4,6,2,5,4,6
s068,NA,5,4,6,3,3,1,4,4,5,1,4,3,5
s337,4,4,4,4,3,4,5,5,1,4,4,3,3,6
s182,5,4,4,4,1,3,2,3,4,3,4,3,4,4
s207,3,2,2,4,3,3,5,4,3,5,4,5,5,4
s086,6,4,4,4,4,3,2,4,5,5,5,4,4,4
s291,5,5,4,2,7,1,4,2,4,3,6,3,7,2
s354,1,4,4,4,2,5,4,3,4,4,4,4,1,4
s334,4,4,4,3,4,5,4,4,3,3,4,6,1,3
s205,6,4,5,2,5,4,5,2,5,2,4,1,6,3
s146,4,3,4,7,2,3,5,4,5,2,5,2,4,3
s211,7,4,5,4,6,1,4,2,7,3,7,5,5,3
s302,5,6,3,2,7,5,2,2,4,1,4,2,4,5
s137,5,1,4,5,5,3,4,4,4,3,1,4,4,1
s196,4,5,5,6,3,4,4,2,4,3,4,6,3,4
s159,4,4,2,7,4,5,2,5,2,5,3,6,3,7
s217,2,7,1,6,2,4,4,3,1,5,2,5,4,5
s056,4,4,3,4,2,4,3,4,1,4,4,5,4,5
s098,5,2,5,3,4,2,5,2,4,1,3,3,7,4
s252,5,6,3,5,3,4,4,4,4,5,6,5,5,5
s249,6,2,3,3,4,1,7,1,3,3,6,2,4,4
s221,4,5,5,2,5,3,4,4,5,3,3,4,6,4
s089,3,3,6,4,4,3,5,4,3,3,5,4,4,3
s009,3,5,4,4,4,3,6,3,3,5,5,3,2,2
s133,3,4,3,5,4,4,4,3,5,4,4,3,5,6
s166,5,3,2,4,6,4,3,3,3,3,6,7,4,4
s021,5,5,NA,4,3,4,6,2,4,1,4,5,6,4
s108,5,3,5,3,5,2,7,1,4,4,5,2,7,1
s100,4,6,6,6,2,5,3,3,2,4,5,4,4,5
s090,4,4,3,5,3,2,4,5,3,6,6,5,2,4
s294,4,5,5,5,3,3,4,2,2,3,2,3,2,4
s212,5,4,6,3,4,3,6,3,4,3,5,3,5,4
s193,6,2,5,4,3,2,4,2,5,4,7,2,5,4
s265,7,7,2,5,4,2,5,4,5,5,5,5,3,3
s106,3,7,3,4,2,3,4,3,2,5,5,4,4,6
s132,4,2,7,4,6,3,4,4,5,3,7,2,5,2
s304,4,4,3,7,4,4,5,2,2,3,1,7,1,4
s160,2,6,3,4,3,1,5,3,4,5,6,3,5,5
s259,3,5,2,5,5,6,4,3,1,4,1,3,2,5
s215,5,3,7,5,4,2,5,3,4,1,4,5,7,5
s007,4,4,5,6,2,3,4,3,2,5,3,5,2,5
s147,4,3,3,6,4,4,3,3,4,4,3,4,4,7
s016,4,5,6,5,3,4,6,6,4,7,7,5,3,3
s052,4,3,5,1,6,2,6,1,5,3,5,2,7,3
s071,3,5,4,6,3,6,1,3,4,2,4,6,3,3
s112,6,4,4,4,3,2,5,2,5,3,5,3,7,2
s320,6,4,4,4,4,4,7,3,4,2,3,4,3,4
s285,2,4,3,5,3,4,3,4,3,3,3,5,1,3
s094,5,4,5,5,5,5,4,3,2,3,5,5,4,5
s312,3,5,3,5,4,4,4,4,4,5,4,5,5,4
s027,4,7,2,7,4,5,1,7,3,4,3,5,3,4
s047,5,4,3,3,2,4,4,2,2,2,5,4,4,3
s060,5,4,5,3,5,3,3,3,3,4,7,4,4,6
s290,5,3,3,4,5,5,1,4,7,3,4,5,4,3
s192,4,3,3,4,4,2,5,1,3,3,3,4,4,4
s289,5,2,4,4,5,3,5,2,3,4,5,2,5,5
s028,4,5,4,4,4,4,4,2,4,5,6,6,4,5
s310,1,4,3,6,3,6,3,4,2,5,5,4,3,7
s328,4,5,4,5,2,7,4,5,2,5,3,7,2,7
s248,4,7,2,6,5,4,4,5,1,5,2,5,2,6
s123,5,3,6,5,4,1,6,4,5,3,6,3,4,4
s144,5,5,4,3,5,3,3,1,4,3,4,4,3,5
s025,3,4,5,3,5,1,3,1,4,3,5,2,5,4
s109,4,7,3,5,3,4,3,4,2,5,2,5,3,6
s331,3,3,5,6,3,2,6,4,6,3,3,6,5,6
s263,2,7,4,7,3,4,4,5,3,3,1,3,3,7
s156,5,2,5,4,5,2,4,4,4,1,4,5,5,4
s044,4,4,5,6,3,4,6,4,4,5,4,6,2,5
s101,5,3,3,3,6,3,5,2,5,3,5,3,3,3
s342,3,2,6,7,5,5,7,4,4,3,4,5,4,4
s256,3,6,3,7,2,5,3,4,2,6,4,5,1,5
s329,5,2,4,6,4,3,4,5,3,3,4,3,4,3
s063,6,5,2,7,4,2,5,5,4,5,2,4,3,4
s338,3,2,5,6,5,3,5,1,4,2,4,3,4,3
s072,5,4,4,4,NA,3,4,1,3,2,3,4,4,1
s046,5,3,4,4,4,3,4,3,2,4,4,5,5,3
s203,3,6,6,7,2,7,5,5,3,3,2,5,4,4
s061,1,5,1,7,4,5,3,3,2,2,5,5,2,NA
s330,4,4,3,6,5,4,5,3,4,3,6,4,4,6
s116,6,5,2,6,4,3,4,4,2,3,4,4,2,5
s176,3,7,2,5,2,5,2,6,2,7,2,5,2,4
s299,4,2,5,5,3,4,7,4,3,3,4,4,4,2
s326,4,4,2,6,4,4,4,2,1,2,4,5,5,5
s149,NA,3,5,6,7,3,3,4,5,3,4,4,3,NA
s076,3,7,3,7,4,6,3,4,2,6,3,5,3,5
s314,4,6,4,5,3,1,3,2,3,3,4,4,5,3
s313,3,6,4,6,1,5,1,2,6,6,4,6,2,5
s026,3,4,4,4,3,4,4,2,5,2,3,5,4,4
s096,7,2,4,4,4,1,5,4,6,1,4,3,6,3
s347,1,4,3,3,4,4,5,3,4,4,3,3,7,3
s324,3,7,6,7,5,4,6,5,3,2,4,5,4,6
s150,5,5,6,3,4,4,5,2,5,1,5,2,5,1
s251,5,3,6,5,2,4,3,4,4,3,6,6,5,5
s276,5,4,5,3,5,2,3,2,5,2,4,5,5,3
s287,4,5,4,7,3,3,2,3,3,4,5,5,2,6
s169,3,5,3,7,4,6,5,1,3,4,2,6,4,5
s081,3,5,6,4,4,3,5,4,4,3,4,1,5,3
s346,4,1,5,4,6,4,5,3,3,1,4,3,3,4
s038,5,4,4,2,7,2,4,1,4,3,6,2,6,NA
s175,4,3,3,3,5,5,4,3,5,4,4,5,2,2
s279,4,5,4,4,5,3,6,3,6,3,5,3,4,3
s269,5,4,6,4,5,5,5,1,5,2,6,5,4,2
s311,6,5,5,5,4,3,5,3,2,1,NA,2,4,4
s087,3,3,6,6,6,2,4,3,4,4,4,4,5,6
s145,4,5,3,3,4,3,4,4,5,6,4,5,5,6
s274,4,3,3,5,4,4,4,5,3,2,4,5,3,5
s118,3,7,4,7,2,4,2,5,4,5,3,6,2,4
s240,2,4,2,6,2,4,5,3,2,4,3,5,2,4
s318,5,5,4,3,3,4,5,3,2,2,4,3,4,3
s333,5,4,4,4,5,3,6,1,4,4,3,2,4,5
s173,5,4,4,1,3,3,4,3,3,4,3,4,4,4
s164,7,1,7,3,7,1,7,1,6,2,7,1,7,4
s178,3,7,2,7,2,6,2,4,2,5,3,6,3,4
s162,3,4,4,4,6,3,6,3,4,3,2,4,4,4
s115,6,4,5,4,4,3,5,1,4,4,4,3,1,4
s148,4,4,5,4,6,3,6,3,5,3,4,3,NA,2
s155,1,4,4,4,6,4,4,2,6,7,5,4,6,5
s010,3,5,3,6,5,4,6,4,4,3,4,4,4,4
s268,2,4,4,6,1,3,2,3,1,7,3,6,3,5
s030,5,5,3,2,5,4,4,2,4,2,1,1,5,2
s238,NA,5,4,7,4,4,3,1,2,4,3,5,1,4
s209,5,6,4,5,4,3,3,3,NA,5,5,5,3,6
s336,5,3,4,4,6,1,7,1,6,1,4,2,2,2
s152,3,6,1,5,4,6,4,6,2,4,4,7,1,7
s262,6,7,5,6,4,2,4,2,1,5,2,5,5,5
s014,2,7,4,5,4,5,4,4,3,3,6,4,3,3
s011,4,5,2,5,3,2,6,3,3,4,5,3,4,5
s298,3,2,5,2,5,3,6,3,3,3,4,3,6,3
s277,1,3,3,5,5,1,4,1,3,NA,3,7,5,3
s321,5,4,1,6,4,4,3,4,2,5,2,5,2,6
s306,2,3,4,4,3,3,5,2,4,3,NA,6,4,6
s237,2,4,5,3,4,4,6,3,4,4,4,3,4,3
s032,4,5,3,5,5,4,4,3,3,2,2,4,5,1
s003,3,6,4,6,2,5,4,3,4,4,2,6,5,5
s017,5,4,4,4,5,1,5,4,5,6,7,3,4,3
s082,5,6,4,4,4,5,4,4,4,3,6,4,5,5
