subj_id,q01_F,q02_R,q03_F,q04_R,q05_F,q06_R,q07_F,q08_R,q09_F,q10_R,q11_F,q12_R,q13_F,q14_R
s278,6,1,4,3,5,1,7,3,4,5,4,3,6,3
s119,3,4,4,3,5,5,4,3,4,3,3,2,4,4
s078,6,3,4,4,5,3,2,3,4,4,4,3,6,4
s246,5,1,7,3,7,1,4,1,6,2,6,2,5,3
s169,5,4,5,3,5,3,2,3,5,4,5,3,4,3
s225,5,7,4,2,5,4,5,4,6,3,2,4,5,4
s037,4,5,3,5,3,2,4,4,4,6,3,3,3,4
s349,4,7,3,7,4,7,3,5,2,4,2,6,1,5
s050,5,3,3,3,4,3,3,2,2,2,4,4,2,4
s343,5,2,4,2,4,5,6,5,4,2,5,1,3,4
s322,4,2,5,4,5,4,4,4,5,1,7,3,5,4
s328,5,5,4,6,3,3,4,4,2,4,5,4,4,6
s182,2,4,4,7,4,4,3,2,4,4,5,4,4,6
s062,4,3,4,3,5,1,4,2,3,3,3,3,5,4
s324,3,5,2,5,3,3,4,6,3,3,4,4,3,7
s269,6,6,2,4,3,2,5,5,4,6,1,5,6,6
s155,5,4,4,3,5,3,4,6,5,4,2,3,5,5
s309,2,3,3,4,2,2,4,3,4,4,4,3,1,5
s011,4,5,3,6,2,3,3,4,1,3,1,5,1,6
s120,4,5,4,6,4,4,4,4,4,6,1,4,2,6
s288,4,5,3,5,NA,5,3,7,4,6,5,5,4,5
s046,2,5,3,3,4,4,2,3,4,4,3,4,3,5
s334,4,2,4,3,5,3,1,4,5,4,5,4,5,6
s176,4,4,4,6,2,3,3,3,4,2,4,3,5,5
s076,6,4,3,3,4,1,4,1,5,5,4,1,6,4
s273,6,2,5,3,4,3,4,3,5,4,5,3,4,3
s096,4,4,4,5,5,3,4,3,6,4,4,2,5,3
s064,5,4,5,2,3,4,5,4,4,4,5,4,5,4
s175,4,5,4,5,3,3,4,3,4,4,3,2,3,6
s257,5,6,3,5,3,6,4,4,2,4,4,4,3,7
s314,5,3,2,4,4,2,5,4,5,2,7,2,4,4
s066,4,6,1,4,4,3,4,4,3,4,3,5,3,5
s355,5,5,4,5,4,3,1,6,2,5,3,5,3,3
s035,6,4,4,3,4,3,6,3,6,4,4,2,4,4
s028,6,5,7,4,6,1,6,3,4,4,4,2,6,4
s136,5,3,4,5,3,2,4,5,4,3,4,3,3,4
s063,4,2,5,3,6,2,4,4,4,1,5,2,5,3
s346,5,7,3,5,5,3,4,2,7,4,NA,3,4,4
s194,5,7,4,3,7,2,4,2,3,4,7,4,5,4
s256,4,4,5,3,6,NA,2,3,4,5,4,3,3,4
s305,4,5,4,5,3,4,2,6,3,5,4,4,3,4
s138,5,4,6,2,6,2,3,2,5,4,NA,3,6,7
s223,2,6,4,4,3,7,2,1,4,4,4,3,3,7
s073,5,4,4,2,2,3,5,4,4,5,3,2,4,4
s055,5,3,4,5,3,5,2,4,3,5,5,3,4,3
s038,4,4,5,5,4,6,4,4,6,4,3,5,3,6
s183,4,6,3,5,4,5,1,3,3,6,2,7,2,6
s102,5,5,5,4,5,4,4,5,3,4,2,6,3,4
s043,5,4,3,6,3,4,4,4,4,3,3,6,3,5
s263,4,2,4,4,5,4,3,5,6,4,1,3,5,4
s086,7,4,4,3,4,5,4,4,6,3,2,3,5,6
s082,3,4,4,6,5,2,2,4,5,6,3,5,5,7
s289,4,5,3,5,4,5,2,2,3,5,4,7,1,5
s315,5,5,4,5,4,4,5,3,5,3,2,2,3,6
s200,7,5,4,5,3,2,5,2,4,3,4,4,4,7
s079,5,2,6,4,5,1,4,3,3,1,6,3,6,4
s106,3,3,4,3,4,6,1,3,3,4,3,5,3,5
s339,4,4,5,4,4,3,6,2,4,5,2,4,5,4
s125,5,3,4,3,6,1,4,3,4,4,5,3,7,3
s227,3,3,5,6,3,4,1,6,1,4,2,4,3,5
s167,5,3,6,4,5,1,5,4,NA,3,6,5,5,7
s189,6,4,5,3,4,2,1,3,3,3,4,1,4,4
s105,4,6,3,3,2,3,1,3,2,5,4,6,2,5
s162,4,5,5,3,4,3,3,5,5,7,5,5,4,7
s216,1,4,3,6,5,5,1,5,1,4,3,5,1,5
s166,3,6,2,7,2,7,5,4,3,5,1,4,1,4
s016,7,1,6,3,5,3,5,5,5,1,5,4,6,2
s171,5,5,3,6,3,2,5,4,5,6,2,5,2,4
s353,4,4,4,4,6,2,6,4,6,4,3,2,2,5
s239,4,3,5,5,6,3,5,4,4,3,4,1,4,6
s074,5,4,2,4,4,3,2,5,5,4,4,4,3,4
s101,6,5,5,4,6,3,2,4,6,3,2,2,1,7
s041,4,2,3,5,5,1,6,3,6,4,4,5,5,4
s132,4,4,4,4,3,3,4,2,6,3,4,4,4,5
s058,2,4,2,6,2,5,3,5,4,4,1,4,2,7
s095,6,2,6,2,4,3,5,4,6,5,7,1,7,4
s104,7,2,6,2,7,2,7,3,6,1,6,2,4,1
s127,4,5,4,4,4,6,4,5,2,3,2,6,3,6
s027,5,4,4,3,6,4,2,5,4,4,3,3,2,4
s149,2,5,4,6,4,5,1,NA,1,4,4,7,3,7
s081,4,6,4,4,2,5,2,7,4,5,5,5,4,5
s312,5,4,4,5,5,2,3,3,3,6,4,6,5,5
s098,5,5,5,4,6,4,4,4,5,4,3,4,4,5
s124,4,4,3,5,3,5,3,5,7,4,3,4,4,5
s293,4,5,3,4,3,4,2,5,4,4,4,4,6,5
s142,5,6,4,7,6,5,7,3,1,4,4,7,2,7
s089,4,4,3,4,6,3,6,3,6,5,3,5,4,4
s283,7,5,1,5,4,5,3,6,NA,5,2,4,3,6
s272,2,4,1,5,3,3,3,5,4,4,3,4,5,4
s327,4,5,3,5,3,5,1,3,4,5,4,5,4,7
s193,5,4,4,4,4,2,6,2,7,4,5,4,5,5
s004,6,3,5,3,5,2,5,4,5,3,6,2,7,3
s053,5,6,4,7,4,4,3,4,3,4,2,5,2,7
s165,5,4,3,5,3,4,3,4,5,3,3,3,4,5
s344,5,7,2,7,2,5,1,5,5,6,5,5,2,7
s148,6,1,7,2,7,2,6,2,7,1,4,4,4,3
s299,3,5,4,4,3,4,3,4,4,3,4,4,5,5
s051,6,4,5,3,4,5,5,5,5,3,4,1,5,3
s019,5,5,6,2,5,NA,2,1,5,4,5,2,5,5
s059,3,6,4,5,4,4,3,4,3,4,NA,1,4,5
s266,6,5,6,6,6,3,3,4,4,4,4,4,2,4
s029,6,3,3,1,7,3,5,2,6,2,3,5,6,4
s249,4,4,4,5,3,3,4,5,2,7,4,4,3,5
s109,3,5,4,5,2,4,2,4,2,4,4,4,4,6
s077,3,6,4,4,6,3,1,4,3,5,3,5,1,7
s187,5,7,2,4,2,4,1,4,4,4,3,4,4,6
s067,7,5,6,5,5,3,3,3,5,4,3,1,5,4
s260,3,6,3,7,2,6,1,5,3,7,1,6,1,5
s351,4,3,3,2,4,4,3,1,7,2,5,4,6,4
s319,4,5,1,5,4,3,3,4,3,6,1,4,3,6
s117,6,1,5,1,4,3,4,3,5,2,5,1,6,4
s100,2,5,4,3,5,2,4,4,5,5,5,3,3,5
s006,6,2,7,3,5,3,4,2,6,1,3,3,7,4
s303,5,4,2,3,5,4,4,3,4,6,1,5,3,4
s280,7,1,7,2,5,1,6,3,4,5,6,3,5,4
s221,5,7,3,4,4,4,2,6,4,5,1,5,2,7
s265,4,5,5,4,5,5,6,4,2,1,4,4,5,5
s092,3,3,5,3,7,4,6,1,5,6,4,6,5,3
s300,4,2,5,4,6,3,5,2,6,2,4,1,3,4
s134,6,4,2,6,3,2,5,4,3,6,3,6,2,5
s114,6,2,2,6,3,1,4,4,7,3,2,2,3,4
s213,6,3,4,4,5,4,4,2,2,4,4,5,4,4
s284,4,7,3,6,3,2,2,4,2,7,2,5,3,6
s287,5,4,4,3,4,3,3,1,3,6,5,2,3,7
s207,7,4,5,6,3,3,4,3,6,4,3,4,3,5
s211,4,2,5,5,5,3,1,3,4,3,3,5,6,6
s357,5,3,5,3,6,1,7,4,5,3,6,1,5,4
s341,4,5,5,4,4,1,3,5,1,5,3,5,2,5
s072,4,3,4,4,5,3,5,6,4,3,5,4,4,2
s275,5,4,3,4,4,4,4,5,2,4,3,3,4,5
s061,7,2,5,5,3,3,5,3,4,4,4,3,4,6
s009,5,7,3,6,2,5,2,4,5,5,5,4,3,7
s231,4,5,3,7,5,5,1,6,3,7,2,5,3,6
s071,4,3,4,5,4,4,4,3,3,4,4,2,2,3
s292,7,4,5,4,2,5,1,2,5,2,3,2,3,3
s208,4,5,4,6,2,2,3,4,5,5,4,6,4,6
s281,7,4,5,4,2,5,1,2,6,5,3,2,2,4
s112,5,4,4,5,7,1,4,4,4,2,4,NA,2,7
s056,7,4,5,2,5,2,3,1,4,2,4,3,7,4
s205,4,4,5,6,4,5,6,4,3,3,2,2,4,6
s214,5,1,4,2,6,3,4,2,5,4,5,4,6,4
s158,6,4,2,4,5,2,4,1,6,3,2,4,5,5
s093,6,4,5,3,4,1,4,2,6,1,2,4,6,4
s251,6,3,6,5,4,2,4,4,6,3,4,2,5,4
s244,3,5,5,4,4,4,2,4,5,5,2,4,6,6
s228,7,4,4,4,4,2,4,4,4,5,4,4,5,5
s184,5,5,3,6,5,4,2,3,5,3,3,5,2,4
s290,6,3,3,4,4,6,3,3,7,4,5,3,4,5
s103,3,7,3,5,3,5,1,5,4,5,2,4,4,6
s025,3,5,2,5,2,3,2,5,3,7,4,3,2,5
s316,5,5,2,5,5,2,7,3,5,3,4,2,5,5
s052,6,4,1,5,4,6,1,7,3,6,3,2,3,6
s325,3,5,2,6,1,1,4,3,4,5,3,3,3,4
s282,3,5,4,5,4,6,2,6,4,6,2,5,4,7
s291,6,5,4,4,5,2,5,1,6,4,5,2,5,5
s150,4,4,5,4,3,5,3,4,3,3,2,5,5,7
s258,4,3,4,2,3,2,5,4,3,3,7,3,3,3
s311,7,3,5,3,5,3,4,3,4,2,4,4,5,2
s329,4,6,3,6,6,4,3,4,4,6,5,4,3,6
s308,3,6,2,3,4,5,3,6,4,6,2,7,5,7
s196,4,5,2,2,3,5,4,5,5,1,4,5,5,5
s352,7,5,5,7,3,3,3,4,3,5,5,3,2,4
s160,2,4,1,7,3,6,1,3,2,5,1,4,4,5
s024,5,4,5,5,NA,4,4,3,3,4,4,1,6,2
s179,4,7,4,5,2,2,4,5,4,NA,3,5,3,4
s247,4,5,5,5,5,4,4,3,3,3,1,4,3,5
s237,5,3,4,4,3,4,2,5,3,4,1,5,6,5
s034,4,4,3,3,5,5,4,5,2,5,2,5,4,6
s163,5,3,2,5,2,4,3,5,3,5,4,5,3,5
s317,4,5,4,7,4,4,NA,6,5,6,2,6,3,4
s042,6,2,6,3,4,1,4,3,5,5,5,1,6,4
s313,4,4,5,4,3,3,3,6,2,3,4,2,5,4
s259,5,4,4,1,6,1,4,2,7,3,5,3,4,3
s274,4,5,1,3,3,5,3,6,4,6,3,5,4,4
s254,2,3,5,2,5,4,5,2,6,4,3,3,6,5
s122,6,3,4,2,5,4,4,5,4,4,5,4,3,6
s091,5,4,4,4,4,4,3,2,4,4,7,4,4,4
s054,1,6,4,4,4,3,6,2,5,4,3,4,4,3
s007,6,3,4,5,5,3,4,3,5,4,4,3,7,4
s235,3,6,2,4,2,4,4,5,3,5,2,6,1,6
s080,6,5,4,5,5,2,6,2,5,3,6,3,4,5
s192,4,4,2,5,2,4,4,2,3,3,4,4,4,6
s306,3,7,3,5,5,5,4,5,4,5,1,4,2,5
s277,3,7,4,5,2,5,2,5,4,7,3,6,1,7
s297,5,2,5,3,7,3,4,3,5,5,3,3,2,5
s026,5,3,5,5,4,2,4,2,4,2,4,4,7,6
s224,4,NA,1,5,3,2,6,3,1,4,4,7,1,5
s146,5,5,5,3,3,3,4,4,5,5,4,3,6,5
s094,6,4,6,4,6,3,6,5,3,4,4,5,4,NA
s145,6,4,6,4,4,1,4,3,5,2,6,2,2,4
s157,6,3,4,4,NA,4,5,4,4,4,5,5,7,5
s115,2,6,3,2,5,2,4,2,4,6,4,4,3,4
s069,5,3,3,3,6,3,4,3,7,4,4,4,2,4
s060,4,5,3,4,4,3,3,4,4,5,3,3,4,3
s147,5,6,3,5,4,4,4,3,6,3,4,5,2,4
s206,5,3,5,3,4,3,4,3,7,4,5,3,5,5
s118,6,2,2,4,1,1,2,3,2,4,2,5,4,5
s107,4,6,3,4,4,4,4,4,4,4,3,4,3,4
s141,6,2,4,4,5,4,2,5,3,3,4,2,3,5
s008,4,3,4,4,4,4,6,4,4,5,2,4,3,1
s276,6,2,5,3,3,3,5,1,6,3,7,3,5,4
s090,4,4,4,6,2,3,2,6,4,5,2,3,5,4
s191,1,5,2,7,3,3,5,4,6,6,1,5,4,4
s261,4,6,5,3,5,2,4,1,7,5,2,4,5,4
s140,4,4,1,4,2,3,3,5,4,4,5,4,2,6
s032,4,6,5,2,4,5,6,4,5,4,4,2,4,4
s085,4,4,1,6,2,6,3,3,3,6,2,1,7,4
s111,4,3,4,5,5,4,4,4,6,5,NA,5,4,6
s133,4,3,4,4,5,3,4,2,5,2,5,3,4,4
s294,4,3,4,3,4,4,4,3,5,3,4,4,5,5
s245,1,6,3,3,3,7,3,6,3,6,2,4,3,4
s252,4,4,3,2,6,4,7,3,4,2,3,4,3,5
s240,4,5,4,4,3,2,5,3,4,1,4,3,4,4
s301,2,7,4,6,2,5,3,4,3,5,1,7,3,7
s307,3,5,3,5,1,4,4,4,4,6,2,5,3,7
s271,5,7,3,6,3,4,3,4,3,6,5,6,3,7
s097,4,4,4,4,4,6,5,5,3,4,2,5,7,3
s218,5,6,3,7,4,6,2,4,5,4,2,4,6,6
s121,4,5,5,6,6,6,5,3,5,3,4,3,5,6
s020,3,5,2,7,5,3,3,5,4,7,4,4,3,5
s129,4,4,3,4,4,5,4,6,4,2,4,2,1,6
s131,4,3,2,6,4,3,4,4,6,6,5,2,5,6
s250,5,6,5,5,5,3,3,1,3,4,5,3,3,2
s002,3,7,1,4,3,6,4,7,2,6,2,5,2,6
s143,4,5,1,6,2,3,1,5,4,2,1,5,2,4
s310,5,5,4,5,2,4,3,5,3,2,2,5,4,5
s295,4,3,6,6,3,4,2,4,4,2,3,2,6,7
s285,5,2,5,3,5,4,3,3,5,4,5,4,3,7
s335,5,2,5,7,6,3,3,4,5,5,5,1,4,5
s345,4,5,4,7,3,3,3,4,1,4,2,7,3,6
s123,5,4,5,4,4,3,4,4,3,1,3,4,5,4
s241,3,7,3,6,3,6,2,4,3,5,1,7,1,7
