subj_id,q01_F,q02_R,q03_F,q04_R,q05_F,q06_R,q07_F,q08_R,q09_F,q10_R,q11_F,q12_R
s395,4,5,5,4,3,2,3,4,4,4,5,2
s233,4,4,2,4,5,7,2,4,3,6,4,NA
s351,4,2,7,3,6,4,4,4,6,3,3,4
s197,7,2,5,3,7,3,7,3,7,3,6,3
s214,7,4,4,3,4,5,4,4,4,6,4,4
s144,5,5,NA,3,4,4,5,3,5,1,5,4
s016,1,4,2,4,2,5,2,2,3,6,2,6
s295,1,5,4,4,2,5,3,5,1,5,3,6
s208,5,5,3,4,3,4,3,4,1,3,6,4
s316,4,6,3,3,2,7,4,4,5,5,4,6
s112,5,5,4,4,4,3,5,5,4,4,5,4
s237,5,3,5,3,5,2,5,3,7,4,5,4
s354,6,4,5,4,5,5,4,4,4,4,5,3
s334,4,4,3,4,4,5,5,2,3,3,7,2
s071,6,4,6,3,3,5,3,4,6,4,4,1
s130,3,3,4,4,3,4,5,2,5,4,6,6
s015,2,6,5,3,6,4,5,3,2,3,4,4
s173,3,4,3,1,3,5,4,6,3,4,3,5
s348,5,6,6,4,4,4,4,3,6,4,3,2
s061,3,4,4,4,5,7,4,5,3,5,4,5
s105,3,6,3,4,1,7,3,4,4,7,2,4
s240,4,3,5,3,3,6,2,5,4,6,5,5
s139,4,6,5,2,6,3,6,3,5,4,2,3
s360,5,4,6,3,4,4,6,2,4,4,7,4
s235,7,4,7,3,6,4,3,3,3,5,5,5
s069,6,7,5,3,2,4,3,6,3,5,1,6
s017,4,6,1,3,2,5,4,5,3,4,4,5
s060,5,6,5,6,3,4,3,4,2,7,4,6
s368,3,6,4,4,3,5,4,4,3,4,3,5
s161,4,5,3,4,5,6,2,3,3,5,3,5
s091,3,7,4,5,2,7,3,4,3,4,4,4
s200,7,4,4,3,6,2,4,2,4,4,5,2
s050,5,4,5,4,5,4,5,3,5,3,7,4
s322,6,6,5,2,5,4,5,3,4,3,2,2
s393,5,4,4,2,4,3,3,6,4,5,2,3
s238,3,5,4,5,5,3,5,4,3,4,5,5
s300,4,5,5,4,3,6,3,6,3,5,4,5
s388,4,3,3,4,5,6,5,6,4,4,3,7
s196,3,6,5,2,4,3,3,1,4,4,3,3
s116,7,3,6,1,6,3,NA,3,7,1,7,1
s033,4,3,5,3,4,2,5,2,6,4,6,2
s265,7,2,7,4,4,4,6,2,4,2,6,4
s381,3,4,5,5,7,5,4,5,5,5,4,3
s053,5,5,4,4,2,5,4,6,1,4,3,1
s020,7,2,6,1,6,3,3,1,7,3,5,4
s043,4,3,5,3,5,4,5,4,3,4,5,4
s148,6,3,6,5,4,4,4,2,4,3,4,3
s377,4,6,3,4,3,5,2,7,3,3,4,5
s213,4,4,4,1,5,3,4,5,3,3,4,4
s227,3,5,3,3,2,7,4,5,2,7,2,3
s340,2,6,2,6,4,4,2,4,3,7,4,7
s163,3,6,2,2,3,6,1,6,3,6,4,5
s399,5,4,6,5,5,5,7,5,2,1,5,3
s382,5,4,2,2,7,4,3,7,4,4,6,6
s189,5,4,1,4,4,5,4,4,4,4,6,4
s326,4,3,2,2,5,4,3,4,4,3,5,4
s041,3,5,6,4,3,6,4,2,3,5,5,6
s102,3,4,3,4,5,4,4,5,3,2,4,5
s186,4,6,5,4,2,6,2,3,4,3,4,4
s046,3,2,7,3,6,3,4,4,3,3,5,1
s315,7,1,5,1,6,3,4,2,7,2,4,2
s174,5,3,4,3,5,5,3,7,6,5,7,4
s303,5,5,6,2,4,4,7,3,7,3,5,1
s312,4,4,3,5,2,5,4,4,3,4,3,6
s191,6,1,7,2,6,1,5,2,5,4,4,1
s183,4,4,5,3,4,4,6,3,5,5,2,4
s092,6,6,3,4,3,3,4,5,3,3,2,NA
s391,2,7,1,6,3,6,2,4,2,7,1,7
s344,2,5,3,3,5,6,4,5,3,6,3,4
s151,3,5,5,1,4,5,4,3,4,2,4,5
s280,7,5,5,5,3,4,5,6,3,4,7,2
s059,2,7,3,4,5,6,3,6,NA,4,4,6
s301,3,4,5,4,4,6,5,6,4,4,4,7
s296,5,5,7,1,4,4,4,4,3,4,5,4
s209,5,3,5,1,7,4,4,1,6,4,7,2
s324,4,2,5,5,4,7,4,6,5,5,5,4
s103,5,3,4,2,3,3,5,3,4,4,4,4
s113,5,5,4,3,5,3,4,3,6,3,6,4
s374,5,3,4,4,5,2,4,5,2,4,3,6
s201,6,2,4,2,6,3,7,3,4,2,4,3
s369,4,4,3,1,5,5,2,6,3,4,5,6
s123,6,2,7,1,5,4,3,4,4,4,6,3
s009,3,5,6,1,2,5,1,6,2,4,5,6
s331,4,4,4,2,4,2,5,3,4,1,6,1
s126,4,4,4,2,7,3,4,4,7,4,2,2
s203,5,5,4,4,4,6,3,5,5,5,3,4
s223,5,2,5,3,4,5,4,6,5,4,2,6
s184,4,6,4,3,4,6,4,6,4,5,6,6
s258,4,5,4,6,1,7,2,5,3,4,5,3
s007,1,4,7,2,3,4,5,6,3,4,6,4
s081,6,3,3,2,5,7,4,4,6,4,6,4
s095,4,3,6,4,5,3,4,4,5,5,3,6
s154,4,5,6,2,3,4,4,3,2,4,6,4
s212,3,3,4,2,4,4,4,4,6,4,5,5
s136,4,5,5,4,3,7,2,5,3,4,5,7
s037,3,6,1,6,4,7,3,4,4,5,5,5
s023,4,1,5,3,4,3,3,1,6,3,6,4
s049,4,5,5,2,3,7,3,7,1,7,2,5
s380,5,2,5,5,3,4,4,4,5,2,5,5
s027,5,3,4,3,5,3,5,3,2,5,4,4
s170,6,4,5,3,4,1,5,4,5,3,5,3
s304,5,4,1,7,4,5,4,4,3,7,3,3
s269,2,5,2,2,3,5,4,4,3,4,4,4
s147,6,6,4,2,5,4,2,5,4,4,2,3
s190,3,4,5,4,4,4,6,4,4,4,4,3
s031,3,3,4,1,4,NA,7,4,1,1,4,3
s379,6,3,5,2,5,4,6,3,6,4,4,4
s267,3,6,5,6,4,2,3,3,4,3,4,4
s003,4,2,4,3,4,6,3,4,4,2,4,6
s066,7,2,6,4,7,4,4,4,3,2,4,4
s172,4,7,4,4,5,5,4,4,1,5,4,4
s168,5,6,3,3,2,4,3,6,2,2,5,4
s178,7,3,4,2,6,4,5,4,5,4,5,4
s175,5,5,4,2,5,2,5,2,5,3,5,5
s356,4,6,5,1,5,3,4,7,4,5,4,4
s040,6,5,3,1,5,1,5,3,3,3,4,4
s298,6,5,3,3,5,4,4,5,6,5,5,5
s133,6,3,4,3,4,4,6,4,7,3,4,6
s225,4,7,5,3,3,5,1,5,5,6,4,3
s371,6,5,4,5,5,6,4,3,5,5,4,2
s187,6,3,7,4,4,1,4,4,5,3,6,3
s270,4,6,3,4,4,6,2,7,2,3,3,4
s128,4,2,4,2,6,5,6,5,4,4,4,4
s165,5,7,4,1,NA,4,NA,4,5,3,4,5
s124,6,5,4,2,2,1,6,3,4,3,7,4
s361,4,5,3,4,3,4,4,4,3,5,5,4
s330,4,4,4,6,6,6,5,4,4,3,4,4
s232,2,5,2,3,4,4,2,3,2,5,4,4
s338,5,5,4,4,5,5,7,3,4,4,3,4
s333,5,5,4,1,4,6,5,5,4,4,4,5
s145,2,4,5,1,5,5,4,3,2,1,4,4
s114,5,4,3,4,6,7,3,4,4,5,3,5
s222,5,4,5,4,5,3,3,3,4,3,7,3
s074,5,5,3,4,2,5,4,4,2,3,2,5
s038,6,5,4,3,5,4,5,3,3,4,1,4
s087,3,6,2,4,3,6,5,5,3,4,5,5
s400,3,5,2,4,3,7,4,6,4,7,3,5
s078,6,4,6,4,6,4,3,4,6,3,4,5
s086,4,4,2,4,3,4,4,2,4,4,3,7
s204,7,3,4,2,5,3,4,3,4,4,4,4
s325,5,2,4,3,3,5,3,6,2,5,5,4
s104,4,4,4,3,5,4,6,5,4,3,3,2
s261,6,5,3,3,4,7,3,6,1,4,5,3
s259,NA,5,2,4,5,5,4,3,5,5,3,6
s042,1,6,3,5,2,4,3,5,3,5,3,6
s302,7,4,4,3,4,2,7,1,5,1,6,3
s347,4,5,4,3,3,4,5,4,4,4,3,2
s122,4,5,5,2,5,2,6,4,6,3,4,3
s167,7,3,6,1,4,3,7,1,5,1,7,4
s079,4,4,4,3,3,3,4,4,5,4,4,5
s026,5,5,3,1,5,4,4,4,4,3,4,4
s370,5,5,5,5,5,4,5,6,4,3,4,5
s277,2,6,4,4,3,4,4,4,5,4,3,5
s239,4,4,4,4,4,3,3,4,6,4,3,7
s375,2,7,2,5,3,5,2,7,2,7,2,6
s141,3,2,3,4,5,5,5,5,4,4,3,6
s169,4,4,4,4,5,4,3,3,6,5,4,3
s278,5,5,4,3,4,7,5,3,6,4,4,3
s376,3,5,4,4,2,6,2,4,2,4,5,5
s241,3,7,3,6,3,7,3,7,3,6,1,7
s058,4,4,4,3,5,4,4,5,4,4,4,3
s109,6,4,4,4,5,4,5,2,3,5,4,3
s188,5,5,4,4,4,3,6,4,2,6,5,6
s329,3,7,2,5,2,6,4,7,2,6,4,5
s052,4,5,4,1,6,5,4,4,5,3,5,3
s039,4,5,3,3,3,4,5,5,3,4,5,4
s291,5,4,2,3,3,5,3,4,2,5,6,3
s110,3,4,5,1,4,4,3,4,1,5,3,7
s024,7,6,2,4,7,4,3,5,3,4,3,6
s394,3,4,4,2,4,5,3,3,3,4,4,4
s230,7,4,6,NA,4,2,2,3,3,2,4,4
s056,3,7,2,4,3,5,4,5,3,3,3,6
s047,5,2,4,1,3,3,7,1,7,2,5,1
s250,3,3,2,3,5,4,3,4,5,5,4,3
s215,4,4,5,4,5,6,5,4,3,2,3,4
s084,4,5,4,4,4,6,5,4,7,5,6,4
s264,7,1,7,3,7,3,4,3,5,3,6,2
s290,7,5,6,3,5,3,6,4,4,4,5,2
s013,5,5,5,4,2,6,5,3,4,4,5,2
s035,5,3,4,4,3,5,7,5,3,5,4,2
s048,2,6,3,6,2,7,1,4,2,5,1,4
s328,1,4,4,2,4,7,6,5,4,7,4,7
s162,4,5,5,5,6,6,4,5,1,3,2,4
s384,4,4,3,5,4,7,1,6,4,4,5,3
s262,4,4,1,3,4,7,4,7,1,5,1,5
