subj_id,Fq1,Rq2,Fq3,Rq4,Fq5
s070,3,3,4,4,4
s218,3,5,4,5,3
s118,5,2,7,2,5
s248,5,5,5,2,3
s037,3,6,4,6,2
s162,5,3,4,2,5
s254,3,3,5,4,4
s264,3,4,1,4,2
s246,3,5,4,7,3
s014,4,4,3,4,6
s318,2,4,3,6,3
s176,2,7,2,7,2
s316,5,2,4,3,2
s127,4,4,4,5,4
s172,6,3,6,4,3
s144,3,3,1,4,3
s099,5,4,4,3,3
s286,7,6,6,5,5
s082,5,2,2,3,3
s195,4,2,2,3,3
s194,5,4,5,5,4
s174,7,1,6,3,4
s262,3,6,5,4,4
s203,4,4,6,3,4
s311,3,4,4,4,4
s292,6,3,5,1,5
s072,4,3,3,5,3
s154,4,4,4,2,4
s044,4,6,2,5,2
s101,4,5,6,4,4
s241,4,4,3,5,5
s056,3,6,3,2,2
s327,4,3,4,4,3
s280,3,2,4,4,4
s079,4,5,2,7,3
s212,2,4,4,4,4
s069,5,5,5,3,4
s050,6,5,3,3,3
s234,2,4,3,6,1
s062,2,3,2,5,3
s076,6,3,5,4,3
s328,5,3,6,3,3
s310,5,2,6,2,3
s110,1,3,4,4,4
s207,6,4,3,3,5
s271,3,4,3,5,2
s343,4,2,6,1,6
s337,3,4,5,5,1
s131,2,4,4,6,2
s145,4,1,6,3,4
s038,4,2,4,4,2
s059,6,3,5,2,4
s333,2,3,2,3,4
s236,4,4,3,7,4
s064,3,4,3,5,4
s188,6,2,1,4,4
s249,3,4,NA,4,2
s339,4,4,4,7,3
s151,3,7,4,5,3
s133,6,1,5,1,5
s088,6,3,6,1,6
s002,4,3,4,3,4
s058,4,4,4,5,3
s185,3,4,3,5,2
s289,4,4,3,4,6
s016,4,3,6,3,4
s012,6,2,6,5,4
s189,5,3,7,4,3
s123,4,3,6,2,3
s027,5,2,4,4,4
s126,2,5,5,4,3
s324,5,2,5,3,4
s173,4,2,6,4,4
s242,2,2,3,5,4
s346,7,3,3,4,3
s268,4,4,2,5,3
s178,3,1,6,4,6
s259,5,3,4,3,3
s305,5,3,6,4,5
s105,4,3,3,4,2
s276,3,3,5,3,4
s047,4,3,3,5,3
s329,5,2,3,NA,4
s075,3,1,4,3,2
s233,6,1,4,6,4
