subj_id,F_q01,R_q02,F_q03,R_q04,F_q05,R_q06,F_q07,R_q08,F_q09,R_q10,F_q11,R_q12,F_q13,R_q14
s143,5,4,4,2,2,3,5,3,6,4,4,5,6,3
s279,2,6,3,5,5,5,3,5,2,5,3,7,2,6
s103,1,5,5,5,3,4,4,6,5,6,3,7,4,6
s101,5,5,3,5,3,7,4,5,3,4,5,6,2,6
s076,4,6,2,3,3,3,3,4,4,5,2,4,4,6
s290,4,5,1,4,1,5,3,6,4,5,3,5,3,7
s141,6,NA,3,3,3,2,4,3,6,4,3,4,5,2
s090,4,5,5,3,3,5,4,4,5,3,5,3,3,3
s176,6,5,4,3,4,3,4,4,6,4,4,4,4,3
s269,5,3,7,5,3,3,5,3,7,2,4,4,5,3
s301,5,5,3,6,2,2,3,5,3,3,3,5,1,4
s168,1,5,2,5,2,3,3,2,1,4,2,6,1,3
s100,6,3,4,1,5,2,6,5,5,4,4,4,5,4
s118,3,5,4,2,3,1,6,4,3,2,2,4,3,2
s376,6,5,5,5,5,4,5,4,5,2,2,7,4,4
s152,6,6,4,4,4,3,3,4,5,3,3,6,4,4
s040,7,1,5,1,5,1,6,2,7,1,4,1,6,3
s123,6,4,4,4,2,5,4,4,6,3,7,6,5,4
s186,5,6,NA,4,3,3,7,4,5,4,4,5,5,3
s234,4,5,6,3,3,NA,4,3,6,4,3,4,6,NA
s233,4,6,1,3,4,4,3,1,5,4,1,NA,3,3
s240,7,2,4,1,4,1,6,2,3,2,5,4,3,3
s109,4,6,3,6,2,5,3,5,3,5,2,7,3,5
s121,4,5,2,3,1,5,2,5,5,3,2,5,3,4
s316,6,6,3,3,5,3,3,4,7,4,4,3,4,3
s130,4,5,5,6,3,4,4,4,3,2,1,6,5,4
s037,4,5,4,3,2,3,4,4,4,3,2,5,4,5
s204,6,1,7,1,6,1,7,1,7,1,7,2,6,2
s084,2,7,3,5,3,4,3,4,4,6,2,3,1,4
s173,5,2,4,3,4,5,5,3,5,4,1,6,2,3
s320,5,3,4,3,5,2,7,2,7,3,4,4,3,3
s307,6,6,3,2,2,6,5,4,6,4,4,4,4,3
s154,3,6,2,2,2,4,4,4,4,3,4,6,5,3
s377,5,5,5,5,3,3,4,5,4,4,4,5,4,2
s149,5,3,5,4,5,3,4,4,6,1,4,3,2,1
s238,5,6,6,1,4,3,4,2,7,1,4,5,3,4
s126,5,3,5,2,5,3,7,3,6,1,4,3,6,3
s213,5,5,4,4,3,5,5,4,6,4,4,4,5,2
s061,5,3,1,4,5,4,4,3,6,NA,2,5,3,3
s010,5,4,3,3,5,3,4,2,5,5,4,4,5,7
s172,2,7,4,4,3,4,4,5,3,5,2,4,6,5
s124,7,3,5,2,5,2,7,4,7,3,4,4,6,4
s038,5,5,2,3,4,4,4,5,4,5,3,5,4,3
s348,4,7,2,5,1,5,3,7,4,4,1,7,4,4
s298,5,5,NA,3,3,5,6,3,5,3,3,4,6,2
s373,7,5,4,3,5,3,4,3,5,6,4,5,5,4
s274,5,3,5,4,5,1,5,4,5,1,3,4,2,3
s171,5,4,6,4,4,1,4,2,4,2,3,5,4,4
s158,2,7,3,5,1,6,3,5,2,4,1,5,4,7
s282,6,4,5,1,4,4,6,3,6,4,4,3,4,4
s369,4,5,6,2,3,1,4,3,4,4,3,5,4,4
s088,3,5,3,5,3,2,7,5,5,4,3,5,2,4
s178,5,2,5,4,6,1,4,5,4,4,4,5,5,3
s184,4,5,4,1,3,3,4,6,4,4,1,5,5,4
s096,4,5,2,3,4,5,3,3,6,4,3,7,4,4
s025,3,6,2,5,2,5,4,4,5,6,1,7,3,4
s081,6,2,5,3,6,3,7,4,7,2,6,3,5,1
s313,3,6,3,3,4,3,4,4,4,3,4,6,7,6
s095,1,5,3,4,3,3,6,2,4,3,3,4,4,4
s262,2,6,4,5,2,7,2,4,1,4,2,7,3,4
s200,5,4,2,2,3,3,4,3,5,2,3,5,6,2
s336,7,4,3,4,4,3,5,4,6,4,5,5,4,3
s014,6,4,4,2,4,1,4,3,3,4,5,4,3,5
s305,6,5,5,3,3,2,4,2,5,4,4,5,6,2
s216,4,6,7,2,4,4,3,2,4,2,5,5,5,4
s105,6,6,4,4,4,2,5,2,7,1,4,5,NA,2
s288,3,5,7,4,2,4,5,3,4,4,4,4,3,6
s335,5,4,2,5,2,3,4,4,6,2,3,3,3,3
s241,3,5,3,3,5,3,3,3,3,4,3,4,3,6
s328,5,4,5,5,2,4,4,4,5,4,3,4,3,2
s355,6,5,6,3,5,2,5,3,4,5,4,3,4,1
s285,4,5,1,4,2,2,2,4,2,4,4,5,1,5
s167,4,5,4,4,3,1,4,5,5,4,2,5,4,6
s302,5,6,4,5,1,1,5,5,5,3,4,7,4,4
s333,4,3,2,3,5,1,7,3,6,4,6,4,4,2
s375,4,3,4,4,4,5,5,4,5,3,3,4,2,6
s120,5,3,6,2,3,2,4,2,7,4,4,4,3,4
s116,2,7,1,4,3,5,3,5,5,4,4,5,3,7
s065,5,6,2,4,5,3,4,5,3,3,1,7,3,4
s225,6,5,6,3,4,1,4,2,4,2,4,2,4,3
s170,4,5,4,4,4,5,4,3,4,3,3,4,3,4
s059,5,5,4,3,4,3,6,3,4,3,4,4,6,3
s337,4,3,4,3,4,4,3,3,6,3,3,6,4,4
s226,4,4,3,3,3,4,3,NA,4,4,4,7,5,4
s378,3,6,4,3,6,3,4,4,2,1,3,5,5,3
s064,5,4,1,3,5,5,5,6,6,4,NA,5,3,5
s237,7,4,4,4,5,1,5,4,6,3,4,5,5,1
s270,2,4,4,1,3,4,3,5,4,4,1,7,3,5
s107,6,5,2,5,5,5,2,2,4,2,4,5,5,5
s026,7,4,5,2,4,1,6,1,7,1,5,4,5,3
s227,4,6,4,5,5,2,4,3,4,5,1,4,3,6
s284,4,6,5,4,4,4,5,5,4,3,4,6,3,4
s248,3,7,3,5,1,4,5,7,4,3,1,6,2,5
s359,7,4,3,3,3,4,3,3,3,5,3,6,3,5
s113,4,3,3,4,1,4,4,5,5,2,2,6,3,5
s062,7,3,5,4,3,1,4,3,6,3,4,5,4,2
s304,4,7,2,6,3,5,3,4,3,4,2,7,2,6
s252,5,5,2,5,2,5,5,4,4,3,3,4,3,5
s330,6,2,6,4,6,1,3,3,5,4,4,4,6,4
s243,4,4,3,4,5,4,5,4,4,3,3,4,4,3
s114,7,3,6,1,7,2,5,1,7,2,5,2,6,2
s232,7,4,7,2,4,3,5,3,5,3,3,6,5,4
s044,5,6,2,4,3,3,4,3,5,5,3,6,3,5
s203,4,7,3,6,1,6,3,6,3,4,3,7,3,5
s253,6,5,4,4,5,2,6,1,4,3,6,4,3,4
s367,6,4,2,6,3,4,2,5,4,4,4,7,3,5
s296,3,5,3,2,6,1,2,4,4,2,4,4,4,4
s146,7,6,4,3,6,3,5,2,5,4,1,5,4,3
s322,5,5,4,3,1,2,5,4,4,3,2,6,3,5
s202,5,4,4,3,7,1,6,4,5,2,3,3,5,2
s345,7,4,4,6,4,2,4,3,6,4,2,3,4,4
s073,4,6,4,5,2,4,4,4,5,4,2,6,2,5
s169,4,7,3,4,5,3,4,5,5,2,3,NA,4,6
s183,3,4,4,5,4,3,5,4,5,6,2,7,2,4
s198,6,4,4,3,4,5,4,4,5,2,1,5,4,6
s259,7,2,5,3,5,1,7,1,5,2,4,2,6,4
s239,5,5,6,3,4,1,4,2,6,2,5,4,4,3
s325,4,4,3,4,3,3,4,5,2,4,3,4,3,4
s080,4,7,2,6,3,4,3,4,3,5,1,7,3,6
s060,4,4,4,4,5,2,3,3,4,5,2,5,4,6
s175,7,3,5,2,4,2,6,2,5,2,3,4,3,4
s215,4,7,1,5,1,7,1,6,3,5,1,6,2,5
s299,5,6,2,4,3,6,1,5,3,4,4,4,3,4
s306,4,4,4,4,3,2,4,4,6,3,3,4,4,4
s208,6,3,4,2,5,3,5,2,6,3,5,1,5,1
s260,6,5,4,2,4,4,6,5,4,1,3,3,3,2
s045,2,6,4,5,2,2,6,3,3,5,3,5,2,1
s266,3,4,2,2,4,4,5,4,7,4,2,4,3,3
s055,4,5,4,5,7,1,5,3,4,2,3,4,2,4
s283,4,7,3,5,2,6,3,4,7,3,3,6,4,5
s074,4,6,5,4,3,3,4,6,3,5,3,4,3,4
s119,3,6,4,4,4,4,5,4,4,3,1,7,4,5
s164,4,4,4,3,4,1,5,3,5,2,4,5,4,5
s319,3,5,3,3,3,4,4,3,3,2,4,4,4,5
s138,5,5,4,5,3,3,6,5,5,4,4,5,4,4
s054,3,5,2,5,3,7,2,6,4,4,1,7,2,5
s224,5,4,4,5,3,3,4,5,5,3,3,3,4,4
s342,5,7,2,3,3,3,3,4,4,4,5,6,3,4
s015,5,5,6,3,3,3,5,2,5,3,3,5,5,4
s051,3,6,2,6,2,6,3,2,2,2,2,5,3,5
s267,6,4,4,7,3,4,4,4,6,4,3,4,4,3
s317,5,4,5,5,5,2,4,5,6,3,3,4,3,4
s166,3,7,5,4,2,3,2,4,4,6,1,5,3,5
s087,2,4,3,4,1,3,2,4,3,5,3,7,5,4
s071,3,7,1,6,1,6,1,4,1,6,3,7,1,6
s271,4,4,3,2,1,4,5,6,3,3,3,4,2,4
s339,6,4,4,2,3,2,4,5,5,3,1,7,4,3
s201,2,6,2,4,3,1,2,5,5,5,4,6,5,5
s205,3,4,5,3,5,4,6,2,6,3,3,2,5,1
s231,3,7,3,3,2,4,4,6,3,7,1,5,1,6
s068,4,6,3,4,3,5,3,5,3,6,1,5,1,6
s165,5,3,4,3,4,3,4,5,6,4,5,4,4,3
s353,4,5,4,4,1,2,5,4,5,4,5,5,4,5
s180,3,6,2,5,3,3,2,5,4,4,3,5,2,5
s056,5,5,1,3,3,3,4,6,5,4,4,7,3,3
s082,3,4,NA,3,3,3,3,4,6,5,4,4,4,4
s361,5,5,4,5,3,2,4,1,5,6,1,7,6,4
s102,5,5,3,6,1,4,1,4,3,7,1,7,2,5
s115,4,2,4,3,4,1,6,3,4,NA,3,7,4,3
s136,4,6,5,4,4,4,4,3,3,4,3,5,4,4
s132,4,7,3,4,3,6,3,5,4,3,4,4,1,5
s254,6,7,4,1,3,3,3,1,5,4,3,3,5,2
s360,4,5,5,2,6,2,7,1,7,2,4,2,5,2
s332,4,6,3,4,1,6,4,5,4,3,4,5,2,4
s099,5,2,5,6,5,4,5,2,7,3,4,4,4,4
s303,4,4,3,3,3,1,5,4,4,3,4,5,4,2
s251,6,4,3,4,3,4,5,3,6,3,1,4,5,3
s001,5,3,4,5,3,5,5,2,6,4,1,4,1,4
s077,7,5,5,1,3,3,3,3,5,2,3,5,5,3
s244,4,3,6,4,4,3,5,1,7,3,5,4,6,4
s182,6,3,4,4,6,1,7,2,7,1,3,2,6,2
s052,3,5,3,6,2,3,4,3,4,3,3,7,5,5
s069,5,5,4,4,5,5,4,4,3,3,2,7,4,4
s050,3,4,3,7,5,6,3,3,5,6,4,4,3,5
s358,4,7,3,5,1,4,2,4,1,5,3,5,4,4
s380,5,4,4,5,4,3,NA,4,4,4,1,5,2,4
s218,5,3,4,2,5,3,4,4,6,3,2,4,5,2
s334,7,6,3,5,2,4,2,5,3,4,3,6,2,4
s189,7,4,6,2,4,3,3,3,4,2,3,4,5,2
s020,3,7,2,5,1,6,2,6,2,7,1,6,3,7
s327,6,6,5,3,5,2,5,3,6,3,4,5,5,4
s280,4,5,4,4,5,3,3,6,NA,3,3,5,2,6
s110,3,5,3,6,3,2,3,2,4,4,4,5,3,4
s072,4,4,4,3,3,3,5,2,5,1,NA,4,4,2
s324,4,4,1,3,3,4,4,4,5,5,3,4,5,2
s086,2,6,4,3,2,4,2,5,7,4,2,4,4,4
s181,3,6,3,4,4,4,3,2,3,4,3,7,3,6
s144,5,2,5,1,6,3,5,2,5,1,5,4,5,3
s350,7,4,5,4,4,3,4,3,7,1,4,4,4,1
s264,5,7,3,5,1,2,5,4,3,6,1,6,6,7
s356,7,4,7,3,4,3,4,2,4,3,4,7,3,1
s272,2,4,3,4,5,4,3,3,2,6,1,7,1,5
s011,4,7,5,5,4,4,3,5,4,4,6,4,4,3
s230,7,2,2,4,4,2,3,3,5,4,3,4,NA,3
s058,5,4,5,3,4,4,4,3,5,4,5,3,4,3
s315,4,4,1,3,4,1,3,4,5,3,3,5,5,4
s249,5,5,3,4,4,4,4,3,5,3,4,5,4,2
s033,3,7,2,5,2,4,3,5,5,3,1,6,2,5
s067,5,4,4,3,5,4,3,3,6,1,3,4,4,4
s063,6,4,4,3,5,2,5,2,6,3,3,5,6,3
s278,5,4,3,3,5,2,3,4,6,1,4,5,4,5
s012,7,4,7,1,5,2,5,2,6,1,5,5,6,3
s079,NA,4,5,5,3,3,5,4,4,5,5,2,5,5
s294,5,6,4,3,4,3,6,2,4,3,4,5,6,1
s057,3,7,6,5,2,4,4,4,5,2,4,5,2,4
s245,4,4,4,7,3,6,7,2,2,2,3,5,5,4
s008,5,6,3,4,5,3,5,4,6,3,5,4,4,4
s139,4,4,4,5,4,4,4,4,4,6,6,7,4,4
s223,3,5,5,2,2,3,3,4,3,4,4,7,3,5
s097,5,5,2,3,2,4,4,7,6,6,1,7,2,6
s281,3,3,4,4,3,3,3,4,5,5,3,5,2,4
s135,6,4,4,7,6,3,3,4,5,4,4,7,6,5
s023,4,6,3,3,3,4,5,4,4,4,2,4,4,5
s343,4,3,1,3,1,5,3,4,4,4,2,6,4,5
s160,3,6,4,4,3,5,6,7,5,4,2,6,3,4
s028,4,6,3,4,3,5,3,4,4,5,3,4,5,5
s046,6,2,5,2,7,2,5,1,6,1,6,1,6,3
s134,3,4,3,4,5,4,2,4,4,4,3,6,4,5
s211,3,5,5,3,1,5,4,5,4,3,2,7,2,4
s326,4,5,4,6,3,3,2,4,4,6,2,4,4,4
s128,5,5,3,2,5,4,5,2,6,3,1,4,5,2
s340,5,4,4,2,4,3,4,2,4,3,3,4,3,5
s122,4,6,2,5,4,4,3,6,4,4,1,4,2,5
s117,4,3,4,3,5,5,5,2,4,1,2,6,4,4
s255,3,4,5,5,5,4,3,5,6,3,2,7,3,5
s016,6,5,6,3,5,4,5,3,7,4,5,6,5,3
s070,4,5,1,4,4,5,2,4,3,5,3,5,4,4
s190,5,4,4,3,4,3,5,3,6,4,3,6,4,5
s140,2,5,4,2,2,6,4,3,4,5,2,6,4,4
s131,5,6,2,4,4,4,5,4,4,3,3,7,1,4
s247,6,3,4,5,4,1,5,5,1,4,4,4,5,5
s275,5,3,3,3,3,1,1,5,5,3,3,6,6,1
s075,5,4,NA,5,4,4,4,5,3,2,3,5,3,3
s292,5,6,3,5,3,4,4,6,2,2,3,5,2,5
s379,7,4,7,2,5,3,5,2,7,2,6,4,5,2
s329,4,5,3,4,4,4,3,2,6,4,1,4,7,5
s188,6,5,3,4,3,2,5,2,4,2,4,5,5,3
s214,5,5,3,4,3,2,4,4,6,3,6,5,4,4
s094,6,3,4,4,3,3,4,4,5,4,2,5,4,3
s242,5,6,4,1,1,4,4,1,5,1,5,4,3,4
s293,5,5,3,4,4,4,4,2,4,5,1,7,4,5
s268,4,7,3,4,3,5,3,4,5,4,1,5,2,5
s053,3,5,3,4,3,4,3,5,3,1,2,6,3,5
s112,7,5,6,4,3,3,3,3,4,3,3,4,4,5
s019,4,4,6,4,4,5,5,3,4,2,5,3,6,4
s286,7,1,6,3,7,4,4,1,7,3,6,2,5,1
s381,7,3,5,3,3,3,4,2,6,4,4,5,4,4
s029,7,3,3,4,5,3,7,4,5,4,5,4,5,3
s125,4,3,4,5,4,3,3,4,4,4,2,4,6,2
s318,4,2,4,4,3,4,4,4,4,4,1,4,4,5
s344,3,4,3,2,1,4,3,6,3,4,4,6,3,4
s347,3,4,4,4,2,4,7,3,6,1,4,3,5,5
s258,3,5,4,3,6,2,5,3,4,4,4,6,4,4
s161,5,3,5,1,4,4,4,1,6,2,2,3,5,4
s035,7,6,3,4,5,5,5,4,6,3,3,6,4,4
s196,4,3,4,4,6,4,4,4,4,2,5,3,6,4
s098,5,3,6,2,2,3,5,1,6,1,4,2,5,4
s174,5,3,4,1,5,3,4,3,6,3,3,5,5,3
s217,4,7,2,5,1,5,5,5,5,5,1,6,6,5
s229,4,4,2,5,3,3,1,3,5,5,1,7,1,5
s250,5,3,7,2,5,2,6,1,7,2,4,2,6,2
s159,4,4,3,4,3,2,3,4,3,4,5,4,1,4
s017,4,4,4,5,4,4,2,4,4,4,3,5,4,4
s210,4,7,4,5,5,3,3,5,4,4,3,5,3,4
s314,5,4,2,3,4,5,4,2,4,3,3,7,4,6
s365,4,4,2,3,3,3,4,4,6,3,4,6,4,4
s372,4,6,1,5,2,5,1,5,4,4,3,NA,3,5
s177,7,4,5,5,4,1,4,4,7,3,5,4,7,5
s197,3,5,3,3,2,7,4,4,4,4,1,4,3,5
s257,7,6,5,4,4,4,6,2,6,2,4,6,5,3
s004,4,5,2,4,5,3,4,4,4,4,5,5,3,4
s263,6,4,5,4,5,3,6,4,5,3,4,3,6,2
s228,5,2,4,2,1,4,4,5,4,2,4,4,4,3
s351,5,6,2,4,4,5,4,3,7,4,3,7,3,4
s083,5,4,5,3,2,4,4,4,5,3,5,4,4,4
s048,5,6,3,4,1,4,5,1,5,4,3,7,3,4
s127,4,2,5,3,3,2,3,3,5,5,4,6,7,5
s039,7,2,6,1,4,2,7,1,5,1,4,3,5,2
s289,7,2,6,1,3,1,6,2,5,2,5,3,5,2
s300,2,4,4,4,7,4,5,4,4,4,4,7,4,4
s147,4,4,3,5,2,4,4,4,4,4,3,5,3,5
s321,2,7,1,4,2,5,1,6,1,6,1,7,3,5
s002,6,3,5,4,3,2,5,5,7,2,6,5,4,4
s368,7,3,5,1,4,2,6,4,6,1,6,3,5,4
s194,6,7,3,3,3,4,4,4,4,3,1,7,5,7
s331,6,4,5,3,3,3,4,2,6,1,3,5,3,4
s287,3,7,2,3,5,7,2,6,4,4,1,5,3,7
s030,4,1,4,2,6,2,5,4,5,4,5,5,5,3
s236,3,5,5,4,5,NA,4,6,4,3,2,4,4,4
s193,6,2,5,3,3,3,5,3,5,2,4,7,6,2
s206,1,5,3,5,4,6,3,5,2,4,1,6,1,7
s106,5,7,2,5,1,6,3,4,4,4,1,5,1,4
s042,4,4,3,3,3,3,3,4,4,3,1,3,4,4
s187,6,4,4,3,4,4,4,3,4,5,3,4,4,3
s093,5,4,2,5,3,4,6,4,3,4,3,5,3,4
s311,6,4,5,4,4,3,5,4,6,2,4,4,4,3
s371,5,4,4,3,4,1,4,1,4,5,NA,5,5,2
s111,3,1,5,5,2,3,4,4,5,2,3,6,5,3
s308,4,6,1,5,1,6,3,4,2,5,1,7,2,5
s007,4,5,4,1,4,3,4,4,5,4,4,7,3,3
s092,4,4,4,3,6,3,5,2,5,4,4,5,6,6
s021,6,4,3,1,3,1,6,2,4,4,4,3,5,3
s310,5,4,3,2,5,5,5,4,4,4,1,5,4,3
s273,4,4,4,4,6,3,7,3,7,2,5,4,7,4
s261,4,5,3,4,4,4,7,5,3,3,3,3,1,5
s191,3,4,3,4,4,4,2,4,5,3,2,6,4,6
s312,4,5,4,6,4,4,3,3,3,3,4,7,2,6
s354,2,7,4,7,3,5,1,4,3,3,2,6,1,4
s221,5,5,3,2,3,3,2,3,6,3,4,4,4,5
s133,4,4,3,4,1,3,3,5,3,5,1,5,3,4
s349,4,5,3,4,3,5,2,3,2,4,5,4,4,6
s104,4,7,2,4,3,3,3,4,5,4,3,6,3,6
s066,4,6,3,3,3,3,4,4,3,4,3,6,3,4
s153,5,5,4,2,2,3,3,3,4,3,4,3,4,4
s036,7,3,5,4,3,1,7,3,5,1,7,2,6,3
s235,5,5,3,6,6,4,4,4,4,4,3,7,5,4
s041,4,4,3,1,6,5,3,2,6,1,3,4,5,3
s043,4,4,5,3,5,4,4,6,4,4,5,7,3,4
s199,7,4,3,4,4,4,4,1,4,2,4,4,6,3
s034,6,5,6,4,4,1,5,2,5,3,4,3,5,4
s018,5,5,4,1,3,2,6,5,7,2,4,5,4,3
s108,3,5,3,2,2,4,2,3,3,5,1,5,3,6
s346,6,3,4,1,4,4,6,4,5,2,4,5,3,5
s219,3,7,1,6,2,4,4,6,4,6,3,4,4,6
s291,2,6,5,4,3,3,2,3,4,5,2,6,1,5
s163,4,5,4,5,5,4,3,3,3,3,4,4,3,4
s382,5,3,5,3,5,4,6,4,5,2,5,3,5,3
s024,1,7,1,5,1,5,3,6,3,4,1,7,3,5
s338,4,6,4,5,3,6,4,4,4,4,2,7,6,3
