subj_id,Fq01,Rq02,Fq03,Rq04,Fq05,Rq06,Fq07,Rq08,Fq09,Rq10
s345,4,3,5,2,2,5,3,4,5,2
s200,3,4,3,4,1,4,4,3,5,4
s139,2,4,3,2,NA,4,3,4,6,4
s150,4,3,1,2,4,3,5,4,4,4
s130,4,1,5,2,4,2,6,1,4,5
s348,6,4,2,4,2,4,1,4,1,6
s020,3,4,1,4,3,4,1,3,3,6
s088,4,4,4,2,4,3,6,4,3,2
s175,3,3,2,3,1,4,5,5,4,3
s326,4,2,4,4,3,3,5,3,5,3
s025,4,3,3,4,3,4,4,7,2,4
s078,4,2,3,5,3,4,1,5,4,4
s327,3,5,3,2,5,4,3,4,4,3
s142,4,4,2,6,1,4,4,5,3,6
s107,3,4,4,2,5,6,5,5,4,4
s279,5,2,5,3,4,3,7,4,7,4
s309,2,1,4,3,3,4,4,4,6,5
s133,2,4,2,3,2,5,2,4,3,5
s176,6,3,5,5,2,6,5,3,4,4
s144,4,4,3,5,3,4,5,4,4,6
s120,3,3,5,3,1,6,4,5,5,3
s299,4,3,3,2,5,5,4,3,3,3
s332,3,4,1,5,2,5,1,6,2,6
s040,1,3,4,5,2,7,3,3,1,5
s206,3,5,3,4,3,5,3,4,3,5
s252,2,6,1,7,1,6,2,4,1,6
s052,1,4,3,6,3,4,4,5,3,4
s004,4,4,2,5,4,7,4,5,4,6
s009,5,4,7,3,4,4,5,5,5,2
