subj_id,q01 F,q02 R,q03 F,q04 R,q05 F,q06 R,q07 F,q08 R,q09 F,q10 R,q11 F,q12 R,q13 F,q14 R
s064,1,7,2,4,1,6,2,4,2,NA,2,6,4,5
s252,3,6,4,5,3,5,4,1,4,7,4,5,2,2
s123,4,5,3,4,2,5,5,4,2,4,4,7,2,6
s052,4,6,2,7,1,5,2,5,5,4,3,5,3,6
s022,3,5,4,6,2,4,2,4,2,4,4,4,2,6
s017,4,3,3,5,1,7,5,4,4,4,4,5,4,5
s331,4,6,2,6,4,4,6,5,4,3,2,6,1,6
s104,7,4,4,3,2,5,6,3,4,2,4,4,4,5
s045,4,4,7,3,7,3,5,3,4,4,3,1,5,4
s115,4,2,4,4,3,4,5,2,7,2,5,3,6,4
s146,5,4,3,2,7,3,7,4,6,5,3,5,4,3
s141,5,3,6,5,6,2,4,3,4,4,6,5,4,4
s216,7,3,5,4,3,4,5,4,5,6,2,5,3,3
s158,5,3,2,5,6,4,6,4,4,7,4,4,3,6
s242,2,6,4,5,5,6,6,3,3,3,4,4,3,5
s263,5,2,4,2,4,6,5,3,4,2,5,5,4,4
s231,3,4,3,3,5,5,4,4,4,3,5,5,5,4
s093,4,5,6,3,5,4,5,4,3,5,5,4,4,5
s161,5,4,5,4,3,3,3,3,7,4,5,3,4,4
s233,1,3,3,NA,6,3,6,3,4,3,2,3,3,6
s268,5,2,5,5,5,6,7,4,4,2,7,5,4,4
s175,6,5,4,6,4,3,4,4,3,4,2,4,5,6
s327,7,3,6,1,5,1,6,1,6,3,5,3,6,1
s109,4,4,6,1,7,4,5,4,5,6,4,3,3,3
s283,5,4,6,7,6,2,4,1,5,4,4,4,3,4
s042,4,4,2,3,2,6,3,5,2,6,4,7,1,5
s247,3,3,5,2,4,4,4,4,3,4,4,6,3,2
s057,4,3,7,4,4,5,4,3,5,4,3,5,4,6
s150,4,4,4,5,3,7,5,5,2,5,5,5,4,7
s176,7,4,5,4,4,4,4,3,4,5,4,4,3,6
s213,3,4,4,4,5,5,3,5,4,6,5,3,4,4
s019,5,3,6,1,5,1,5,1,7,2,6,2,4,1
s014,6,3,2,4,6,3,5,4,5,3,5,4,2,6
s227,5,3,1,4,4,5,2,4,NA,5,3,4,6,5
s003,5,4,4,4,7,4,6,3,5,2,6,2,4,4
s067,2,4,3,5,3,7,3,5,4,7,1,5,1,5
s091,4,4,4,3,6,5,5,5,6,4,5,5,5,6
s289,4,4,3,5,4,4,2,4,2,4,5,6,4,4
s300,7,1,6,5,7,3,7,1,6,3,6,1,5,1
s333,4,4,1,5,4,7,4,2,4,5,3,3,3,7
s149,5,5,5,3,5,4,5,1,4,2,3,3,2,5
s307,4,3,7,4,6,2,5,3,6,2,4,5,4,4
s237,6,6,5,3,3,5,5,4,3,4,4,4,2,5
s018,3,4,2,5,5,6,4,4,3,5,4,6,3,5
s121,3,5,3,5,5,4,4,5,4,4,3,5,2,6
s063,5,NA,5,3,4,3,5,4,3,3,4,6,4,5
s211,5,4,4,1,3,3,4,4,4,NA,4,5,5,3
s226,4,6,3,5,4,4,5,6,4,4,3,6,3,5
s101,3,3,3,3,5,5,3,4,4,5,4,5,2,6
s031,3,2,7,2,6,1,6,2,6,3,6,3,6,2
s069,4,5,3,1,5,6,4,4,5,1,4,6,4,2
s111,5,2,6,3,7,3,6,2,5,6,5,6,3,3
s032,4,6,4,6,5,4,3,4,6,4,3,4,4,5
s007,4,5,3,4,3,7,4,4,2,5,1,4,4,5
s119,2,4,4,5,4,6,4,3,6,5,4,3,5,5
s235,4,4,6,4,4,2,6,4,5,3,6,2,3,3
s160,4,6,5,3,3,4,7,4,5,5,5,4,4,4
s184,4,5,3,4,4,4,7,4,3,5,3,5,1,4
s273,4,5,4,4,5,4,4,7,2,5,4,5,6,6
s228,1,5,3,5,1,4,4,4,4,4,4,3,3,5
s056,5,5,6,5,NA,3,5,4,4,3,5,5,4,5
s305,5,4,4,1,4,3,4,4,NA,4,7,3,2,4
s214,2,7,2,7,1,7,4,7,2,6,2,7,1,7
s021,4,6,4,7,5,7,3,5,3,4,4,5,2,6
s322,2,5,4,3,2,4,7,3,4,6,5,5,4,6
s130,4,6,2,4,5,4,6,6,2,6,5,5,2,7
s317,5,4,5,2,NA,5,4,4,4,4,2,5,4,5
s085,4,6,4,4,7,3,5,3,5,4,5,5,1,4
s281,2,4,3,2,3,7,4,3,3,5,6,5,4,5
s138,3,6,2,5,4,5,4,4,3,5,4,5,2,4
s294,4,4,4,5,2,6,4,6,4,4,4,6,5,4
s074,5,3,5,4,5,5,7,4,5,3,4,4,5,2
s015,4,5,6,5,4,2,7,2,6,3,6,2,6,NA
s303,7,4,5,5,5,6,7,2,5,5,5,NA,5,4
s224,3,3,4,2,3,3,4,7,2,5,5,4,4,6
s148,4,4,5,3,4,5,6,3,2,5,3,4,3,5
s050,3,7,3,4,5,6,6,5,1,4,5,6,4,6
s282,4,4,3,3,5,4,5,2,4,3,5,3,3,5
s048,4,3,2,4,NA,5,6,4,3,5,3,3,2,5
s082,5,4,4,3,6,4,6,5,5,5,3,5,4,3
s127,2,4,6,6,2,3,3,3,5,4,4,6,3,2
s097,4,4,4,4,7,2,4,4,3,3,4,3,NA,4
s103,4,7,3,5,4,4,7,5,4,5,6,4,4,4
s203,4,4,4,4,3,4,4,5,6,5,5,5,4,4
s202,3,4,5,1,3,4,3,3,7,4,6,6,4,6
s113,4,4,4,2,6,3,5,4,7,4,5,3,4,7
s035,5,5,2,5,3,5,3,5,2,6,5,5,4,6
s054,4,2,6,2,5,5,6,3,5,5,6,1,3,3
s259,4,3,5,4,4,7,4,3,5,4,2,4,2,6
s171,1,4,3,4,4,7,6,4,4,4,4,7,4,1
s005,7,3,4,5,4,4,6,3,5,3,4,2,4,4
s271,4,5,6,4,6,4,4,5,5,5,5,6,2,5
s036,5,3,3,2,3,4,5,5,6,4,4,4,4,5
s328,6,4,4,3,5,4,3,7,4,2,2,4,4,5
s070,3,4,4,5,4,5,6,6,5,4,6,3,1,3
s170,7,5,3,3,4,4,4,4,5,3,7,4,3,1
s095,5,5,3,3,6,4,4,3,4,2,6,4,2,3
s117,5,4,6,1,5,5,5,4,7,4,4,4,3,3
s261,2,6,2,6,4,5,6,4,4,4,5,5,2,4
s212,6,4,3,2,4,4,5,3,4,4,6,3,3,5
s285,5,1,5,5,4,4,3,3,7,3,3,4,4,6
s284,3,5,3,7,2,5,5,4,4,7,3,7,4,5
s090,5,3,4,3,6,3,6,4,5,5,7,4,3,4
s262,4,5,2,6,7,6,4,5,3,5,4,5,2,6
s246,4,3,3,6,4,7,6,4,3,5,3,6,4,7
s051,6,1,7,3,7,3,6,3,7,3,4,2,7,2
s229,4,4,5,5,3,4,7,4,5,4,4,4,3,5
s277,4,5,3,4,7,5,5,2,4,4,5,6,5,2
s135,4,4,4,2,2,4,5,4,5,2,3,4,3,6
s172,7,1,6,3,4,4,6,4,3,4,5,3,5,4
s225,3,5,3,4,6,5,6,4,3,4,5,4,4,5
s275,3,4,4,4,5,7,5,4,5,7,4,4,6,4
s159,3,5,4,4,3,5,5,5,5,5,6,3,1,3
s274,4,4,6,3,4,3,2,4,5,5,2,NA,3,4
s310,5,3,4,3,4,4,6,3,6,3,7,7,5,3
s332,1,6,2,7,2,4,2,6,3,7,2,7,1,7
s290,3,5,2,5,1,5,4,4,6,5,3,7,1,7
s134,2,5,4,3,4,7,4,5,3,5,3,5,2,5
s087,4,1,6,1,7,2,6,4,4,4,5,2,3,3
s049,2,6,3,5,5,6,3,4,1,6,3,5,3,6
s078,6,2,5,4,6,3,6,3,5,1,7,2,6,3
s010,5,1,4,4,3,3,6,5,2,5,5,5,3,5
s297,4,5,5,7,7,7,6,5,4,6,3,2,3,4
s292,1,5,4,5,3,4,3,4,5,3,5,5,4,4
s256,3,3,5,2,4,5,4,5,5,5,4,4,4,6
s249,2,4,2,3,4,5,5,4,4,4,2,5,3,3
s210,2,3,5,4,6,7,5,6,4,4,4,4,5,5
s060,5,7,4,3,4,4,6,4,3,4,6,3,5,5
s186,6,6,6,5,3,5,4,6,4,5,4,5,2,5
s102,6,3,7,3,5,3,5,1,5,2,5,1,4,5
s008,3,6,1,7,2,7,3,6,1,6,2,7,1,7
s040,7,4,5,3,6,4,7,1,5,2,3,5,5,2
s241,3,3,4,5,4,4,4,3,4,4,6,4,4,6
s218,1,5,4,5,4,6,6,4,3,4,5,4,2,6
s311,5,3,6,3,5,6,4,3,4,2,5,5,7,2
s199,3,3,4,5,3,4,4,5,4,5,NA,4,3,5
s220,4,4,1,5,2,7,3,6,4,6,4,5,4,5
s030,2,6,2,3,5,5,3,7,5,5,4,4,6,5
s167,4,5,4,3,3,7,4,4,5,4,4,5,5,4
s145,7,2,5,3,6,2,7,3,4,2,5,2,5,4
s061,4,4,2,4,3,3,4,3,5,4,4,4,5,6
s299,3,5,6,3,5,4,7,3,6,5,7,3,2,3
s029,4,5,3,5,7,6,2,7,3,6,3,4,2,4
s215,5,3,3,4,3,5,4,3,2,4,4,4,2,7
s296,4,4,4,4,4,4,7,4,2,6,5,3,4,4
s168,5,5,5,2,4,3,4,3,5,5,3,5,4,5
s047,4,1,7,4,6,4,6,3,5,3,5,3,4,3
s155,7,4,6,2,4,1,5,1,7,3,6,1,7,5
s126,6,3,3,4,7,4,7,4,5,4,1,3,4,1
s100,4,2,3,4,5,6,5,4,5,2,7,4,2,5
s077,3,4,4,4,4,7,3,6,1,6,3,5,1,3
s207,3,6,2,6,3,4,1,5,2,4,4,5,3,4
s185,3,3,6,5,5,4,4,4,2,4,NA,5,2,3
s193,4,4,5,7,3,4,6,4,4,6,5,4,3,4
s267,4,4,5,6,3,7,4,6,4,6,4,7,3,6
s089,6,1,6,3,5,3,7,3,7,3,7,3,3,1
s312,7,5,5,5,5,1,7,4,5,3,4,4,4,5
s038,1,5,3,5,5,5,5,4,5,2,5,4,4,3
s321,4,3,6,3,6,4,4,2,5,4,7,3,6,4
s243,7,5,4,3,6,5,5,3,7,4,4,4,4,2
s046,5,2,4,4,3,4,5,4,5,2,4,3,5,3
s024,4,5,1,7,3,6,3,5,3,6,2,5,3,6
s255,4,4,6,2,6,1,7,3,6,2,7,3,6,4
s222,4,5,4,4,3,3,7,6,3,6,3,4,4,4
s025,2,4,4,5,4,7,3,7,5,5,5,6,3,5
s177,5,6,3,3,4,5,7,4,2,5,5,2,4,3
s037,6,1,6,4,6,2,4,4,7,4,3,1,5,6
s236,4,3,5,2,5,5,4,4,5,4,2,3,3,6
s324,3,4,3,6,6,6,5,4,1,6,5,5,4,4
s065,5,3,3,4,5,4,5,4,4,7,6,5,5,6
s086,7,1,6,3,5,5,5,3,3,5,3,5,3,4
s293,3,4,5,4,5,4,5,4,5,2,4,2,3,3
s139,4,5,4,4,5,4,6,4,3,5,4,4,4,4
s043,3,3,3,4,4,5,4,4,2,3,2,6,2,5
s258,4,7,4,4,5,6,7,3,5,4,4,5,2,7
s084,3,4,3,7,4,5,4,4,NA,7,3,7,4,4
s326,5,4,5,3,4,4,3,3,1,6,1,7,5,7
s191,3,4,4,4,5,6,3,3,5,4,3,4,4,2
s316,6,5,6,3,5,4,5,6,4,4,5,6,5,NA
s044,4,2,5,3,6,4,5,3,4,4,6,3,5,4
s039,3,5,3,6,4,4,6,4,4,4,4,3,4,6
s295,3,5,4,5,4,7,7,4,4,5,4,5,1,6
s325,3,4,3,2,6,4,7,3,4,2,3,3,4,3
s269,3,5,5,4,6,3,5,6,5,4,5,3,4,5
s164,3,3,4,2,6,3,7,2,6,4,5,3,5,1
s264,3,4,5,4,6,4,5,2,7,3,4,4,4,4
s169,7,2,6,3,7,2,4,2,5,1,5,1,5,2
s234,1,5,1,7,3,7,2,5,1,4,1,4,1,6
s301,5,4,5,5,3,5,6,1,3,6,3,5,4,4
s318,3,6,3,6,6,6,4,5,2,6,3,6,5,5
s192,6,1,6,5,5,4,6,1,4,4,5,1,4,1
s034,3,7,4,4,5,7,5,6,1,4,6,4,2,5
s004,3,4,5,7,1,3,4,6,5,5,1,5,2,6
s118,2,4,5,3,4,4,6,5,4,7,4,5,4,4
s219,5,5,4,5,5,5,7,2,3,4,4,4,3,6
s143,4,6,3,6,4,7,2,5,1,5,2,4,2,6
s201,5,4,4,1,6,2,5,4,6,3,6,4,6,4
s320,7,3,4,4,5,2,7,5,6,4,6,3,4,1
s073,3,3,4,4,5,5,7,5,5,4,3,5,6,5
s187,6,1,7,1,7,3,7,2,7,2,5,3,5,1
s181,2,5,5,5,3,4,3,4,3,5,6,5,4,4
s033,6,4,6,4,6,3,5,5,4,4,7,4,3,4
s009,4,5,4,5,5,6,6,NA,5,6,4,2,3,7
s232,4,4,4,4,3,3,5,4,4,6,5,4,6,4
s075,5,6,4,4,5,5,4,2,5,5,4,5,4,4
s217,3,6,3,5,2,5,3,4,4,3,1,5,2,6
s197,2,3,2,4,5,5,4,2,4,4,3,5,1,4
s151,4,4,4,2,5,5,5,4,6,5,6,2,4,4
s071,2,4,3,4,4,5,6,5,2,4,5,5,6,3
s188,5,7,4,5,3,6,7,3,3,5,3,5,4,4
s334,5,7,2,5,4,7,2,7,3,7,3,7,1,5
s313,6,4,4,3,3,6,2,6,4,1,3,5,4,5
s154,3,5,4,4,4,5,4,4,5,5,1,6,1,5
s099,5,5,5,5,5,5,5,4,4,5,3,4,3,3
s128,4,7,6,3,5,6,5,2,6,3,4,3,2,4
s257,4,6,6,4,4,6,7,5,4,1,4,4,3,7
s183,4,5,5,5,3,7,5,4,4,3,2,4,4,4
s314,3,2,5,4,5,4,6,4,4,4,4,3,4,7
s319,3,3,7,2,5,3,6,3,7,1,6,3,5,3
s053,1,5,4,4,4,5,3,6,4,4,5,5,4,5
s190,3,5,3,4,6,5,4,5,2,4,3,7,2,5
s096,2,5,1,5,4,6,5,4,3,4,4,5,4,4
s272,2,6,3,7,1,6,3,7,1,7,2,7,2,7
s080,3,5,3,5,4,5,5,3,3,6,1,6,1,5
s079,4,4,4,5,5,6,6,4,5,5,5,4,3,4
s136,6,4,7,3,6,3,5,3,5,3,5,1,7,3
s116,5,5,4,3,5,4,4,3,5,3,4,1,4,2
s131,4,4,1,5,3,6,2,6,3,6,2,7,3,3
s147,7,4,7,2,6,4,7,4,7,2,6,2,4,2
s248,2,4,5,3,5,5,7,2,7,5,5,4,4,3
s323,4,4,4,4,3,3,3,4,4,4,5,6,2,6
s152,2,5,6,5,4,NA,5,3,5,3,4,6,3,2
s144,2,4,3,2,4,5,5,6,6,6,4,4,4,4
s001,5,4,6,6,5,5,7,5,5,NA,5,1,3,2
s026,4,7,4,2,3,4,4,3,3,4,4,5,4,1
s058,4,3,6,4,4,3,4,5,3,5,4,3,3,5
s182,2,5,3,4,4,7,3,3,1,5,1,7,1,7
s028,6,1,5,4,5,5,6,4,7,5,3,3,4,3
s239,2,4,2,4,3,5,3,4,1,5,2,5,1,5
s288,5,2,7,1,6,3,4,2,5,2,5,1,6,3
s208,4,3,1,5,4,7,3,6,3,3,5,6,2,5
s062,5,4,5,3,5,2,4,3,6,3,6,4,4,3
s315,3,4,4,3,3,4,3,2,5,4,6,3,6,3
s230,3,3,6,1,4,5,4,4,3,4,4,5,3,3
s205,5,3,7,2,6,3,6,2,3,3,5,3,4,3
s002,2,4,3,5,4,7,4,6,2,4,4,6,1,5
s120,7,2,4,2,6,2,7,2,4,2,7,1,4,5
s306,2,7,3,7,3,5,2,5,1,6,2,7,3,5
s251,4,1,6,2,7,5,NA,4,6,1,5,2,5,1
s011,4,4,4,6,3,5,2,4,3,2,3,5,2,5
s194,4,4,4,3,4,5,4,2,4,4,4,5,4,5
s020,4,1,4,3,5,3,4,4,7,4,4,5,4,2
s108,3,6,5,6,4,5,6,4,2,3,5,6,2,5
s270,3,5,5,4,5,4,3,4,3,6,3,7,1,5
s083,5,3,4,2,7,3,6,4,6,4,5,2,3,4
s196,6,2,5,3,3,4,6,NA,5,3,5,4,4,5
s298,4,2,4,3,6,4,6,4,5,6,5,4,4,3
s240,5,4,3,3,4,4,6,4,5,1,4,3,5,4
s157,6,2,4,3,4,7,6,3,5,3,4,2,2,2
s105,2,5,7,2,6,4,6,5,4,6,1,3,2,7
s059,3,4,5,6,5,4,7,4,3,3,4,6,2,5
s142,3,5,4,5,5,5,7,7,2,4,4,1,4,5
s244,4,5,4,4,1,4,4,5,5,6,3,3,2,7
s125,6,6,3,2,5,5,7,3,2,4,5,3,3,3
s265,5,4,4,2,4,5,5,4,7,3,4,1,5,4
s204,3,4,4,4,3,3,4,4,3,6,4,4,4,5
s055,4,6,4,4,6,6,5,5,2,6,4,4,2,7
s330,3,3,6,2,5,6,4,1,5,6,4,4,6,5
s088,2,6,5,3,6,5,4,4,4,5,5,4,3,5
s027,3,6,3,5,3,7,3,5,4,6,3,7,1,6
s238,3,6,4,5,3,6,5,5,4,3,4,3,2,6
s110,4,5,7,3,4,4,4,4,2,4,6,4,5,4
s286,6,1,6,1,7,5,7,1,5,2,4,1,5,2
s253,5,3,6,3,4,3,6,6,5,4,5,4,3,4
s132,1,4,2,4,3,6,2,5,3,4,1,6,3,6
s221,5,4,3,4,4,5,3,6,2,7,5,4,6,5
s174,4,4,6,7,5,4,5,5,4,5,3,2,4,4
s041,4,3,7,4,5,7,5,4,7,3,4,2,3,5
s276,2,4,3,4,4,4,3,5,3,3,1,3,2,6
s166,2,4,3,2,6,6,5,4,5,4,4,3,4,3
s291,5,3,5,1,6,6,4,6,6,1,6,4,3,3
