subj_id,Fq01,Rq02,Fq03,Rq04,Fq05,Rq06,Fq07,Rq08,Fq09,Rq10,Fq11,Rq12
s371,5,6,6,4,4,6,3,5,3,2,4,3
s111,6,4,5,3,5,4,5,4,7,4,5,3
s025,4,6,3,7,5,3,3,3,5,3,4,4
s147,4,4,5,4,4,3,5,6,5,3,5,4
s094,1,6,2,7,3,6,2,4,1,6,1,5
s146,2,5,3,6,3,4,2,4,4,5,2,4
s028,3,4,4,4,3,4,6,4,4,5,3,3
s354,5,5,4,3,1,6,3,4,5,3,6,4
s178,6,1,3,3,2,4,6,4,5,4,7,5
s149,4,6,5,3,4,5,3,6,4,5,5,5
s264,5,4,5,2,2,3,4,3,4,5,6,3
s335,4,6,4,4,2,3,5,5,6,4,4,5
s353,5,1,6,3,4,3,4,3,4,4,NA,2
s142,3,5,4,4,3,5,3,5,2,6,5,4
s251,6,2,4,3,7,3,3,2,5,4,4,2
s123,4,6,5,4,4,5,4,4,5,5,4,3
s038,5,5,6,1,4,3,2,4,5,3,6,3
s168,5,4,4,4,4,1,5,1,3,5,7,3
s225,4,4,5,5,5,5,2,5,4,2,4,4
s193,5,4,5,5,4,5,4,5,2,3,4,5
s340,1,6,5,5,3,4,2,6,2,4,3,7
s181,4,7,6,5,3,4,3,6,2,5,6,5
s145,5,4,7,4,6,2,4,4,7,3,7,2
s252,1,6,4,5,1,6,1,6,2,5,4,7
s029,3,7,1,5,3,6,4,4,2,6,3,5
s044,3,7,6,6,3,5,1,4,3,4,5,7
s230,4,4,4,4,2,4,5,4,2,5,5,3
s102,5,5,7,2,3,2,5,3,5,4,6,3
s095,5,4,6,6,NA,4,5,5,4,5,3,6
s239,4,4,5,3,4,2,3,3,5,NA,4,4
s315,3,5,4,4,1,6,3,7,4,5,4,6
s057,5,1,5,3,7,3,6,2,4,1,7,1
s080,4,4,5,4,3,4,4,3,4,4,4,5
s242,2,6,4,3,1,4,5,3,4,5,4,4
s298,3,3,5,4,4,3,4,4,7,3,4,3
s214,2,3,4,6,4,4,2,7,5,4,5,5
s140,4,4,4,4,2,7,5,4,3,4,4,4
s270,1,5,5,4,1,5,3,4,3,4,5,4
s327,7,7,4,4,4,4,4,6,NA,4,3,4
s090,1,6,1,6,1,7,2,5,2,7,2,7
s240,4,4,5,1,4,3,5,4,6,2,6,2
s134,2,6,6,5,2,6,4,4,3,3,5,4
s253,4,4,2,6,2,5,4,3,4,3,4,5
s005,4,4,7,3,5,5,5,2,4,2,6,2
s189,5,6,2,4,2,5,3,4,2,5,3,4
s024,2,7,5,6,3,4,1,4,2,4,6,4
s073,2,6,7,3,3,5,4,5,3,3,4,6
s364,3,6,5,4,6,4,4,3,6,3,6,2
s303,5,4,4,1,3,5,3,2,3,3,7,3
s284,4,3,5,4,5,3,4,2,6,4,6,5
s263,4,4,7,6,3,2,5,4,3,3,5,4
s052,4,4,4,4,6,3,4,3,6,2,5,3
s141,6,2,3,5,1,5,1,5,4,6,4,6
s360,1,5,2,7,2,5,3,5,3,3,4,5
s241,4,4,4,5,2,7,4,4,1,4,6,5
s300,7,1,6,1,4,5,5,2,5,2,4,4
s355,7,4,5,1,4,5,4,2,4,4,6,3
s084,3,4,3,4,7,5,3,5,4,2,6,4
s321,5,6,4,6,1,5,2,5,4,6,6,4
s055,3,5,3,4,3,7,4,5,5,6,6,5
s334,7,2,7,3,4,1,7,2,7,3,7,3
s325,5,2,7,2,4,5,4,3,4,5,5,3
s309,4,6,3,5,2,6,3,5,1,4,7,5
s127,3,6,6,5,5,3,3,4,3,5,5,4
s341,4,6,4,7,3,7,1,7,5,5,4,7
s323,4,4,7,4,4,2,5,2,5,1,5,5
s292,4,5,5,5,3,6,1,5,4,4,5,6
s115,4,4,3,5,2,5,3,5,2,6,4,5
s268,1,4,3,5,1,6,3,4,4,4,5,5
s293,3,6,3,4,7,5,6,4,3,3,7,5
s271,4,6,3,5,1,5,1,4,2,4,5,4
s107,5,6,6,7,4,6,4,4,5,4,4,4
s332,5,4,4,6,3,5,5,1,4,4,7,3
s051,4,4,4,3,2,4,4,4,3,4,5,4
s227,4,4,5,5,7,4,4,4,5,2,6,4
s365,5,5,4,5,2,5,4,2,4,4,4,6
s026,5,3,3,2,4,3,5,3,5,3,5,4
s224,7,NA,6,5,4,4,3,4,3,3,6,4
s362,4,5,5,2,3,5,5,5,4,3,4,4
s091,1,5,2,4,3,7,2,3,2,6,6,4
s260,3,6,5,6,2,5,3,7,3,7,4,6
s348,3,5,3,5,5,4,4,6,2,2,2,4
s236,3,3,7,4,3,3,5,5,4,3,6,3
s183,4,5,1,4,1,4,2,5,3,4,4,5
s138,5,7,4,6,3,5,3,6,4,4,3,4
s344,4,5,4,4,7,5,3,4,2,5,5,4
s273,4,3,7,4,4,3,5,3,4,4,7,1
s137,6,2,6,4,4,3,3,2,6,1,7,3
s212,5,NA,5,2,3,2,5,3,6,2,5,1
s184,4,6,5,3,5,4,4,4,3,3,5,3
s198,5,4,5,3,4,5,4,3,6,3,6,6
s363,6,2,6,3,3,5,4,2,3,2,5,3
s269,5,7,3,5,2,5,3,3,1,4,5,4
s064,3,2,3,5,5,4,4,5,4,4,6,3
s108,4,4,2,6,5,6,5,3,4,3,3,3
s174,4,4,4,4,4,3,4,4,3,5,5,4
s113,5,1,7,2,3,1,2,2,5,1,5,3
s018,2,5,4,6,4,5,2,5,3,5,3,6
s020,4,5,4,6,4,6,4,4,6,5,4,5
s331,3,5,6,2,2,7,2,3,3,5,4,4
s262,NA,4,4,1,4,4,5,4,4,4,5,3
s122,4,3,3,3,4,6,3,3,3,5,2,2
s206,4,4,5,5,1,5,5,5,3,3,5,5
s097,4,3,5,4,4,4,4,2,3,5,6,2
s204,3,6,4,6,2,7,3,5,1,6,1,7
s248,3,3,2,NA,3,5,2,4,1,4,2,4
s060,4,4,5,2,5,5,7,1,4,3,7,4
s312,4,5,6,2,2,5,4,3,6,2,3,5
s130,5,4,NA,3,2,6,3,4,3,5,5,5
s163,6,4,5,3,5,5,3,1,5,3,4,3
s063,2,5,5,3,3,3,6,4,4,3,7,4
s074,3,5,5,4,6,4,4,6,4,4,7,2
s176,4,5,5,5,5,6,3,3,5,3,4,4
s007,3,4,3,5,4,3,4,4,3,6,6,4
s219,6,5,5,4,3,6,5,3,2,3,4,3
s215,5,4,3,3,3,2,4,1,3,1,7,4
s160,1,4,4,4,4,7,3,5,3,4,4,3
s017,5,4,5,3,4,2,5,4,5,4,6,4
s244,5,1,7,3,6,4,4,3,6,4,6,2
s153,4,5,7,2,5,4,4,3,6,4,4,5
s283,2,3,6,2,4,4,6,5,2,4,7,2
s152,4,4,7,NA,4,7,1,4,2,5,4,3
s358,6,5,5,3,3,4,4,2,4,2,5,4
s148,5,3,7,1,6,3,4,3,6,3,6,3
s324,6,4,5,3,3,4,4,3,3,4,4,4
s008,2,7,5,6,3,3,1,4,NA,5,6,4
s319,5,3,7,2,5,4,7,2,4,4,5,3
s164,4,3,6,5,3,2,4,5,4,5,5,5
s301,5,2,3,6,3,6,2,2,4,2,6,4
s165,3,3,3,6,5,3,4,2,5,4,4,6
s275,6,4,6,4,5,4,5,2,4,3,4,2
s328,4,3,6,4,2,7,6,3,4,1,5,4
s120,3,4,4,4,4,4,4,5,3,3,5,5
s274,4,3,6,5,4,5,3,4,3,5,5,3
s280,2,6,4,7,3,5,3,6,6,6,4,4
s290,4,5,4,7,3,5,3,4,3,5,3,4
s343,3,5,5,2,3,6,5,5,3,3,4,5
s305,5,4,5,3,4,3,5,2,5,5,5,2
s226,4,3,6,NA,3,2,5,2,5,4,4,2
s156,3,5,5,4,4,2,5,4,6,4,4,2
s190,1,6,5,4,3,5,3,3,4,4,3,5
s201,5,4,6,3,4,4,4,6,5,3,5,3
s083,4,2,4,5,2,4,4,5,6,2,7,3
s133,5,4,5,5,3,6,5,NA,3,5,4,3
s345,1,4,4,3,4,6,2,3,5,3,4,4
s229,4,5,2,5,2,7,3,7,2,7,2,7
s376,3,5,4,5,4,6,4,4,3,7,4,4
s210,6,6,5,4,4,3,5,1,4,3,6,4
s104,5,2,7,3,7,1,7,1,5,5,7,3
s255,5,5,5,4,4,4,6,5,5,5,7,3
s310,4,7,6,5,1,4,4,7,2,4,5,6
s070,2,5,3,4,4,5,3,3,4,5,2,4
s326,6,5,4,7,2,4,3,5,6,5,3,6
s299,4,5,5,5,3,5,4,6,2,4,5,5
s077,6,2,3,6,4,3,5,4,4,3,7,4
s199,7,4,6,2,4,4,5,5,6,4,7,4
s249,4,5,3,3,4,3,7,5,4,5,5,2
s207,2,6,3,6,4,5,1,3,6,7,4,3
s177,5,4,2,3,3,4,3,4,2,4,4,4
s129,4,5,7,6,7,7,5,4,3,4,4,3
s231,6,3,3,3,3,5,5,4,5,5,5,3
s076,5,5,3,6,4,3,4,3,3,5,5,3
s027,5,4,3,6,5,6,4,5,4,4,2,5
s179,6,4,4,5,6,4,4,3,3,1,1,3
s081,5,1,5,3,5,4,4,3,7,4,6,4
s135,2,4,3,2,3,2,4,5,3,7,6,3
s045,4,3,5,1,5,2,7,3,5,5,7,1
s272,3,4,4,4,7,5,4,4,4,5,6,3
s089,5,3,6,3,6,5,4,3,4,4,4,3
s216,6,1,6,5,4,3,5,3,4,6,5,3
s065,7,3,7,3,6,3,5,1,4,2,6,2
s356,4,7,3,4,2,6,4,6,4,6,3,5
s155,5,6,4,3,3,4,4,5,4,4,3,2
s286,3,5,3,6,4,7,2,7,3,6,5,7
s118,3,3,4,3,5,4,4,1,3,2,6,2
s254,5,6,5,1,2,4,4,4,5,4,6,3
s013,6,4,4,4,2,3,4,3,4,2,6,3
s010,3,5,5,4,1,6,3,3,3,3,4,5
s281,2,3,1,7,3,5,4,4,4,5,4,4
s061,6,5,5,3,3,6,4,2,5,5,5,4
s014,5,5,4,7,3,5,3,4,2,5,5,6
s039,4,6,4,4,4,4,3,1,3,4,5,4
s366,3,7,5,5,2,4,3,5,3,6,4,5
s192,7,4,4,5,4,4,4,2,3,6,5,2
s016,3,4,3,7,3,5,2,5,3,NA,4,5
s132,4,6,5,4,5,6,5,4,5,4,4,6
s009,5,7,6,4,5,4,4,4,4,6,4,4
s233,7,3,6,3,5,4,6,3,5,3,7,NA
s330,6,2,2,1,7,2,3,2,4,3,6,2
s277,3,5,3,4,3,7,4,3,2,7,3,6
s004,3,3,2,3,2,7,2,4,2,4,3,7
s223,4,5,3,4,3,5,3,5,2,4,3,2
s112,3,4,2,4,4,4,4,5,4,5,6,3
s256,5,3,6,4,3,4,5,5,6,3,7,1
s188,3,5,7,5,3,3,6,4,4,7,5,3
s019,5,4,3,3,3,5,4,5,4,5,3,5
s291,7,4,4,3,5,2,4,2,5,4,5,3
s318,3,4,4,5,3,5,3,4,2,5,4,4
s144,3,5,6,5,3,4,5,4,6,6,7,5
s175,5,3,5,3,4,4,2,3,5,2,6,5
s069,2,5,5,3,5,3,4,4,5,2,7,4
s098,4,7,4,3,1,5,2,4,4,5,3,6
s066,5,5,4,5,5,5,4,5,3,7,5,4
s357,2,5,3,3,4,5,7,4,4,4,5,2
s372,4,4,6,4,6,4,6,3,4,5,7,2
s180,5,5,7,3,3,3,4,4,4,3,5,5
s307,3,5,4,6,4,4,4,5,4,5,2,5
s195,3,4,4,6,3,6,3,3,2,6,2,5
s261,3,4,3,4,4,2,4,4,5,4,5,4
s278,1,7,1,6,1,7,2,7,1,7,2,7
s032,4,6,4,6,5,4,5,6,3,4,7,5
s131,2,5,3,4,4,4,5,3,3,4,4,6
s048,1,5,4,5,5,2,4,5,5,5,5,4
s162,5,3,4,5,7,4,6,3,4,4,3,4
s265,3,5,4,5,4,5,3,5,4,5,4,4
s336,5,4,4,3,4,5,5,4,4,5,5,NA
s349,5,4,6,2,4,1,5,3,4,NA,6,1
s361,4,5,4,4,5,4,2,4,4,5,4,4
s338,5,3,7,3,4,3,5,4,3,4,6,5
s151,3,5,5,4,2,6,3,4,2,7,7,5
s367,5,3,4,2,5,5,4,4,5,5,6,4
s030,4,5,6,4,3,6,3,6,5,6,6,2
s218,4,4,4,5,1,4,3,4,5,5,4,6
s037,4,3,4,4,6,3,4,2,6,4,6,3
s194,3,5,3,4,5,5,4,5,6,6,3,4
s185,6,4,6,5,3,3,4,3,3,1,3,4
s375,4,3,4,5,3,3,4,3,1,6,6,5
s085,2,7,3,5,3,4,1,5,1,4,6,4
s006,4,5,3,6,5,3,4,5,4,4,2,4
s351,6,1,5,2,5,NA,3,5,5,4,6,3
s041,5,3,7,1,6,3,7,1,5,2,7,1
s285,4,4,4,4,5,5,3,5,4,5,6,6
s282,3,4,6,5,4,3,3,3,5,4,7,3
s359,1,5,4,5,3,6,3,5,3,3,2,7
s222,4,4,3,7,3,6,5,4,5,3,6,4
s316,7,5,5,4,2,3,4,6,4,4,4,5
s143,4,5,2,3,4,4,4,3,2,6,2,6
s342,5,5,4,3,5,4,5,5,4,4,2,3
s092,4,3,6,4,2,5,4,4,3,4,6,6
s056,3,6,3,4,4,4,6,4,5,4,5,5
s234,7,6,6,3,5,4,5,1,4,4,6,3
s157,4,4,5,4,5,4,2,5,4,4,3,5
s187,7,4,6,2,5,4,5,1,5,4,4,5
s213,3,4,4,4,6,5,2,2,4,6,6,4
s035,4,6,6,5,4,5,5,4,4,3,5,3
s295,5,6,5,4,7,1,6,1,5,3,4,2
s059,4,5,5,5,2,2,3,5,2,4,4,4
s267,1,5,2,4,1,5,1,4,4,4,2,5
s337,3,5,7,5,4,4,5,4,4,4,5,3
s221,4,4,5,5,3,4,7,3,3,4,4,2
s075,4,4,4,3,4,4,6,3,2,7,5,4
s114,1,7,4,7,1,6,3,3,4,6,5,6
s311,2,6,3,4,2,5,2,5,3,4,3,3
s279,4,4,3,6,2,3,4,4,4,5,4,5
s314,4,5,5,4,5,4,5,3,3,3,5,4
s124,7,2,6,2,6,1,6,2,6,1,7,4
s266,1,6,1,4,3,7,3,5,3,5,2,5
s211,6,4,3,6,3,4,3,4,4,2,4,4
s313,4,2,5,3,4,3,5,4,3,3,4,3
s079,4,5,4,4,2,6,3,5,4,3,6,7
s054,4,4,6,3,6,5,6,2,6,5,7,2
s068,5,4,4,4,3,3,4,4,3,6,6,4
s302,4,4,5,5,2,6,4,4,3,7,5,3
s158,5,5,4,3,4,4,6,3,4,5,4,4
s203,5,2,7,6,4,1,7,3,7,4,6,3
s021,3,5,5,5,3,4,5,3,2,3,4,2
s093,4,5,4,5,4,5,2,4,3,2,3,5
s374,5,5,4,5,3,4,5,2,4,5,4,5
s161,5,5,5,4,5,5,6,3,3,5,5,1
s202,6,1,7,2,7,1,6,2,5,2,7,4
s322,1,4,4,5,2,6,4,5,3,6,4,5
s071,3,7,4,3,3,4,5,5,3,1,4,4
s243,3,5,5,4,3,4,5,4,4,4,3,6
s196,1,4,3,7,1,7,2,4,1,7,3,5
s116,4,5,2,4,4,4,3,2,5,3,4,3
s103,4,4,3,5,5,3,7,2,5,7,6,2
s049,2,4,4,7,4,4,6,6,5,6,6,6
s040,5,6,5,5,3,4,4,5,4,6,4,3
s154,4,4,7,4,4,6,4,3,5,4,4,3
s087,3,5,3,6,3,6,3,6,3,6,5,5
s015,3,4,5,4,7,1,7,1,7,4,5,3
s011,7,5,6,3,4,6,5,4,5,3,6,1
s050,5,4,5,4,5,3,4,2,4,5,6,4
s166,3,6,4,4,3,4,5,4,4,4,6,5
s031,7,2,7,2,6,1,7,1,4,1,5,2
s167,5,4,6,6,2,3,4,2,4,2,6,3
s034,7,7,5,3,5,4,6,3,3,4,6,3
s333,7,4,5,3,5,2,3,2,5,2,7,1
s182,4,5,6,4,4,5,5,2,3,4,5,4
s186,5,2,5,4,4,2,5,4,5,3,4,4
s036,1,4,3,5,6,5,4,4,4,6,4,4
