subj_id,q01-F,q02-R,q03-F,q04-R,q05-F,q06-R,q07-F,q08-R,q09-F,q10-R,q11-F,q12-R
s085,2,2,2,4,1,5,4,4,3,3,4,4
s112,5,2,4,4,4,2,5,1,6,3,4,3
s172,2,6,2,4,4,4,5,6,2,4,2,4
s227,7,4,5,1,5,3,4,3,6,3,7,4
s310,3,3,5,4,5,5,3,3,5,6,4,4
s008,4,4,4,4,5,6,3,4,5,3,4,4
s080,3,4,4,4,5,3,2,5,2,6,4,3
s115,5,3,5,2,7,5,4,3,3,2,4,3
s071,5,5,2,7,3,4,3,5,4,5,4,5
s153,2,4,3,5,4,5,5,4,5,6,4,4
s246,5,4,3,3,5,3,5,5,6,4,3,5
s315,3,6,2,5,3,6,3,5,1,7,1,7
s181,6,4,4,3,4,2,6,3,5,4,4,3
s159,6,4,4,2,4,3,7,1,7,3,7,4
s079,5,4,4,3,5,3,4,4,4,4,5,2
s217,4,6,4,5,3,3,5,2,5,3,5,3
s006,4,1,4,2,NA,1,5,3,6,3,5,3
s039,4,1,5,3,7,4,7,4,5,1,3,2
s127,5,4,3,4,4,4,5,4,3,4,5,3
s176,4,3,5,5,6,3,3,1,6,3,5,4
s171,6,4,3,4,4,3,4,3,7,3,6,3
s240,6,4,5,5,5,3,4,2,7,4,3,4
s146,5,1,5,3,3,4,5,3,7,2,6,3
s340,1,6,3,6,3,5,4,4,3,6,2,5
s003,4,3,4,4,5,4,4,4,5,4,2,3
s210,5,5,3,6,5,5,6,3,3,4,4,2
s239,2,4,3,2,3,5,4,4,4,4,3,5
s082,4,5,2,3,2,7,3,3,4,6,4,4
s129,3,5,4,3,4,6,4,4,3,3,4,4
s048,4,3,3,3,5,3,7,3,7,3,5,5
s128,3,3,6,5,5,3,4,4,4,3,4,3
s062,6,4,2,4,4,4,6,3,3,4,3,4
s189,2,3,4,4,4,2,5,4,5,3,4,5
s063,4,3,4,5,6,5,6,4,3,6,5,4
s077,4,7,1,6,4,6,4,4,4,3,1,6
s308,5,6,1,7,3,3,4,5,1,4,4,4
s329,5,5,1,5,5,4,4,4,4,3,3,6
s302,3,3,4,5,4,4,2,5,4,3,4,5
s307,4,4,4,5,3,5,5,3,3,6,3,5
s261,4,5,4,3,5,3,6,1,5,2,5,5
s203,3,4,2,4,2,7,4,5,1,5,4,4
s108,3,4,3,4,4,5,7,4,6,3,3,4
s269,3,3,3,7,4,2,2,6,3,6,2,4
s007,4,5,1,5,4,5,5,4,5,2,2,3
s311,5,7,1,5,4,4,3,5,3,6,5,5
s051,4,4,4,6,4,7,1,6,2,7,2,5
s046,3,4,2,7,6,3,3,4,5,4,4,4
s101,2,5,2,6,1,5,3,4,3,5,5,7
s024,6,4,5,4,2,6,4,5,2,5,1,3
s045,4,7,5,4,2,6,4,5,4,7,3,4
s130,5,5,1,6,2,5,3,5,3,4,1,6
s270,5,4,4,3,5,4,5,3,5,2,4,4
s292,6,3,3,4,4,3,4,3,3,4,5,4
s152,2,5,5,4,6,1,5,1,3,2,4,3
s243,3,5,4,6,5,5,4,3,4,5,NA,4
s222,4,4,4,2,6,3,5,6,5,4,5,3
s225,5,4,1,6,5,4,3,3,4,2,6,4
s035,5,5,4,3,4,4,4,4,6,3,5,2
s190,6,4,2,4,3,3,7,2,4,2,3,5
s020,4,3,3,6,4,NA,5,3,6,6,4,4
s103,4,4,4,6,2,5,3,5,3,4,2,5
s314,5,4,5,5,6,5,4,2,7,3,4,3
s124,2,5,3,6,4,5,4,3,6,4,4,3
s133,5,6,2,6,2,5,4,3,4,3,3,4
s138,6,5,4,3,3,4,5,2,3,6,6,5
s055,4,4,4,5,4,2,5,3,4,3,5,5
s168,4,5,3,4,4,4,3,3,3,6,5,5
s123,4,4,4,2,5,4,3,3,4,4,2,2
s249,4,6,2,7,3,4,3,5,2,4,3,4
s119,4,4,3,4,7,4,6,3,6,3,4,4
s075,3,6,3,4,3,5,3,3,4,4,4,4
s297,4,4,3,3,4,6,5,2,5,3,4,3
s116,5,2,4,4,5,5,7,4,5,4,5,2
s337,7,7,4,5,4,4,5,3,4,4,4,2
s056,3,4,3,5,4,5,5,5,4,4,4,4
s244,3,1,4,3,4,4,5,3,6,3,5,6
s113,4,3,5,5,4,6,4,4,3,4,4,3
s201,6,4,4,5,5,5,4,5,3,4,4,5
s218,6,3,4,7,4,4,7,3,5,2,6,3
s170,6,5,5,4,7,6,5,1,6,4,6,4
s332,4,4,5,6,NA,3,4,2,6,5,4,1
s264,6,4,4,7,3,6,5,3,6,3,4,3
s306,6,4,6,1,7,2,7,1,7,1,7,1
s036,6,1,4,4,7,1,4,1,5,2,4,2
s072,3,4,3,6,4,3,7,4,4,6,4,4
s089,4,7,4,6,3,5,7,1,3,4,4,4
s137,4,5,7,3,4,1,7,1,6,2,7,2
s083,4,4,2,6,3,4,4,2,3,5,2,4
s276,7,2,5,3,4,4,6,2,5,2,5,4
s312,4,4,NA,6,4,6,4,4,6,4,3,5
s322,5,6,2,5,2,5,6,4,2,4,2,4
s245,3,6,3,5,3,4,4,4,5,6,5,5
s279,3,5,1,7,3,5,3,5,4,4,1,5
s303,6,2,6,4,7,3,7,4,6,3,6,3
s143,4,5,4,4,4,3,6,2,6,4,4,4
s265,4,4,5,4,4,4,6,3,3,3,5,2
s136,5,4,3,2,4,4,4,3,5,3,5,3
s275,6,3,4,4,6,2,7,1,4,3,4,4
s278,4,2,3,2,6,6,7,2,5,4,4,5
s318,7,2,4,4,4,5,3,3,5,3,4,1
s076,5,3,4,3,4,4,5,3,7,2,5,4
s166,6,2,3,4,4,6,4,2,5,5,NA,4
s131,5,4,2,4,4,3,5,6,5,6,3,2
s321,3,4,2,4,4,4,4,4,4,5,2,3
s150,7,3,5,3,7,3,7,2,5,4,7,3
s326,NA,7,2,7,1,7,5,7,1,6,1,7
s030,4,5,1,4,3,5,5,4,4,5,2,5
s331,4,5,1,4,2,6,4,5,4,5,3,5
s327,3,5,3,4,1,6,7,3,3,4,5,4
s114,3,5,3,NA,5,7,5,4,3,3,4,4
s282,6,2,5,2,5,4,7,2,5,1,4,2
s285,3,6,2,7,3,7,6,4,3,7,3,7
s032,5,4,4,5,4,5,4,4,1,4,4,2
s247,3,5,4,2,4,3,6,3,4,3,2,6
s087,4,5,2,3,4,4,4,3,1,4,4,5
s069,6,3,3,4,5,2,7,3,5,3,5,4
s028,6,4,4,5,5,NA,6,5,4,4,5,3
s300,7,3,4,2,4,4,7,3,7,3,7,3
s204,4,4,4,3,3,4,5,4,4,4,5,4
s213,4,3,4,4,2,5,7,2,4,1,4,4
s338,6,3,2,3,4,3,7,4,5,4,4,3
s081,4,6,1,6,6,4,4,3,4,7,7,5
s057,6,2,5,4,4,4,7,3,4,5,5,3
s231,4,4,3,3,4,NA,6,4,5,4,4,4
s157,6,4,2,5,5,3,5,2,4,5,4,4
s074,4,5,4,7,4,3,5,3,5,4,3,7
s144,5,3,5,1,6,1,5,3,4,5,5,5
s258,3,4,3,5,3,6,2,2,2,3,4,5
s033,3,2,4,5,4,5,4,3,4,4,4,6
s148,1,4,4,3,3,6,4,4,5,3,1,6
s012,5,4,5,5,4,4,5,1,5,5,4,3
s215,4,3,3,6,2,4,5,4,3,6,1,2
s252,2,5,3,4,3,7,3,6,4,3,3,3
s043,7,4,3,4,4,3,4,3,6,5,5,2
s187,5,4,4,2,4,6,5,3,4,4,5,3
s319,3,5,3,4,4,7,4,4,4,5,1,5
s234,5,5,4,4,5,3,5,3,3,3,5,5
s065,4,4,2,6,4,4,6,5,4,5,4,4
s027,6,2,3,5,7,3,4,4,5,2,3,3
s135,5,4,2,5,3,7,4,5,6,3,4,6
s220,6,2,4,1,5,2,5,3,4,2,4,2
s195,5,3,4,3,4,4,6,4,6,3,3,3
s095,5,5,4,4,5,5,5,2,5,6,4,4
s122,5,2,5,2,5,4,4,1,5,2,6,3
s209,4,2,2,4,5,6,4,3,3,3,4,7
s236,5,4,3,4,5,4,4,6,5,1,4,6
s015,3,3,2,5,3,5,5,4,4,4,1,4
s070,5,2,4,3,5,4,4,2,5,2,4,1
s183,5,3,4,1,6,4,7,2,5,2,4,3
s255,5,2,4,5,4,5,4,5,5,3,4,5
s098,5,1,4,5,4,3,6,2,6,2,5,2
s237,4,4,3,3,3,3,4,5,3,5,4,4
s251,4,4,7,5,4,4,7,3,5,2,4,5
s001,6,4,4,5,7,2,7,2,5,1,5,3
s125,3,7,3,6,3,7,NA,5,3,5,1,5
s216,5,4,2,4,5,4,3,5,6,6,4,5
s022,3,4,5,4,3,5,2,4,4,6,3,1
s335,4,4,4,3,6,3,4,3,3,2,2,3
s097,4,4,4,5,4,4,4,4,6,4,5,2
s093,7,6,2,4,4,6,4,4,5,3,4,5
s019,4,4,3,1,5,4,4,3,6,3,2,2
s025,2,6,1,7,2,5,1,6,3,4,1,4
s086,7,5,3,5,3,4,4,2,3,4,3,4
s263,5,1,3,NA,4,3,4,3,5,3,4,1
s305,4,4,6,4,4,4,2,2,4,4,5,4
s208,4,4,4,2,4,4,5,4,5,3,4,1
s018,7,4,4,4,6,6,4,4,4,2,5,4
s286,4,3,6,4,4,3,5,2,5,3,7,4
s064,2,3,4,4,4,4,6,3,4,4,5,2
s309,7,3,4,3,7,3,6,2,6,1,4,4
s284,6,1,5,5,7,5,6,1,7,1,6,2
s224,4,6,4,6,1,5,4,5,4,6,4,6
s102,6,4,1,5,2,5,4,5,4,4,4,5
s177,2,4,3,5,4,4,1,4,1,3,2,6
s268,6,3,4,5,5,6,3,1,3,2,6,3
s078,4,1,6,3,7,2,5,1,6,2,4,1
s092,3,4,2,6,3,5,4,4,4,5,4,5
s262,3,4,1,4,2,5,1,3,3,6,2,6
s094,5,4,4,5,4,4,4,4,4,5,4,1
s274,3,4,4,5,5,4,5,5,3,4,4,3
s163,1,6,2,7,4,6,1,4,3,5,2,7
s320,2,6,1,7,3,7,1,5,4,6,1,4
s241,3,5,2,4,4,5,4,4,5,3,4,2
s289,4,5,2,7,4,4,5,5,2,4,3,5
s084,4,4,5,5,5,1,7,3,5,3,4,4
s145,5,3,4,3,3,4,2,5,3,4,2,4
s060,3,4,3,4,5,3,4,5,4,4,3,4
s235,4,4,3,3,4,5,5,2,5,4,4,5
s050,5,4,3,5,5,5,4,5,1,6,5,3
s179,4,3,3,1,4,5,7,4,4,1,2,1
s200,4,4,3,4,4,5,4,4,2,4,4,4
s126,3,4,3,6,3,5,4,3,4,3,5,4
s109,4,6,3,6,3,6,2,3,3,4,4,5
s316,4,4,4,3,6,3,4,3,4,3,4,3
s273,1,5,3,5,1,4,3,4,2,5,2,5
s088,6,3,4,3,5,2,5,1,4,4,5,1
s132,5,4,4,7,5,2,6,2,6,5,6,3
s328,4,4,1,5,4,5,6,4,3,1,3,5
s099,4,6,3,4,3,4,5,4,3,2,3,3
s044,3,3,4,3,4,2,5,3,5,NA,4,1
s266,4,6,4,1,3,7,5,4,3,5,5,5
s175,7,3,4,4,5,3,5,3,6,4,4,3
s343,5,3,5,7,6,3,3,4,4,4,4,3
s267,7,4,4,4,4,5,5,4,5,4,5,3
s330,3,2,2,5,5,7,4,5,4,5,3,6
s066,7,3,5,5,3,3,5,1,5,3,3,2
s290,3,4,3,2,4,5,4,2,4,5,3,3
s206,5,6,2,6,1,5,3,7,4,3,1,5
s014,3,4,3,4,5,3,4,5,5,6,4,4
s191,1,4,2,6,5,6,4,5,3,7,2,6
s230,4,4,3,4,6,6,4,5,4,4,4,5
s192,3,7,1,6,3,6,2,4,1,4,1,7
s283,7,3,4,3,5,4,7,2,6,4,6,2
s164,1,5,1,5,3,3,5,2,4,3,4,4
s325,4,6,4,5,3,4,5,4,5,4,4,5
s229,4,7,4,7,1,3,2,4,4,6,2,5
s004,4,5,5,4,4,4,2,4,5,3,4,4
s100,3,7,1,4,2,7,1,1,4,4,3,4
s185,4,4,5,2,5,3,4,3,6,3,5,2
s154,5,4,2,4,3,3,4,5,4,3,4,5
s277,3,3,2,3,5,4,3,5,4,2,5,6
s104,3,5,3,4,5,6,3,4,4,5,2,5
s233,4,7,1,7,4,6,2,7,1,7,2,5
s324,4,4,4,4,4,6,5,4,4,5,4,4
s105,5,5,3,4,4,4,5,2,5,2,4,5
s341,4,5,1,4,3,5,7,4,2,4,4,4
