subj_id,q01-F,q02-R,q03-F,q04-R,q05-F,q06-R,q07-F,q08-R,q09-F,q10-R,q11-F
s039,7,1,4,4,2,3,5,4,3,5,7
s265,3,5,4,3,4,5,2,4,3,4,3
s164,4,3,4,5,5,4,5,5,5,5,4
s116,4,4,3,4,4,3,5,4,4,6,5
s030,5,6,3,4,4,5,7,5,4,3,2
s238,4,5,5,2,4,3,3,3,4,5,5
s081,4,5,4,5,6,4,4,4,3,7,5
s130,5,3,5,4,5,4,5,3,4,5,4
s024,6,2,6,3,5,2,6,1,5,3,5
s106,6,3,6,4,4,6,4,4,5,2,3
s163,4,4,5,4,4,4,4,2,5,6,6
s110,3,4,4,4,4,2,5,4,4,2,4
s243,4,6,5,3,2,3,3,5,6,5,2
s287,5,7,3,6,3,4,5,5,1,5,4
s205,4,4,4,5,2,4,6,3,2,5,3
s055,NA,6,2,5,4,6,1,6,3,7,3
s143,2,4,3,3,4,4,3,2,2,6,4
s066,4,5,4,5,5,5,3,3,5,5,7
s064,7,4,7,4,5,2,7,2,4,4,5
s261,6,3,4,5,4,5,6,5,4,4,6
s025,6,5,4,4,6,4,4,3,5,5,6
s047,5,6,3,6,3,5,4,4,3,6,3
s094,3,1,5,2,6,2,1,3,3,4,6
s187,5,2,5,4,2,3,5,4,5,6,5
s181,5,5,4,5,3,6,2,5,4,6,4
s218,4,6,3,7,3,6,4,2,3,3,4
s126,3,4,3,7,2,4,2,5,4,5,5
s278,5,3,3,4,4,2,6,1,6,3,4
s162,5,4,5,4,4,3,5,5,5,2,6
s194,4,4,4,3,5,4,5,3,4,4,5
s138,5,4,5,4,4,6,3,2,5,5,1
s235,1,7,2,7,1,6,2,6,1,7,2
s241,7,1,4,4,4,1,4,2,5,2,5
s071,5,7,3,6,4,6,3,4,4,4,4
s075,4,6,5,6,5,4,4,3,4,6,2
s112,1,4,2,7,1,4,3,6,2,7,3
s134,2,5,4,4,3,4,3,7,5,5,3
s141,7,3,6,2,5,2,7,2,6,2,7
s029,4,2,5,3,3,2,4,2,5,4,5
s062,4,6,6,4,4,4,5,3,4,4,5
s270,3,5,4,4,5,4,5,3,3,4,6
s219,6,3,4,4,4,1,6,4,3,4,3
s173,4,3,4,5,3,1,5,5,4,4,3
s086,6,3,5,3,5,2,7,3,6,3,5
s035,4,2,4,7,4,3,6,3,4,5,5
s038,3,5,2,2,3,4,5,4,3,3,4
s198,7,4,4,6,5,3,4,2,6,3,3
s060,6,4,6,5,3,4,4,3,6,2,2
s269,2,5,6,5,4,5,4,3,1,5,1
s009,3,4,6,3,3,4,5,4,3,4,5
s140,3,7,5,5,4,2,5,4,4,2,3
s245,4,5,5,5,5,3,4,4,5,5,5
s041,5,5,5,2,6,1,7,3,5,3,6
s286,3,6,2,4,4,6,2,4,1,4,4
s296,7,2,4,4,5,3,6,4,4,3,3
s054,3,7,4,7,3,6,3,5,5,6,2
s042,5,1,5,2,6,4,7,6,4,4,6
s014,4,2,5,2,3,3,5,2,5,3,7
s262,5,3,4,4,3,2,5,3,5,4,3
s159,4,3,6,4,3,4,4,3,4,4,7
s197,1,6,2,5,5,4,4,7,4,5,1
s108,3,4,3,5,4,4,1,5,3,4,3
s097,4,2,6,5,1,4,4,1,4,3,5
s227,4,6,3,5,4,4,3,3,5,5,4
s310,7,1,6,3,5,4,5,5,4,3,6
s263,4,3,5,5,7,3,7,NA,4,4,7
s085,4,4,4,7,4,4,6,4,5,7,3
s257,4,5,5,6,6,2,7,3,5,4,2
s074,7,3,5,5,5,3,6,4,3,4,6
s046,3,5,5,3,5,1,5,4,4,5,4
s274,4,3,6,3,4,3,5,1,3,3,4
s002,1,6,2,5,3,4,3,3,3,6,6
s137,5,4,5,6,2,3,4,1,3,4,1
s259,4,3,3,5,4,5,2,4,2,7,2
s169,4,2,5,2,4,3,5,2,6,4,5
s027,6,4,4,3,3,5,2,5,4,6,4
s018,6,3,6,1,4,4,6,2,5,5,6
s267,5,6,3,6,1,7,1,4,1,7,1
s057,2,5,3,4,4,4,4,3,3,4,3
s170,4,4,4,1,4,3,4,4,6,2,7
s195,4,5,3,5,4,3,5,4,3,6,5
s304,2,5,4,3,3,5,3,5,1,4,4
s246,3,5,3,4,4,3,4,6,4,4,4
s183,2,4,2,7,5,5,3,4,3,5,3
s114,3,3,5,4,4,3,7,4,2,5,3
s298,4,4,3,6,2,6,4,4,4,6,4
s088,7,1,5,3,7,3,7,3,5,1,4
s051,7,2,7,3,6,4,7,5,5,3,4
s091,4,5,3,6,7,1,6,3,7,3,5
s242,6,4,7,4,6,4,4,2,3,4,3
s283,5,2,4,6,6,3,4,2,4,4,4
s202,5,2,5,4,7,2,5,4,7,3,4
s161,4,3,4,5,2,5,4,2,3,6,4
s122,7,4,4,5,3,4,4,5,3,5,2
s040,3,2,7,5,4,6,4,3,3,3,7
s154,1,5,5,7,3,3,5,5,4,5,4
s311,5,4,6,3,3,4,5,3,5,5,4
s184,6,3,5,4,5,4,3,5,4,4,3
s043,5,5,6,3,6,4,7,4,4,3,6
s044,6,6,7,1,5,3,4,1,7,3,6
s100,5,5,4,3,3,7,4,5,3,3,5
s048,6,2,5,4,6,3,3,3,4,4,5
s036,4,3,2,5,4,3,NA,6,6,5,3
s272,4,7,1,7,1,6,3,7,1,7,1
s104,4,4,3,5,4,4,5,4,6,3,4
s291,4,3,3,3,2,7,4,4,3,3,1
s118,6,2,5,1,6,3,5,3,6,6,4
s206,5,3,4,5,4,4,4,3,3,4,5
s196,3,3,4,4,1,5,3,6,2,5,2
s121,3,5,3,5,2,5,5,4,5,4,3
s289,5,5,4,4,4,5,6,4,2,4,5
s033,7,4,4,2,6,1,7,3,4,3,4
s281,3,4,5,5,5,3,6,4,4,4,5
s268,2,7,3,5,4,6,5,4,4,7,4
s082,6,2,4,4,2,5,4,4,5,3,5
s129,6,4,4,5,4,3,5,4,6,3,6
s254,4,5,2,7,4,4,4,5,3,5,5
s098,2,5,4,7,3,6,2,6,1,4,4
s017,3,4,4,4,4,6,3,5,3,5,1
s125,5,4,3,5,4,4,4,3,6,5,6
s276,4,4,4,1,5,3,5,3,3,2,5
s124,6,3,4,7,4,2,4,4,6,5,4
s087,3,6,3,5,4,4,4,5,3,4,5
s151,5,6,4,5,6,2,3,4,7,4,3
s067,5,4,6,3,4,3,3,3,6,3,2
s226,3,3,2,1,3,4,1,3,4,7,3
s222,5,4,5,3,4,3,4,4,1,5,5
s084,5,7,4,4,5,2,3,3,3,4,5
s059,1,5,2,6,2,4,4,4,4,7,1
s279,2,6,2,5,1,4,4,5,2,5,5
s011,3,4,6,2,4,4,5,4,3,4,5
s236,4,5,7,3,5,3,6,3,5,4,6
s217,4,4,3,4,2,NA,3,1,2,4,5
s191,4,3,4,6,4,7,2,5,3,4,4
s293,4,6,4,7,3,4,1,4,3,6,4
s299,4,6,4,5,3,5,4,1,2,5,4
s136,5,4,4,5,5,3,7,4,3,1,5
s308,4,2,3,5,4,4,5,4,4,4,3
s102,1,2,3,5,2,3,4,4,5,4,4
s096,3,5,1,7,1,5,4,4,4,5,2
s300,5,4,4,4,4,4,6,3,1,5,1
s158,4,5,4,5,4,2,3,2,4,5,5
s031,1,6,5,7,1,3,2,4,1,5,1
s207,6,3,5,4,4,4,6,3,7,3,5
s146,5,4,5,5,4,3,4,2,4,3,5
s188,2,4,5,7,3,5,6,2,4,7,4
s297,4,4,5,1,5,3,7,3,4,3,7
s021,4,4,5,4,5,5,5,4,4,6,5
s076,1,3,4,5,3,5,6,2,3,6,2
s171,2,4,5,5,5,5,5,4,5,4,6
s271,3,2,4,3,4,6,4,4,6,5,4
s160,1,5,3,7,4,7,1,4,1,7,4
s285,4,4,6,3,5,4,4,6,3,3,6
s073,5,5,4,4,3,5,6,4,3,3,5
s264,3,6,3,6,1,6,3,5,5,4,2
s022,3,5,2,6,4,7,3,3,4,4,3
s155,6,3,6,4,6,4,6,2,4,4,5
s177,6,4,6,6,4,2,5,2,4,4,4
s111,6,5,5,3,5,2,6,4,5,3,7
s190,5,3,5,4,4,5,5,1,4,5,7
s228,4,3,6,4,4,2,2,3,6,4,5
s213,5,5,6,6,3,6,2,5,3,6,5
s089,6,2,5,5,3,4,4,2,6,4,4
s230,4,3,6,3,4,NA,5,2,4,2,4
s225,6,5,4,5,6,4,7,1,4,3,5
s255,3,4,4,6,3,7,2,5,1,6,1
s101,5,4,5,5,4,2,3,2,4,6,5
s280,4,5,6,5,4,4,1,5,5,3,3
s150,4,3,2,4,3,5,4,6,3,6,4
s090,3,7,4,7,1,5,4,5,1,6,3
s135,4,5,6,5,3,2,4,5,3,2,3
s167,1,6,5,6,2,3,4,6,3,7,1
s312,5,4,3,4,4,4,5,3,4,4,6
s215,3,3,4,4,4,3,4,3,5,4,5
s105,6,4,6,4,5,4,5,3,5,5,6
s251,5,4,6,5,5,3,5,2,4,2,5
s247,4,5,3,5,3,4,6,4,5,4,3
s028,3,6,4,6,4,4,4,3,5,5,3
s045,3,6,3,7,5,6,NA,5,4,7,3
s309,3,6,2,5,3,4,4,4,4,7,4
s113,2,7,1,4,5,4,4,4,5,5,4
s070,7,4,6,5,5,7,6,3,5,4,5
s224,4,7,3,6,5,4,2,3,1,5,5
s260,5,4,6,4,5,4,5,2,6,4,2
s302,6,4,3,4,4,3,6,2,5,4,6
s203,2,4,4,6,3,4,4,5,5,6,4
s277,2,4,3,5,3,5,2,6,4,4,4
s131,3,5,4,7,3,6,2,2,3,5,1
s240,5,3,6,7,2,7,4,NA,2,5,2
s078,5,3,3,3,4,3,4,3,5,3,4
s120,4,5,4,NA,4,2,6,4,5,4,4
s250,3,3,4,3,6,1,7,1,4,4,6
s152,4,5,4,4,3,4,4,6,5,4,4
s103,5,3,5,5,7,3,5,1,3,NA,5
s133,4,3,5,4,4,3,6,3,4,6,6
s077,4,6,3,5,2,5,4,3,2,5,4
s128,6,5,4,5,4,6,5,5,4,4,4
s266,4,1,4,4,5,3,6,1,5,2,6
s185,3,4,5,3,4,4,5,6,4,6,4
s204,2,6,4,5,6,4,5,5,4,5,6
s292,5,5,4,7,5,5,4,5,3,5,3
s099,6,4,4,7,2,3,3,5,3,4,3
s232,5,5,5,4,4,4,4,4,3,5,3
s119,4,5,NA,4,3,3,3,4,6,4,NA
