subj_id,F_q01,R_q02,F_q03,R_q04,F_q05,R_q06,F_q07,R_q08,F_q09,R_q10,F_q11,R_q12
s192,4,3,4,3,3,3,6,1,6,3,7,4
s170,3,4,4,5,4,5,5,3,3,5,1,2
s221,1,5,4,4,3,6,3,5,5,7,5,7
s323,2,3,6,3,6,5,6,4,4,7,4,4
s248,4,5,3,2,4,4,6,2,4,3,4,4
s053,4,5,5,4,5,6,5,5,2,7,4,5
s257,4,4,4,4,1,4,4,4,4,4,4,5
s186,5,6,4,3,4,4,7,5,3,3,3,1
s230,5,4,6,4,5,4,7,3,4,2,4,2
s244,1,6,2,4,5,6,1,6,4,5,3,5
s113,4,2,5,3,4,2,6,2,4,5,3,2
s312,4,3,4,4,5,5,4,3,4,3,4,4
s006,4,4,6,3,5,4,5,2,7,3,2,3
s240,4,4,5,3,3,2,5,4,4,4,5,2
s123,6,3,4,3,2,3,6,5,4,3,4,1
s316,5,3,1,5,5,4,7,3,3,4,4,4
s121,4,4,4,5,1,4,4,5,4,4,6,3
s334,2,5,4,4,4,5,5,4,4,4,2,2
s272,3,5,4,3,3,5,7,2,2,6,2,5
s193,4,4,5,3,5,2,5,4,5,4,5,4
s101,4,3,5,5,7,3,6,1,4,3,4,4
s169,3,7,3,7,6,6,4,3,1,5,4,4
s293,3,5,3,3,1,7,5,4,4,5,1,5
s180,4,4,7,5,6,5,5,5,5,3,2,1
s142,3,5,5,4,4,4,7,4,7,4,3,3
s108,2,3,5,3,5,4,5,2,4,5,4,4
s336,4,1,3,3,4,4,7,1,3,3,4,4
s368,2,4,4,4,5,3,4,3,5,5,3,2
s007,4,3,4,3,4,2,7,2,4,2,6,3
s318,4,4,5,4,4,1,5,3,3,6,4,3
s094,7,3,7,2,7,4,7,1,5,3,6,3
s153,6,5,6,2,5,3,4,4,5,4,6,2
s114,5,2,4,3,6,1,6,3,7,4,5,4
s075,5,2,6,1,7,2,7,3,7,5,5,2
s115,2,3,5,1,7,3,5,4,4,4,5,3
s052,4,6,3,3,3,4,2,4,1,3,3,7
s174,1,3,3,5,4,2,NA,2,4,5,5,4
s058,1,4,3,3,5,2,5,3,4,7,4,7
s268,3,4,4,3,3,3,5,3,5,5,4,4
s347,5,4,NA,6,6,6,6,4,4,6,4,3
s030,3,4,3,4,5,2,4,4,4,4,3,2
s065,7,5,6,5,3,5,6,4,6,3,5,5
s152,5,2,6,5,5,5,6,4,7,4,3,2
s226,5,3,6,2,6,3,6,2,4,1,4,1
s011,6,5,5,4,2,3,4,4,2,4,1,4
s127,5,5,3,3,5,4,4,4,6,4,1,5
s205,4,5,4,4,4,4,4,4,4,3,5,5
s107,5,5,4,4,3,3,4,6,4,6,5,5
s084,1,6,1,5,3,7,4,5,3,7,2,7
s076,4,5,4,2,5,6,5,4,4,3,4,5
s219,4,5,4,3,4,5,4,7,1,6,1,5
s335,4,4,3,3,1,4,5,3,3,4,3,5
s167,3,4,4,4,5,5,5,3,2,3,4,2
s309,4,4,4,4,3,3,4,4,4,5,2,6
s143,2,5,4,2,6,3,3,2,3,4,5,3
s061,1,5,3,5,4,4,4,6,2,4,4,4
s185,4,5,2,4,2,3,4,4,2,5,4,2
s225,3,4,4,3,3,5,3,3,3,4,1,3
s314,6,3,6,1,5,1,5,2,6,5,7,1
s190,4,4,5,3,3,4,6,5,2,7,4,4
s330,6,4,7,4,5,3,7,3,4,3,5,5
s322,3,2,3,4,3,5,6,2,4,5,4,4
s055,7,2,6,1,5,1,7,2,6,6,6,1
s014,3,4,5,5,4,4,4,3,3,3,4,5
s352,4,6,5,4,7,4,3,6,4,5,4,3
s201,1,6,4,5,4,3,7,2,5,5,2,5
s242,3,6,3,1,6,4,5,1,5,3,5,3
s191,4,3,7,5,5,3,6,4,5,5,4,3
s194,3,5,5,4,2,5,3,5,3,4,4,6
s139,3,3,5,4,5,1,6,5,5,4,4,1
s100,3,7,2,4,5,6,4,4,2,7,1,5
s292,2,5,2,4,2,6,3,4,3,6,2,6
s216,4,6,2,3,4,2,5,5,5,4,3,5
s364,6,6,7,1,7,2,7,1,6,4,5,1
s278,2,4,3,6,4,7,5,6,2,4,3,4
s133,2,2,4,3,7,2,5,4,7,2,2,3
s217,3,4,5,3,5,6,6,3,5,4,4,2
s348,5,4,5,3,4,2,7,4,4,3,3,5
s308,2,4,4,5,3,5,1,4,4,4,2,3
s307,2,6,2,3,1,5,4,5,3,5,2,4
s071,4,4,3,6,3,3,4,5,3,6,3,3
s130,2,5,4,6,1,5,3,6,4,6,4,4
s104,3,4,4,5,4,2,4,4,3,5,3,4
s265,1,4,5,3,3,4,6,4,5,5,3,4
s207,3,2,3,3,1,5,3,3,5,3,5,3
s060,2,6,1,5,2,5,3,7,1,7,3,4
s353,4,5,2,4,3,5,4,2,3,5,3,6
s275,3,4,5,3,3,4,6,2,2,4,5,4
s222,3,5,3,4,4,4,6,4,4,6,3,4
s204,2,1,7,4,6,4,7,4,4,4,6,4
s249,1,7,3,7,3,4,2,5,2,6,3,5
s310,4,6,2,4,4,NA,NA,5,2,3,2,6
s203,1,6,3,4,2,5,4,4,3,3,4,3
s239,3,1,7,4,5,2,6,1,4,5,7,3
s088,3,4,3,1,4,5,6,5,4,5,3,4
s299,3,3,6,3,6,4,5,4,5,2,7,3
s266,3,4,5,4,2,3,4,5,3,4,2,7
s080,7,2,4,2,4,4,6,3,7,4,NA,3
s111,4,5,1,4,3,3,6,6,4,5,3,3
s157,5,3,4,4,6,5,5,2,5,4,7,1
s328,6,1,6,1,3,2,5,3,7,2,5,3
s168,4,4,6,1,1,4,6,3,4,5,4,6
s345,4,4,3,3,7,3,6,3,5,3,5,3
s346,1,5,5,4,5,2,4,4,4,6,5,5
s271,2,4,3,2,4,4,7,4,5,1,3,3
s295,2,6,4,5,2,1,5,3,4,3,3,4
s197,3,3,6,3,2,4,4,3,3,3,4,4
s025,1,4,2,5,3,5,4,6,1,4,3,4
s095,4,5,3,3,1,5,7,6,3,2,3,3
s062,3,4,3,2,3,4,6,4,5,3,4,7
s317,5,3,4,3,3,3,4,4,2,4,4,5
s250,4,1,5,2,6,4,4,3,5,3,4,4
s367,1,4,5,3,2,5,6,5,4,5,4,6
s238,5,3,5,1,5,3,6,1,5,2,6,1
s354,4,4,3,1,4,4,7,3,4,2,3,2
s288,2,5,5,4,4,6,6,5,4,4,5,4
s093,6,3,7,2,4,4,6,3,5,3,4,3
s064,5,1,4,1,7,4,6,2,6,1,4,2
s012,7,3,6,4,7,5,7,7,5,4,6,4
s253,2,4,6,4,6,4,5,4,4,3,4,5
s047,3,4,4,2,5,5,7,7,5,3,4,4
s338,4,6,5,4,5,5,4,5,4,4,2,5
s054,4,6,4,4,4,7,5,5,5,4,2,5
s040,4,4,5,1,5,2,7,2,6,2,4,4
s273,1,5,4,6,2,5,2,6,4,6,3,5
s124,1,7,3,6,3,7,4,7,1,4,2,5
s082,6,4,3,2,4,6,6,4,3,3,1,5
s034,3,5,4,5,7,5,4,4,4,7,2,4
s344,2,5,5,1,4,5,5,4,5,4,2,1
s079,3,3,2,3,4,6,5,5,2,2,1,4
s255,4,5,4,4,4,6,6,2,5,4,4,4
s369,7,4,6,2,5,3,5,2,6,4,5,3
s182,5,4,3,1,5,2,6,3,5,4,6,1
s296,3,6,4,4,4,1,3,3,2,6,4,5
s236,2,3,4,4,4,4,5,3,4,5,5,4
s134,5,6,4,2,5,5,5,3,3,5,4,5
s220,4,5,6,4,4,1,4,3,7,3,4,2
s022,4,6,4,4,1,6,4,3,3,3,2,6
s070,3,4,2,3,3,7,4,6,2,3,3,3
s073,4,3,5,5,6,4,3,4,5,3,5,5
s315,3,4,4,3,4,4,2,2,4,2,4,4
s188,1,5,5,2,5,4,4,4,6,4,5,3
s241,5,6,3,4,4,7,3,4,4,5,4,5
s326,2,4,4,4,4,5,6,5,1,4,2,3
s213,3,5,3,5,3,5,NA,5,3,6,2,2
s196,5,2,5,2,4,2,6,4,5,4,5,2
s319,3,4,5,3,4,2,4,5,6,4,2,4
s286,5,4,4,4,3,4,6,3,3,4,2,3
s005,3,6,4,5,4,5,3,5,3,6,3,4
s128,4,4,2,4,3,4,5,3,2,5,3,5
s362,3,6,5,4,2,6,2,5,3,5,4,3
s313,4,4,7,4,5,3,4,4,3,4,4,4
s357,4,5,5,2,3,6,6,5,5,NA,2,4
s215,4,3,5,4,6,1,6,3,4,2,7,2
s304,3,6,3,6,2,5,5,5,4,3,4,6
s209,5,7,3,5,4,6,4,3,2,5,2,6
s136,5,3,4,3,6,4,7,NA,6,3,6,2
s102,4,6,4,5,5,4,7,3,2,3,2,6
s074,3,6,6,4,5,2,4,4,4,3,6,2
s042,6,4,5,3,4,5,4,6,4,5,4,3
s359,3,7,4,5,2,3,6,4,5,6,4,5
s246,5,5,5,4,4,4,5,3,5,4,3,3
s077,3,6,4,3,5,4,3,3,3,NA,3,4
s290,2,4,3,4,5,5,6,4,3,6,4,3
s038,5,4,3,3,3,4,2,4,3,5,4,4
s118,5,3,3,5,2,3,4,7,4,NA,3,4
s198,4,2,6,1,5,3,5,4,6,1,6,2
s178,5,5,4,3,4,5,4,3,4,2,2,2
s090,4,6,3,4,4,5,6,4,4,4,4,5
s131,5,3,4,4,5,5,4,2,6,4,3,3
s164,3,4,4,4,4,5,5,3,5,3,3,2
s208,3,6,4,4,3,4,4,2,4,5,4,5
s360,4,5,4,3,4,3,5,3,5,4,5,4
s325,2,5,2,5,4,6,5,7,2,4,5,5
s117,2,4,4,6,6,4,3,4,4,4,4,3
s045,3,7,4,3,4,5,6,2,4,6,4,4
s259,5,6,4,2,5,6,6,3,3,4,3,4
s059,3,6,2,5,1,5,5,3,3,6,3,5
s105,4,7,4,5,1,2,5,4,4,5,2,4
s361,3,7,2,6,3,5,2,4,2,7,2,4
s175,NA,4,3,6,3,4,6,4,5,6,4,4
s132,2,4,4,4,5,4,5,4,4,5,2,4
s214,4,5,4,5,2,3,5,4,5,5,3,4
s284,3,5,4,4,3,4,5,4,5,5,4,3
s044,3,5,2,4,5,4,5,4,4,3,3,2
s144,4,6,2,5,3,5,4,3,4,7,3,4
s004,6,3,4,3,7,3,7,2,4,4,3,5
s289,6,4,6,3,5,3,4,1,4,4,5,1
s066,4,4,4,5,3,5,4,1,4,3,4,3
s200,4,7,3,3,4,7,4,5,3,6,3,6
s149,5,3,7,2,5,4,7,1,5,3,2,5
s020,4,3,2,4,4,3,4,3,4,4,4,3
s287,3,6,4,6,2,4,3,5,2,5,4,4
s099,4,5,4,5,3,5,5,5,4,4,3,5
s229,4,6,2,5,3,4,6,4,3,5,3,4
s035,3,4,4,5,2,6,4,5,3,3,4,3
s311,4,6,5,4,4,5,6,2,4,6,4,6
s283,3,5,4,6,1,5,3,7,1,6,1,4
s228,4,3,4,1,7,4,7,2,7,3,6,3
s103,5,3,4,5,5,4,5,3,4,5,3,4
s339,5,5,6,3,6,4,5,4,5,4,3,4
s037,4,5,4,5,5,5,6,5,3,6,4,4
s032,5,5,6,3,6,3,4,5,4,4,2,4
s097,7,5,4,3,7,3,5,4,5,3,6,3
s156,4,2,4,2,5,5,6,3,4,3,4,4
s129,4,7,4,5,6,6,3,3,3,5,4,6
s031,4,7,6,4,3,4,4,5,3,7,6,4
s147,1,7,2,4,2,7,1,7,2,6,1,6
s212,6,3,5,4,2,4,4,3,6,4,5,5
s051,3,6,6,4,4,4,5,4,3,3,4,6
s237,3,7,5,3,4,4,5,4,2,5,3,5
s195,2,5,3,3,4,5,3,4,2,5,4,3
s342,4,4,5,2,3,3,6,2,3,4,7,3
s264,4,4,4,2,4,1,7,2,5,4,7,1
s232,2,6,4,6,2,4,4,3,4,5,3,3
s155,4,6,4,4,3,6,4,4,5,5,4,5
s018,4,4,2,2,6,2,5,4,6,NA,4,4
s137,1,6,3,4,3,2,4,3,3,6,3,3
s321,6,3,5,2,6,2,7,2,5,3,3,2
s106,4,5,6,5,4,6,4,4,2,3,1,4
s281,4,4,2,3,3,4,7,6,3,5,4,4
s165,3,5,4,4,2,5,5,4,3,4,6,4
s039,2,4,3,4,5,3,3,4,3,4,3,4
s333,2,6,1,6,1,3,2,4,4,4,2,6
s184,2,4,2,5,4,5,6,5,5,4,3,5
s301,4,4,5,5,5,3,4,2,4,4,3,4
s116,4,5,5,5,3,4,4,3,4,4,3,4
s181,1,5,3,1,7,4,4,4,4,3,5,4
s263,4,5,4,4,4,4,4,4,7,3,6,2
s125,7,5,4,5,5,3,4,4,5,3,3,4
s003,4,4,1,4,5,4,3,4,4,5,2,6
s036,2,4,3,4,5,4,5,3,5,4,2,3
s252,3,3,2,5,4,7,5,6,3,5,3,6
s187,3,5,6,4,3,5,5,3,2,6,5,4
s087,3,6,4,4,4,4,4,6,5,4,3,6
s206,3,3,5,3,6,3,7,3,5,2,3,4
s199,3,6,5,4,3,4,3,5,2,4,6,4
s140,4,7,5,4,4,3,3,4,2,4,1,4
s267,5,7,3,4,3,2,5,4,3,5,1,4
s019,4,3,6,5,3,4,5,4,NA,4,3,4
s179,3,3,3,5,1,5,5,3,3,5,5,6
s172,2,5,4,1,4,4,6,5,4,4,4,4
s300,3,6,5,1,2,5,5,4,4,4,2,4
s327,5,3,4,2,5,6,5,4,4,3,4,3
s297,6,4,6,3,6,1,7,3,6,2,5,3
s160,5,5,7,1,6,2,4,NA,4,5,7,4
s067,3,6,5,3,4,4,4,4,2,3,4,4
s159,2,4,2,4,2,NA,6,6,1,4,2,4
s363,4,3,5,7,2,3,3,3,2,4,6,4
s305,3,5,4,4,6,6,2,4,5,5,3,5
s016,4,3,3,3,4,4,4,3,6,5,2,4
s098,3,3,3,5,4,3,2,5,5,4,4,4
s141,2,4,4,5,5,5,6,6,5,7,4,5
s223,3,NA,4,4,3,5,5,4,3,3,5,5
s041,5,2,5,4,5,4,3,5,3,4,5,4
s306,4,4,4,4,4,3,5,3,3,4,6,5
s083,3,4,2,6,1,5,4,5,4,4,4,4
s150,5,4,7,5,4,3,7,4,5,6,4,3
