subj_id,F-q01,R-q02,F-q03,R-q04,F-q05,R-q06,F-q07,R-q08,F-q09,R-q10,F-q11
s255,3,3,3,2,4,6,4,5,6,4,5
s165,2,4,3,5,4,4,7,5,7,4,3
s358,4,3,4,4,NA,5,5,3,5,4,3
s133,1,5,3,4,2,4,3,6,4,4,2
s081,2,5,3,3,5,5,4,4,3,5,2
s301,3,3,3,4,3,2,4,4,4,5,6
s156,5,5,5,2,4,3,4,3,4,4,5
s077,4,4,3,4,4,5,4,3,3,4,5
s058,1,7,2,5,1,7,4,7,3,6,2
s032,4,3,7,3,3,3,7,4,6,2,5
s328,2,5,3,4,1,4,2,5,5,4,4
s120,5,5,3,4,3,3,4,2,5,5,3
s073,4,1,7,3,3,3,3,3,6,3,7
s349,3,5,5,2,1,4,2,7,4,4,3
s346,1,5,4,3,3,4,4,4,7,4,5
s139,2,5,3,4,3,4,4,5,2,4,2
s057,5,3,5,4,3,7,6,1,7,2,6
s059,3,6,2,3,1,5,4,4,5,4,3
s093,5,2,4,2,2,4,4,2,5,3,7
s118,4,3,4,3,2,4,4,4,5,2,4
s214,3,5,4,4,4,2,4,5,6,4,4
s134,1,6,2,7,2,6,2,6,2,7,2
s069,4,3,1,4,3,3,4,5,2,3,3
s343,3,4,2,4,5,5,3,5,4,2,5
s234,4,7,4,4,4,6,4,5,5,5,4
s285,2,4,3,3,5,6,5,3,5,3,6
s205,1,4,3,4,2,3,3,5,4,5,4
s003,6,4,4,3,5,4,5,4,4,5,4
s265,2,7,2,6,1,5,3,7,4,5,3
s099,5,5,5,1,6,4,6,3,4,5,6
s071,4,4,4,3,2,3,7,6,4,7,5
s220,2,4,3,4,4,6,3,5,4,6,4
s049,NA,5,3,3,5,6,4,4,4,4,4
s283,4,4,6,5,4,5,3,4,4,5,3
s254,5,4,4,5,2,2,6,1,5,2,5
s224,4,3,4,5,2,3,5,5,2,4,3
s072,2,3,4,2,3,5,4,3,3,5,4
s042,4,6,4,5,4,5,3,5,4,7,5
s280,2,4,2,3,5,3,3,4,3,6,6
s339,4,5,4,3,4,4,3,5,3,6,7
s307,3,4,5,4,3,4,5,4,5,5,3
s171,4,4,1,4,6,3,7,5,6,3,5
s119,3,1,5,1,3,1,5,3,7,2,4
s008,4,3,7,4,4,3,7,4,6,3,6
s211,4,3,4,2,6,2,7,4,7,2,7
s297,5,2,4,5,5,3,5,4,5,3,6
s347,4,5,6,3,2,3,4,4,5,4,3
s076,4,3,5,3,6,4,7,2,4,4,5
s117,3,7,4,6,4,6,3,6,4,7,4
s315,5,2,7,2,6,2,4,2,6,3,7
s279,5,3,7,2,5,2,7,3,6,1,7
s136,4,4,7,2,4,3,4,4,4,4,5
s015,5,4,4,3,4,5,4,2,6,3,5
s248,3,4,6,3,5,3,6,6,5,3,4
s355,4,4,4,4,5,5,5,4,5,4,6
s300,4,3,6,3,4,4,6,4,4,3,6
s327,5,3,4,4,3,5,5,4,5,5,7
s247,3,4,3,4,5,2,6,3,7,3,5
s183,6,4,6,1,5,1,5,4,7,1,7
s067,2,4,1,5,4,4,4,6,5,5,6
s210,3,3,5,4,3,3,6,3,4,4,5
s150,2,5,4,6,3,4,3,4,3,6,1
s345,5,2,4,3,4,4,5,3,7,3,6
s308,6,3,5,3,4,4,5,3,6,4,5
s064,5,4,2,4,2,6,4,4,2,4,3
s005,3,5,4,4,4,3,7,3,2,4,3
s025,6,4,5,5,6,5,6,3,5,5,7
s084,1,6,2,6,1,7,2,7,3,6,2
s131,1,1,4,5,3,4,3,6,4,6,5
s296,3,5,1,7,2,6,4,7,4,6,2
s354,3,4,4,2,3,5,4,3,5,3,6
s135,5,3,3,2,3,NA,6,4,2,5,4
s262,4,7,5,5,4,6,4,5,4,4,4
s091,2,5,3,4,1,5,4,4,7,6,1
s337,4,4,2,3,3,5,7,5,4,4,3
s123,3,3,4,1,3,2,7,3,5,3,6
s160,4,3,2,5,3,4,2,6,4,7,4
s313,6,5,3,3,3,4,6,6,4,6,7
s341,2,5,3,4,3,5,4,5,6,3,5
s274,4,4,5,2,5,3,4,4,7,5,5
s228,5,3,7,2,4,3,6,3,5,3,5
s022,3,6,4,5,7,4,4,6,3,6,3
s007,4,3,2,3,3,6,3,7,5,5,4
s001,4,4,4,5,5,4,5,1,5,4,4
s196,4,3,4,4,4,4,5,4,2,6,5
s326,3,5,3,5,2,4,5,3,2,3,3
s282,5,4,5,4,5,2,5,2,3,5,5
s079,1,4,4,5,4,6,4,6,3,4,2
s322,4,3,4,4,4,5,5,2,4,4,3
s261,5,3,4,3,5,4,6,2,5,NA,6
s298,4,4,3,4,2,3,4,4,4,5,4
s352,2,NA,4,4,2,7,5,3,4,2,2
s066,5,5,5,1,4,4,3,5,7,5,6
s319,2,5,5,4,2,4,4,4,2,5,6
s149,5,4,2,2,4,4,5,6,5,2,6
s197,3,4,5,3,1,4,3,5,5,4,5
s056,4,4,4,3,2,6,4,4,3,4,2
s244,4,5,5,3,6,2,4,4,5,4,4
s035,3,6,6,3,3,2,4,4,5,3,4
s041,1,4,6,4,4,3,4,4,7,4,7
s186,2,3,6,4,3,4,3,5,3,4,7
s094,4,6,2,3,3,4,5,3,4,3,7
s050,3,6,5,3,3,4,5,2,6,1,6
s323,4,4,6,3,4,3,5,3,4,4,5
s273,2,5,4,4,2,5,5,4,4,3,4
s334,3,3,5,4,4,3,5,4,5,2,4
s287,7,1,7,2,7,1,7,1,7,3,6
s152,2,3,1,4,5,2,5,3,4,4,5
s011,3,7,3,3,2,6,3,6,1,7,7
s338,4,4,4,2,3,5,3,7,4,4,3
s142,2,3,3,4,2,4,5,4,3,5,4
s024,2,7,1,6,1,5,4,5,2,6,4
s213,3,2,6,3,3,2,4,4,4,4,5
s159,4,5,4,4,4,3,7,4,5,4,5
s189,3,5,4,4,2,3,4,5,3,5,3
s164,4,3,3,5,3,4,4,4,3,4,6
s161,2,4,4,2,NA,3,5,3,4,2,5
s179,4,4,6,1,4,2,6,3,5,1,4
s320,3,6,4,4,2,NA,4,2,5,2,7
s052,4,4,6,3,3,5,6,4,7,2,5
s018,3,3,4,7,5,4,6,3,4,3,4
s306,3,3,4,1,4,2,5,4,5,3,5
s365,3,4,3,5,4,4,4,5,3,7,5
s185,4,3,4,2,3,4,6,4,6,3,5
s040,4,2,4,4,2,4,5,5,4,4,5
s193,2,5,5,5,3,4,3,4,5,3,4
s176,7,3,6,4,5,3,7,4,7,2,4
s194,3,4,4,3,4,5,4,4,6,3,4
s043,2,3,5,2,2,3,5,4,5,4,7
s140,3,5,4,4,4,4,3,4,4,4,3
s350,3,6,4,1,5,3,4,4,6,4,4
s023,4,3,6,1,5,2,7,3,6,2,5
s206,4,2,2,2,5,4,6,3,4,6,4
s239,4,4,5,4,5,5,4,3,7,3,3
s157,5,3,5,4,3,4,6,4,3,3,5
s360,1,4,4,7,1,7,3,4,3,6,6
s303,4,3,4,4,3,3,7,2,6,4,5
s063,5,3,5,1,3,4,6,4,4,4,3
s203,2,4,4,4,4,4,5,3,5,3,5
s098,3,5,4,1,3,5,3,5,4,4,3
s201,4,3,6,2,3,1,5,1,5,4,4
s233,5,3,5,4,1,4,4,4,5,4,3
s223,4,NA,2,4,2,4,4,4,5,6,4
s325,3,2,5,4,5,2,6,4,5,3,7
s105,2,6,5,4,3,7,4,5,3,4,4
s027,3,3,6,3,4,4,7,5,NA,3,3
s031,3,5,3,3,2,4,3,7,4,4,4
s217,4,4,3,3,4,2,5,5,5,7,5
s158,4,5,4,3,5,4,6,2,6,5,6
s137,3,4,4,1,2,4,4,5,3,5,7
s162,5,3,5,3,3,2,5,4,6,5,3
s191,1,7,4,6,3,6,5,6,2,4,2
s036,6,3,7,3,5,2,7,4,5,3,5
s020,3,4,6,3,4,3,7,3,7,3,7
s260,2,6,2,7,3,5,6,4,NA,7,4
s122,3,3,3,4,3,3,6,4,4,5,4
s284,4,4,2,4,6,5,4,7,3,4,2
s053,4,5,4,7,1,4,5,3,4,6,2
s004,4,5,3,2,4,4,6,3,3,4,5
s083,4,5,5,4,1,6,4,6,4,5,6
s060,1,7,2,7,1,5,1,4,3,7,1
s129,4,5,4,4,3,4,4,4,7,2,7
s103,2,3,3,4,3,3,5,5,5,4,4
s141,2,7,4,4,1,7,4,7,3,5,1
s294,4,4,3,4,3,4,4,5,NA,3,5
s034,3,5,5,5,3,5,4,4,3,5,7
s143,2,3,4,3,7,2,7,3,7,2,4
s051,6,7,3,5,3,5,3,7,6,5,7
s256,5,5,4,2,2,6,5,2,4,5,5
s111,1,4,3,3,4,7,5,5,4,4,4
s249,1,5,1,4,2,4,4,5,4,6,4
s209,5,4,4,2,4,4,4,3,3,6,5
s295,5,2,4,3,1,5,6,5,5,4,5
s009,5,3,7,2,6,3,5,3,7,3,5
s062,1,5,3,5,3,6,2,4,4,7,1
s095,1,5,4,6,3,6,4,4,2,7,3
s074,5,5,3,3,4,6,4,4,3,4,4
s226,4,4,4,2,4,NA,6,4,4,5,7
s357,3,7,2,5,2,5,2,5,3,6,4
s144,4,3,3,3,4,3,5,1,6,6,4
s101,6,NA,7,1,6,3,7,2,6,2,6
s359,3,4,4,2,3,5,4,6,5,4,5
s229,5,5,4,3,4,4,2,3,5,5,6
s033,6,4,5,2,5,2,5,4,5,3,7
s002,3,2,5,4,5,4,6,2,4,4,6
s045,3,5,5,4,3,7,6,5,4,4,5
s202,1,7,1,4,2,5,4,5,5,5,4
s012,3,7,4,5,5,5,4,4,3,4,6
s065,1,4,5,5,2,4,5,4,2,7,3
s253,3,6,4,7,1,2,3,3,4,5,2
s108,1,4,5,3,2,4,7,3,4,4,2
s030,4,5,3,5,3,4,2,6,3,6,5
s332,1,6,2,5,1,7,3,5,1,7,4
s312,4,6,5,3,3,4,5,4,7,4,6
s363,2,7,5,4,5,3,3,4,3,6,4
s356,1,5,4,4,3,6,4,5,4,5,5
s212,1,1,4,2,4,3,4,5,3,4,6
s090,2,4,4,4,3,6,4,5,4,5,5
s215,5,4,5,2,4,2,7,3,6,3,4
s068,4,3,3,4,2,5,7,5,4,7,4
s293,1,3,4,5,4,4,4,5,1,3,6
s258,1,4,5,3,4,7,5,4,5,6,3
s192,NA,6,3,4,4,5,2,5,3,4,3
s195,1,6,3,6,3,5,2,6,3,5,4
s184,3,3,4,4,3,4,5,5,4,4,1
s269,6,2,6,2,4,4,6,5,6,7,2
s241,7,2,5,2,2,3,6,4,4,4,5
s013,2,5,5,3,2,5,5,4,2,7,4
s276,3,3,4,6,1,3,3,1,3,5,5
s299,6,3,6,2,5,3,3,4,5,2,6
s145,2,4,7,3,3,2,5,NA,5,5,4
s132,3,4,4,3,1,7,5,3,4,4,3
s342,1,2,5,6,3,4,3,4,6,3,4
s178,1,4,3,2,1,3,4,3,4,4,4
s039,6,4,7,3,6,1,7,4,6,1,5
s221,4,2,5,3,5,1,5,4,4,3,5
s097,2,5,2,5,2,4,4,6,3,4,3
s243,4,4,4,5,3,2,5,7,2,5,4
s264,3,5,3,2,4,4,3,6,4,5,2
s010,7,3,6,3,5,1,6,2,5,4,7
s361,2,4,2,5,4,7,2,4,5,5,1
s006,3,5,5,1,3,3,5,4,5,5,3
s309,5,1,5,3,4,1,7,1,4,3,6
s166,3,2,4,4,4,4,5,4,2,2,5
s154,5,4,5,3,5,4,7,4,4,3,7
s128,2,4,2,5,3,6,4,4,5,3,4
s107,6,3,4,4,2,5,7,6,3,3,6
s263,2,5,2,7,3,5,3,7,4,5,1
s088,2,5,7,3,5,4,6,3,6,3,3
s092,1,3,4,5,3,5,5,5,5,4,6
s086,3,3,2,4,3,3,5,5,4,4,6
s329,2,4,3,3,1,4,5,6,6,4,4
s242,1,3,3,5,5,4,5,2,3,1,4
s046,3,3,3,5,4,6,4,2,5,NA,5
s251,5,4,3,2,2,5,4,5,6,4,3
s089,3,6,5,5,3,4,5,2,5,3,4
s266,3,2,4,3,5,5,5,2,5,4,6
s038,4,5,4,3,2,4,6,2,6,2,4
s277,3,1,4,3,4,4,6,2,5,3,4
s302,3,3,2,4,2,4,4,4,3,3,5
s237,4,4,4,5,3,4,5,5,4,4,4
s110,4,4,5,4,5,5,4,6,6,4,5
s232,5,3,3,NA,5,5,6,2,4,4,3
s218,3,4,6,3,4,3,5,2,4,4,4
s177,2,4,7,2,5,4,6,4,5,4,3
s126,6,2,6,3,4,3,5,3,4,2,5
s096,1,4,4,4,2,5,5,6,4,5,2
s047,3,4,5,4,3,2,7,4,5,5,6
s231,2,5,2,6,3,5,4,7,2,6,2
s028,2,5,5,6,3,6,4,5,3,4,2
s236,4,3,5,3,3,3,7,3,5,3,6
s278,2,6,4,4,1,4,4,5,4,4,5
s181,2,5,3,5,4,5,4,4,5,4,2
s114,3,4,4,2,2,4,1,4,4,4,4
s106,1,6,4,4,1,3,3,5,3,5,2
s335,3,6,3,4,3,6,5,5,4,4,5
s173,5,4,5,5,3,2,2,5,5,4,6
s235,2,5,4,5,4,3,6,4,3,5,3
s259,3,7,5,3,1,6,2,5,1,7,2
s230,3,3,7,5,4,6,4,5,3,6,5
s080,1,6,4,5,2,3,4,3,3,6,3
s321,3,5,3,5,3,4,3,3,3,4,4
s304,4,4,4,4,2,7,5,5,5,6,4
s351,2,4,4,5,4,6,3,6,2,6,4
s044,3,3,3,2,6,5,6,6,7,4,4
s353,4,3,4,2,4,3,4,3,7,3,5
s311,4,6,1,4,1,6,3,4,3,5,2
s198,6,3,5,4,5,3,6,3,3,1,6
s169,3,3,3,7,4,4,3,5,4,3,3
s121,3,5,4,5,1,5,4,3,5,5,5
s362,5,1,5,3,6,2,7,3,7,2,6
s318,4,3,5,1,2,4,5,5,5,4,6
s167,3,5,5,3,4,5,4,4,4,4,4
s102,2,4,2,4,5,4,4,2,2,4,6
s199,3,5,2,4,4,4,4,4,3,5,3
s017,4,5,2,4,1,5,1,2,3,6,3
s275,4,4,4,3,3,4,5,4,5,4,6
