subj_id,q1_F,q2_R,q3_F,q4_R,q5_F
s178,3,5,4,6,2
s287,5,4,4,4,3
s277,3,5,4,6,3
s266,4,4,4,5,6
s244,6,5,6,4,6
s085,3,5,2,3,2
s238,6,2,3,3,3
s123,5,3,5,3,6
s254,7,4,4,3,5
s160,4,6,3,5,1
s186,4,6,3,3,5
s268,5,4,4,4,3
s052,7,1,6,3,6
s294,2,7,2,5,1
s331,4,2,6,2,6
s228,4,5,7,3,3
s333,5,3,2,5,4
s198,5,4,4,3,4
s054,5,3,5,4,3
s153,5,2,7,3,3
s156,4,4,6,5,3
s091,4,5,4,7,1
s205,4,4,5,NA,4
s242,6,2,4,4,4
s119,3,3,4,5,3
s332,5,6,4,4,4
s225,6,3,4,1,3
s135,4,5,4,7,1
s026,2,6,5,2,4
s114,4,4,6,2,4
s249,5,4,4,4,3
s065,3,5,4,5,5
s125,4,5,5,5,4
s163,4,4,3,3,5
s080,4,5,3,2,4
s018,6,2,7,7,7
s106,5,5,3,4,1
s094,3,7,5,4,3
s310,5,3,1,4,6
s290,2,7,4,6,4
s169,5,4,3,5,2
s090,3,5,5,4,3
s033,5,4,6,4,5
s108,5,4,3,5,1
s121,5,2,3,5,4
s128,4,2,5,2,3
s062,6,5,5,4,6
s142,7,1,4,4,4
s306,4,5,5,3,7
s175,3,6,2,6,2
s048,3,7,4,7,3
s159,5,5,6,4,4
s124,6,5,6,6,3
s284,3,4,6,4,4
s126,1,6,3,6,2
s193,3,4,4,5,4
s252,4,3,2,5,3
s038,6,4,5,4,4
s316,7,1,6,1,7
s247,5,4,6,4,4
s281,7,4,5,3,5
s273,5,6,4,7,4
s034,5,5,5,2,4
s109,3,3,5,6,3
s312,5,5,4,4,3
s078,6,5,5,5,5
s002,4,3,6,4,7
s182,7,3,7,1,4
s251,5,4,4,7,3
s046,6,5,4,4,4
s150,2,6,4,5,1
s234,4,6,3,4,4
s192,4,3,4,4,5
s045,6,2,4,5,5
s036,5,5,3,4,4
s148,3,5,4,6,4
s194,6,4,7,2,6
s321,5,4,5,5,3
s260,4,4,6,5,4
s154,3,6,4,4,3
s099,4,5,4,4,4
s197,2,4,2,6,3
s152,4,4,5,4,5
s220,6,6,6,4,6
s305,3,4,3,4,3
s201,4,5,6,7,1
s055,5,2,5,4,3
s118,5,6,3,5,4
s179,3,3,2,7,3
s007,4,5,6,5,7
s203,7,1,4,2,5
s196,3,3,6,4,3
s328,4,3,4,5,4
s113,3,4,5,3,3
s133,6,2,3,2,5
s325,5,4,7,4,4
s061,3,4,5,4,5
s129,5,3,3,3,3
s104,2,3,2,5,2
s022,5,5,4,5,2
s172,4,4,6,4,3
s029,2,4,4,5,2
s138,6,2,7,3,7
s301,4,3,6,6,5
s191,5,4,4,6,2
s167,2,5,4,7,1
s143,4,5,4,5,NA
s057,3,3,2,5,3
s303,4,5,7,3,1
s209,3,6,1,5,2
s265,4,3,4,6,4
s117,5,4,4,3,7
s329,6,3,5,6,4
s276,5,6,4,5,3
s134,3,2,5,5,3
s302,2,4,4,7,2
s075,1,5,4,5,4
s089,4,4,4,4,4
s157,5,5,3,4,5
s132,3,4,5,4,2
s269,4,3,5,5,3
s221,5,4,3,3,4
s164,6,4,4,5,6
s145,2,5,5,4,3
s122,1,5,2,7,NA
s338,6,3,5,4,5
s336,4,3,7,3,6
s330,5,1,6,3,5
s140,4,3,4,3,5
s120,4,5,3,4,4
s322,4,3,6,3,4
s131,1,4,4,6,2
s162,6,3,5,4,4
s262,5,4,4,3,5
s341,6,3,4,3,4
s088,1,5,2,7,2
s071,5,3,6,4,4
s204,4,6,4,2,3
s318,2,5,3,5,4
s327,3,7,5,7,3
s214,7,3,7,4,7
s116,4,5,3,5,1
s016,3,6,6,5,3
s311,3,2,5,5,6
s298,4,5,3,7,4
s102,5,3,3,2,6
s063,2,4,4,4,6
s151,4,5,4,5,1
s115,4,4,7,6,2
s297,4,7,1,4,2
s105,4,4,4,4,4
s141,2,5,5,4,3
s170,4,4,2,6,3
s060,6,4,5,5,3
s243,6,2,4,6,3
s337,5,2,3,5,4
s300,3,6,1,6,3
s070,7,4,5,3,4
s224,6,4,4,4,2
s308,2,3,3,5,3
s101,4,4,4,4,3
s024,4,5,4,5,5
s181,4,4,4,4,3
s236,5,2,5,3,5
s291,4,5,2,4,3
s239,6,4,3,4,3
s144,5,1,4,2,4
s263,4,4,4,6,2
s053,4,5,3,4,5
s097,5,5,3,6,4
s335,4,2,6,4,6
s261,5,2,3,4,4
s021,2,3,4,5,5
s041,5,4,4,7,4
s027,2,3,4,5,2
s210,6,3,7,3,5
s074,4,2,4,4,4
s019,NA,4,3,5,3
s059,3,4,1,6,4
s259,5,4,4,4,4
s146,7,3,5,3,5
s035,5,4,5,4,3
s166,5,1,5,4,4
s267,2,3,6,2,4
s223,7,NA,3,4,5
s147,1,4,4,6,1
s187,3,3,4,4,1
s190,4,5,3,5,2
s199,6,5,4,5,5
s230,6,3,5,3,4
s258,6,2,7,4,3
s009,2,5,5,4,3
s082,6,4,6,3,NA
s093,6,3,7,4,7
s229,3,7,3,4,3
s137,4,1,5,1,5
s320,6,4,5,5,7
s020,4,5,4,4,3
s207,5,1,5,3,5
s076,4,3,5,4,4
s107,4,3,7,3,2
s275,1,4,4,5,1
s245,4,6,4,2,5
s271,5,4,4,3,3
s073,2,5,4,NA,7
s237,6,4,6,4,5
s103,4,6,4,3,2
s202,3,6,5,4,3
s039,2,6,4,7,2
s188,5,3,5,2,6
s292,1,3,7,4,4
s177,5,4,4,4,6
s176,4,5,2,3,1
s324,2,5,2,5,2
s189,2,5,5,4,4
s246,6,3,7,2,6
s043,3,4,4,5,3
s011,7,3,7,4,7
s315,3,4,4,6,2
s032,4,3,4,4,4
s049,5,3,4,6,3
s100,7,1,6,4,4
s110,4,3,4,3,4
s279,6,1,7,3,5
s149,4,3,6,5,1
s272,3,4,6,3,3
s296,4,6,6,6,4
s253,3,5,4,5,3
s087,4,2,6,3,5
s112,2,4,4,5,4
s240,4,5,2,7,3
s165,7,3,6,3,4
s098,2,2,5,6,7
s218,4,5,4,2,5
s069,4,5,5,7,3
s226,3,6,2,4,4
s274,5,5,2,4,5
s286,5,5,5,5,4
s064,4,3,5,2,2
s006,3,5,2,7,3
s136,2,4,5,6,5
s180,4,5,4,4,3
s212,3,7,4,5,4
s213,3,4,4,4,4
s001,4,1,6,3,4
s083,5,3,7,3,4
s241,2,3,4,5,2
s040,1,5,5,6,NA
s317,3,2,4,4,4
