subj_id,F q01,R q02,F q03,R q04,F q05,R q06,F q07,R q08,F q09,R q10,F q11,R q12
s213,5,NA,4,2,4,4,2,4,3,3,4,6
s121,4,6,4,4,NA,4,6,4,4,1,6,5
s194,4,2,3,2,2,3,4,3,3,1,5,4
s148,4,3,2,3,3,5,2,5,3,5,3,3
s122,3,5,3,3,3,3,5,3,4,3,7,5
s020,4,4,5,3,4,4,3,4,3,5,7,4
s104,4,5,3,4,3,5,2,6,3,4,2,3
s048,5,2,4,1,4,3,4,1,4,3,6,4
s062,3,7,3,3,3,5,3,4,4,4,6,4
s204,5,3,7,2,5,4,3,3,4,4,7,1
s069,4,2,4,3,3,4,5,4,5,3,7,2
s034,2,4,3,1,4,1,3,4,3,2,3,4
s107,3,3,6,4,3,4,4,4,2,2,5,3
s270,6,2,4,3,4,3,6,1,4,2,5,1
s284,2,7,4,7,1,5,1,7,1,4,3,5
s165,4,3,4,1,2,3,2,6,NA,3,4,5
s108,3,5,5,5,6,2,3,4,2,1,5,4
s195,6,3,4,3,3,5,4,3,4,3,3,1
s145,7,4,3,4,4,3,3,4,5,2,4,4
s203,4,3,5,3,5,1,3,1,5,1,6,1
s271,4,4,4,3,4,4,1,4,5,4,4,2
s171,7,5,5,4,4,4,3,4,5,3,6,4
s248,4,7,2,6,4,3,4,4,2,3,4,4
s072,3,5,3,2,3,6,2,2,3,2,3,2
s316,4,7,5,4,4,5,2,1,5,4,2,4
s231,7,6,2,3,5,2,1,5,4,4,5,5
s180,3,2,4,4,2,2,4,5,5,4,1,3
s157,4,6,2,6,2,5,2,7,4,3,5,2
s017,5,5,4,2,2,3,2,3,5,3,7,1
s199,4,5,2,4,3,4,2,6,3,5,4,4
s187,2,5,4,3,2,2,6,3,4,2,6,2
s163,4,6,4,6,2,4,2,2,4,2,5,4
s003,7,4,6,1,5,3,6,2,5,1,6,2
s174,7,3,4,2,7,1,6,4,6,1,4,4
s281,6,1,7,2,4,2,5,2,5,2,7,2
s125,6,1,4,3,4,1,3,4,6,3,4,1
s215,6,3,4,3,2,4,3,5,1,1,2,4
s212,1,6,3,5,3,6,2,4,3,4,3,5
s049,5,3,5,4,6,2,3,6,3,5,4,4
s050,2,3,3,6,2,1,3,5,1,4,3,4
s007,5,5,7,2,6,2,4,1,3,3,6,1
s208,5,5,1,3,3,4,3,3,2,3,4,3
s251,4,7,4,4,4,3,4,6,3,3,6,3
s128,4,5,4,6,3,4,3,4,3,3,6,5
s328,2,6,2,5,4,7,1,5,3,4,3,5
s137,4,6,3,5,4,4,1,3,4,4,3,3
s192,3,3,3,3,4,5,4,1,2,3,4,4
s305,2,5,4,3,4,3,5,1,5,2,5,3
s188,5,5,5,4,3,3,4,5,6,3,2,4
s314,6,4,5,4,6,3,7,3,5,5,6,4
s235,4,5,5,5,4,5,2,5,3,2,5,5
s057,4,5,4,4,4,4,2,6,4,3,4,4
s182,3,4,4,3,7,2,4,3,3,1,6,5
s055,3,4,4,4,4,5,1,3,4,1,5,1
s151,4,5,3,3,4,4,3,4,5,3,6,4
s287,2,6,1,6,3,4,2,5,2,4,2,7
s181,6,6,3,1,6,6,3,4,5,3,5,4
s329,4,5,1,4,1,7,1,5,1,4,3,3
s089,5,5,1,4,3,6,2,5,2,5,5,2
s261,5,5,5,2,5,4,5,2,3,5,5,3
s026,4,4,3,4,5,5,2,4,3,4,5,3
s184,4,2,4,3,2,3,3,4,2,3,5,6
s085,4,6,4,5,1,5,2,5,4,3,3,5
s285,3,NA,4,4,4,4,4,6,2,2,7,4
s115,5,4,5,3,4,4,3,3,3,3,6,1
s179,4,2,4,3,3,5,2,2,1,3,6,3
s066,3,4,5,2,2,2,6,5,4,2,4,5
s047,5,6,3,4,3,6,1,4,2,4,5,5
s051,4,3,3,1,4,2,4,3,4,3,4,4
s101,7,2,4,3,4,5,4,4,5,3,5,2
s294,6,3,2,2,2,3,6,5,5,3,5,2
s323,5,4,5,3,5,1,4,2,4,1,5,2
s005,4,4,5,3,3,2,4,3,4,4,6,3
s216,4,7,3,5,4,4,3,2,4,3,5,7
s245,5,4,3,3,2,2,4,4,4,5,2,4
s306,5,6,4,4,3,3,4,4,3,4,4,3
s205,4,4,4,2,4,3,2,2,5,4,7,3
s326,4,5,4,2,2,2,3,2,3,2,4,3
s190,5,4,4,4,5,2,4,4,5,3,6,5
s263,5,6,2,3,4,5,1,5,4,2,4,5
s295,4,6,4,5,3,2,3,6,2,4,4,4
s132,5,5,4,3,3,5,4,2,4,4,5,3
s152,4,6,1,6,2,4,3,5,4,6,1,3
s099,3,5,2,3,7,4,2,4,5,5,6,4
s315,2,5,4,5,2,5,3,5,4,5,5,4
s229,4,3,4,2,2,3,3,4,6,3,4,6
s170,3,7,2,7,2,4,2,4,3,4,2,4
s081,4,6,7,3,4,3,4,4,5,1,4,3
s300,6,1,5,3,5,4,4,3,5,1,5,3
s117,4,4,5,3,4,1,5,2,5,3,6,2
s252,2,5,3,5,1,6,1,6,3,6,5,5
s324,3,6,5,3,3,4,3,4,4,2,4,1
s046,5,5,4,2,6,3,2,3,5,4,4,4
s087,3,4,NA,4,5,3,4,3,3,5,4,4
s090,5,7,5,2,2,5,3,4,6,1,4,2
s143,1,4,1,4,3,4,2,7,4,4,3,5
s004,1,4,2,5,2,5,1,7,3,5,1,5
s265,2,6,3,5,2,2,1,3,2,4,2,6
s056,4,5,4,3,4,4,2,4,4,5,5,NA
s006,4,5,3,3,2,4,5,5,3,4,4,3
s142,1,7,1,5,3,5,3,4,2,5,5,4
s109,3,4,6,3,4,3,3,4,3,3,5,3
s011,3,6,2,6,3,4,2,6,2,4,4,5
s196,4,5,3,4,3,4,3,6,4,3,4,3
s133,2,7,3,5,2,5,3,6,1,3,4,3
s083,4,NA,1,3,3,4,2,5,3,2,5,2
s200,2,6,4,5,4,6,1,5,4,4,1,4
s310,6,2,4,1,4,5,3,3,4,1,6,3
s244,5,3,4,4,3,5,3,4,3,6,4,4
s230,5,3,4,3,4,2,1,3,5,2,5,2
s154,4,4,3,3,7,5,3,3,2,1,5,4
s139,3,6,4,4,3,4,5,5,2,3,4,7
s233,5,4,4,3,5,4,5,3,3,3,5,2
s227,4,5,3,4,4,5,4,4,1,3,4,4
s292,4,6,2,2,3,4,3,4,4,4,5,5
s185,5,3,6,4,4,4,4,4,4,4,5,4
s286,5,5,3,2,2,4,2,4,3,4,3,4
s258,4,7,6,3,3,2,3,5,4,4,4,4
s111,3,5,5,2,4,2,2,4,4,3,5,4
s262,5,3,4,3,5,3,5,4,5,3,6,3
s161,4,4,6,2,7,3,5,5,4,1,3,1
s063,5,2,4,3,5,4,3,5,6,1,4,4
s119,6,6,3,5,3,3,2,4,4,4,5,4
s045,5,4,5,3,2,4,3,4,4,4,7,5
s193,4,7,4,3,2,5,3,5,3,3,2,4
s001,5,4,5,3,6,2,2,4,3,4,3,3
s140,6,5,3,3,2,4,4,4,5,3,6,4
s279,5,5,6,4,5,3,5,4,5,1,5,4
s175,2,4,5,3,5,3,4,5,4,6,5,3
s210,3,7,3,5,2,5,4,3,3,6,4,5
s277,7,5,3,5,5,3,3,1,5,2,4,4
s211,5,4,5,5,5,4,4,2,4,1,3,2
s222,6,6,3,4,3,5,1,3,5,2,4,5
s136,6,2,4,1,4,4,6,3,7,4,7,1
s038,3,6,3,5,4,5,3,3,4,3,2,3
s027,3,7,3,4,4,4,2,3,4,3,4,3
s141,5,5,4,3,3,5,3,5,5,3,3,5
s255,2,6,4,3,3,4,6,4,3,4,3,6
s247,3,4,4,6,1,5,3,7,4,6,4,2
s327,3,4,4,3,6,4,3,4,4,3,3,4
s214,4,6,2,4,4,4,3,7,2,5,2,7
s311,4,6,1,1,1,4,4,4,3,4,5,5
s217,5,4,4,1,3,6,4,3,4,3,4,3
s296,4,7,4,4,4,4,3,4,3,1,3,3
s264,6,3,2,1,3,4,1,2,5,2,4,3
s130,5,4,5,4,5,3,3,4,6,2,6,4
s131,2,7,1,4,3,3,4,3,4,5,4,3
s028,2,7,2,5,1,5,3,4,2,3,3,5
s018,6,3,6,1,4,4,4,3,4,3,5,2
s301,4,6,2,5,3,4,2,5,1,5,2,6
s105,4,5,4,4,3,5,4,5,3,6,4,2
s060,1,5,2,4,3,6,3,7,1,6,3,4
s043,4,6,3,5,2,3,4,4,3,3,5,3
s191,4,4,4,4,3,4,5,3,4,2,3,6
s012,6,4,2,3,4,5,2,3,3,3,4,5
s312,4,4,3,4,3,3,3,5,3,4,2,6
s095,4,6,4,3,4,4,1,4,2,3,4,7
s313,3,4,5,2,4,3,5,5,3,4,5,4
s029,2,5,4,6,2,4,1,3,3,3,4,3
s293,6,3,4,2,6,2,5,4,6,1,6,3
s322,3,7,4,3,4,3,4,5,3,3,7,3
s278,4,6,4,2,4,2,4,3,4,4,5,2
s030,6,3,4,4,4,5,4,4,1,3,6,3
s009,2,4,1,3,4,3,3,3,5,5,5,6
s164,5,4,4,2,5,4,4,1,4,1,5,3
s016,2,4,4,3,2,2,3,5,5,1,5,3
s126,4,6,4,2,5,5,1,2,5,3,6,4
s260,6,4,1,3,3,2,4,4,5,2,5,3
s059,6,6,5,3,3,4,2,4,4,4,4,4
s135,4,6,4,3,4,4,3,3,3,4,5,1
s156,4,7,5,5,1,7,4,6,3,5,3,3
s224,5,7,1,4,3,3,1,5,1,3,4,3
s250,1,6,3,4,1,5,4,5,3,4,5,4
s149,4,5,5,5,4,5,3,5,2,4,4,3
s102,4,5,4,3,2,3,4,3,5,3,5,3
s052,3,7,1,4,2,6,1,5,1,7,1,7
s002,4,5,NA,3,3,5,3,3,4,4,5,3
s289,3,6,2,2,7,3,3,3,3,2,5,4
s183,4,5,5,2,2,7,2,4,3,3,5,7
s076,2,6,4,3,2,7,2,6,2,3,1,5
s272,5,3,5,3,4,2,5,2,3,2,5,1
s325,5,4,6,1,4,4,4,1,4,1,5,3
s097,6,4,4,4,5,3,4,3,3,2,4,3
s100,4,6,3,5,1,4,3,3,4,5,4,5
s223,7,4,4,4,5,1,4,5,2,3,4,4
s237,2,5,5,5,3,5,2,4,2,4,5,4
s039,5,4,4,2,5,4,4,3,5,5,2,4
s114,5,3,5,4,4,4,3,7,5,2,4,2
s021,4,3,4,4,4,3,4,4,4,4,4,4
s168,4,3,3,4,2,2,2,4,2,4,4,4
s218,6,4,4,4,6,3,2,6,4,4,5,4
s249,5,4,5,3,6,4,4,3,4,4,4,4
s058,3,6,3,3,3,7,1,5,1,4,6,5
s033,4,5,4,NA,1,4,3,5,3,5,3,4
s282,3,7,1,4,1,6,2,7,3,4,2,6
s253,3,4,3,2,4,3,5,4,3,3,5,2
s162,4,4,5,2,3,6,4,5,4,6,5,4
s067,5,5,4,3,6,4,2,4,2,3,4,5
s257,2,7,2,4,2,7,3,6,4,7,1,6
s178,3,6,3,4,3,5,2,6,3,4,2,3
s309,5,3,3,2,4,3,5,4,2,3,4,1
s220,5,3,4,2,3,1,4,6,4,1,4,3
s189,3,6,4,4,3,4,3,4,2,1,5,4
s153,5,5,6,3,2,2,4,2,3,4,4,1
s238,3,3,4,4,2,4,3,3,5,2,2,3
s321,3,6,4,5,5,4,2,3,5,4,5,3
s113,5,5,3,4,3,2,1,5,2,1,5,3
