subj_id,q01_F,q02_R,q03_F,q04_R,q05_F,q06_R,q07_F,q08_R,q09_F,q10_R,q11_F
s195,3,6,1,7,3,6,3,6,2,5,4
s224,1,2,2,7,1,5,1,7,3,5,1
s396,3,6,2,6,1,6,4,5,2,4,2
s056,3,2,4,6,4,6,4,6,4,5,3
s085,5,4,5,5,2,4,4,7,3,5,2
s026,2,6,3,5,1,7,4,5,4,6,2
s250,4,6,2,7,4,7,1,5,3,6,1
s277,5,3,5,5,4,4,6,4,6,3,3
s070,4,3,5,5,4,5,4,3,6,6,4
s315,5,2,6,4,4,4,7,2,6,2,5
s072,5,5,3,7,4,4,1,7,4,5,4
s117,2,7,3,6,3,7,1,5,4,4,3
s104,4,3,5,4,3,4,2,4,3,5,4
s354,5,4,2,4,4,4,4,4,4,3,5
s254,5,4,3,4,3,3,5,6,5,1,4
s283,4,6,4,4,3,7,2,5,5,4,3
s183,4,5,5,3,5,4,4,4,5,3,2
s389,5,3,4,4,3,4,4,5,5,3,1
s326,4,NA,3,5,3,5,4,4,5,6,3
s012,3,2,6,3,4,5,4,5,3,4,5
s008,3,7,3,6,4,3,5,4,3,5,4
s291,2,4,4,7,3,4,4,4,5,4,2
s145,7,4,6,4,4,3,4,2,4,3,4
s025,2,6,2,5,1,7,2,6,4,5,2
s210,2,5,5,6,5,3,5,3,4,5,4
s353,4,5,5,6,4,4,6,6,6,3,5
s265,4,3,3,6,5,5,7,4,6,3,5
s120,4,4,6,5,3,4,3,4,3,5,1
s061,6,2,7,3,4,4,6,3,5,1,4
s031,4,4,2,4,2,6,2,7,2,4,3
s024,5,4,1,5,1,6,5,3,5,5,1
s324,4,3,2,5,2,6,2,4,2,3,4
s229,3,2,5,5,3,5,5,2,6,4,6
s252,6,5,3,6,3,7,1,5,4,6,2
s347,6,4,2,4,3,7,2,4,3,4,4
s395,5,3,6,5,2,5,7,4,3,2,3
s284,6,3,7,4,5,2,7,3,4,2,4
s168,4,4,3,6,2,3,4,4,4,5,2
s115,5,2,5,3,3,3,5,3,2,4,5
s201,4,1,7,4,4,4,7,3,5,3,6
s006,4,5,4,4,3,3,5,4,2,4,6
s304,4,3,6,4,4,3,5,3,5,1,4
s218,7,3,4,4,3,1,4,4,5,4,4
s016,6,5,5,4,4,3,7,5,4,3,4
s161,5,4,3,5,2,1,3,7,4,2,3
s295,7,3,5,3,4,4,5,4,4,4,4
s029,5,3,4,5,6,2,5,3,5,4,4
s091,6,1,6,3,2,4,5,4,4,3,5
s256,2,7,1,6,1,7,2,7,4,6,1
s371,6,4,4,5,5,3,6,4,4,4,4
s374,5,3,3,3,5,4,4,6,5,5,5
s205,3,3,3,5,3,3,4,6,3,3,3
s018,4,3,4,7,6,4,6,3,4,4,2
s288,5,4,7,4,4,4,5,3,5,3,4
s344,3,6,6,7,3,5,4,4,4,4,4
s030,4,5,1,7,4,4,3,3,5,4,4
s221,5,5,7,4,4,4,5,3,5,3,4
s220,3,3,5,4,2,4,7,5,7,4,4
s380,4,4,3,6,2,3,5,NA,6,4,3
s333,4,7,4,5,3,2,4,4,5,5,1
s087,4,4,4,7,5,4,3,6,5,1,3
s209,5,4,3,3,3,3,5,5,6,4,5
s230,4,3,3,4,6,1,5,3,4,2,4
s179,NA,2,4,4,2,4,3,4,7,4,5
s235,4,3,4,4,4,4,4,5,3,4,4
s234,6,3,6,3,4,1,7,1,NA,1,4
s154,6,3,4,4,5,4,4,4,3,5,3
s023,4,3,3,5,4,3,5,4,4,4,3
s015,4,4,6,3,1,3,4,4,3,2,3
s348,3,6,4,6,3,5,4,4,4,4,2
s300,3,6,2,7,4,7,3,6,2,7,3
s236,4,1,5,7,3,4,5,4,5,5,4
s141,5,3,3,4,3,4,6,3,4,2,3
s312,3,5,2,5,2,7,4,6,5,4,4
s248,5,4,2,6,2,6,5,6,3,4,3
s133,4,2,4,3,4,5,3,3,4,3,6
s076,4,3,3,3,4,5,6,4,5,4,3
s186,4,4,4,4,1,5,3,5,6,4,3
s005,4,3,5,6,3,6,5,5,4,4,4
s293,4,4,6,4,2,2,7,4,4,3,6
s137,7,3,5,2,4,3,7,4,6,2,5
s172,NA,3,1,5,1,5,5,4,6,4,5
s385,7,4,7,3,4,4,5,4,4,4,3
s352,NA,4,4,5,4,5,4,5,4,3,7
s264,4,6,2,7,1,6,3,6,3,4,1
s118,7,5,5,6,4,5,5,6,4,3,5
s189,4,4,4,4,4,4,5,1,6,2,7
s064,7,3,5,4,2,4,5,4,4,4,5
s266,4,5,6,5,4,5,2,6,1,4,1
s126,1,7,2,7,2,7,1,7,3,7,3
s276,5,2,4,5,6,3,5,6,3,1,4
s376,5,2,5,6,3,4,5,2,4,3,3
s175,4,6,6,5,1,6,3,4,3,3,6
s213,5,2,3,4,5,4,6,4,5,3,4
s393,7,1,5,6,5,5,6,2,6,3,5
s339,4,3,3,4,4,4,4,4,6,4,3
s199,5,4,3,NA,1,7,3,5,2,5,3
s357,2,1,6,4,3,4,2,6,5,5,2
s034,4,4,5,4,3,5,3,3,6,3,4
s271,3,3,6,4,3,4,5,4,5,4,3
s094,6,6,4,3,2,5,5,4,4,2,5
s007,6,5,4,5,5,7,3,4,4,2,2
s260,4,4,4,5,2,4,5,5,NA,4,3
s088,7,1,4,3,5,2,5,2,6,3,6
s136,5,4,5,1,4,2,4,3,5,2,5
s178,7,4,7,4,6,3,7,4,3,4,5
s058,4,1,6,2,4,4,5,3,6,1,4
s329,7,2,6,3,5,6,6,4,5,3,4
s258,5,1,5,4,5,1,3,2,5,2,4
s042,6,2,5,5,4,4,2,5,4,2,3
s075,4,2,5,5,3,3,2,6,4,4,3
s391,2,3,7,4,4,4,3,3,4,6,3
s261,5,3,7,6,5,3,7,4,4,4,4
s167,4,4,3,6,4,3,2,5,4,3,4
s038,5,3,1,7,3,5,3,7,5,5,1
s363,7,3,3,4,4,6,6,2,4,5,5
s361,4,3,4,3,2,4,2,5,6,4,7
s212,3,6,3,5,2,7,1,5,5,6,3
s238,4,6,4,6,3,6,2,6,3,7,4
s378,6,5,5,3,5,4,6,6,4,3,4
s253,5,3,4,3,6,4,4,2,7,3,4
s173,5,5,5,5,4,5,5,5,4,3,4
s289,5,4,1,4,2,5,4,5,3,3,3
s313,4,3,5,3,5,2,6,4,6,2,4
s246,7,4,7,3,7,3,6,4,6,3,6
s157,4,3,4,5,4,3,6,3,4,4,4
s103,4,5,4,5,1,5,4,6,4,5,4
s165,4,3,2,3,3,5,4,7,3,3,1
s382,5,5,4,6,5,5,5,7,1,3,2
s198,6,4,1,5,4,5,5,6,4,4,5
s245,6,4,7,4,5,1,6,3,4,1,4
s069,4,4,4,4,3,5,4,6,5,4,6
s328,5,1,6,4,4,5,5,5,7,2,7
s084,6,2,6,3,4,4,5,4,4,3,4
s060,5,4,5,1,3,4,4,4,5,4,4
s309,3,6,4,6,2,7,4,7,2,4,2
s149,7,4,6,4,1,5,4,4,6,1,4
s197,4,5,6,2,5,5,4,4,6,2,6
s343,5,5,7,2,4,2,5,2,5,3,4
s322,4,3,5,4,5,4,5,4,6,5,3
s262,4,3,4,5,5,7,3,2,3,3,2
s010,5,3,7,4,6,2,6,2,7,3,2
s360,2,1,4,3,4,6,6,6,5,5,4
s240,3,4,5,4,4,4,5,4,4,2,3
s083,4,6,5,5,1,7,3,6,2,4,1
s063,3,4,5,4,4,5,5,3,6,2,4
s151,3,4,3,2,4,3,3,4,2,3,3
s093,7,2,7,6,4,3,4,5,4,6,4
s017,5,5,5,4,3,5,2,6,5,4,4
s233,4,3,4,5,3,5,6,2,3,5,3
s090,3,3,5,5,4,5,3,5,3,2,1
s204,4,5,2,5,3,NA,4,6,4,4,3
s184,4,2,5,6,4,1,4,6,5,3,1
s153,4,4,4,4,4,4,4,4,6,3,3
s043,4,4,5,4,4,4,4,3,5,3,1
s298,5,5,3,3,4,3,3,4,NA,5,4
s143,5,4,4,3,3,4,2,3,4,2,4
s128,5,4,5,7,6,4,6,2,3,3,2
s114,5,4,7,3,4,5,5,3,4,4,5
s097,4,4,4,1,3,4,5,7,4,5,4
s112,5,4,5,7,1,5,2,5,3,5,2
s181,4,3,6,4,5,5,4,3,5,4,5
s073,7,4,6,4,3,2,4,4,4,2,4
s040,4,4,4,5,4,4,2,6,3,5,4
s059,4,4,5,3,3,4,3,4,4,6,2
s336,2,4,4,4,2,4,2,6,3,3,1
s022,2,3,7,7,3,5,2,5,4,4,4
s387,3,4,5,5,5,3,4,4,5,5,3
s119,7,2,6,3,7,4,5,4,7,2,5
s214,2,3,5,1,5,4,5,4,7,4,3
s122,6,5,5,5,2,4,3,5,4,4,5
s274,5,2,4,2,3,4,5,3,4,4,5
s110,5,1,7,4,4,2,5,3,6,2,4
s335,1,3,4,6,4,4,5,3,3,4,3
s355,6,3,7,6,7,3,4,3,5,3,3
s106,NA,7,3,7,1,5,3,6,4,4,3
s394,2,3,5,4,4,4,5,4,4,3,3
s249,5,4,6,3,4,4,5,5,4,3,3
s127,5,1,4,6,3,5,6,3,5,4,6
s226,3,4,3,7,1,7,4,4,4,4,5
s095,2,5,4,4,3,4,4,7,7,4,3
s169,4,2,3,4,4,4,5,4,7,4,4
s192,1,5,2,6,2,4,4,7,3,5,3
s129,4,4,2,6,4,5,4,4,4,4,4
s044,4,6,3,6,4,4,3,3,4,4,7
s147,5,4,3,6,1,5,2,7,3,4,5
s027,5,6,3,4,4,5,3,4,4,4,2
s033,6,1,7,2,4,2,5,1,4,1,3
s176,5,5,2,6,1,3,2,4,4,4,2
s062,2,5,1,6,1,5,4,7,5,4,1
s039,4,3,2,3,3,5,3,4,3,4,4
s251,3,4,3,6,4,3,5,5,4,3,3
s349,7,3,6,4,5,5,5,4,4,2,4
s116,7,3,6,2,4,6,4,3,4,5,3
s188,4,4,3,5,1,6,3,4,3,5,4
s219,6,3,5,5,4,1,5,NA,7,3,3
s041,5,4,2,3,3,4,4,4,5,2,5
s281,5,4,4,5,3,7,3,6,6,3,5
s144,3,4,4,3,4,5,5,3,3,6,4
s207,7,2,3,6,4,5,4,4,5,2,4
s159,4,4,4,7,3,4,5,7,4,3,4
s158,3,2,4,2,2,2,2,5,6,4,6
s051,4,4,4,3,7,3,2,4,4,4,4
s182,NA,4,5,5,2,3,5,5,4,1,4
s080,7,3,6,3,3,3,6,2,5,4,4
s294,3,6,4,6,1,6,4,7,4,4,1
s275,6,2,3,7,1,4,3,7,5,2,6
s386,6,3,4,2,5,5,4,3,5,3,4
s002,5,5,2,5,3,5,3,5,4,5,2
s242,5,4,5,4,2,3,4,3,5,4,4
s077,2,2,2,4,1,4,2,4,3,5,3
s268,5,1,4,5,4,4,4,2,4,4,2
s035,5,1,5,6,7,4,5,4,4,4,4
s359,5,2,5,3,2,6,6,4,3,4,3
s045,5,2,4,2,5,3,5,3,4,4,4
s191,6,1,5,4,5,5,4,4,7,3,5
s185,7,4,4,4,4,2,5,1,6,1,4
s270,7,3,5,2,4,3,6,1,5,2,6
s138,5,3,5,1,5,5,4,5,6,3,4
s156,1,4,1,4,1,6,1,6,2,5,1
s255,7,2,3,1,6,5,5,2,6,1,5
s364,3,4,4,5,4,6,3,4,3,4,3
s020,7,4,7,4,3,4,5,3,5,4,7
s054,6,4,3,3,2,3,4,3,4,4,4
s196,4,6,3,4,4,5,4,6,4,4,3
s193,5,4,4,4,4,4,2,3,3,4,2
s247,3,3,5,6,4,2,5,5,6,3,4
s067,4,2,5,3,3,5,4,4,4,4,5
s048,4,7,4,5,4,4,4,5,2,3,2
s299,2,4,3,5,4,7,4,NA,3,4,1
s021,7,1,5,5,2,5,6,3,5,5,4
s079,4,5,7,1,3,1,4,3,5,NA,5
s314,4,5,2,7,4,4,4,6,3,5,4
s131,5,2,5,1,3,1,4,4,5,2,4
s166,1,7,1,4,2,7,1,7,4,5,1
s032,3,4,3,7,3,4,4,4,4,3,3
s327,4,1,4,4,3,6,3,5,2,1,4
s375,3,2,7,4,4,3,6,2,6,2,5
s216,4,6,3,3,4,3,3,4,4,2,3
s302,3,6,2,7,3,6,4,5,1,6,1
s009,7,2,6,4,4,3,5,4,6,4,5
s259,4,3,4,5,4,4,4,3,4,3,4
s334,6,3,4,3,4,3,4,4,5,1,4
s142,5,3,3,5,3,3,5,4,2,3,5
s379,5,7,6,4,2,6,2,4,2,3,3
s319,4,5,4,5,2,4,2,6,2,4,2
s351,5,2,6,2,7,4,7,3,5,3,4
s019,5,4,3,7,4,5,4,3,2,3,1
s337,4,6,4,7,3,4,3,6,4,3,3
s332,3,3,5,4,2,2,3,4,4,3,3
s311,5,4,6,4,4,7,5,4,3,4,3
s381,5,1,4,2,3,3,5,4,6,1,2
s243,3,3,3,5,1,3,4,5,4,2,2
s152,4,4,3,6,4,5,3,3,5,3,3
s297,7,3,3,4,4,2,5,4,6,2,2
s296,7,2,7,3,5,2,7,3,7,3,5
s237,4,4,3,5,2,4,2,3,4,5,3
s282,4,6,4,6,3,4,2,6,4,4,4
s055,6,4,6,3,4,4,5,2,3,3,6
s096,7,4,6,4,4,6,3,4,5,4,6
s086,4,4,5,3,5,3,5,4,5,2,5
s187,1,5,4,6,2,5,3,4,3,4,1
s321,5,3,5,3,4,3,6,3,5,1,4
s342,4,4,4,2,5,4,4,6,6,4,5
s211,5,4,5,5,5,4,3,4,6,2,3
s341,6,3,6,4,6,3,5,3,6,1,4
s036,4,3,3,6,4,6,3,3,4,3,4
s113,4,4,4,7,3,3,3,3,1,2,3
s330,4,5,2,5,3,5,3,5,3,5,3
s290,4,4,4,4,3,4,4,7,4,4,2
s101,6,4,6,6,3,6,6,3,6,1,2
s130,6,2,7,4,1,2,5,5,5,1,6
s286,4,4,5,6,3,6,NA,4,5,7,4
s217,2,7,5,5,2,4,2,5,3,5,1
s308,2,5,5,4,1,5,3,5,6,5,3
s225,6,1,7,3,5,1,6,NA,5,1,6
s066,4,2,7,4,4,4,7,2,6,4,5
s107,7,4,7,2,7,3,6,5,4,2,4
s146,4,5,3,3,1,5,4,5,3,3,3
s241,3,4,4,4,3,5,2,4,4,3,3
s049,5,3,3,4,2,3,4,5,3,3,3
s306,4,4,4,5,3,5,6,2,4,3,2
s206,5,3,7,4,5,3,5,2,5,5,4
s369,5,2,4,4,3,3,4,4,5,1,6
s065,5,2,6,3,4,5,4,4,4,3,4
s228,3,4,3,7,1,6,1,6,4,5,3
s208,2,5,4,5,3,3,2,5,2,4,4
s099,5,2,4,2,1,4,6,7,4,2,3
s150,3,6,5,4,5,3,3,4,4,3,7
s244,5,3,6,1,4,4,4,4,7,3,4
s052,6,3,4,3,4,4,6,2,6,3,1
s367,7,1,7,2,5,4,7,1,6,2,7
s365,3,6,2,4,4,4,4,6,3,3,4
s053,4,6,4,5,3,5,5,4,3,4,2
s390,3,4,4,3,3,5,3,3,4,3,4
s263,5,6,4,6,4,4,4,3,5,3,5
s200,6,2,6,5,7,3,3,4,4,4,3
s345,3,5,5,4,5,4,4,6,3,3,3
s160,7,4,5,4,4,4,4,4,6,4,4
s292,6,1,7,2,5,2,6,3,7,4,5
s317,5,3,6,4,2,3,4,3,5,5,5
s139,1,5,5,7,3,5,4,4,3,3,1
s081,4,3,1,7,2,7,1,5,2,4,1
s134,5,7,3,5,3,4,3,3,3,5,1
s050,6,3,5,4,6,3,6,4,5,2,2
s362,4,5,3,4,4,3,3,6,3,6,3
s170,4,4,4,3,4,6,4,3,3,4,3
