subj_id,q01 F,q02 R,q03 F,q04 R,q05 F,q06 R,q07 F,q08 R,q09 F,q10 R,q11 F
s100,4,7,5,6,4,5,2,4,4,2,3
s070,4,4,3,6,5,4,1,5,4,7,4
s226,1,5,1,5,3,6,5,4,2,4,4
s001,4,3,2,4,5,4,2,2,6,3,6
s168,4,4,4,4,4,3,4,2,3,2,6
s289,4,5,4,4,4,4,5,3,4,5,6
s209,1,4,2,7,2,7,4,7,4,6,3
s099,5,2,3,3,6,3,5,3,7,3,5
s010,5,2,4,3,3,3,4,2,4,3,5
s307,5,2,NA,5,7,3,5,3,5,3,5
s288,4,2,3,3,3,4,4,4,3,4,4
s123,4,4,4,4,6,3,4,4,6,4,2
s029,2,4,4,7,4,4,4,4,4,4,4
s061,5,6,1,4,2,6,1,3,4,5,3
s031,3,6,2,5,3,7,3,6,4,6,1
s279,4,4,2,4,6,3,6,4,5,4,4
s118,4,3,3,5,6,2,4,4,5,4,7
s207,4,5,2,2,5,4,4,3,3,6,5
s194,3,5,5,5,4,3,3,4,4,4,3
s021,4,3,5,4,5,4,3,3,5,7,4
s110,3,4,3,4,3,5,4,1,6,6,4
s189,4,2,4,3,4,5,3,5,6,4,5
s182,4,6,3,6,4,4,2,4,5,4,5
s113,4,5,2,4,4,3,1,3,5,5,6
s083,2,4,3,4,4,4,5,5,4,4,3
s114,4,4,5,6,3,6,1,7,5,6,4
s075,2,5,2,5,3,5,2,7,1,7,4
s050,4,3,6,3,3,5,4,3,6,3,7
s092,4,4,7,4,6,2,6,1,6,2,6
s095,3,4,1,6,5,6,2,3,4,3,7
s148,5,3,7,3,4,4,3,5,3,5,5
s112,3,6,6,5,5,3,6,4,4,3,4
s311,4,6,4,5,4,4,3,4,3,5,2
s218,3,2,3,2,6,5,5,3,5,5,4
s295,3,5,2,5,4,7,1,4,3,6,3
s273,2,6,4,5,6,7,4,4,5,5,3
s268,2,5,4,5,3,4,4,4,4,5,6
s042,4,5,5,3,5,5,7,3,6,4,4
s079,3,4,4,3,4,6,6,6,3,4,3
s281,4,4,7,6,6,3,5,3,7,2,4
s030,2,4,3,5,3,5,4,3,7,3,4
s141,3,3,3,5,6,2,3,4,4,4,4
s082,3,6,3,6,6,3,3,7,2,6,3
s127,3,6,5,6,3,4,1,2,2,6,2
s251,2,5,3,3,3,4,3,4,2,4,7
s248,4,4,5,4,4,2,4,6,3,5,5
s308,1,3,4,4,2,3,3,2,4,3,3
s219,5,3,3,4,3,4,3,5,4,4,4
s154,4,2,3,4,4,4,4,2,5,4,5
s155,2,5,4,4,4,6,4,3,2,3,4
s201,3,5,4,7,4,4,2,5,2,5,3
s116,5,4,7,4,4,3,6,3,4,4,5
s236,5,2,6,5,7,1,5,4,5,5,3
s270,5,4,5,4,5,3,4,1,6,2,5
s178,4,7,1,7,1,7,2,5,1,6,2
s160,3,4,1,5,3,4,3,4,6,6,3
s040,5,3,5,6,7,4,4,1,7,4,5
s310,3,4,4,6,6,6,5,5,2,5,4
s180,3,3,4,4,5,3,7,3,5,2,2
s309,3,3,5,NA,6,4,4,4,6,3,5
s037,4,4,4,4,4,4,3,7,3,4,6
s129,3,5,5,5,4,3,4,3,3,3,4
s147,3,4,3,4,6,5,1,7,4,4,4
s250,3,1,3,4,3,5,4,4,4,4,6
s134,7,2,7,5,4,3,6,3,5,2,4
s142,2,5,4,4,3,6,1,7,4,6,5
s064,5,4,5,6,2,4,4,3,5,5,4
s124,3,4,5,5,6,3,6,4,4,3,NA
s036,3,6,4,4,2,2,3,5,5,5,3
s128,4,4,3,6,3,3,3,3,5,7,1
s039,3,4,3,4,4,5,3,3,2,4,4
s191,4,2,4,4,6,4,5,6,7,4,5
s137,1,5,3,6,4,6,1,4,2,5,3
s227,4,3,3,6,7,2,4,3,3,5,4
s014,3,5,6,5,4,3,3,4,4,5,3
s187,3,4,5,4,5,3,3,2,5,4,6
s133,1,4,2,4,5,7,4,6,3,5,4
s048,2,4,1,5,4,5,3,4,2,3,4
s202,2,4,5,4,5,4,5,4,5,3,4
s216,4,4,4,4,5,4,3,4,4,5,5
s049,4,4,7,2,6,2,5,1,6,2,6
s143,5,2,5,5,7,3,5,4,5,1,5
s193,4,4,6,4,5,4,3,4,3,4,4
s254,3,4,4,6,4,4,3,3,4,3,5
s220,2,4,4,5,6,3,1,3,6,4,5
s162,5,3,4,3,7,2,4,1,7,4,7
s135,2,5,3,6,3,3,4,5,3,5,4
s093,4,4,7,5,4,2,3,2,5,5,5
s054,3,3,1,7,3,5,1,4,5,5,6
s197,4,2,2,6,2,4,6,5,4,4,2
s266,4,1,7,1,6,3,5,1,7,3,5
s139,3,5,5,5,3,4,3,4,4,4,5
s198,2,4,5,4,4,7,2,4,1,5,3
s094,2,7,2,4,3,5,1,4,4,5,4
s253,4,5,7,2,5,4,4,2,5,5,4
s274,3,4,5,4,5,6,1,5,3,4,4
s238,4,4,6,4,6,3,5,2,7,1,5
s041,4,6,3,4,4,5,2,5,4,5,4
s243,2,5,1,2,3,6,1,6,4,6,4
s066,2,4,6,4,4,6,4,4,4,5,4
s038,5,3,3,4,2,4,6,5,3,5,5
s282,5,3,7,4,6,4,6,2,3,4,4
s208,3,5,4,5,5,5,4,4,3,3,4
s255,4,4,5,5,4,4,5,3,5,4,5
s067,2,5,5,4,5,2,4,5,4,5,3
s242,2,5,3,6,4,6,4,5,4,6,4
s062,4,3,5,3,6,3,5,1,4,3,5
s032,5,3,5,3,5,4,3,3,7,6,6
s052,4,4,4,7,4,3,4,3,6,3,5
s131,4,4,6,5,7,1,4,1,6,2,4
s136,1,4,3,7,3,5,1,4,3,6,1
s292,6,2,7,4,6,3,4,3,4,6,4
s161,3,1,2,3,NA,5,4,4,5,5,2
s060,5,2,6,4,6,3,3,3,6,4,4
s009,7,2,5,4,7,2,5,3,6,4,6
s175,5,3,6,4,5,4,4,3,5,4,4
s169,4,3,4,7,5,5,4,4,3,5,2
s252,1,4,3,6,3,6,4,4,2,4,4
s188,5,4,6,5,4,3,4,2,7,2,5
s016,4,3,4,6,4,5,2,2,5,4,7
s012,5,2,6,4,6,1,6,2,7,1,6
s156,4,5,6,5,6,3,5,4,5,5,6
s157,5,5,2,4,2,6,2,4,4,6,4
s293,2,4,4,4,5,4,2,3,4,5,4
s306,2,2,1,6,5,7,4,1,4,5,3
s228,1,3,4,6,2,4,2,3,6,6,6
s223,4,3,6,4,2,6,3,5,NA,4,2
s210,4,5,3,5,6,4,2,3,4,5,4
s081,5,4,4,4,3,2,4,4,4,4,5
s025,4,1,6,1,3,4,5,2,7,2,6
s018,7,3,6,4,6,3,4,2,5,2,5
s298,3,3,2,5,3,5,3,4,4,5,4
s258,4,2,4,4,6,4,5,1,4,4,4
s090,4,1,7,6,5,3,4,4,5,3,5
s102,1,6,3,7,3,5,1,6,3,5,2
s088,2,7,2,6,4,7,2,3,3,7,4
s244,3,3,4,7,2,6,5,6,4,3,3
s072,4,2,5,3,7,1,5,2,6,4,5
s302,7,3,4,5,7,4,NA,1,7,5,5
s214,2,5,3,4,5,4,4,5,3,6,5
s170,3,5,3,3,5,4,2,4,7,4,7
s181,3,4,6,4,5,2,5,1,6,3,3
s245,4,4,5,3,5,5,5,2,5,1,3
s068,4,1,3,2,5,3,7,3,4,5,5
s224,4,2,7,4,7,5,6,3,5,1,7
s300,3,1,5,5,6,2,5,3,4,7,5
s176,6,1,5,3,7,1,5,1,7,3,6
s215,3,3,3,5,4,6,4,3,5,5,4
s073,2,4,5,3,4,2,4,2,5,4,4
s146,5,2,7,4,4,1,3,1,5,4,6
s027,2,2,1,6,5,3,3,3,4,3,4
s130,5,2,6,4,6,4,4,6,2,4,4
s284,2,5,1,4,2,7,3,4,4,5,3
s303,6,3,5,5,5,2,2,2,7,4,5
s121,3,3,3,5,6,4,4,4,4,5,4
s203,3,4,4,5,4,5,2,4,4,4,2
s249,5,NA,2,3,4,6,5,3,7,3,4
s097,5,4,7,3,4,3,7,2,5,3,6
s015,1,7,1,7,2,5,1,4,2,5,5
s185,1,5,1,7,2,4,2,7,4,6,3
s006,4,4,1,4,7,6,4,5,3,5,5
s045,1,5,3,5,5,6,3,5,4,7,4
s278,3,3,5,4,4,3,4,3,5,3,2
s008,3,1,3,6,4,5,4,4,6,5,4
s063,4,4,4,3,5,5,3,5,5,5,3
s286,1,4,3,5,3,6,3,5,4,7,3
s277,3,5,3,4,5,4,4,5,5,4,5
s287,5,3,5,5,5,3,4,2,5,3,1
s151,3,4,4,3,5,6,4,3,4,3,6
s005,3,7,3,6,4,5,1,7,3,6,4
s285,1,6,4,6,6,4,1,3,4,5,4
s152,2,4,4,5,7,NA,3,3,5,5,6
s301,6,4,5,5,4,5,4,4,7,4,7
s004,4,4,4,3,4,5,6,2,4,4,5
s104,3,4,4,4,5,6,2,3,3,4,4
s230,5,2,4,3,3,3,4,3,6,6,5
s237,5,4,3,3,5,3,2,2,6,5,7
s035,5,1,4,3,7,2,5,4,7,2,7
s096,2,4,2,5,4,4,3,4,3,6,3
s296,2,5,3,5,2,7,1,4,5,6,4
s165,3,4,6,5,4,5,2,4,5,5,3
s172,2,7,5,6,5,7,2,4,1,5,3
s125,3,4,4,4,4,5,4,3,7,4,4
s056,3,5,3,4,4,5,5,4,4,7,3
s145,4,4,4,6,3,4,4,4,4,5,4
s299,1,4,2,6,4,6,3,4,5,5,2
s109,4,4,5,4,5,4,3,5,3,4,4
s017,4,4,5,5,6,4,2,6,4,4,5
s101,4,3,2,3,5,2,5,2,5,4,4
s111,3,5,1,7,3,4,2,6,2,7,1
s120,3,3,5,5,7,4,3,4,1,3,5
s108,4,4,4,6,5,4,3,2,3,4,4
s076,4,2,4,3,4,3,3,3,4,3,5
s217,5,1,5,3,7,2,4,2,5,4,4
s304,4,4,5,5,7,2,4,2,7,2,4
s011,4,2,6,3,4,4,3,5,4,2,5
s098,4,6,2,4,4,5,4,4,4,5,7
s119,2,3,4,6,3,6,3,7,4,4,4
s051,2,5,3,5,5,4,2,2,7,4,7
s140,4,6,5,4,5,4,5,4,4,4,4
s164,5,2,5,1,5,3,5,4,7,3,5
s053,6,4,4,4,1,3,NA,3,3,4,3
s071,1,5,3,4,3,4,4,5,5,5,3
s272,7,2,6,1,7,3,5,4,7,1,7
s186,3,4,4,7,5,5,3,3,4,6,4
s290,3,3,6,3,4,4,6,2,5,5,NA
s229,6,2,4,3,6,5,4,2,5,5,4
s159,3,4,3,6,6,3,2,5,6,6,4
s055,6,4,4,3,5,6,5,3,6,4,5
s105,5,3,4,2,7,1,6,3,5,2,6
s247,5,2,5,4,4,2,3,3,4,4,3
s034,3,5,6,5,4,4,4,3,NA,4,4
s024,5,4,2,5,6,3,4,5,4,3,4
s047,3,3,4,4,5,5,4,1,5,3,5
s167,2,7,3,7,1,5,3,3,3,7,1
s262,3,4,6,7,5,4,3,3,5,4,5
s204,4,2,5,4,5,4,1,1,5,3,4
s275,3,5,2,6,4,5,4,4,4,4,7
s213,4,4,2,4,3,2,5,2,5,3,5
s085,4,4,6,3,4,7,4,2,3,6,4
s043,3,2,4,6,2,5,2,4,3,4,1
s022,5,3,5,6,5,4,5,4,4,2,6
s265,3,3,3,5,5,5,5,1,4,4,5
s271,4,2,4,4,4,3,4,2,5,4,5
s033,3,3,4,4,5,3,5,1,4,3,5
s069,6,2,6,4,4,4,3,3,3,3,4
s065,4,5,3,4,4,5,4,4,4,4,4
s305,4,2,4,4,5,6,4,6,5,5,4
s212,3,7,1,6,4,6,3,3,3,4,3
s239,4,4,2,6,4,5,4,5,5,5,4
s074,3,6,3,7,2,5,3,3,3,5,6
s183,3,4,5,5,2,5,4,4,3,5,4
s149,3,5,4,4,4,1,4,1,3,3,4
s020,5,4,6,4,4,2,4,2,5,4,5
s221,4,4,3,3,5,3,4,3,5,4,7
