subj_id,F q1,R q2,F q3,R q4,F q5,R q6,F q7,R q8
s275,2,4,3,4,4,4,5,NA
s235,5,2,7,3,4,4,6,1
s068,4,4,2,4,3,4,2,5
s168,5,3,6,4,4,2,7,1
s021,5,1,4,4,6,5,6,3
s172,4,4,5,4,4,5,2,4
s073,6,3,6,6,3,2,5,3
s075,4,4,4,5,5,5,4,3
s128,3,5,2,3,2,5,3,5
s117,2,5,3,6,2,7,3,4
s248,4,5,3,6,2,4,3,6
s008,2,6,3,6,1,5,3,7
s130,4,5,2,5,5,4,5,5
s167,5,5,3,3,2,3,5,4
s307,2,5,2,6,3,7,3,4
s227,7,3,2,3,5,4,4,3
s207,4,6,1,5,1,6,3,5
s199,3,6,5,3,4,3,4,NA
s064,3,6,5,4,4,5,5,4
s082,6,4,6,4,6,3,5,1
s062,2,7,3,4,2,4,3,3
s211,6,3,4,4,5,5,5,3
s076,4,5,2,6,4,6,5,5
s047,3,5,4,6,2,4,3,4
s126,3,7,3,7,4,6,4,6
s134,5,1,4,1,5,1,4,3
s072,NA,7,4,3,1,3,4,6
s110,4,4,4,3,2,2,1,3
s120,4,4,1,6,2,4,4,4
s190,4,3,4,3,5,4,6,3
s241,6,4,6,2,2,4,3,3
s244,4,2,4,4,3,3,4,5
s051,4,5,3,4,2,3,4,5
s022,5,4,3,4,3,3,3,4
s098,6,4,6,5,3,NA,6,5
s144,5,4,4,4,4,4,4,4
s035,5,4,6,4,4,1,7,3
s125,2,7,3,5,3,6,3,4
s044,5,1,4,6,1,6,1,5
s291,4,5,2,5,4,5,3,5
s185,6,5,2,4,2,4,4,4
s142,3,4,3,5,4,6,4,5
s151,3,4,3,2,1,5,1,4
s298,5,3,7,2,5,3,5,3
s147,7,2,6,4,3,4,6,2
s101,4,3,4,5,4,4,4,3
s232,4,3,3,5,4,5,4,6
s299,4,3,5,3,3,4,5,4
s257,2,6,3,5,4,4,5,5
s036,5,2,5,4,4,4,6,2
s225,5,1,5,3,4,1,4,1
s254,5,3,5,4,3,3,5,3
s091,5,6,5,5,3,3,6,5
s210,3,2,4,3,1,5,7,5
s285,5,1,2,2,5,2,6,3
s055,4,3,3,7,5,3,4,3
s137,6,4,NA,6,4,4,4,5
s095,4,4,4,4,NA,1,5,1
s007,5,4,3,7,2,5,4,4
s300,4,5,3,3,2,5,4,4
s220,4,3,4,6,3,5,5,3
s206,1,7,2,4,3,3,4,2
s096,3,3,4,4,3,3,2,3
s132,6,3,4,3,5,3,4,3
s043,5,3,4,5,3,5,4,4
s270,4,6,2,6,4,7,2,5
s031,6,6,3,7,1,4,6,3
s030,4,5,5,4,3,1,6,6
s162,6,3,6,3,3,1,7,1
s164,5,4,6,2,3,3,5,4
s200,4,4,2,2,2,5,3,3
s138,6,3,3,2,4,5,4,4
s013,5,3,1,4,2,4,5,4
s016,5,5,2,3,2,4,1,5
s086,2,4,3,5,2,4,5,5
s034,5,4,1,5,2,6,3,5
s243,5,2,4,7,1,6,6,5
