subj_id,F-q01,R-q02,F-q03,R-q04,F-q05,R-q06,F-q07,R-q08,F-q09,R-q10,F-q11
s143,2,3,4,3,6,4,4,3,4,4,4
s111,5,5,5,5,4,5,7,3,5,4,4
s199,3,7,4,4,1,7,3,6,4,4,4
s292,6,5,4,2,5,4,5,4,3,2,4
s071,3,NA,4,6,NA,3,4,3,7,4,4
s165,2,4,1,4,3,5,4,6,4,4,3
s008,4,6,4,4,4,4,4,3,4,3,2
s110,4,4,6,3,5,1,7,3,7,1,6
s094,2,5,2,6,3,7,4,4,4,5,3
s088,5,3,7,3,4,4,5,3,1,3,2
s181,4,4,2,5,5,5,5,4,6,4,5
s119,3,5,4,7,2,6,7,5,4,5,4
s189,4,4,4,3,6,2,7,2,6,2,6
s042,4,4,3,5,6,7,5,3,6,1,4
s077,4,5,4,3,6,3,6,3,5,4,5
s168,1,6,1,7,1,7,2,7,3,7,3
s106,4,2,5,4,4,5,6,4,6,1,6
s144,5,4,4,3,6,6,2,5,6,4,4
s249,3,4,4,2,6,4,3,4,5,1,5
s172,4,5,2,5,3,6,5,3,4,4,4
s296,1,5,3,7,5,4,3,2,5,3,3
s150,3,7,4,6,5,4,3,3,4,4,2
s019,3,6,2,5,5,4,5,6,6,4,3
s298,3,5,2,4,1,4,3,6,4,5,1
s297,5,5,4,7,4,4,6,2,5,4,5
s205,4,4,3,5,7,4,3,5,6,3,3
s236,3,3,3,4,4,3,5,4,4,3,5
s274,3,5,4,6,4,3,4,6,4,3,3
s305,5,6,3,4,2,4,3,4,5,4,6
s122,2,7,2,5,4,5,1,3,4,2,4
s047,4,3,4,4,3,5,4,6,5,3,2
s072,1,6,3,6,4,5,3,5,4,3,4
s049,1,6,4,5,4,6,3,6,2,4,2
s068,4,3,4,5,4,2,6,4,4,4,4
s209,3,5,3,4,6,4,5,6,6,2,4
s265,2,7,3,5,1,7,3,5,4,6,3
s248,5,5,5,5,5,3,4,1,6,5,5
s258,3,7,3,7,2,4,3,3,4,4,5
s302,7,4,4,3,5,3,5,2,6,NA,4
s065,4,4,5,4,6,5,3,3,4,3,4
s066,4,6,5,5,5,3,5,5,5,4,4
s116,3,4,2,5,4,3,5,6,4,5,6
s015,3,5,2,6,2,7,2,7,6,4,3
s125,5,4,6,3,3,1,5,4,4,3,4
s286,7,4,6,3,5,2,7,3,4,1,7
s079,5,2,5,3,5,2,6,2,6,1,5
s214,5,4,4,3,6,3,6,2,6,3,7
s281,1,4,4,5,5,4,4,6,4,4,6
s212,4,5,5,5,4,5,3,5,3,4,4
s118,6,1,7,1,7,1,7,4,7,3,7
s004,1,4,3,4,5,6,3,5,3,4,4
s037,4,5,1,5,4,7,3,4,7,4,3
s219,3,5,3,6,4,4,4,4,6,5,6
s148,3,4,4,4,6,3,4,2,3,3,3
s142,3,5,2,4,4,6,5,4,6,4,3
s255,2,3,3,3,4,4,3,3,6,3,4
s176,4,5,2,7,3,6,3,4,7,4,3
s141,4,6,2,3,5,4,1,3,6,4,3
s134,4,4,4,4,6,4,5,4,NA,4,4
s308,4,5,4,6,6,5,4,4,4,2,4
s251,5,2,4,5,4,4,3,3,5,2,3
s174,4,3,4,1,5,4,6,4,7,4,5
s221,4,2,3,4,3,4,3,2,4,4,6
s216,5,7,3,5,4,4,4,4,7,5,4
s218,3,5,1,4,4,6,6,5,7,2,3
s101,4,5,4,2,5,3,5,4,7,2,4
s012,5,1,5,4,4,4,5,2,6,2,7
s034,3,7,1,7,3,7,2,7,4,5,2
s237,3,4,3,5,4,4,5,1,4,4,3
s192,3,2,4,2,5,4,4,4,7,2,6
s102,3,4,5,7,5,4,5,3,5,4,4
s279,5,6,5,5,5,3,5,3,5,2,4
s194,5,7,3,5,2,5,4,6,3,3,4
s017,5,2,6,4,7,6,7,4,4,1,7
s036,4,1,6,2,5,4,7,4,6,2,5
s200,4,5,5,4,5,3,5,3,4,2,3
s064,3,5,4,6,6,4,3,2,5,5,4
s202,3,5,4,4,5,4,5,4,4,4,4
s166,3,4,2,3,5,7,6,4,4,3,4
s276,2,6,2,5,5,4,3,5,6,5,1
s283,3,4,1,5,5,6,3,5,4,4,2
s031,2,5,1,NA,2,4,4,4,5,5,4
s112,3,4,7,2,7,3,7,1,7,2,7
s232,1,5,1,6,4,3,3,5,6,4,1
s007,4,6,5,3,5,4,6,5,5,2,5
s303,2,4,4,3,6,2,5,3,6,2,5
s104,3,5,4,5,3,3,4,4,4,4,5
s243,3,5,3,5,4,4,3,5,5,4,4
s295,4,4,NA,4,4,5,5,5,1,3,4
s127,4,5,4,5,1,6,3,4,4,5,3
s060,3,4,3,4,4,4,6,4,5,3,3
s289,7,3,5,3,7,3,5,1,7,1,4
s117,4,4,2,5,4,6,4,4,5,4,1
s149,4,4,4,4,4,4,7,3,5,2,6
s272,5,4,4,4,5,3,4,3,6,1,5
s003,5,1,6,2,5,2,7,3,7,2,6
s156,6,3,6,4,5,3,4,4,4,2,4
s175,3,3,4,2,3,4,7,4,4,4,4
s288,2,3,5,6,5,4,6,2,6,6,4
s294,2,7,2,7,3,5,3,4,4,4,2
s183,4,4,3,3,3,2,3,5,6,3,3
s207,3,5,1,5,2,2,4,6,4,6,2
s108,3,4,4,3,7,4,5,2,7,2,4
s140,4,5,3,5,NA,4,4,4,3,4,4
s278,1,6,5,5,4,1,3,6,2,5,3
s244,3,4,5,6,4,1,5,6,4,4,4
s020,7,1,6,2,6,5,7,1,7,1,7
s006,4,3,6,3,5,2,5,1,7,4,4
s257,4,6,5,3,5,2,5,4,4,2,2
s021,2,5,3,4,1,7,4,5,5,7,4
s073,1,4,3,5,5,5,3,6,3,4,2
s190,1,7,2,7,2,5,4,6,1,4,2
s285,3,6,1,7,1,6,3,6,4,6,2
s043,1,6,3,6,1,4,4,5,4,7,2
s171,4,4,3,3,3,5,6,4,7,5,5
s163,3,3,4,4,3,4,7,NA,6,4,5
s271,7,2,6,3,6,1,5,1,7,3,5
s016,4,5,3,3,5,4,4,5,4,4,5
s204,4,4,6,3,4,4,5,3,6,4,5
s208,5,4,5,2,4,3,6,1,7,3,5
s085,3,5,4,4,4,4,4,4,3,3,4
s266,3,4,4,5,3,2,6,6,5,3,3
s097,NA,4,4,5,5,4,4,4,2,5,5
s029,1,4,4,6,2,4,4,6,5,4,5
s082,4,5,5,5,3,4,5,3,6,5,5
s109,4,4,4,5,6,4,6,3,6,2,6
s188,3,5,4,7,4,6,4,4,7,4,4
s185,5,5,3,6,4,4,4,5,4,7,3
s024,7,2,3,5,7,4,6,2,7,3,4
s197,1,6,3,5,3,6,2,6,5,4,3
s215,3,6,5,5,5,5,4,1,4,4,4
s030,6,3,6,4,4,4,7,3,6,1,5
s137,3,5,3,6,5,5,6,2,4,4,4
s241,4,2,4,4,5,3,7,3,5,2,4
s132,2,2,3,5,5,2,6,2,5,1,5
