subj_id,q01 F,q02 R,q03 F,q04 R,q05 F,q06 R,q07 F,q08 R,q09 F,q10 R
s205,4,3,2,5,4,4,4,3,4,4
s190,3,4,2,3,2,5,4,7,3,4
s150,4,1,5,4,3,2,7,3,4,5
s267,4,4,4,4,3,3,5,3,3,3
s275,5,NA,4,3,1,3,5,4,2,3
s005,5,2,7,4,6,3,4,NA,4,2
s177,7,4,5,2,4,4,4,5,3,5
s199,4,5,6,4,4,5,4,4,3,3
s134,2,2,5,6,4,6,5,6,4,3
s223,5,1,7,1,5,4,4,4,5,4
s212,2,5,4,6,1,6,4,5,3,4
s278,2,7,3,5,1,7,1,4,3,7
s259,3,3,6,3,2,6,5,6,6,4
s266,4,4,5,5,3,4,3,5,6,3
s228,3,3,5,4,3,2,3,3,6,4
s210,3,3,2,5,3,3,5,5,2,5
s213,4,4,5,4,7,5,7,2,6,1
s211,4,5,5,2,3,4,3,2,4,5
s006,5,3,5,6,5,3,4,2,5,4
s258,3,2,4,4,5,4,3,4,3,5
s182,5,3,5,3,4,5,5,3,4,2
s261,3,5,4,5,2,5,3,5,3,5
s178,5,2,7,3,3,2,6,4,2,4
s299,4,3,4,5,4,5,2,4,5,5
s216,5,5,5,6,3,4,4,5,5,7
s218,6,4,6,4,3,4,5,4,4,3
s008,2,4,3,5,2,7,3,4,3,7
s222,3,1,4,3,3,5,4,2,4,3
s004,6,3,6,3,6,3,4,4,5,4
s076,2,5,3,6,3,5,2,5,4,2
s168,2,5,5,4,1,7,2,6,1,3
s112,2,4,4,1,7,6,4,4,4,3
s104,4,5,3,6,5,5,4,6,4,5
s306,4,3,2,6,4,5,2,5,4,4
s012,5,1,7,2,7,2,7,2,7,2
s288,NA,4,4,4,3,5,5,3,4,5
s050,4,3,3,6,2,3,3,2,4,3
s063,3,4,6,3,3,6,5,2,3,4
s084,2,2,7,4,4,3,4,4,3,4
s303,2,4,3,3,2,6,2,4,4,4
s305,2,3,7,3,3,4,4,4,4,4
s097,3,5,4,4,1,5,2,5,4,6
s138,4,4,2,4,2,5,1,7,1,3
s145,4,2,4,5,3,5,2,3,4,5
s066,4,4,3,2,3,4,5,5,5,4
s257,2,4,4,3,1,5,4,5,4,4
s079,3,6,4,5,3,6,2,4,4,4
s130,4,1,4,3,5,3,3,2,4,6
s227,4,1,7,2,6,3,6,1,5,4
s240,4,4,5,4,2,5,4,4,2,5
s067,5,2,7,3,5,3,5,3,4,4
s102,4,4,3,4,4,5,1,5,3,4
s155,6,2,7,1,4,1,5,1,6,2
s093,4,4,3,4,4,3,6,3,5,3
s123,2,5,7,6,3,5,2,3,2,4
s289,1,5,4,5,3,6,5,4,4,4
s268,4,3,4,4,3,5,2,4,2,5
s295,3,3,7,4,3,3,7,2,6,2
s180,5,4,3,3,2,4,2,4,3,7
s062,4,6,5,3,6,5,5,4,4,3
s196,5,2,4,3,4,4,4,3,4,5
s207,4,3,6,2,6,2,3,3,6,2
s294,1,4,3,3,5,4,5,3,2,5
s141,7,2,7,1,4,4,6,1,7,3
s114,3,4,4,5,3,5,3,5,4,5
s167,5,3,5,5,2,3,5,6,5,3
s025,7,4,6,4,5,5,4,4,2,3
