subj_id,Fq1,Rq2,Fq3,Rq4,Fq5
s319,4,4,4,4,4
s287,2,7,1,5,1
s366,4,4,4,4,4
s318,6,4,4,3,4
s008,4,4,4,5,4
s332,7,3,4,5,4
s153,3,4,5,5,5
s294,4,5,4,5,2
s001,4,4,3,5,3
s239,2,6,1,4,3
s279,4,4,5,4,4
s344,2,6,5,6,1
s262,4,4,4,4,2
s252,6,7,5,4,3
s111,4,1,6,3,4
s072,6,4,4,1,5
s365,5,3,4,4,5
s230,5,3,4,3,6
s037,3,7,3,5,4
s103,5,NA,6,2,7
s058,4,6,4,6,3
s256,4,4,5,2,5
s173,7,5,4,3,4
s064,4,4,4,5,3
s304,4,5,6,2,5
s116,2,6,2,5,3
s014,7,3,5,5,6
s042,5,6,4,4,7
s138,6,1,6,2,7
s373,3,4,4,5,4
s070,4,4,1,4,3
s026,2,5,6,5,5
s325,4,5,6,2,5
s346,5,4,4,2,3
s112,3,4,3,7,5
s132,5,2,4,4,6
s082,3,4,5,2,6
s307,4,4,1,2,5
s247,6,4,3,3,3
s019,3,4,4,4,4
s371,6,3,5,4,4
s270,4,5,4,1,4
s030,5,3,7,3,3
s022,2,4,4,3,5
s101,4,5,1,4,5
s358,3,4,4,3,4
s128,2,7,3,6,3
s324,4,5,3,3,4
s158,1,6,2,6,4
s018,5,2,4,1,6
s029,3,5,7,6,3
s352,4,2,7,1,4
s209,2,7,5,5,4
s067,3,4,3,5,3
s004,6,6,5,4,2
s214,5,4,4,4,4
s259,4,1,6,3,6
s266,2,5,5,2,4
s316,2,2,6,3,4
s155,3,5,4,4,4
s219,5,2,6,2,6
s291,2,5,2,4,1
s238,4,4,5,2,6
s048,3,5,2,6,4
s114,5,4,4,3,4
s206,5,3,7,4,5
s003,3,5,3,4,4
s288,6,3,5,4,4
s033,5,5,4,4,4
s317,4,3,4,1,6
s305,6,5,6,2,5
s208,4,3,7,4,6
s216,7,4,3,5,2
s278,3,3,4,2,6
s217,1,5,4,4,3
s104,1,4,4,3,2
s283,4,4,3,5,3
s231,6,4,7,3,7
s066,3,6,2,5,3
s130,4,3,5,6,1
s060,3,4,5,3,2
s078,3,5,3,4,1
s187,2,2,6,1,4
s124,5,4,3,3,3
s100,3,4,3,6,4
s183,3,6,6,3,4
s302,5,6,3,4,5
s098,5,2,5,3,4
s129,3,3,4,3,4
s017,7,1,4,4,3
s348,7,1,5,3,5
s212,1,5,2,5,2
s370,4,4,4,4,4
s233,1,6,4,3,3
s062,5,5,7,3,4
s384,6,5,5,3,6
s135,4,4,1,4,3
s071,3,4,5,2,4
s355,4,6,3,6,3
s049,6,4,5,7,3
s362,7,2,4,6,6
s273,3,7,3,6,4
s118,3,3,4,5,3
s310,4,2,3,5,5
s012,6,4,4,2,5
s213,4,4,4,3,7
s226,1,5,4,3,2
s166,3,6,4,4,4
s006,1,4,5,5,4
s088,7,5,6,1,6
s241,4,5,4,6,2
s192,5,1,3,3,5
s092,3,6,2,5,1
s224,5,4,3,3,4
s061,1,5,2,4,5
s108,5,5,6,1,5
s156,4,5,3,5,2
s024,NA,4,5,4,5
s161,2,5,3,4,4
s243,5,4,4,3,4
s215,5,3,6,3,4
s323,6,5,5,3,5
s272,3,4,4,3,4
s005,7,5,6,2,7
s046,2,3,4,3,2
s320,4,3,2,4,4
s145,3,7,3,7,3
s127,4,5,2,4,2
s364,5,3,5,2,4
s168,5,3,5,2,5
s094,4,3,4,6,3
s338,4,4,5,4,5
s125,1,4,2,5,3
s389,4,5,1,4,4
s333,3,7,4,4,3
s295,2,5,1,5,3
s097,4,6,5,3,4
s043,3,5,7,4,2
s329,4,7,3,4,3
s277,6,6,3,3,5
s143,6,3,6,3,4
s368,4,2,6,3,7
s328,4,6,3,5,4
s157,4,3,2,3,3
s025,5,2,7,4,5
s073,4,4,4,4,3
s293,6,6,4,3,3
s106,3,6,3,5,4
s095,3,5,4,4,5
s056,4,3,5,4,5
s074,4,6,2,6,5
s375,4,5,4,4,3
s140,4,6,4,5,4
s047,4,3,4,2,6
s009,6,4,3,3,5
s199,3,5,4,4,3
s203,2,7,4,6,4
s258,2,3,4,5,4
s115,4,5,5,4,6
s250,3,3,5,3,5
s246,5,4,5,3,4
s383,3,2,6,1,4
s150,5,4,3,3,6
s292,4,3,4,3,6
s381,1,4,6,3,3
s326,3,5,5,6,4
s084,2,5,3,4,4
s281,5,6,3,4,4
s301,1,2,4,4,5
s299,2,NA,5,5,4
s126,4,5,2,3,1
s160,7,3,7,3,5
s169,3,7,5,5,4
s011,3,5,3,6,3
s197,2,5,4,4,4
s335,4,4,4,4,4
s176,2,7,3,4,5
s052,5,5,4,2,6
s284,4,7,5,2,4
s263,3,4,4,2,4
s336,2,3,4,4,4
s312,1,4,2,6,1
s322,3,4,5,4,5
s190,2,2,1,5,5
s002,7,3,6,2,6
s090,5,6,4,3,4
s167,5,5,4,3,3
s196,4,1,5,3,6
s385,4,4,4,4,5
s148,5,3,2,4,3
s195,3,3,3,4,4
s152,3,3,6,4,5
s296,4,3,4,4,4
s309,6,1,5,5,1
s068,6,4,4,3,5
s236,4,6,4,6,3
s377,5,1,6,3,6
s274,4,4,2,3,3
s147,3,5,2,6,1
s280,3,6,3,5,1
s110,7,4,4,3,6
s059,6,3,7,4,5
s289,2,5,2,5,3
s075,4,4,4,3,3
s151,4,5,4,3,4
s170,5,2,5,2,4
s120,1,7,2,6,1
s177,3,5,1,4,4
s387,4,4,3,3,4
s041,3,6,5,5,1
s386,3,3,5,3,5
s347,3,5,1,4,4
s268,5,6,4,5,4
s265,4,4,5,3,2
s093,4,2,5,3,7
s057,4,4,7,6,4
s363,2,6,1,5,1
s045,5,3,7,4,5
s306,3,4,5,3,5
s034,7,2,5,2,7
