subj_id,q1F,q2R,q3F,q4R,q5F
s004,4,3,2,3,4
s112,3,5,4,4,5
s028,4,1,6,1,6
s147,5,4,4,3,7
s047,4,4,4,3,6
s352,2,3,2,5,4
s300,7,4,4,5,5
s054,3,4,6,5,3
s012,4,4,3,2,2
s235,4,5,7,4,3
s095,4,3,4,7,3
s380,3,5,5,6,4
s285,6,4,5,4,2
s266,4,6,4,3,3
s204,3,4,6,5,5
s035,2,5,3,2,4
s242,2,7,5,4,4
s260,4,7,4,5,4
s046,3,5,3,5,3
s263,4,4,5,5,3
s104,2,6,7,4,3
s281,6,4,3,5,5
s212,4,3,7,5,6
s338,4,4,4,3,2
s388,2,3,3,4,5
s215,3,6,2,4,3
s201,1,7,2,6,3
s283,3,3,5,1,6
s310,2,6,1,6,4
s015,2,5,6,4,2
s070,5,4,3,4,6
s139,2,5,4,6,3
s387,7,1,4,3,6
s091,5,5,5,5,5
s143,6,2,7,1,5
s043,5,6,2,3,5
s022,2,4,4,2,2
s109,2,4,2,5,3
s118,3,5,3,5,5
s259,3,3,4,5,3
s154,3,6,4,4,5
s331,3,3,2,3,3
s280,4,4,5,3,4
s057,4,3,6,5,6
s169,7,1,6,2,5
s341,3,3,5,5,6
s083,4,4,4,5,4
s221,6,3,7,1,6
s129,7,4,6,3,6
s038,4,5,5,5,4
s390,3,6,1,4,3
s383,4,3,4,3,5
s069,3,7,2,5,2
s291,5,3,5,2,4
s124,3,6,2,5,4
s190,4,4,5,2,6
s312,6,3,5,1,6
s113,1,6,1,6,2
s217,2,5,4,4,5
s094,4,3,4,4,5
s175,3,5,4,4,5
s224,4,7,2,4,5
s213,5,6,5,5,5
s011,4,3,5,1,4
s386,3,2,4,4,4
s325,3,3,2,3,6
s180,5,4,6,3,7
s202,5,3,7,3,5
s366,4,1,6,1,5
s029,5,3,3,2,5
s350,4,3,5,1,5
s181,4,1,5,3,6
s066,4,6,2,5,3
s304,6,3,6,1,6
s311,5,3,1,5,5
s231,2,4,4,4,3
s254,3,6,3,3,2
s238,1,5,4,7,2
s219,4,5,1,3,4
s340,5,6,3,4,4
s327,3,6,2,6,4
s135,7,4,4,7,5
s158,4,6,3,6,1
s384,3,5,4,5,4
s140,4,2,6,4,3
s056,2,2,4,3,5
s343,4,5,5,5,3
s357,2,4,4,4,4
s036,5,4,6,5,5
s364,5,4,4,3,3
s078,5,5,6,3,4
s258,4,4,6,2,3
s068,4,5,5,1,7
s226,7,4,6,3,4
s060,1,6,3,4,3
s053,3,5,5,4,4
s209,4,2,5,3,6
s110,4,4,6,4,5
s018,2,5,6,5,3
s059,1,7,1,7,1
s121,5,3,4,5,4
s198,5,4,5,3,4
s348,1,4,5,5,4
s114,4,6,5,4,1
s178,3,3,3,4,5
s318,4,3,5,5,3
s033,4,4,4,7,2
s328,3,5,4,7,1
s267,5,4,5,3,3
s210,5,4,5,3,7
s034,2,3,7,7,3
s032,2,7,6,7,5
s132,2,4,4,1,3
s149,5,3,7,3,3
s371,3,7,4,6,2
s288,3,7,3,4,2
s218,1,3,4,4,4
s305,4,5,3,6,1
s159,1,4,2,5,3
s389,3,5,6,5,4
s316,1,4,4,4,3
s142,4,4,3,7,5
s237,3,3,3,4,7
s157,3,4,2,5,3
s342,2,4,2,3,1
s103,3,4,3,5,2
s236,3,6,3,5,2
s322,1,4,2,5,4
s179,2,6,2,4,3
s247,NA,4,2,3,4
s253,3,2,7,3,7
s354,3,3,5,3,5
s182,5,4,6,4,5
s031,4,5,3,3,5
s075,2,3,3,6,2
s148,4,5,4,5,6
s156,3,3,2,3,3
s072,6,6,5,2,7
s353,3,4,4,6,5
s161,5,4,7,3,4
s137,5,3,4,1,4
s001,6,5,3,3,5
s345,5,4,7,5,6
s255,4,3,3,5,4
s292,3,5,3,5,4
s243,4,2,4,3,4
s252,4,5,6,3,5
s268,2,5,4,1,4
s023,4,4,3,3,5
s010,4,5,3,6,3
s321,4,3,5,5,5
s303,4,4,5,1,7
s048,2,7,3,6,1
s021,1,3,4,3,3
s361,5,1,6,4,6
s123,4,3,6,2,3
s007,2,5,2,5,3
s225,3,5,5,4,2
s370,5,6,4,4,4
s256,2,5,3,5,5
s164,5,4,6,4,6
s117,4,3,4,1,5
s009,3,5,5,7,4
s030,2,4,4,4,5
s249,3,4,4,4,6
s363,4,5,5,4,4
s079,5,2,2,1,6
s339,4,3,6,5,4
s045,3,7,4,3,4
s323,2,5,3,3,4
s096,3,3,5,4,3
s298,3,6,5,3,5
s126,2,4,5,2,3
s003,4,3,4,6,7
s214,2,5,4,4,7
s013,2,2,3,4,3
s244,2,4,3,4,4
s172,1,5,4,4,4
s375,7,5,3,3,4
s085,4,1,5,2,7
s362,5,6,5,4,5
s234,3,4,4,2,3
s271,4,5,5,4,5
s073,3,4,5,3,4
s130,3,5,4,4,3
s145,3,3,4,3,4
s208,4,4,7,2,4
s040,5,5,5,4,5
s188,3,2,4,3,5
s064,3,4,6,7,2
s296,1,5,1,7,1
s063,1,5,5,5,4
s099,5,1,4,3,4
s153,2,4,5,3,4
s360,5,3,NA,3,5
s277,7,2,7,2,5
s024,3,1,5,4,5
s080,3,5,5,4,4
s220,3,4,4,4,4
s170,5,1,6,2,6
s391,5,3,4,2,5
s334,4,2,5,3,4
s241,5,2,2,4,6
s191,3,7,3,5,2
s199,3,3,5,5,5
s320,1,7,2,4,4
s111,5,4,3,NA,4
s136,3,3,6,4,5
s138,3,4,3,5,5
s240,5,4,6,2,7
s392,3,6,3,5,5
s189,5,3,4,1,5
s052,4,5,5,1,4
s102,4,6,3,6,5
s077,7,5,7,1,5
s020,2,5,2,4,3
s146,5,2,4,4,5
s062,4,4,5,4,1
s279,1,4,3,4,4
s014,5,4,3,4,4
s287,2,3,5,4,4
s228,4,5,4,5,4
s282,1,4,1,5,3
s239,5,5,5,4,4
s332,4,5,2,4,4
s185,4,2,3,1,5
s377,4,3,7,2,7
s272,2,4,4,4,2
s205,1,6,1,7,1
s227,4,4,7,4,6
s119,4,3,4,4,7
s026,3,5,3,5,2
s167,5,5,5,7,1
s002,2,2,4,2,5
s152,1,3,5,4,6
s005,2,4,4,4,3
s105,4,5,5,1,5
s165,4,6,5,3,5
s359,3,4,2,5,5
s372,3,5,2,3,4
s074,5,3,6,4,7
s108,1,6,4,4,4
s098,4,2,6,1,3
s351,7,1,7,2,6
s144,7,3,5,3,4
s284,3,4,4,4,4
s076,4,5,5,4,3
s216,1,4,4,2,3
s174,3,7,4,3,3
s248,2,3,1,6,3
s197,2,6,2,6,4
s039,6,3,6,4,7
s101,1,6,3,4,2
s230,3,5,6,5,3
s115,3,2,4,5,4
s050,2,5,4,6,7
s346,3,3,5,3,6
s195,3,3,5,4,3
s378,3,7,3,4,3
