subj_id,q1_F,q2_R,q3_F,q4_R,q5_F,q6_R,q7_F
s223,5,4,3,2,4,5,5
s312,3,6,5,5,3,5,4
s004,5,4,6,3,6,4,2
s281,6,5,6,4,5,3,5
s286,5,4,5,1,6,5,7
s118,3,5,2,6,2,4,2
s121,3,3,5,5,4,4,3
s096,3,5,4,5,2,3,4
s133,4,5,4,4,5,4,6
s125,1,4,4,5,3,7,1
s067,4,3,4,4,3,3,4
s086,4,3,5,5,4,4,4
s216,4,5,1,5,2,6,3
s144,4,4,4,7,7,4,3
s057,4,4,5,3,4,5,3
s260,4,5,2,7,4,4,4
s136,4,3,2,3,3,3,4
s252,5,4,2,4,4,4,2
s061,5,2,4,4,6,1,6
s318,5,1,7,2,6,5,5
s164,6,6,4,2,7,5,5
s048,7,3,5,5,7,4,7
s224,4,5,5,3,5,3,5
s272,6,4,4,4,4,5,5
s189,4,2,4,3,4,2,5
s279,6,2,4,2,6,2,6
s225,4,7,5,1,4,2,5
s348,7,5,7,3,4,3,5
s333,4,6,5,2,3,4,3
s182,4,6,5,5,5,5,2
s082,3,4,6,6,3,4,3
s327,5,3,7,4,6,3,7
s214,4,3,7,4,3,3,4
s135,4,4,3,5,3,6,4
s151,4,5,3,2,5,6,4
s307,5,3,6,1,7,1,5
s181,2,6,3,4,4,7,1
s314,6,5,3,5,5,4,4
s078,6,4,2,4,2,6,5
s002,7,4,5,5,4,2,6
s178,2,6,3,7,2,7,2
s060,3,7,5,4,2,5,3
s072,2,5,5,5,4,6,2
s020,4,3,5,4,2,4,4
s006,5,4,4,4,7,1,5
s262,3,5,5,4,5,3,4
s309,4,6,3,3,4,6,4
s330,5,3,7,4,4,3,4
s254,7,4,4,4,6,2,4
s080,4,5,4,6,4,5,5
s211,5,5,4,5,4,5,3
s041,6,5,5,4,4,3,6
s173,2,7,4,6,3,NA,4
s334,4,6,4,4,3,5,4
s115,4,6,4,4,3,5,3
s171,4,6,4,5,4,4,3
s198,5,3,3,2,5,5,7
s331,4,4,5,3,5,4,5
s109,2,4,3,2,5,4,5
s110,4,4,4,5,1,4,5
s165,4,5,3,5,4,5,2
s337,4,4,2,5,2,4,4
s229,5,4,3,7,4,4,5
s155,3,5,3,4,4,5,3
s239,6,5,3,3,5,4,1
s131,5,5,6,2,4,1,3
s215,6,4,3,3,4,3,4
s084,7,2,6,4,4,4,5
s038,4,5,3,4,3,5,5
s187,2,7,3,5,2,7,4
s168,4,5,3,6,3,6,2
s251,4,5,3,4,3,3,1
s024,3,6,3,4,2,5,5
s299,3,5,3,4,1,5,2
s329,2,6,6,5,4,6,3
s266,5,3,3,5,3,4,4
s123,4,4,5,5,3,3,7
s122,4,4,4,4,3,1,5
s323,5,5,7,4,5,4,3
s341,2,3,4,7,2,4,3
s340,3,5,2,5,3,5,4
s071,3,4,5,6,2,5,4
s282,6,5,7,4,4,3,5
s149,5,4,5,4,5,4,4
s065,3,5,2,4,3,4,4
s253,2,4,2,5,3,7,1
s035,6,4,6,3,7,5,4
s091,4,6,5,4,5,4,4
s093,2,6,3,4,2,5,3
s158,3,7,3,6,2,7,2
s193,3,6,3,5,NA,6,2
s204,7,5,6,1,5,5,4
s139,4,3,5,3,6,5,4
s062,4,4,4,4,4,3,5
s148,4,7,2,6,4,5,2
s231,6,3,5,4,4,3,7
s074,4,3,6,6,6,4,NA
s010,4,4,4,4,4,4,4
s009,7,2,7,1,6,1,4
s030,5,5,3,5,1,7,3
s077,7,4,5,4,5,3,6
s287,5,3,4,4,3,5,4
s263,4,3,4,3,2,4,3
s172,3,5,4,4,4,4,3
s247,5,5,6,5,5,4,3
s068,2,4,2,6,5,4,4
s313,3,2,4,3,5,2,4
s291,4,6,5,2,5,3,4
s132,6,4,4,4,1,5,4
s261,6,4,5,3,4,5,6
s349,5,4,4,4,6,5,4
s185,5,4,4,5,4,6,6
s336,3,7,5,6,2,7,1
s069,5,5,2,6,4,6,3
s192,3,6,4,4,4,5,4
s339,4,3,6,5,3,3,5
s042,4,6,4,3,6,4,4
s310,5,4,5,6,4,3,3
s210,5,4,6,3,4,4,5
s186,4,2,4,3,4,5,3
s147,1,3,5,4,4,6,3
s015,3,7,4,6,3,5,4
s102,4,7,3,7,4,5,2
s014,5,5,5,6,4,5,3
s293,7,3,4,1,5,3,6
s018,5,4,1,4,5,2,3
s322,6,4,4,2,4,4,5
s177,4,3,5,4,4,6,4
s219,4,4,6,1,5,4,1
s320,4,4,4,4,4,7,2
s089,5,3,5,2,6,1,7
s013,4,4,NA,7,5,6,4
s230,3,7,2,7,1,5,4
s056,7,NA,5,3,5,3,3
s075,1,7,2,4,1,7,3
s271,5,4,3,5,4,6,5
s300,7,3,5,3,5,4,6
s228,5,5,5,4,4,4,5
s292,4,2,6,4,4,3,5
s150,6,5,NA,5,6,4,4
s052,3,2,5,3,4,7,6
s306,1,6,2,4,4,7,3
s227,7,2,7,4,4,1,7
s280,5,4,4,5,7,4,2
s106,4,4,3,5,4,6,3
s028,3,4,3,6,3,6,5
s119,5,4,4,4,5,5,3
s257,7,2,5,1,7,3,5
s128,5,6,3,4,4,4,6
s273,4,4,4,6,4,7,5
s295,5,6,2,6,4,4,5
s113,5,4,5,2,3,2,5
s156,5,2,6,2,5,2,7
s202,5,3,4,4,4,3,3
s047,5,7,6,3,6,6,6
s101,5,5,4,5,3,2,5
s046,6,4,5,2,4,2,5
s343,4,2,5,5,6,3,4
s003,6,7,6,5,3,4,5
s190,1,4,1,7,3,6,3
s205,5,3,4,3,4,3,4
s063,5,6,2,6,5,4,3
s267,3,4,5,3,3,3,1
s303,6,4,5,3,5,3,7
s058,6,4,2,5,4,5,3
s201,5,4,5,5,3,3,3
s245,4,4,4,4,5,5,7
s316,7,4,5,4,5,3,3
s033,6,3,4,1,7,4,4
s092,6,4,5,4,3,4,6
s268,4,4,5,3,7,1,6
s176,4,4,7,3,5,3,3
s304,3,4,4,5,3,4,2
s232,5,5,2,7,3,4,4
s034,6,4,5,5,4,7,5
s016,5,4,6,3,4,5,6
s242,4,5,6,6,6,4,4
s055,4,4,4,3,7,7,4
s104,4,3,5,4,7,2,5
s008,5,5,3,5,1,3,6
s212,4,3,3,6,4,6,5
s294,2,4,5,5,5,6,7
s099,4,5,3,4,5,5,5
s255,7,5,4,3,5,3,7
s213,4,7,3,7,4,6,5
s308,6,5,6,3,4,4,4
s220,3,4,3,6,2,4,1
s236,6,4,6,5,5,4,3
s090,1,6,2,4,4,6,1
s335,6,4,4,3,4,5,4
s039,2,7,2,6,4,4,1
s108,6,5,6,3,3,4,4
s208,6,4,5,2,NA,3,6
s278,6,4,3,4,6,5,4
s137,5,7,4,4,5,6,3
s332,2,5,4,6,3,4,3
s130,7,4,6,5,5,5,4
s351,4,4,3,6,4,6,2
s001,4,6,3,2,3,2,3
s264,2,7,2,5,5,5,4
s166,4,2,4,7,4,6,5
s120,5,4,4,5,6,4,3
s169,2,7,3,5,3,4,3
s117,7,2,6,2,7,2,7
s017,2,6,4,4,3,4,4
s160,3,4,6,5,5,4,5
s064,2,7,2,5,1,3,3
s094,5,6,5,2,6,4,6
s076,3,6,4,5,6,5,3
s325,7,4,4,5,6,3,4
s079,5,4,6,1,6,4,7
s179,7,3,3,3,3,4,4
s238,6,4,5,5,3,5,5
s005,7,5,5,1,7,3,7
s277,6,4,5,5,5,3,4
s154,6,5,4,4,4,4,5
s026,5,4,2,5,2,3,5
s174,5,2,4,1,5,5,7
s105,4,4,5,5,3,6,4
s274,2,6,4,5,5,6,2
s153,6,2,6,2,4,4,6
s134,3,7,5,7,4,7,3
s085,2,4,3,5,1,2,5
s152,4,4,3,5,5,3,4
s141,6,4,6,3,7,4,7
s194,5,2,1,4,3,4,4
s197,4,7,5,4,6,5,5
s276,6,4,7,1,5,4,3
s218,4,4,4,3,3,4,4
s288,4,4,3,4,5,6,3
s298,3,5,1,5,2,4,5
s073,4,4,5,5,1,4,5
s159,5,4,4,3,5,6,6
s114,7,6,2,7,4,4,3
s146,3,5,4,3,4,4,4
s081,1,7,1,5,2,5,4
s244,4,1,5,5,7,3,7
s283,5,7,3,4,3,5,4
s296,2,4,5,2,4,4,6
s305,2,4,4,5,3,5,2
s054,5,4,3,7,3,6,4
s083,4,5,2,NA,4,4,4
s138,3,3,3,5,5,2,3
s011,4,4,5,6,4,4,4
s059,5,5,5,4,4,6,5
s249,5,4,7,4,5,4,2
s248,6,7,2,5,2,6,4
s188,7,4,6,4,7,4,6
s036,7,2,7,6,6,3,5
s206,5,5,3,5,5,4,5
s126,4,4,4,1,5,5,2
s087,2,4,6,5,4,5,4
s275,6,3,6,3,4,5,3
s097,3,7,5,1,4,3,4
s241,5,4,4,3,5,4,6
s297,6,4,5,3,5,3,6
s112,6,1,6,2,6,4,4
s195,6,2,7,2,6,4,4
s170,2,6,2,6,5,5,1
s324,5,4,4,5,4,4,3
s029,7,4,5,4,3,2,4
s044,4,4,2,3,6,3,4
s199,3,5,4,3,5,4,5
s302,4,7,2,7,3,7,3
s233,4,4,4,5,5,5,3
s259,4,5,5,6,4,2,1
s319,4,2,4,1,4,4,4
s321,5,3,6,3,5,3,6
s116,6,1,5,3,5,4,6
s111,5,4,6,4,4,4,7
s012,4,7,2,7,2,4,1
s098,6,4,4,4,4,5,4
