subj_id,F-q01,R-q02,F-q03,R-q04,F-q05,R-q06,F-q07,R-q08,F-q09,R-q10,F-q11
s340,3,7,5,5,2,5,4,6,1,6,3
s311,4,7,4,5,3,7,4,4,1,5,2
s007,5,5,2,6,3,5,2,3,5,3,1
s277,7,4,6,4,5,4,7,2,4,2,5
s325,3,5,4,5,1,4,4,5,1,4,3
s045,2,6,5,3,4,6,4,2,4,3,3
s153,3,3,6,3,5,7,4,5,4,3,4
s223,5,6,4,2,6,2,5,6,5,4,6
s339,5,6,4,5,5,5,5,4,4,3,2
s218,4,7,5,5,4,4,1,6,2,5,3
s222,5,7,2,6,5,6,4,4,4,4,3
s164,4,5,4,6,2,NA,4,6,4,3,2
s232,1,5,4,4,1,5,2,4,3,5,6
s124,5,6,1,4,4,4,6,3,3,4,4
s079,5,4,4,2,6,4,5,4,4,1,6
s166,7,4,5,2,4,1,7,2,5,2,6
s041,5,3,6,2,4,3,5,1,4,5,7
s156,5,2,4,4,4,2,5,5,4,3,6
s148,1,6,2,5,2,7,1,6,1,7,4
s273,7,3,2,4,2,3,5,4,1,5,4
s071,6,5,3,3,4,3,4,4,4,1,4
s327,4,6,3,3,3,5,3,5,3,5,1
s052,5,3,5,3,4,6,6,2,4,4,4
s331,4,3,4,4,4,4,3,1,2,2,5
s114,5,4,5,3,6,2,5,3,5,2,4
s174,4,4,6,5,4,3,4,NA,4,3,4
s210,4,4,4,3,4,4,4,4,4,4,5
s169,6,4,4,3,4,5,5,5,3,2,6
s309,7,4,5,3,3,4,6,3,3,2,4
s076,2,4,1,3,4,5,1,5,4,3,2
s161,5,6,3,5,2,5,4,4,4,2,4
s235,4,6,4,4,3,6,5,4,3,7,5
s292,1,5,1,6,4,4,4,5,4,2,3
s337,6,3,7,4,3,5,4,2,6,3,6
s085,4,5,4,5,5,3,4,2,5,2,7
s038,2,4,5,5,2,5,3,3,1,6,3
s030,5,3,3,1,3,5,4,3,6,5,5
s049,5,4,4,4,4,5,4,4,6,3,5
s295,3,7,4,5,3,7,3,5,1,5,5
s123,4,4,6,4,5,4,3,3,5,2,7
s179,4,7,4,4,3,4,4,6,4,4,5
s269,3,1,6,3,6,3,7,1,4,2,2
s307,3,4,1,6,4,3,3,5,3,5,3
s182,6,3,7,2,6,3,6,2,5,2,7
s302,NA,5,4,4,3,4,4,4,4,1,4
s147,2,7,NA,6,3,7,1,5,2,5,2
s127,2,4,4,5,3,6,3,3,3,3,2
s112,4,5,5,4,7,5,5,4,6,5,5
s074,4,4,3,2,5,5,6,2,5,1,5
s083,2,7,4,2,3,7,4,5,2,4,6
s197,5,5,3,5,2,2,3,2,2,3,2
s199,4,5,4,4,5,6,4,2,4,2,2
s152,3,7,3,3,3,5,3,4,5,5,3
s364,5,3,6,2,5,3,6,1,4,1,5
s055,7,4,4,1,2,7,1,1,5,5,5
s352,1,5,3,5,4,5,5,7,3,4,3
s015,4,7,4,4,2,6,3,3,4,4,6
s212,2,3,5,4,4,4,4,2,3,4,2
s287,6,7,3,5,2,6,4,6,4,4,4
s290,5,7,5,NA,3,4,4,2,6,2,5
s220,6,3,5,6,6,5,4,2,4,4,4
s281,4,5,4,4,5,6,4,5,5,2,4
s140,5,3,5,2,4,6,3,1,5,2,6
s263,3,6,3,5,2,4,4,4,4,3,4
s279,7,5,4,3,5,6,3,3,5,4,6
s034,4,2,4,4,4,5,1,7,5,4,3
s330,4,5,4,4,6,5,5,2,5,4,3
s206,4,3,5,3,5,5,6,3,5,4,4
s226,5,5,4,2,4,3,6,3,5,4,7
s268,4,2,5,1,7,5,4,3,3,2,4
s023,3,6,2,6,3,6,2,4,5,6,2
s010,6,4,4,5,4,2,2,4,4,3,4
s136,4,6,4,4,2,4,3,3,2,3,4
s080,4,5,3,4,6,7,1,4,4,4,5
s333,4,4,5,4,5,5,2,3,4,4,4
s009,6,5,7,3,6,2,4,4,5,3,5
s267,4,3,3,2,5,2,7,5,5,3,4
s086,5,6,3,4,5,5,4,4,3,4,4
s214,5,4,NA,3,3,7,4,3,4,6,2
s257,3,6,3,6,3,4,4,4,4,5,2
s231,5,4,5,2,5,6,5,1,5,4,5
s177,4,4,4,5,5,3,4,5,3,4,2
s008,6,2,7,3,6,4,6,1,6,1,4
s224,2,5,2,4,5,5,3,6,3,2,5
s116,2,5,6,6,4,6,4,4,3,4,4
s191,7,4,5,3,7,3,5,3,4,3,5
s099,6,5,5,2,4,4,4,3,4,4,NA
s366,5,5,2,3,1,7,1,5,1,5,2
s121,4,6,6,4,5,5,3,4,4,4,NA
s238,4,6,3,5,5,6,3,3,4,3,4
s048,6,5,4,3,4,7,3,4,4,3,1
s042,5,6,4,5,3,4,4,4,5,6,5
s262,4,3,4,3,5,6,4,5,5,5,4
s088,3,5,2,5,1,5,5,4,3,4,3
s064,3,4,4,6,2,6,4,4,2,4,4
s346,6,3,5,3,5,4,5,4,5,3,3
s282,5,4,5,5,5,4,4,4,5,1,6
s202,3,5,4,NA,1,6,3,3,2,7,3
s175,4,4,5,2,3,4,5,4,3,6,3
s138,3,5,3,5,3,4,7,3,4,4,6
s264,1,3,4,5,2,5,4,5,2,6,4
s046,5,4,4,4,4,4,4,1,4,4,6
s105,4,7,4,5,2,4,3,5,1,4,4
s091,4,5,4,4,5,5,3,1,4,4,3
s329,1,4,5,5,7,4,3,3,5,6,4
s162,6,3,5,1,4,3,6,3,5,1,7
s163,4,2,5,1,6,5,3,4,3,4,7
s342,3,5,3,4,3,5,3,3,5,4,4
s141,3,4,3,3,4,5,NA,2,3,3,6
s098,5,4,3,3,4,4,6,4,4,1,5
s073,2,5,3,5,2,4,2,5,4,4,5
s029,4,5,5,3,2,5,3,4,4,5,4
s027,7,5,2,4,2,5,3,3,6,4,4
s145,4,7,3,6,3,6,3,4,4,4,NA
s265,5,6,5,6,3,4,3,2,6,4,6
s054,7,3,6,5,3,5,6,3,3,3,4
s259,2,1,4,2,5,5,6,4,6,3,5
s217,4,4,5,6,5,4,3,5,5,5,4
s359,4,2,5,4,4,4,2,4,7,4,5
s061,4,1,6,4,5,2,5,3,4,4,7
s001,4,5,4,4,2,3,3,3,4,4,3
s286,3,4,3,4,3,6,3,5,3,5,3
s006,3,4,4,5,4,6,2,5,3,6,3
s097,4,7,2,6,4,6,2,5,2,4,5
s110,2,6,5,1,4,5,7,3,4,4,4
s122,4,5,7,3,4,5,6,3,4,4,5
s367,6,5,5,2,3,4,4,3,5,5,4
s275,5,6,5,3,4,5,4,4,6,4,4
s047,5,4,4,7,3,7,5,7,5,5,4
s132,1,4,3,3,5,4,4,3,6,3,5
s322,4,5,4,3,7,6,4,3,4,7,5
s351,2,3,6,4,6,5,3,3,4,6,7
s357,5,4,4,2,5,3,4,4,4,4,5
s143,6,6,6,4,4,5,3,4,4,3,4
s051,2,4,4,5,4,4,4,4,5,3,5
s068,5,NA,4,2,5,2,6,3,4,2,5
s356,2,7,3,5,1,3,2,4,3,3,1
s115,2,3,3,3,4,3,5,3,4,2,6
s320,3,5,5,3,4,6,2,6,4,6,4
s234,5,4,4,5,4,5,4,3,3,3,3
s165,4,3,6,2,5,4,3,2,5,4,6
s250,4,6,4,7,1,6,3,5,1,2,4
s300,4,4,5,5,4,5,5,3,5,4,4
s294,1,6,2,6,2,5,2,4,3,3,3
s270,5,4,5,3,7,3,5,3,NA,1,5
s323,4,4,2,4,3,5,6,3,5,5,5
s013,6,6,4,6,4,6,4,4,6,4,3
s219,3,2,3,4,2,4,3,3,6,4,4
s251,2,4,4,4,3,5,4,5,4,2,5
s255,4,4,4,2,3,5,2,3,3,2,4
s146,4,7,3,5,2,7,4,5,1,4,4
s094,5,6,5,5,4,7,4,3,2,4,4
s228,5,3,5,3,5,4,5,3,3,2,6
s070,4,5,3,4,3,4,4,4,4,4,7
s317,5,4,3,3,6,5,5,5,6,2,5
s260,6,3,4,2,6,4,3,3,7,1,6
s360,4,5,2,4,4,5,5,3,4,3,5
s089,4,4,6,4,3,3,4,4,4,3,3
s301,5,4,5,2,4,4,7,1,3,3,4
s159,6,2,6,1,7,2,5,3,7,4,5
s278,6,5,4,3,2,6,3,3,4,5,4
s348,3,6,3,5,3,6,4,3,3,4,4
s050,5,4,7,3,5,6,5,2,4,2,3
s142,5,4,3,4,4,6,4,2,4,4,3
s035,4,5,6,2,1,5,3,4,3,5,5
s022,2,5,4,6,3,7,3,4,2,4,3
s003,3,5,4,6,2,7,1,6,4,7,2
s106,5,4,5,4,6,4,5,2,6,2,6
s057,4,3,4,5,3,3,4,4,4,4,6
s154,6,4,7,5,4,4,3,4,4,3,4
s066,3,3,3,5,5,5,4,2,5,4,4
s241,3,4,3,4,4,4,3,5,4,6,4
s026,5,2,7,1,4,1,5,2,6,4,5
s103,2,6,2,3,3,3,4,7,3,6,2
s354,2,6,4,7,3,7,1,5,4,4,4
s036,3,5,2,4,4,4,3,2,3,3,5
s095,4,4,7,1,5,2,4,3,5,3,7
s130,4,3,4,3,4,5,5,2,5,3,4
s318,4,3,6,3,4,5,5,5,3,2,3
s289,7,4,4,5,4,6,7,2,5,4,7
s225,2,6,2,3,1,6,4,2,3,5,4
s019,3,7,3,5,2,6,3,5,1,5,4
s158,6,4,6,4,3,2,1,3,3,4,5
s005,5,5,4,2,4,3,5,1,5,2,6
s274,5,6,5,1,7,5,3,4,4,3,4
s246,3,7,3,5,6,4,4,3,4,5,2
s067,3,5,6,2,4,4,7,3,6,5,4
s016,5,3,4,3,6,3,4,5,5,1,5
s196,3,5,4,4,4,4,6,5,4,3,5
s355,5,3,4,3,5,4,4,4,7,4,7
s248,4,5,4,4,4,4,3,4,4,3,4
s242,4,4,6,5,6,4,5,2,2,3,3
s266,3,4,3,6,3,5,5,3,3,5,5
s314,7,5,5,6,3,4,4,4,6,2,2
s167,4,3,6,4,6,3,5,3,5,1,4
s299,4,2,5,2,4,1,4,2,4,4,5
s135,7,5,4,4,3,7,4,5,2,4,4
s100,6,2,6,1,4,4,5,3,5,2,4
s180,3,4,3,5,4,4,4,4,6,4,2
s056,6,2,1,4,4,4,5,2,3,2,4
s108,6,4,4,4,5,5,5,1,5,1,4
s060,4,3,7,3,7,3,6,1,4,2,6
s168,3,6,4,6,2,5,3,5,1,5,5
s111,3,7,3,5,1,7,4,5,1,5,3
s032,4,4,5,3,3,7,3,4,7,2,3
s149,4,3,4,5,5,1,6,5,4,4,6
s350,5,6,5,1,1,3,4,4,3,1,5
s304,3,4,4,4,4,7,5,4,3,3,4
s014,5,5,4,4,4,5,4,4,5,2,4
s271,4,4,2,3,3,3,6,5,6,3,5
s284,7,4,3,5,5,3,5,1,4,3,5
s155,7,4,5,4,4,4,6,3,5,2,7
s349,5,6,4,3,3,5,4,3,4,3,3
s334,4,3,4,1,5,4,4,4,4,4,3
s011,1,7,1,7,2,5,3,4,3,4,1
s296,3,5,4,6,1,6,1,4,3,4,5
s363,7,4,7,1,7,1,6,1,7,3,7
s176,NA,5,5,2,3,5,3,7,5,4,5
s058,4,6,4,3,5,5,5,4,4,3,3
s033,NA,4,6,1,4,3,6,4,4,3,3
s137,4,4,3,6,2,7,4,5,3,4,2
s293,4,5,5,4,2,4,4,3,4,4,6
s308,3,7,5,3,4,5,5,4,3,4,3
s134,3,4,5,3,4,5,3,4,6,4,2
s144,6,4,5,1,NA,4,2,3,4,4,4
s101,4,3,4,3,4,6,5,3,1,5,6
s291,4,5,4,4,5,6,3,4,4,4,6
s189,6,5,3,5,3,7,2,3,4,4,6
s109,5,6,3,4,5,4,4,2,3,4,4
s184,4,6,3,3,3,5,4,4,4,5,2
s021,5,5,3,3,3,5,4,6,3,3,4
s072,5,5,4,3,6,3,4,3,2,4,5
s285,2,4,3,1,5,6,4,3,5,4,2
s230,5,5,5,3,3,7,1,3,5,5,2
s362,4,5,3,6,4,6,3,3,3,3,5
s044,3,6,4,5,2,7,2,5,2,6,3
s031,5,7,4,3,3,5,4,4,4,4,6
s306,3,4,4,3,7,2,2,3,4,6,4
s171,2,7,3,5,4,5,2,4,3,5,1
s125,3,5,7,5,5,4,7,2,6,3,5
s316,4,5,7,1,6,3,5,3,5,1,5
s160,2,4,5,7,4,4,4,2,3,4,4
s215,3,5,5,3,7,3,4,2,5,1,6
s178,4,5,5,5,5,2,5,2,1,4,4
s240,5,7,4,4,4,5,3,6,2,5,3
s040,4,4,4,3,4,4,5,3,4,2,6
s188,5,4,4,2,4,3,4,4,2,2,5
s172,6,4,4,4,3,1,4,4,4,2,4
s283,5,3,6,4,5,4,5,3,4,1,6
s229,3,6,6,7,4,7,4,4,3,6,5
s017,5,4,3,5,5,4,3,3,3,3,5
s208,4,3,5,2,5,4,5,2,5,1,4
s096,3,6,1,7,3,5,3,4,3,5,1
s104,3,1,5,2,6,1,4,4,6,2,6
s244,5,6,4,3,6,3,3,3,4,2,4
s129,3,6,3,7,2,4,2,5,3,7,1
s002,6,1,5,3,5,4,5,1,5,2,7
s247,2,5,4,5,4,4,3,7,3,5,1
s310,4,7,4,5,3,7,4,4,4,5,3
s209,3,7,1,4,2,5,4,4,3,6,1
s194,4,5,3,3,5,5,4,2,7,4,3
s252,3,4,3,5,3,5,4,3,4,2,6
s084,5,5,4,4,4,5,5,4,2,4,4
s297,4,6,2,4,3,2,4,5,5,3,4
s028,5,4,4,3,5,3,3,3,5,2,6
s343,4,NA,4,3,6,5,6,3,6,1,4
