subj_id,q01-F,q02-R,q03-F,q04-R,q05-F,q06-R,q07-F,q08-R,q09-F,q10-R,q11-F
s139,4,4,5,4,5,4,4,4,6,3,4
s048,4,5,4,4,3,3,4,6,5,4,5
s091,3,3,4,4,7,4,4,5,5,1,3
s012,2,6,3,5,4,4,4,7,4,5,4
s271,4,4,5,4,4,4,1,6,5,5,2
s310,2,4,4,3,3,5,5,5,4,6,2
s159,5,5,3,5,4,7,3,7,5,3,5
s069,5,2,4,7,7,4,4,5,5,2,6
s129,3,3,4,1,4,4,4,2,5,3,4
s043,5,4,5,4,7,4,6,1,6,5,5
s183,5,1,5,3,5,3,6,5,6,3,6
s307,4,6,3,6,5,7,3,5,4,5,5
s134,2,4,2,7,2,7,2,7,5,6,3
s276,4,6,4,2,5,5,3,5,7,3,3
s128,2,5,1,4,2,7,2,7,3,6,3
s138,5,2,6,3,5,5,4,3,6,3,4
s136,2,5,3,6,6,6,1,6,7,4,4
s264,4,6,3,5,5,7,4,5,4,5,4
s180,5,4,4,4,4,7,4,5,5,5,3
s106,4,5,4,3,2,4,3,6,5,4,3
s209,5,5,4,3,4,5,3,4,5,4,4
s117,3,6,7,4,4,4,6,4,4,3,5
s280,4,4,4,4,4,5,4,3,5,4,NA
s202,4,6,2,4,3,4,4,3,2,5,4
s323,6,3,4,2,5,5,3,4,7,3,7
s162,3,1,3,1,5,4,4,1,7,2,7
s321,5,4,4,3,2,4,4,5,4,4,5
s173,5,6,4,4,6,5,5,4,3,4,6
s133,5,6,5,4,4,5,4,5,3,3,3
s095,3,4,6,4,5,3,3,6,5,4,4
s102,2,4,2,5,5,6,3,5,4,5,4
s060,4,3,5,5,3,3,3,5,5,6,3
s283,6,4,4,5,4,7,7,4,3,4,4
s064,4,4,6,4,4,4,4,4,6,2,3
s208,2,6,4,5,2,6,5,6,5,6,1
s175,6,4,4,2,6,4,5,3,4,4,5
s177,3,4,3,5,5,5,4,7,5,4,2
s298,6,4,7,3,4,3,6,3,5,2,7
s244,2,6,3,7,2,6,3,5,3,5,3
s118,5,4,4,4,3,5,4,5,5,6,4
s265,6,3,4,3,4,3,4,1,7,3,7
s226,4,5,2,7,4,5,2,7,4,4,3
s275,3,3,3,5,4,3,4,5,4,5,4
s314,2,7,3,6,1,5,1,5,2,3,3
s063,4,4,6,4,4,4,5,5,4,4,6
s015,6,3,6,4,7,2,7,4,7,1,4
s213,3,6,5,5,3,6,1,7,5,5,5
s158,5,3,3,4,5,6,1,4,7,5,4
s288,4,4,4,4,4,7,4,6,5,4,3
s266,2,4,3,2,5,5,3,5,6,4,6
s304,4,4,5,3,4,5,4,2,6,4,5
s295,4,4,5,4,4,3,4,4,6,2,5
s010,4,4,3,3,5,4,4,6,3,4,5
s235,4,3,5,3,3,4,5,6,5,4,5
s281,4,3,3,4,5,5,3,6,5,2,4
s243,4,5,4,3,4,4,4,4,3,4,5
s025,4,3,4,4,5,2,4,4,4,2,7
s105,4,4,4,3,7,5,4,4,5,3,3
s146,7,5,6,5,7,2,4,3,4,3,7
s155,3,2,4,4,6,5,4,6,4,6,3
s099,4,4,4,4,5,5,1,4,5,4,3
s186,3,5,4,5,4,5,5,4,4,3,6
s172,2,4,4,4,2,4,4,5,4,4,4
s046,4,5,7,6,4,4,4,4,7,4,3
s130,3,5,5,5,5,4,4,5,4,2,6
s269,5,6,1,5,3,6,2,7,5,4,3
s326,4,5,5,6,4,5,3,5,3,4,3
s193,4,3,5,4,6,4,4,4,5,4,2
s311,3,7,4,5,5,7,2,7,5,4,3
s142,2,6,2,7,4,6,4,6,5,6,3
s222,2,7,1,7,1,4,1,7,3,7,2
s255,5,3,3,4,4,5,5,3,5,2,4
s024,5,4,2,4,4,4,3,7,4,4,3
s020,4,4,3,6,3,6,5,5,3,5,5
s236,7,3,5,5,NA,3,7,5,5,2,5
s274,6,4,3,4,2,6,4,6,5,3,3
s285,5,3,4,3,7,4,5,5,6,3,7
s014,3,6,5,3,4,4,5,3,2,3,5
s074,6,5,5,4,5,4,5,3,7,1,6
s256,4,4,5,6,5,5,2,5,3,4,5
s148,3,5,2,3,2,5,5,7,4,5,4
s058,1,7,3,5,1,7,4,6,5,5,3
s039,7,4,6,2,6,1,4,4,5,1,7
s270,3,5,4,6,2,3,3,5,5,4,4
s119,1,6,4,5,5,6,5,6,6,5,5
s083,3,4,4,4,3,4,4,6,4,5,6
s151,3,7,4,4,4,7,5,4,NA,2,7
s120,5,2,1,4,5,4,3,5,2,5,5
s145,4,5,3,4,6,2,2,5,6,4,4
s037,5,4,1,4,5,5,4,7,6,4,4
s041,3,3,4,3,6,3,4,5,4,2,4
s299,1,2,5,5,3,3,5,4,5,6,7
s044,3,7,3,4,3,4,3,5,2,5,5
s225,2,7,3,4,3,7,6,5,5,3,2
s161,3,7,5,4,3,5,2,4,4,3,5
s237,5,6,5,3,6,4,6,5,4,4,6
s231,4,5,4,4,5,6,3,4,5,4,3
s124,4,3,4,3,3,4,4,4,4,3,4
s230,2,6,2,7,3,7,3,6,1,4,4
s006,3,3,6,5,5,4,3,4,7,4,7
s212,4,3,5,2,7,2,6,5,7,2,5
s233,4,4,5,4,4,3,4,4,5,3,5
s251,5,4,6,5,7,4,6,3,7,4,7
s169,4,5,4,6,5,6,4,4,6,4,5
s223,5,4,2,5,3,6,3,4,3,3,4
s113,5,5,5,4,4,5,6,3,5,4,5
s261,3,5,4,3,3,5,4,5,4,6,5
s181,2,7,4,5,5,5,2,6,6,4,4
s078,7,4,7,5,7,2,4,3,7,2,7
s009,3,4,2,4,5,4,4,5,4,2,3
s216,4,5,6,7,1,7,2,7,5,6,4
s305,6,3,4,6,5,NA,3,4,5,4,4
s084,4,5,4,3,4,5,4,5,3,4,6
s054,3,6,4,4,4,4,4,2,5,3,4
s232,3,1,4,4,6,4,6,3,6,4,4
s302,3,4,5,1,5,4,4,5,4,4,4
s047,6,4,7,1,6,3,6,1,5,1,7
s156,5,4,5,5,5,5,3,4,4,2,3
s277,6,1,3,5,6,4,5,3,5,4,7
s196,4,2,6,2,4,4,5,4,5,1,6
s289,4,3,4,4,4,4,6,4,5,3,6
s073,5,5,3,4,4,4,5,3,4,5,7
s038,3,6,3,6,5,4,4,5,6,6,6
s282,2,5,5,5,4,3,3,4,3,5,3
s089,4,4,3,4,6,6,4,3,7,4,4
s033,3,7,3,5,4,5,2,4,3,4,2
s013,4,4,6,4,4,4,4,4,4,3,4
s147,4,5,4,3,5,4,5,4,4,4,4
s005,5,5,5,4,4,5,5,3,5,3,4
s240,4,5,7,4,5,5,5,4,6,4,5
s221,4,4,4,5,4,1,5,6,7,3,4
s082,4,4,6,5,5,4,4,3,7,3,7
s062,3,5,2,7,5,4,1,5,5,7,2
s008,5,3,2,3,2,4,2,6,3,2,3
s199,4,3,5,4,5,4,4,2,3,NA,3
s234,5,4,4,4,4,6,4,7,4,5,3
s163,4,5,4,5,5,4,4,6,2,4,6
