subj_id,q1F,q2R,q3F,q4R,q5F,q6R,q7F,q8R
s196,4,2,6,3,6,4,6,5
s297,2,3,3,3,4,7,2,5
s237,6,4,2,4,3,5,4,6
s221,3,4,3,5,4,4,4,2
s001,4,5,4,3,2,5,4,5
s265,4,6,3,4,4,5,4,4
s049,3,3,3,4,1,5,2,4
s176,2,2,4,3,2,3,5,5
s268,4,4,4,3,3,5,6,5
s219,4,5,2,4,4,3,5,3
s104,4,4,4,3,5,1,4,5
s066,4,3,7,4,3,4,4,1
s193,4,2,4,2,6,4,7,1
s153,1,7,1,5,4,6,1,5
s041,4,2,5,3,5,5,4,3
s072,4,4,5,4,3,3,3,6
s182,3,3,4,2,3,4,4,3
s137,7,NA,5,2,5,2,6,3
s172,5,3,5,3,4,5,5,2
s126,4,2,5,4,5,5,4,6
s280,2,4,3,5,3,4,3,4
s140,4,4,4,5,4,2,5,6
s018,5,4,6,2,5,2,6,2
s122,4,4,4,2,4,4,4,5
s300,5,4,4,5,4,5,4,4
s302,3,5,2,5,2,7,3,7
s174,3,6,3,5,2,6,4,5
s291,1,3,3,6,3,4,1,7
s201,6,4,3,3,1,6,6,4
s161,5,6,3,5,4,3,4,4
s180,5,3,3,4,5,2,5,4
s012,3,6,4,5,2,5,3,3
s030,3,3,3,4,3,2,4,4
s163,4,4,5,1,3,3,4,1
s053,7,1,5,1,7,2,5,3
s258,3,1,4,5,2,5,4,7
s267,4,2,6,2,4,NA,5,4
s111,3,5,3,2,1,5,3,4
s068,2,6,2,4,2,5,3,5
s301,3,3,6,4,5,3,4,4
s273,3,4,6,3,4,4,4,5
s233,6,5,4,5,1,3,5,4
s184,4,2,4,4,5,5,6,3
s165,5,5,4,5,2,5,4,4
s156,3,2,2,7,3,7,2,3
s240,6,2,6,1,5,2,4,2
s255,3,4,6,2,6,6,3,4
s005,1,5,6,4,3,3,4,4
s096,NA,5,4,4,3,5,3,4
s074,4,3,3,5,4,6,3,5
s080,5,2,3,2,4,4,4,3
s022,5,2,5,3,5,3,4,1
s069,3,5,3,1,1,5,4,5
s225,5,3,5,4,2,5,2,5
s089,3,3,3,3,3,5,2,7
s256,4,4,4,3,4,3,4,3
s160,3,6,4,3,4,6,4,4
s023,2,5,4,5,3,6,4,5
s158,4,2,NA,4,2,3,5,2
s128,7,2,7,2,6,1,5,2
s056,4,2,7,3,6,2,6,1
s098,4,3,6,2,5,2,4,4
s187,4,4,6,4,4,3,3,3
s062,7,2,7,2,5,3,5,NA
s192,4,3,4,3,4,1,7,5
s002,7,4,4,6,7,5,6,2
s216,2,2,4,3,5,6,5,3
s108,2,5,4,1,4,5,5,4
s087,2,4,1,3,3,7,2,5
s106,2,4,5,4,4,4,2,4
s044,3,2,4,3,5,5,5,4
s024,7,2,7,2,7,1,7,2
s092,4,4,4,1,5,4,4,2
s248,4,5,4,1,6,3,6,3
s288,6,3,6,3,5,1,7,1
s099,2,5,3,4,NA,4,2,5
s021,3,4,4,3,4,3,6,5
s269,1,6,3,2,3,4,4,4
s034,4,6,2,4,3,4,5,4
s197,2,4,5,5,4,4,1,7
s063,5,5,4,3,5,4,5,4
s292,5,1,3,3,4,4,4,4
s253,3,4,2,4,3,6,3,6
s257,4,3,4,6,5,1,4,4
s138,3,3,3,3,4,2,3,3
s234,2,3,3,2,4,4,3,2
s015,4,3,6,4,4,3,4,4
s081,2,5,1,3,3,6,5,3
s146,5,5,4,6,4,4,4,4
s082,4,5,4,5,4,4,1,5
s238,5,3,6,5,4,3,6,1
s171,2,6,2,5,NA,4,1,5
s202,3,4,4,4,6,3,1,3
s143,1,4,3,4,2,3,3,7
s185,3,3,1,5,1,5,2,5
s070,2,4,1,4,3,5,5,6
s097,3,7,3,4,3,5,6,4
s194,3,2,5,2,5,5,6,1
s037,5,3,5,1,5,1,6,1
s152,5,3,5,4,4,5,4,4
s010,4,1,5,3,5,3,5,2
s150,3,4,2,4,1,4,5,4
s266,4,4,7,4,5,4,7,3
s065,2,5,1,NA,1,5,1,7
s094,3,5,3,6,3,4,4,4
s179,4,1,7,1,6,3,7,3
s164,3,4,4,4,5,NA,4,3
s206,4,5,3,6,3,7,5,6
s050,3,3,4,3,4,5,5,3
s191,2,3,5,3,6,4,5,2
s295,1,4,5,3,6,2,4,1
s298,6,4,6,2,3,3,5,3
s186,3,4,6,3,3,4,3,3
s040,5,6,4,2,3,3,4,3
s189,3,3,4,3,4,5,7,3
s112,3,4,2,7,2,5,6,5
s198,2,5,4,7,4,3,4,5
s067,4,5,5,3,5,2,3,4
s243,3,6,4,5,1,6,2,4
s213,6,1,6,1,4,3,7,4
s293,4,7,4,5,3,4,3,4
s008,4,3,4,3,2,3,7,3
s145,3,5,4,4,6,4,5,3
s061,5,4,5,3,4,2,5,2
s211,7,3,5,1,7,1,6,3
s149,4,4,5,4,4,4,5,5
s046,2,4,5,6,1,6,3,5
s057,3,2,5,5,1,4,4,5
s278,4,4,4,3,4,4,2,4
s282,1,7,4,NA,4,4,2,3
s239,4,5,5,6,3,6,3,NA
s125,5,5,4,3,5,4,4,4
s200,2,5,3,5,1,3,2,6
s035,4,4,5,3,4,4,6,4
s157,3,5,3,4,4,3,3,4
s107,6,4,3,5,6,3,4,4
s246,3,3,5,2,4,4,4,4
s224,4,4,4,2,1,3,4,5
s129,5,3,7,4,4,2,3,4
s109,4,3,6,2,1,4,4,4
s011,5,2,5,3,4,4,6,1
s208,4,4,1,4,4,NA,4,4
s048,1,7,3,4,3,4,4,6
s281,4,5,3,5,3,5,2,5
s003,2,4,5,3,2,5,3,4
s045,2,3,4,5,5,4,3,4
s299,4,4,4,4,3,7,4,5
s032,3,1,7,2,2,3,4,3
s204,5,5,4,3,2,2,2,4
s290,3,6,5,3,4,4,4,3
s181,4,3,3,2,3,5,3,3
s027,4,4,4,4,3,4,4,6
s286,5,5,5,3,4,4,4,4
s205,7,5,6,2,4,4,5,5
s214,5,4,4,2,5,3,5,3
s136,2,1,4,3,5,2,6,3
s132,4,2,5,2,5,3,7,1
s294,2,5,5,4,3,2,5,3
s139,4,3,4,4,5,4,4,3
s304,3,3,4,4,4,7,3,3
s169,4,3,6,3,7,3,6,3
s135,4,3,4,2,5,6,6,5
s188,5,3,4,3,5,1,5,2
s052,6,1,4,2,2,3,4,2
s047,3,6,3,6,1,4,1,5
s076,3,3,4,5,3,3,4,5
s118,4,4,6,3,6,4,4,4
s124,2,3,5,1,4,1,6,3
s190,6,4,6,3,4,3,4,3
s275,3,7,3,6,2,5,1,6
s154,5,2,5,3,6,4,4,4
s232,2,6,4,3,3,3,1,6
s025,3,7,4,3,3,3,4,3
s084,3,4,4,3,2,4,4,4
s259,4,5,4,5,4,4,4,4
s075,4,4,4,3,4,3,3,6
s006,2,2,3,6,2,6,2,4
s168,4,3,4,5,5,5,4,5
s242,2,3,5,2,5,4,5,3
s271,6,2,5,3,6,2,7,2
s287,3,2,4,4,2,4,4,3
s127,3,5,3,6,4,3,3,4
s009,3,5,2,4,3,5,4,4
s019,6,1,4,3,7,1,4,3
s151,3,5,2,3,1,7,1,4
s226,4,4,3,3,4,5,4,3
s007,3,3,7,2,7,4,6,2
s038,5,1,6,2,7,3,7,2
s141,1,5,4,1,3,4,2,4
s013,1,4,4,5,3,4,2,3
s142,7,3,5,3,7,2,6,3
