subj_id,Fq1,Rq2,Fq3,Rq4,Fq5,Rq6,Fq7
s377,4,4,3,4,4,5,3
s034,4,4,6,7,3,5,4
s300,5,7,3,4,4,6,3
s134,4,2,7,2,5,4,5
s248,4,3,4,1,7,3,7
s040,4,6,3,6,3,7,1
s195,3,3,3,4,4,3,1
s241,5,3,2,3,3,5,3
s203,5,4,7,5,5,3,4
s101,6,1,7,3,7,2,4
s331,3,5,4,3,3,2,3
s357,3,6,5,5,4,4,5
s304,4,7,3,6,4,7,1
s275,1,5,4,5,4,7,1
s161,3,4,4,3,4,5,3
s119,2,6,1,5,4,5,1
s273,3,5,2,4,4,5,2
s277,1,2,4,3,6,5,4
s376,3,5,4,5,5,6,1
s362,3,4,5,4,3,4,4
s191,6,6,4,2,6,6,1
s142,2,3,3,3,4,2,3
s125,4,4,2,4,3,4,4
s179,4,2,4,3,5,3,2
s365,4,3,5,4,5,4,4
s105,5,4,4,4,5,4,4
s121,4,3,4,1,3,3,7
s269,6,4,6,4,4,4,2
s020,3,6,1,5,4,5,3
s279,7,3,6,3,4,4,3
s011,6,2,4,3,5,3,5
s177,4,3,4,1,4,2,3
s347,3,4,3,4,3,5,2
s278,3,3,3,4,5,6,3
s116,4,4,4,5,5,5,4
s315,6,3,3,5,4,3,2
s356,4,1,5,5,7,4,NA
s078,5,4,7,2,5,5,5
s236,2,2,3,4,4,5,3
s211,5,4,4,6,3,2,3
s046,3,3,2,3,6,4,2
s070,1,4,4,4,3,5,4
s368,4,4,2,5,4,5,4
s257,5,5,6,3,2,3,4
s371,4,4,4,2,5,3,3
s242,6,4,6,4,4,2,4
s217,6,4,6,2,5,2,6
s164,5,2,4,3,7,3,4
s379,7,3,6,2,6,3,3
s280,4,2,4,1,3,4,4
s296,5,1,6,4,3,4,4
s099,5,4,2,4,3,4,2
s378,4,2,3,4,6,4,5
s155,3,4,4,4,5,4,2
s066,3,5,5,4,4,5,3
s270,6,4,3,2,5,4,5
s207,5,4,6,4,5,2,3
s238,5,3,3,4,7,4,5
s190,3,7,3,5,3,6,3
s197,3,4,2,4,4,5,4
s158,4,1,4,1,4,3,6
s184,6,3,3,4,5,6,3
s062,1,4,4,5,4,5,3
s031,4,1,4,3,5,2,5
s049,3,3,4,5,3,6,1
s239,3,5,4,6,2,5,3
s054,3,2,4,2,4,3,4
s333,2,4,1,4,4,6,3
s289,5,3,5,3,6,4,6
s219,4,4,2,3,6,3,3
s224,5,2,5,4,5,1,5
s094,3,4,5,4,5,3,2
s052,3,4,6,5,5,4,4
s189,3,7,4,4,6,4,5
s147,4,3,NA,4,2,4,5
s009,3,4,3,5,4,6,3
s247,3,2,5,4,4,4,3
s159,5,2,5,2,5,3,2
s133,5,4,4,3,4,4,3
s261,1,5,1,4,3,4,1
s091,5,3,6,2,6,2,4
s098,2,4,3,4,2,4,1
s336,3,2,4,5,4,4,1
s097,3,2,3,5,1,4,4
s145,4,3,1,2,6,5,5
s374,5,3,3,3,5,1,2
s051,3,4,4,3,4,5,5
s082,5,5,3,3,7,4,3
s137,3,5,3,6,3,5,2
s329,3,6,4,5,4,4,4
s318,5,1,3,2,3,2,4
s221,4,3,5,2,5,4,4
s297,3,2,5,5,3,5,2
s369,3,4,4,4,3,4,3
s035,3,5,4,6,4,6,2
s124,4,3,6,2,6,2,5
s210,3,4,4,5,1,5,3
s311,3,3,4,3,4,5,2
s085,2,4,4,5,3,3,2
s023,6,3,5,1,3,4,5
s102,1,4,2,5,4,6,2
s281,2,4,3,4,4,4,4
s339,1,7,3,5,2,6,1
s271,5,3,3,4,5,2,5
s212,3,6,1,7,3,6,1
s294,4,3,3,3,6,4,3
s123,4,3,6,4,5,2,3
s173,4,5,2,4,3,4,1
s188,1,4,7,4,4,3,2
s206,2,2,6,2,7,4,5
s354,4,3,3,2,4,4,1
s072,3,5,2,4,3,7,1
s352,7,3,5,3,4,3,5
s193,1,5,3,4,4,5,3
s092,3,5,5,3,2,5,3
s171,5,3,5,1,NA,6,7
s163,2,3,4,2,6,4,4
s014,5,3,6,3,4,2,2
s295,4,5,1,5,4,6,2
s095,1,4,2,4,3,5,3
s358,3,4,2,5,2,4,2
s319,4,5,4,3,2,5,1
s325,2,6,2,4,4,4,1
s160,3,4,4,4,4,6,2
s002,5,2,5,1,5,4,5
s231,2,4,3,4,5,5,5
s366,4,4,2,5,5,4,2
s335,1,4,2,6,3,6,2
s005,4,3,5,4,5,2,4
s208,3,3,4,4,3,4,4
s130,3,4,3,4,3,3,4
s355,4,5,4,1,5,1,4
s026,3,4,3,4,4,2,2
s106,6,6,3,6,NA,6,NA
s233,1,4,1,6,2,5,3
s146,2,3,3,4,6,3,3
s265,5,4,4,5,4,2,2
s381,7,3,2,2,4,3,1
s107,3,3,3,3,6,7,4
s310,3,6,2,6,5,4,1
s337,4,5,5,4,3,3,1
s383,4,5,4,5,4,4,2
s240,3,3,5,5,3,3,1
s198,7,2,5,2,6,5,6
s276,2,3,3,4,4,5,3
s042,2,1,2,4,3,5,2
s253,5,4,4,3,4,6,3
s372,1,4,1,5,1,6,1
s382,4,5,5,3,3,1,1
s081,5,1,4,5,7,3,3
s114,7,3,6,3,7,3,7
s007,4,3,3,4,5,4,1
s010,6,1,5,4,6,1,5
s363,2,6,4,6,6,4,5
s039,6,4,3,5,4,2,5
s323,4,3,4,3,3,5,5
s064,4,4,6,6,3,4,4
s229,2,6,4,6,4,4,3
s262,4,5,4,6,6,5,1
s012,4,4,4,3,3,6,3
s079,3,4,4,5,6,5,3
s060,3,4,3,5,4,6,2
s380,1,7,3,5,3,5,3
s359,5,1,5,3,5,3,7
s259,4,4,4,5,4,4,3
s075,5,3,6,2,5,5,3
s343,3,4,6,2,4,4,5
s326,6,3,4,1,6,3,4
s252,4,3,4,4,5,4,3
s245,6,4,3,3,5,4,3
s274,4,2,7,5,4,5,5
s044,4,2,4,3,3,5,3
s053,4,2,5,4,5,NA,7
s216,6,2,5,1,7,4,3
s131,5,4,6,2,6,5,5
s110,4,4,4,5,5,5,4
s267,3,1,4,3,4,5,3
s170,3,4,5,2,6,4,3
s045,3,1,5,1,7,3,4
s293,3,3,2,3,5,6,3
s258,6,6,5,4,6,3,1
s150,4,2,4,3,3,4,4
s083,2,3,6,4,6,4,4
s316,4,2,4,3,3,2,5
s086,4,4,4,3,3,4,5
s232,5,3,4,2,6,6,1
s017,5,3,3,4,5,3,3
s118,3,1,4,4,4,4,4
s043,3,4,2,7,2,6,1
s202,3,4,3,2,4,3,4
s074,3,4,3,3,6,5,4
s067,6,5,1,2,4,4,2
s307,NA,6,2,4,4,5,1
s076,5,4,4,3,5,6,3
s367,4,3,4,2,4,4,4
s108,2,5,1,4,2,4,3
s199,4,3,5,4,5,4,4
s334,3,3,3,6,5,6,3
s154,3,7,3,5,4,6,1
s340,4,3,4,3,3,4,4
s112,4,1,5,4,6,3,4
s223,2,3,3,5,3,4,1
s353,6,4,6,1,4,1,5
s284,3,5,1,5,5,5,1
s244,2,3,5,6,3,4,1
s264,1,4,3,5,4,5,4
s059,5,3,2,3,5,4,4
s298,4,1,5,1,4,3,5
s312,4,3,6,4,3,4,2
s385,5,3,4,4,6,3,4
s218,4,1,4,5,3,6,1
s056,4,3,4,4,4,4,3
s120,6,1,3,2,4,1,4
s192,6,3,4,2,5,4,4
s320,5,4,3,5,4,5,1
s028,1,6,2,4,4,6,1
s104,6,3,2,2,4,2,5
s228,1,4,3,4,4,3,2
