subj_id,F_q01,R_q02,F_q03,R_q04,F_q05,R_q06,F_q07,R_q08,F_q09,R_q10,F_q11,R_q12,F_q13
s325,6,3,6,5,4,1,7,6,6,3,2,2,5
s331,4,3,5,5,4,5,5,3,3,3,5,3,5
s242,3,5,3,2,3,3,4,5,3,4,4,4,3
s007,5,4,6,1,4,3,3,3,5,3,4,2,6
s261,3,3,1,5,2,6,4,6,2,5,6,4,5
s003,5,5,5,5,4,4,5,2,6,3,7,3,4
s396,4,5,4,4,1,4,5,7,2,5,2,4,6
s162,3,6,3,7,2,5,4,4,2,2,2,4,2
s302,1,5,4,6,1,5,2,5,3,5,4,6,4
s152,3,5,3,5,3,6,3,4,3,4,2,2,3
s172,3,5,2,5,3,6,4,6,3,3,3,2,3
s341,6,3,4,4,4,4,7,5,4,2,4,3,6
s038,4,4,4,4,4,5,6,4,5,3,4,2,6
s362,6,3,4,5,3,6,5,6,5,4,4,5,4
s059,3,2,4,5,1,5,3,2,5,4,4,3,3
s336,NA,4,3,4,3,6,2,4,5,4,4,4,4
s051,1,4,3,7,3,4,3,7,2,5,1,3,1
s122,3,4,3,5,5,3,4,4,3,4,1,4,5
s300,4,5,3,4,3,7,2,3,1,5,4,7,3
s176,3,5,3,4,4,3,3,4,3,3,3,2,4
s088,1,4,4,4,2,6,6,5,3,4,3,6,5
s223,5,4,5,4,4,7,3,4,4,4,4,3,3
s034,4,3,6,3,4,4,5,4,7,4,4,3,5
s330,5,2,6,NA,3,4,4,2,6,2,6,1,7
s272,4,4,4,6,4,4,4,4,4,4,4,3,5
s258,2,5,5,5,3,5,4,5,3,4,1,5,2
s099,3,3,2,7,3,4,3,6,3,4,3,4,4
s218,6,5,4,3,4,5,4,3,3,3,4,3,4
s237,7,4,1,6,4,4,4,4,2,2,4,3,3
s364,4,4,5,5,5,5,5,3,4,6,4,1,6
s009,7,3,7,4,7,3,7,3,7,5,7,2,6
s257,5,4,3,6,5,4,5,4,4,2,5,4,5
s130,3,5,2,4,2,6,4,4,1,3,3,4,2
s264,6,2,5,5,4,3,6,5,4,4,2,3,4
s107,4,5,3,3,2,5,4,6,2,4,2,4,2
s093,5,2,6,5,3,4,6,4,4,4,4,3,3
s027,3,5,5,7,4,4,3,4,3,4,2,4,4
s220,6,4,5,3,4,3,3,6,4,5,4,4,5
s018,4,4,6,5,6,4,6,5,7,2,5,3,3
s221,4,1,1,4,6,6,6,5,3,7,6,3,4
s283,4,4,5,4,5,5,3,3,5,4,3,6,5
s150,3,1,3,3,3,4,4,3,4,3,5,2,5
s168,4,2,7,3,3,4,6,3,6,1,5,2,7
s169,2,5,4,4,1,5,5,6,4,5,2,6,4
s085,4,3,5,4,3,4,4,6,6,4,5,3,4
s359,4,7,5,4,3,7,7,7,7,3,3,5,3
s023,2,5,5,7,1,4,4,7,4,5,2,5,3
s390,5,4,4,4,4,2,5,6,5,2,4,3,7
s361,2,4,6,5,4,5,5,4,5,3,5,5,3
s183,3,5,1,7,NA,5,3,7,4,3,1,2,3
s324,4,3,4,5,1,7,3,7,4,6,2,6,1
s156,5,4,5,4,3,6,4,5,4,5,4,4,4
s127,2,3,4,4,4,5,4,5,7,3,3,4,4
s211,2,6,5,6,1,6,4,5,6,5,1,5,4
s281,2,6,4,4,4,3,3,5,3,3,4,2,3
s262,6,4,5,6,5,2,5,2,6,3,4,1,4
s077,5,2,5,2,1,4,4,4,5,4,5,4,4
s320,6,3,6,4,6,4,5,2,5,1,7,1,5
s123,4,7,3,4,3,4,2,3,5,4,3,4,1
s316,3,3,2,4,4,2,6,5,4,2,6,2,4
s196,4,5,5,2,4,3,5,3,5,2,2,2,7
s358,4,4,5,5,5,4,5,5,3,7,5,4,5
s024,7,1,5,2,5,2,6,1,7,4,6,1,7
s082,5,3,7,2,6,2,6,1,6,2,7,1,5
s345,3,7,5,5,3,5,4,5,1,2,6,2,2
s014,5,4,4,5,4,5,7,1,4,2,4,1,5
s128,3,7,1,7,1,7,2,6,3,5,2,4,3
s094,2,7,4,4,4,6,4,4,5,1,5,3,5
s322,4,4,4,4,5,4,5,4,4,4,3,4,4
s116,5,2,3,4,7,3,5,1,5,2,4,4,6
s246,3,5,5,4,4,7,4,5,5,2,4,3,4
s217,3,2,4,5,5,4,5,6,4,4,3,4,1
s234,2,5,1,5,3,5,2,6,2,5,1,6,4
s228,3,3,4,6,3,4,4,3,6,5,4,3,3
s170,4,4,5,4,7,4,6,3,5,3,7,1,3
s133,4,3,2,3,3,4,5,5,4,3,6,2,4
s158,2,4,5,5,4,3,3,3,6,3,4,1,4
s097,4,3,4,4,4,5,4,2,3,2,5,2,2
s145,4,4,4,5,5,3,4,5,3,3,5,4,4
s068,4,7,1,5,1,5,1,6,1,6,1,6,4
s290,5,4,3,4,3,3,4,2,2,3,6,2,4
s155,4,4,4,3,6,5,3,4,3,1,4,4,5
s010,5,4,6,3,3,3,5,1,5,5,4,4,5
s021,4,3,6,4,3,5,6,6,1,4,1,4,5
s311,2,5,2,5,4,5,2,5,2,5,2,4,5
s225,3,6,4,6,1,7,3,7,3,6,2,6,2
s348,1,3,1,5,5,6,3,4,2,5,4,4,5
s030,4,4,5,3,4,6,5,3,5,4,4,3,5
s033,4,4,4,5,5,5,4,5,4,3,4,4,4
s058,2,4,5,4,5,4,5,1,5,3,4,4,6
s353,3,2,4,4,4,5,4,3,6,3,3,3,5
s279,3,7,4,7,2,5,4,4,3,6,4,3,5
s269,3,4,4,5,2,6,5,6,2,7,3,6,3
s184,4,3,4,5,4,5,5,6,3,4,4,4,1
s022,5,5,5,4,2,5,4,4,4,3,5,1,4
s037,4,4,4,4,3,3,3,6,3,5,3,4,4
s395,3,5,2,3,2,6,3,5,3,7,5,2,5
s386,4,1,6,5,4,4,NA,2,5,3,6,1,6
s335,4,3,5,5,4,3,4,4,2,5,3,5,6
s277,5,4,3,4,4,5,5,5,4,3,4,4,4
s329,2,4,5,3,1,6,5,4,3,4,2,5,2
s323,4,4,2,5,3,6,6,3,6,5,4,5,3
s180,5,3,7,4,5,4,6,5,7,2,7,1,4
s201,4,3,4,4,3,4,6,3,5,5,5,1,4
s189,4,4,4,4,3,5,4,6,3,4,3,4,3
s076,5,4,4,3,3,4,6,4,5,4,2,3,6
s250,4,4,3,4,4,4,5,4,4,5,4,5,2
s374,4,2,5,5,3,5,3,5,4,4,5,5,2
s111,3,2,5,4,5,7,5,4,1,4,4,5,4
s095,5,5,1,7,3,7,2,7,3,5,4,5,4
s303,1,7,3,7,2,7,4,7,3,5,3,5,2
s135,1,5,2,6,2,5,4,7,3,4,4,5,3
s165,4,4,3,6,5,6,3,6,2,5,4,3,4
s292,5,5,6,2,2,2,5,4,3,1,4,3,4
s393,2,3,3,5,2,5,2,5,1,4,3,4,3
s252,5,4,5,5,6,5,7,5,4,3,5,5,4
s360,5,5,4,4,4,4,4,5,2,3,4,4,4
s208,1,4,3,5,2,7,3,5,1,3,1,5,5
s029,5,2,1,4,4,4,5,4,7,4,4,2,4
s202,5,3,7,4,4,5,7,3,7,2,7,2,5
s344,7,3,7,4,4,2,6,3,6,1,5,3,6
s187,4,4,4,2,5,3,5,4,4,3,5,1,5
s057,3,3,7,2,4,3,7,2,4,4,6,4,6
s140,6,5,6,4,4,2,3,4,4,3,4,3,4
s134,5,3,7,4,4,3,4,3,5,5,5,3,3
s254,6,3,5,1,4,4,3,3,3,3,7,4,7
s354,5,5,5,2,3,3,5,5,5,1,5,2,4
s340,4,2,5,4,5,3,4,4,2,4,7,4,5
s363,4,7,1,7,4,7,4,6,1,3,2,7,4
s121,7,3,6,4,2,2,6,3,4,2,4,2,6
s087,3,5,3,4,2,5,2,3,1,3,4,7,1
s151,2,6,4,7,3,5,1,7,2,6,3,6,4
s069,3,5,4,5,3,4,4,4,4,4,5,4,6
s366,5,2,5,3,5,3,7,2,6,2,4,2,4
s039,4,4,4,NA,3,5,4,4,4,1,4,3,3
s371,1,4,2,4,2,4,3,4,1,4,5,1,3
s190,5,4,5,6,3,4,5,4,2,2,3,2,3
s089,2,3,5,3,5,5,7,4,3,2,6,3,5
s105,3,2,6,6,4,2,5,1,5,3,4,5,4
s307,1,4,3,6,2,5,3,6,2,6,3,5,5
s065,2,5,1,7,3,6,3,5,1,5,2,6,3
s141,4,2,6,3,5,2,5,2,4,3,5,2,4
s280,1,7,3,4,4,3,4,3,4,5,4,5,3
s063,5,7,3,3,4,4,5,5,3,5,4,4,5
s031,4,6,4,5,2,6,5,5,2,6,3,3,2
s385,5,3,3,5,4,4,7,3,2,4,4,5,5
s178,4,5,5,3,4,5,4,4,4,4,6,2,5
s096,3,3,5,6,2,4,4,4,4,6,6,5,4
s206,5,5,4,4,4,6,4,6,2,4,5,6,6
s276,5,4,5,4,3,4,6,7,3,4,4,4,6
s224,5,4,2,3,5,6,5,6,2,6,3,5,3
s177,NA,6,4,4,2,6,NA,6,1,5,1,4,3
s333,2,6,5,4,4,3,5,4,5,4,3,4,2
s181,6,2,5,6,5,5,4,2,5,4,6,2,7
s080,7,6,6,4,4,7,4,4,5,4,3,3,3
s287,3,4,3,5,3,5,6,6,3,4,4,6,5
s317,3,3,5,4,6,4,5,3,6,1,4,4,5
s079,3,4,5,6,4,7,2,5,3,3,3,2,5
s005,3,4,4,5,4,4,7,5,5,2,5,4,6
s125,5,4,1,4,4,5,5,6,3,3,4,NA,3
s103,5,4,4,5,4,5,4,3,5,2,4,3,7
s284,7,4,5,2,3,2,7,4,5,3,NA,1,5
s216,4,5,5,6,4,7,5,6,3,6,4,4,4
s159,4,5,5,4,3,4,5,5,1,2,4,4,3
s075,4,3,5,3,5,4,5,4,3,2,4,4,6
s207,4,4,4,4,2,6,4,6,3,4,3,3,5
s193,7,4,5,4,6,5,6,5,3,1,4,4,4
s052,7,7,4,5,2,3,3,4,1,4,3,2,5
s282,4,3,5,1,7,6,4,3,6,2,7,3,4
s154,4,6,3,4,4,5,5,5,4,6,5,6,2
s376,2,2,6,4,3,6,7,4,4,4,5,1,4
s026,3,6,5,4,3,5,6,4,3,4,4,5,4
s288,3,3,2,5,4,5,2,6,3,5,3,3,5
s233,2,3,NA,6,5,5,3,6,3,1,4,5,4
s148,5,2,4,2,5,2,5,5,6,4,3,3,5
s064,4,5,6,6,4,7,3,NA,4,4,2,5,1
s232,1,6,4,7,1,5,4,5,4,5,4,6,5
s046,5,4,6,3,5,3,6,3,4,1,7,1,5
s098,3,5,2,4,NA,7,5,6,4,5,5,5,4
s195,4,4,3,4,5,5,7,3,4,3,4,1,5
s053,3,3,5,2,6,4,4,3,4,2,4,2,5
s260,4,6,6,5,4,6,3,4,2,4,4,2,5
s351,3,7,4,5,4,6,4,5,4,3,2,4,4
s313,6,4,4,3,5,1,7,3,5,2,7,1,6
s062,4,7,3,5,1,5,3,6,2,5,3,4,1
s002,3,4,4,3,4,6,5,3,2,4,6,1,4
s259,3,6,3,5,4,7,3,4,3,5,2,3,4
s304,2,6,1,6,4,7,4,6,3,5,2,4,1
s318,4,3,4,5,2,3,3,2,4,2,7,5,4
s124,4,3,5,3,5,3,5,4,5,3,7,2,6
s298,4,6,3,5,3,5,4,4,3,5,3,5,3
s056,3,6,3,6,3,5,4,4,3,4,4,4,4
s114,5,3,5,5,4,4,4,3,3,4,6,6,4
s163,3,5,3,4,3,6,4,2,5,4,3,2,3
s397,6,4,6,4,4,3,5,3,5,2,5,2,6
s332,4,7,5,5,4,4,5,4,4,2,4,3,5
s263,3,2,4,2,4,3,4,5,5,3,6,2,7
s308,2,5,4,6,4,5,6,2,5,4,6,4,5
s215,4,3,4,2,3,4,5,2,5,3,2,3,4
s278,3,3,4,4,5,4,4,3,5,3,5,1,3
s164,2,5,4,7,4,5,4,6,5,3,5,2,4
s243,4,3,3,7,4,6,3,5,3,4,3,5,4
s071,2,6,5,3,3,6,4,4,6,4,5,4,4
s270,2,5,4,6,2,2,3,4,4,4,3,4,2
s115,3,5,2,7,2,7,4,4,1,6,5,6,3
s142,2,7,1,7,1,5,3,4,3,4,4,NA,2
s006,5,5,4,3,4,7,3,5,5,4,2,1,3
s342,5,3,5,4,7,2,6,2,6,1,5,2,6
s055,2,6,6,3,6,4,7,3,4,3,6,3,5
s236,4,1,6,4,5,2,6,5,5,4,4,5,4
s205,5,2,6,5,5,4,5,3,7,4,NA,2,6
s149,3,4,5,3,4,4,6,3,3,1,6,3,7
s251,5,1,5,4,3,3,4,3,4,1,3,3,1
s182,3,4,4,4,4,7,6,4,5,4,6,4,7
s229,4,4,5,4,5,4,5,4,4,NA,4,3,4
s054,3,4,3,5,3,6,5,4,2,3,3,4,4
s274,3,5,3,6,5,4,7,5,4,3,4,4,5
s106,4,4,4,6,1,6,3,4,3,3,6,2,3
s175,5,3,4,3,5,5,5,2,2,5,3,4,3
s073,4,5,3,7,1,5,3,3,3,3,4,4,5
s185,5,3,5,4,5,5,6,5,4,3,5,3,3
s350,1,4,4,7,3,6,3,7,3,5,3,4,4
s011,4,4,2,5,4,6,3,5,3,5,3,3,4
s383,7,3,6,3,6,4,5,3,6,2,7,1,5
s398,6,4,4,3,4,4,6,4,4,4,4,2,5
s050,7,2,5,2,4,2,6,6,7,1,7,1,7
s109,4,5,4,5,2,4,4,5,3,5,1,2,2
s343,5,2,5,1,3,1,7,2,6,3,5,1,6
s328,2,4,6,5,3,6,4,5,2,4,2,5,3
s131,1,4,4,7,2,7,4,6,4,4,4,5,4
s020,5,4,4,3,4,7,4,2,4,4,4,4,4
s255,3,5,4,7,3,6,4,4,3,4,3,6,3
s285,6,3,5,1,4,4,5,4,4,3,6,2,4
s349,1,4,5,5,2,3,4,4,2,4,6,4,2
s235,5,NA,4,5,6,5,7,3,7,3,7,4,5
s143,3,7,4,6,3,6,2,3,2,4,2,7,2
s268,3,3,4,5,4,6,7,2,6,1,5,3,5
s375,3,2,4,5,5,7,5,6,5,5,5,6,4
s081,4,1,7,4,3,5,6,4,3,3,5,NA,4
s041,4,4,4,5,1,7,6,6,4,5,5,6,4
s256,3,4,6,6,5,4,4,5,4,3,6,4,3
s191,4,3,2,3,4,4,4,5,6,5,5,2,3
s266,4,2,6,5,5,4,6,3,6,4,7,2,7
s016,3,6,2,6,3,6,3,NA,3,3,2,4,4
s310,5,5,5,5,4,4,3,6,6,4,5,2,5
s197,5,4,4,5,4,5,5,4,4,1,5,4,4
s352,4,2,6,3,6,4,6,5,1,4,6,1,6
s035,3,3,5,4,4,6,4,4,3,3,3,5,4
s047,2,6,4,6,1,6,3,7,4,7,1,6,5
s387,5,4,5,4,NA,4,7,4,5,4,4,4,5
s356,3,4,5,5,2,5,4,3,4,3,4,3,4
s372,6,3,4,6,7,6,4,1,5,3,5,3,4
s321,3,4,4,4,5,4,4,5,2,4,1,4,3
s112,1,6,3,5,1,5,2,6,4,5,2,6,2
s380,3,4,6,2,4,4,6,4,4,3,7,4,5
s119,1,5,3,7,6,6,5,4,5,5,4,5,4
s249,5,3,3,4,6,3,7,3,6,2,6,2,5
s301,5,4,4,4,3,3,5,5,4,3,4,2,6
s043,2,6,4,2,4,5,3,7,2,4,4,4,4
s173,5,1,4,5,3,3,4,4,4,3,4,3,5
s108,5,4,5,4,5,6,4,4,3,1,5,1,5
s036,4,3,4,5,1,5,4,4,2,6,2,5,4
s347,5,3,7,4,3,3,6,4,4,3,6,4,4
s012,6,1,4,3,6,3,6,3,7,1,6,2,5
s117,5,4,4,5,3,5,4,4,3,3,3,4,3
s327,5,3,7,3,3,3,7,4,4,3,7,1,4
s157,3,5,4,4,3,5,5,5,2,5,5,5,4
s192,3,5,5,4,4,7,5,5,7,4,4,5,2
s110,6,3,6,4,5,3,7,5,3,2,4,3,4
s226,4,5,5,2,4,4,5,3,2,4,5,5,6
s247,3,1,4,3,5,4,4,2,5,3,7,5,7
s231,1,7,3,4,4,3,4,3,3,5,2,6,1
s136,4,5,3,6,5,5,3,7,4,5,4,5,3
s213,3,5,4,5,4,5,5,7,3,4,4,5,4
s379,4,1,6,4,4,5,5,4,4,2,4,1,4
s200,4,3,3,4,5,3,5,5,4,2,5,2,5
s045,4,3,4,4,4,4,5,3,4,3,5,5,4
s222,5,5,5,5,4,2,6,4,7,2,5,3,3
s104,5,4,6,5,4,7,5,5,5,2,6,4,5
s382,3,2,5,4,5,3,3,4,5,3,6,2,6
s338,4,3,4,4,4,3,7,5,6,4,4,3,7
s299,1,4,4,5,3,7,5,5,2,3,4,6,5
s167,5,3,3,4,4,4,4,3,6,3,4,4,6
s060,5,3,5,4,6,1,4,5,4,5,5,2,5
s204,3,3,3,5,3,5,6,2,2,4,2,6,4
s314,3,3,3,2,5,3,4,2,4,5,5,4,5
s291,NA,3,4,6,5,6,2,6,2,4,3,6,5
s042,6,4,6,4,7,2,6,4,4,3,6,4,7
s241,5,3,5,3,5,3,4,4,4,3,7,3,5
s365,4,4,6,4,1,6,6,2,4,4,5,3,5
s171,6,3,4,5,1,3,6,5,4,4,6,4,7
s392,4,5,4,1,6,4,6,4,4,1,7,2,4
s032,6,7,3,6,2,5,4,7,3,4,4,3,2
s337,1,5,2,6,2,7,3,5,3,4,2,4,1
s295,3,4,2,5,2,5,3,4,2,4,4,5,4
s253,2,6,4,4,3,6,6,5,3,6,3,5,2
s049,3,1,4,5,5,4,4,6,4,3,2,5,3
s066,2,6,4,4,4,4,5,3,3,6,3,4,4
s161,3,3,5,4,3,4,4,5,5,3,6,4,5
s113,7,2,3,4,4,5,5,1,4,3,4,4,3
s394,6,4,7,2,NA,2,6,2,6,2,6,2,5
s319,5,5,3,4,4,4,4,3,3,5,3,3,7
s061,6,3,6,2,4,3,6,3,6,3,7,4,6
s101,6,1,7,2,3,4,5,2,4,1,5,3,6
s389,5,4,5,3,6,4,6,4,6,1,4,3,7
s019,4,5,5,2,4,6,3,4,5,1,3,5,4
s188,6,4,4,5,3,4,5,4,3,4,2,1,7
s090,5,4,5,6,4,6,5,6,4,4,2,5,2
s346,4,4,4,6,1,5,3,6,3,6,1,6,4
s210,4,5,6,3,5,4,4,2,4,3,5,3,7
s219,2,6,3,5,4,4,5,4,4,2,2,3,4
s230,4,3,3,4,4,5,3,5,3,3,4,3,5
s378,4,7,4,5,6,4,3,7,4,5,3,5,5
s199,4,6,4,4,2,6,1,6,1,6,3,6,3
s126,5,3,6,5,6,3,6,2,4,4,4,4,6
s244,4,5,6,5,4,4,5,2,4,2,7,4,4
