subj_id,q01F,q02R,q03F,q04R,q05F,q06R,q07F,q08R,q09F,q10R
s014,5,3,2,6,4,4,1,5,NA,4
s305,4,3,2,6,4,4,4,3,4,5
s005,4,4,2,5,5,3,2,3,5,4
s152,4,5,3,6,4,3,6,3,5,3
s306,1,3,1,5,2,5,3,6,3,5
s294,4,6,3,5,4,2,5,3,4,6
s314,3,7,4,4,3,3,4,4,4,4
s347,2,4,2,7,1,4,2,6,1,5
s043,1,2,5,4,5,4,3,3,3,6
s161,1,5,3,3,3,3,3,3,3,4
s170,2,3,7,4,3,2,3,3,5,4
s374,4,4,3,6,5,4,4,3,4,5
s134,3,4,3,4,5,3,1,5,6,2
s010,5,6,2,7,3,4,2,4,2,3
s023,5,3,3,4,3,4,3,5,1,4
s302,6,2,4,4,5,5,6,4,4,4
s101,3,4,3,7,4,3,4,6,3,3
s120,2,4,2,4,4,4,5,4,3,6
s064,3,5,5,5,4,4,3,6,4,4
s318,3,4,3,7,3,5,1,6,1,5
s022,2,6,2,6,4,3,6,6,1,5
s311,3,4,2,5,4,3,3,5,5,5
s281,4,4,4,5,5,3,4,4,4,4
s210,1,5,1,6,2,5,3,6,2,7
s225,3,3,4,7,4,1,5,6,2,4
s051,4,3,6,4,5,4,5,4,6,3
s266,6,4,7,1,5,1,7,1,5,2
s019,3,2,5,3,7,1,4,2,4,4
s040,5,6,5,4,6,4,4,3,3,4
s339,3,7,3,6,3,4,4,5,3,3
s213,4,3,6,3,6,3,2,2,4,5
s368,4,3,3,5,3,4,4,6,5,5
s050,1,6,2,5,2,5,2,7,3,5
s140,2,7,2,5,5,5,5,4,2,5
s289,3,7,1,7,2,5,1,5,4,6
s217,4,1,5,2,2,1,3,3,5,4
s117,4,4,3,3,4,1,5,4,4,2
s244,2,2,5,5,4,1,7,2,6,3
s073,2,5,2,6,2,4,2,6,1,6
s089,3,3,3,5,4,4,3,1,3,4
s191,4,3,1,7,5,3,5,3,6,4
s265,5,4,4,5,7,3,5,4,5,3
s267,5,2,7,3,6,1,5,2,7,2
s108,3,3,3,4,4,4,2,6,2,3
s128,2,5,1,6,2,5,1,NA,1,6
s077,4,6,1,7,6,5,4,4,3,6
s350,1,5,2,3,4,2,4,5,3,4
s317,4,4,2,4,5,2,3,4,3,4
s194,2,3,2,6,5,5,4,6,2,4
s177,3,3,3,NA,1,2,5,6,1,6
s098,5,4,7,5,4,3,4,2,5,4
s057,2,4,3,3,5,4,5,4,2,6
s299,4,4,5,5,7,2,4,6,2,4
s176,4,4,1,4,4,4,3,6,2,5
s373,5,3,4,5,6,4,4,3,4,4
s199,2,5,1,4,2,7,2,7,1,7
s121,3,4,4,4,5,4,2,6,3,4
s227,4,3,4,4,4,2,4,5,3,4
s293,7,1,5,2,7,1,6,3,4,1
s129,2,6,3,4,5,4,3,6,2,5
s144,4,4,3,6,4,5,1,4,3,6
s178,3,6,1,3,4,3,2,2,3,4
s075,3,4,5,4,5,1,4,4,5,4
s001,3,5,2,6,2,4,4,5,3,3
s204,7,3,7,2,7,3,5,1,7,3
s357,4,4,4,3,6,2,5,3,1,5
s295,1,5,3,5,3,3,2,5,3,7
s136,3,4,1,5,3,4,4,7,2,5
s262,4,2,5,5,5,2,5,4,5,3
s230,3,7,3,3,4,2,1,4,5,4
s245,4,3,5,7,6,4,3,4,5,4
s025,6,1,5,2,5,1,6,5,2,4
s159,2,4,3,2,6,4,6,3,5,3
s253,5,3,5,5,4,4,4,3,6,3
s094,7,5,4,4,4,3,6,5,5,3
s099,4,3,4,3,7,3,6,2,5,2
s141,1,5,1,6,5,5,4,5,2,5
s351,4,3,5,7,6,1,3,4,6,3
s104,3,4,4,3,5,6,3,2,2,4
s219,3,4,3,6,1,5,2,7,2,7
s172,4,2,6,3,7,NA,4,3,3,3
s280,2,4,1,3,4,1,2,3,2,4
s269,2,7,2,6,3,5,2,6,3,5
s012,4,3,4,4,6,2,6,4,3,5
s151,4,3,3,4,5,5,4,5,4,4
s114,5,4,4,5,4,4,4,3,2,4
s243,3,6,4,4,2,4,4,5,3,4
s259,2,3,5,4,5,3,3,3,2,5
s169,4,4,4,5,4,5,4,3,4,4
s154,1,5,4,5,3,2,2,5,3,7
s132,7,1,4,2,6,1,5,1,5,2
s080,4,4,4,3,6,3,5,3,6,3
s345,4,4,1,4,2,4,4,4,3,4
s206,5,3,3,6,3,2,4,4,3,4
s033,1,3,3,5,6,3,7,5,4,4
s197,6,5,4,6,5,2,4,3,1,6
s047,4,2,5,5,7,4,6,6,5,6
s018,5,2,6,4,6,1,5,3,4,4
s205,4,5,2,4,5,5,3,4,3,5
s032,3,5,4,5,4,3,4,4,4,4
s122,2,7,2,4,3,5,2,4,2,4
s202,5,3,5,5,3,2,4,4,3,2
s115,5,3,4,6,3,2,2,3,6,6
s246,3,1,3,2,6,4,6,3,4,5
s167,4,4,5,3,4,2,5,7,4,5
s123,4,3,4,5,3,2,5,4,4,3
s195,1,4,1,5,1,3,4,4,1,6
s042,5,4,3,3,6,2,2,3,5,4
s029,4,6,4,5,4,5,3,5,4,5
s143,4,1,3,7,5,3,2,4,4,5
s327,5,5,5,4,6,4,6,4,4,5
s052,3,5,4,4,3,4,3,5,2,5
s041,6,3,4,4,5,3,3,5,4,2
s268,5,6,6,6,4,5,5,6,2,3
s056,4,4,5,4,5,3,6,2,5,4
s365,5,1,5,5,7,3,5,5,5,4
s139,4,2,4,3,4,3,3,3,4,4
s236,2,5,1,7,4,4,1,5,2,5
s229,2,5,1,6,4,4,1,6,2,6
s055,5,4,4,5,6,6,3,4,4,5
s070,2,4,3,5,7,3,3,4,6,5
s342,2,2,7,5,6,2,2,5,4,5
s272,4,4,4,5,4,3,3,4,3,5
s249,5,4,4,3,5,2,4,5,5,5
s192,3,5,4,6,4,4,4,3,2,4
s211,4,4,2,3,5,5,4,4,3,5
s086,5,1,4,4,5,1,5,3,5,4
s193,5,5,4,4,5,3,4,5,5,5
s200,5,2,5,2,4,6,5,4,4,4
s109,6,5,2,6,2,2,1,3,2,7
s239,5,3,3,5,4,4,4,4,5,5
s260,4,5,4,7,3,3,2,4,3,3
s074,5,4,3,5,4,5,2,5,3,5
s355,5,4,3,4,5,2,3,2,6,6
s138,3,6,3,5,2,4,3,3,4,6
s157,4,5,6,4,5,1,4,2,4,2
s275,2,5,3,4,3,6,5,4,4,4
s298,4,3,4,4,7,3,4,1,3,4
s319,4,5,3,6,5,4,4,5,5,7
s329,4,2,6,4,5,4,5,5,6,2
s091,4,2,2,5,5,4,7,5,4,5
s007,6,4,5,4,5,3,5,4,5,3
s346,4,2,3,7,2,4,3,4,2,4
s031,7,4,4,4,6,1,3,4,5,3
s340,NA,3,3,4,5,1,6,3,6,4
s307,5,4,3,5,3,2,4,4,4,5
s241,3,3,3,4,5,4,3,4,3,2
s287,4,3,3,5,5,4,5,5,4,2
s027,2,6,4,5,4,4,1,6,5,6
s062,4,3,6,6,6,2,3,5,3,4
s183,4,5,5,4,4,6,3,4,4,4
s277,4,5,3,7,4,4,2,5,2,5
s264,2,NA,2,5,5,2,5,2,3,4
s158,4,3,2,4,6,2,6,2,3,2
s250,5,4,7,5,6,1,5,6,4,5
s145,6,2,3,4,7,2,7,4,4,3
s066,4,1,6,7,4,3,4,2,4,6
s300,6,1,5,3,7,1,7,3,6,3
s078,4,4,2,3,5,4,4,5,5,6
s096,6,2,6,4,5,3,6,3,4,2
s240,3,4,1,4,3,4,2,3,4,4
s310,2,3,1,6,4,5,1,4,2,4
s088,2,2,6,3,7,4,6,4,2,4
s026,6,4,2,5,5,5,4,5,3,5
s188,6,4,4,3,5,4,5,3,4,5
s341,3,1,3,5,4,2,6,5,3,6
s285,6,2,3,3,NA,3,3,4,3,4
s038,7,4,3,5,6,3,3,3,3,4
s290,4,3,4,3,4,3,3,6,5,3
s282,4,5,3,6,3,4,2,6,2,4
s069,2,7,2,5,4,4,4,5,3,5
s180,3,2,6,2,4,1,5,3,5,1
s037,7,3,4,3,7,1,4,4,4,1
s235,6,2,4,4,7,2,5,2,5,4
s323,6,4,4,6,7,1,3,4,4,3
s126,5,5,4,4,5,2,4,6,4,5
s221,1,4,2,5,5,4,4,4,4,6
s320,5,4,1,4,4,4,4,2,3,5
s030,6,3,6,2,5,4,2,4,3,4
s182,3,2,3,2,3,2,5,4,5,1
s370,3,4,6,6,7,2,4,5,4,5
s369,5,3,3,1,4,1,4,2,4,3
s232,4,3,5,5,5,4,4,4,4,3
s125,1,3,3,5,4,5,1,3,3,4
s009,5,3,5,7,4,1,3,4,4,4
s103,2,6,1,5,1,4,2,3,1,5
s187,5,4,3,5,6,5,4,4,4,2
s336,5,2,6,2,6,2,7,1,5,2
s095,3,5,4,5,4,5,2,4,3,4
s223,5,1,7,3,7,1,7,3,6,1
s181,2,5,3,4,5,3,4,7,3,4
s163,2,4,3,6,3,1,3,6,4,4
s046,3,3,4,5,4,4,6,4,5,4
s034,3,4,3,3,4,1,4,4,4,4
s371,1,6,1,6,1,3,2,5,2,7
s208,4,4,2,6,4,3,5,1,5,4
s196,6,3,3,3,4,2,3,3,4,6
s065,4,6,2,3,3,3,4,4,2,5
s011,1,3,2,5,4,4,3,5,3,7
s084,6,2,4,4,7,3,5,4,7,4
s119,3,4,5,5,3,5,5,4,2,6
s146,4,1,6,3,6,1,5,3,3,1
s190,4,2,4,4,4,4,4,5,2,5
s186,3,4,3,4,3,4,3,7,2,6
s222,4,3,4,4,4,2,4,4,4,4
s359,5,2,5,4,7,3,4,2,4,4
s092,4,3,3,4,3,1,6,7,3,5
s263,3,4,3,4,4,3,6,NA,4,2
s002,2,5,2,5,3,3,3,5,3,4
s053,3,3,4,7,7,4,5,5,3,4
s333,4,3,5,6,6,3,4,5,4,3
s286,4,5,5,3,5,3,2,2,4,3
s220,4,3,2,5,5,3,1,NA,3,3
s251,5,4,4,3,4,2,3,3,3,6
s312,4,3,4,5,4,2,4,4,3,4
s354,3,3,2,4,4,4,4,5,2,4
s131,5,3,5,2,5,2,6,5,4,4
s068,4,3,2,5,3,4,3,3,2,3
s308,6,4,3,2,6,4,6,4,4,4
s283,3,5,4,4,5,2,4,5,3,4
s326,3,3,3,4,6,2,6,4,6,5
s328,7,1,3,4,4,3,4,5,5,3
s093,5,3,4,6,5,1,3,5,3,4
s039,3,1,7,3,6,4,5,4,5,3
s137,5,3,5,3,4,4,3,3,4,4
s085,3,4,4,6,2,3,6,2,2,6
s127,4,5,3,6,4,2,3,4,6,5
